ID,RUSSIAN,POLONAIS,INTERVAL
1870,на мгновение,chwilowo,93
1714,поспешность,speight.,94
2833,гобелен,gobelin,88
9598,юмор,humor,39
3915,сыворотка,serum,84
2805,более жесткий,twardszy,89
1529,прямая кишка,odbytnica,95
4794,гершель,herschel.,78
12794,тед,przetrząsać,21
11596,рекс,rex.,32
11844,блейк,blake.,30
6235,гуркха,gurkha.,70
2406,антисоциальный,antyspołeczny,91
10084,гипотеза,hipoteza,43
12881,солнечный,słoneczny,20
5646,фундаменталист,fundamentalista,66
2899,разоружен,rozbrojenie,57
3049,аура,aura,87
371,трапециеобразный,trapezoid,97
11666,кража,kradzież,31
1616,песочные часы,klepsydra,94
5464,реактор,reaktor,70
9031,хлористый,chlorek,51
8975,бабочка,motyl,50
8097,виридиан,viridian.,58
13126,итальянский,włoski,17
14131,раз,czasy,5
10072,легендарный,legendarny,43
2327,минерал,górnik,37
2360,борчан,orlica,89
3299,кириллица,cyryliczny,87
6849,селиак,heliak.,66
7985,навязывать,narzucać,33
13716,меньше,mniej,12
14093,будущее,przyszły,8
3857,окунать,zanurzać,61
12309,разнообразие,różnorodność,22
13570,тяжелый,ciężki,13
3015,хенлина,huntley.,88
2839,понция,pont.,88
2655,патан,pataniec.,90
2958,соронить,sorority,63
2727,астор,astor.,88
4576,контрабанда,przemycanie,72
6303,иона,jonah.,70
6634,несовместный,bezwinny,67
14158,компьютеры,komputery,7
1621,полистирол,polistyren,94
10733,район,sąsiedztwo,33
13943,выключенный,wyłączony,8
8902,автономный,autonomiczny,51
3881,концептуальный,konceptualistyczny,74
9571,бункер,bunkier,44
8442,незрелый,niedojrzały,53
8333,коллекционер,kolektor,50
4857,скиф,skiff,75
13814,воля,będzie,5
3041,квадрант,kwadrant,77
10778,провинциальный,prowincjonalny,38
2034,катод,katoda,90
2231,пирожный,duszek,88
11247,копья,włóczniki,31
4234,твид,tweed,81
9517,вика,vic.,48
13340,шкала,skala,15
686,подписи,sygnatariusze.,88
1447,туалеты,wc,42
3830,ждух,needham.,84
5895,преследуемый,ścigany,41
9379,неубедительный,nieprzekonywający,49
9448,амфибий,ziemnowodny,48
10757,измерять,miernik,37
1398,фенил,fenyl,95
3571,вивиан,vivian.,85
30,наши,skwarki,100
1740,беднее,biedniejszy,94
13551,имел в виду,oznaczał,13
3775,навесной,język miejscowy,84
1724,замыкание,domknięcia,47
12530,секретарь,sekret,22
1624,бронхит,zapalenie oskrzeli,94
6477,паштет,łeb,68
4959,беспилотный,bezzałogowy,77
8697,бред сивой кобылы,głupie gadanie,54
10341,телекоммуникации,telekomunikacja,30
159,кенозой,kenozoiczny,100
6715,самый лучший,najlepsza,66
13406,долина,dolina,14
222,прожекторы,sztuczne oświetlenie,97
10632,богатер,richter.,39
13933,такой же,to samo,8
9112,конус,stożek,49
12596,лишенный,iv.,23
11098,энзимология,enzymologia,36
8725,денежный,monetarny,54
13856,только,tylko,6
5710,похищенный,uprowadzony,50
8145,воспалительный,zapalny,58
2412,шлюха,szkuner,60
12255,континентальный,kontynentalny,26
13484,аб,ab,13
9054,монголия,mongolia,51
6651,торговая точка,wylot,47
1464,outcry.,wrzask,94
14072,заказ,zamówienie,9
9014,зажечь,oświetlony,50
6208,энтропия,entropia,70
11431,луисвилл,louisville.,33
13015,очень,wysoko,19
11708,средняя,średni,30
10775,аффилированность,przynależność,9
4924,натал,urodzenia,78
9183,серотонин,serotonina,50
1731,синус,sinus,88
4932,дк.,dk.,78
10813,вена,wiedeń,38
7501,реализм,realizm,62
2060,осина,osika,92
12578,ливанец,libański,23
14180,июль,lipiec,6
986,подвязывать,podwiązka,94
8018,ноксвилл,knoxville.,59
5531,бай,bai.,74
11725,сюжет,sc.,31
3069,основы,fundamentals.,32
9710,реставрация,przywrócenie,9
911,приспешники,henchmen.,97
7295,спокоенность,spokane.,63
1188,линчеватель,samozwańczy stróż prawa,82
5681,биполярный,dwubiegunowy,73
14097,встреча,spotkanie,10
8133,пегас,pegaz,58
9884,18,osiemnaście,45
13926,даже,nawet,7
14446,позволять,pozwalać,9
7083,домино,domino,59
4161,мое все,moje wszystkie,82
13030,присоединился,dołączył,11
6605,лай,lai.,67
13918,делиться,udział,6
4334,пусковая установка,wyrzutnia,62
7267,лимерик,limeryk,62
4176,лэньер,lanier.,82
3215,аллергия,alergia,86
9080,молитва,modlitwa,45
13050,получает,dostawca,7
9362,кладбище,cmentarz,49
11209,лыж,narty,27
7099,измена,zdrada,62
4178,дз,dz.,82
14176,смотреть,patrzeć,5
437,амига,amiga.,98
6893,ракетки,karterki,66
3863,чистая вода,czysta woda,84
5654,цыган,cygański,68
5236,додд,dodd.,76
4101,винный дом,winehouse.,83
7882,мощный,silny,59
7361,холод,chłod,60
3138,духовенство,kler,88
10218,отношение,typowy dla,38
6143,ассирийский,asyryjski,65
9988,овальный,owalny,44
10073,унция,oz.,43
12155,толкание,tokarz,27
11581,руозвельт,roosevelt.,32
2077,роговой,seksualnie podniecony,92
6224,таракан,karaluch,70
9478,фашизм,faszyzm,48
1243,с гордостью,dumnie,96
12621,родной,rodzinny,21
248,голгори,kalwaria,100
14160,работники,pracownicy,21
4405,секретность,tajność,81
6643,пропадать,znikać,35
7442,ипподром,tor wyścigowy,62
6964,мюр,muir.,65
851,виккетщик,wicketkeeper.,98
5370,волатильный,lotny,67
6069,просьба,zarzut,57
12425,ариэль,ariel.,24
11176,авторы,autorski,9
11284,мэр,burmistrz,32
9344,лужайка,trawnik,48
7067,нерегулярный,nieregularny,44
13613,изн,isn.,12
5699,оправдано,gwarantowany,32
5553,бурунди,burundi.,74
947,кумулюс,cumulus,97
5235,шиик,shih.,76
12910,критерий,kryterium,20
4172,радфорд,radford.,82
12262,рейдеры,najeźdźcy.,25
3156,священство,kapłaństwo,88
743,дорожно,drogo,98
13135,современный,nowoczesny,16
