ID,PORTUGAIS,ARABE,INTERVAL
13321,israelense,إسرائيلي,14
7162,veer.,وير,58
13608,alevado,هانت,12
11539,sutil,رقيق,32
2096,exclamação,تعجب,90
7204,eastman.,إيستمان,64
13688,milhão,مليون,11
7808,trey.,ترى,60
2476,landau.,لانداو,90
11711,oliver.,أوليفر,27
3221,zee.,زي,88
11322,júlio.,جولييوس,34
12938,fechado,مغلق,10
3488,calypso.,كاليبسو,86
731,praticantes,الممارسين,78
9959,garfield,غارفيلد,44
7209,biossíntese,السليم الحيوي,63
8842,reak,سكير,53
11396,pular,يتخطى,28
3863,água limpa,ماء نقي,84
13286,ele mesmo,نفسه,16
12175,esposa,زوجة,27
9122,hera,لبلاب,50
11238,prender prisão,يقبض على,17
5754,paralisia,شلل,73
3334,suplementar,تكميلي,87
686,signatários,الموقعين,88
12370,ferrovia,طريق السكك الحديدية,23
13254,asiático,الآسيوية,16
11005,damon.,دامون,37
13763,fortemente,بقوة,12
4336,alegoria,فن رمزي,80
13830,também,أيضًا,5
13533,juan.,خوان,13
9440,mao.,ماو,48
7365,pompeii.,بومبي.,62
11507,mg.,ملغ,32
942,êxtase,نشوة الطرب,92
7364,episcopal,الأسحق,62
1314,desnutrição,سوء التغذية,96
3707,oculos de sol,نظارة شمسيه,84
2072,cálice,كأس,91
13214,irlandês,الأيرلندية,16
10148,chimpanzé,شمبل,42
10833,emirados.,الإمارات,36
12066,favor,محاباة,20
14037,área,منطقة,9
4394,mongóis,mongols.,54
5681,bipolar,ثنائي القطب,73
14072,ordem,طلب,9
7017,norse,نورس,65
13972,arquivo,ملف,6
9885,vocais,غناء,35
12097,argumentos.,الحجج,16
6617,placa,الترسبات,63
12664,além,وراء - فى الجانب الاخر,22
1094,butanol.,بوتانول,96
13164,função,وظيفة,16
5520,trisha.,تريشا,74
3168,recursivo,العودية,81
401,de luxo,راقي,100
7939,mistura,خلط,19
614,verifica,التحقق من,93
8235,sabre,صابر,29
5869,manjericão,ريحان,72
239,sem opposição,دون معارضة,100
7724,reconciliação,تصالح,61
7607,galilei.,جاليلي,62
12665,retirou,مسحوب,22
8800,locutor de rádio,المذيع,13
12418,classificado,صنف,22
13094,daí,دا,16
11173,hans.,هانز,22
5706,suspirar,تنهد,70
3804,aspirina,أسبرين,84
6780,capataz,مراقب عمال,67
14034,custos,التكاليف,19
13731,espaço,الفضاء,12
5902,ged.,جرد,72
8434,eterno,أبدي,48
5977,nicht.,نايشت,69
9233,bissexual,ثنائي الجنس,43
9742,terapia,علاج نفسي,45
10839,deta,أجر,38
4822,vereador,ألدرمان,78
3250,pinball.,الكرة والدبابيس,87
13147,bonito,جميلة,17
7545,aquário,الدلو,62
6900,contabilizado,حساب,5
12017,só,منفرد,28
12148,sabia,عرف,27
3286,nervos,الأعصاب,51
1465,seqüencialmente,بالتتابع,66
3194,tecidos,مناديل,49
4499,avaliadores,الدراسات,78
449,linesman.,مساعد الحكم,100
5841,charuto,سيجار,71
11968,disney,ديزني,28
8282,poseidon,بوسيدون,57
4816,pesar,حزن,79
14424,especialmente,خصوصاً,11
2606,rab.,راب,90
922,labuta,يسرع,88
7324,surgir,تنشأ,47
7576,cafeteria,كافيه,60
14069,lei,قانون,8
8459,tesouraria,خزينة,55
7483,yardage,مقدار من الياردات,62
2544,desigual,غير متساو,90
568,travestismos,الاختلاط,99
2948,aldeído,الدهيد.,83
10245,astrologia,علم التنجيم,39
4930,óculos,نظارات واقية,74
8368,realização.,الأقداس,55
8022,tingir,صبغ,53
14336,padrões,المعايير,11
3089,casper.,كاسبر,88
13264,mary,ماري,14
999,telhado,على السطح,88
2332,trilhão,تريليون,89
12240,dividido,منقسم,22
11413,rolando,المتداول,18
11803,ex,السابق,30
12574,moore.,مور,22
1851,horrley.,ماتلي,93
8402,fluido,مائع,54
9013,demitir-se,استقالة,25
3602,acumular,أنشأ,84
2584,abraço,حضن,62
10253,logan.,لوجان,42
14400,esforços,جهود,7
10479,etíope,إثيوبي,39
13902,funcionários,المسؤولون,9
3588,gradiente,الانحدار,78
14279,linhas,خطوط,8
3503,voo espacial,الرحلات الفضائية,62
10488,parcialmente,جزئيا,40
11512,hardy.,هاردي,31
6035,garganta,حلق,62
13396,corpo,الجسم,13
12136,bangladesh,بنغلاديش,27
14051,mais tarde,لاحقاً,8
3565,intrigado,حيرة,43
2685,dipper,قحافة,89
1140,isca,طعم,72
12038,bacia,حوض,27
13747,azul,أزرق,11
219,boozer,بوزير,100
12182,alegações,الادعاءات,16
8036,diabos,تبا,59
14098,esquerda,غادر,8
4202,teixo,uew,82
840,marjorie,مارجوري,98
477,póstumo,بعد الوفاة,69
