ID,ARABE,DANOIS,INTERVAL
10170,المجلس العسكري,junta.,42
9203,جامبوري,jamboree.,50
4603,الفرات,eufrates.,80
14168,سياسة,politik,6
14229,ساعات,timer,8
14010,يذهب,gå,7
2468,مصور,forkælet,38
5865,التوحيد,unitarar.,60
12232,بنما,panama.,26
2552,لا يقهر,uovervindelig,88
11183,الفيكتوري,victorian.,35
11543,قوس المطر,regnbue,31
10711,وضع,lagt,38
9173,مكشوف,eksponering,48
4618,ويموث,weymouth.,80
9616,حرة,freestyle.,47
12994,الحجم,størrelsen,18
1161,الماديرا,madeira.,96
6895,قفازات,handsker.,43
5584,طبق,fad,62
1444,التشكيل,diacritics.,88
618,مربح,lukrativ,99
5167,سانت,sant.,76
4138,عز وجل,almægtig,82
1114,القاضي,magistrate.,81
1335,بيلبو,bilbo.,96
11111,شرح,caption.,31
10088,فخ النار,firetrap.,43
12691,ودود,venlige,21
7361,برد,chill.,60
13093,الأرجنتين,argentina.,17
12957,أوتاوا,ottawa.,19
3826,رنا,rana.,84
4220,التحاليل الجنائية,forensics.,45
12280,رفض,nægtet,19
7413,لماع,spættet,62
4968,nightingale.,nattergal,77
6533,المناصرة,advocacy.,68
9595,سال,salle.,47
3114,طحال,milten,87
11063,الكولا,cola.,36
5143,هوموفوبيا,homofobi.,77
6466,فرن,ovn.,62
1523,الأراضي المنخفضة,lavland,75
5026,هلا,holla.,77
7588,rightshirt.,rød skjorte,58
13858,أولاً,først,6
8586,تمزقها,revet i stykker,55
8996,همسة,hviske,32
5125,ريجنسي,regency.,77
9284,غير ناجحة,mislykket,43
8228,مكنسة كهرباء,vakuum,57
1307,بولونيوم,polonium,96
2104,سيمفوني,symfonic.,92
8750,توربيني,turbo.,52
1205,شيوع,quan.,96
4785,سبيد,sped.,79
8080,هيرست,hurst.,58
1352,الوحل,slime.,95
13774,متأخر,sent,11
2368,أنيل,anil.,91
2598,تحفة,mesterværk,82
4388,رغوة,foam.,77
13870,معظم,mest,7
5644,الفالتز,valtz.,68
9103,البوتاسيوم,kalium.,51
4896,المقاولون,entreprenører.,62
3868,لم تحل,uløste,84
9270,جزرة,gulerod,48
2284,منجنيق,ballista.,91
11284,عمدة,borgmester,31
7740,الكاراتيه,karate.,58
10828,كوكا,coca.,38
14041,بالفعل,allerede,8
8454,مستهدف,ønsket,27
14356,مصادر,kilder,6
7805,بدائية,primitiv,58
4817,بورتمان,portman,78
8268,مير,mir.,57
11192,مونراكر,moonraker.,35
4725,كتر,kr.,74
6579,كيبور,kippur.,68
10215,هيل,hale.,42
7114,البرمائيات,amphibian.,63
3300,شين,chien.,87
14284,بالرغم من,selvom,5
2332,تريليون,trillion,89
4037,موضة عابرة,fad.,68
10331,النمر,panter,25
3635,reclassified,afklassificeret,85
1296,ريتز,ritz.,96
578,بونر,boner.,96
10521,فقر,fattigdom,40
11231,دورية,patrulje,25
8200,قليل الدسم,lite.,56
12472,آن.,ann.,18
14440,كتاب,bestil,9
12516,المدنيين,civile.,17
8834,أشيب,grizzly.,46
13243,الأحد,søndag,16
7820,تذكير,påmindelse,16
