ID,TURC,CHINESE,INTERVAL
6788,çamurluk,挡泥板,64
8633,mors,海象,55
198,yolculuklar,voyageurs.,97
8799,hesaplanmış,计算,29
5600,lest,免得,61
10828,koka,古,39
4758,ciltsiz,平装,74
11318,margaret,玛格丽特,35
92,parçalanma,解体,77
6551,epidemi,流行性,66
12644,sorun,麻烦,20
13395,renk,颜色,12
6820,ayda iki kez,半月刊,67
6883,odysseus,奥德修斯,67
5657,tatmin edici,满意的,75
9759,diyalog,对话,45
7155,lojistik,后勤,38
7664,övünen,赞美,41
986,jartiyer,袜带,94
3847,dokunaklı,刷卡,85
1410,çiçero,西塞罗,95
8038,fosfor,磷,60
1578,lcd,液晶,95
5411,lauderdale,劳代理,76
4482,tait,扦插,81
14233,gerekli,必需的,6
10932,üçgen,三角形,37
8709,sonny,桑尼,55
12759,din,宗教,20
12256,thompson,汤普森,27
14362,video,视频,10
12057,yerinde,含有,7
9010,tekrar başlat,重新开始,42
6869,orgazm,高潮,66
8704,elanör,埃莉诺,55
9462,greenwich,格林威治,49
5385,dikkatli,谨慎,76
3150,kapat,关掉,87
11850,oluyor,发生,11
9219,gangster,流氓,49
1969,epistemoloji,认识学,87
14392,parça,部分,8
11747,yirminci,第二十,31
4576,kaçakçılık,走私,73
4152,karakol,前哨,69
3484,buzlu,冰冷,87
4868,üniter,酉,79
4025,tablet,药片,68
13647,canlı,居住,8
9235,aurora,极光,51
7220,jill,吉尔,64
8500,edepsiz,可恶的,56
11367,çikolata,巧克力,35
6364,çözmek,溶解,40
10816,yarımküre,半球,38
11442,birebir aynı,完全相同的,21
8407,ibne,柴草,53
5543,yarımbaç,halfback.,71
10329,araştır,浏览,38
5304,sihizm,锡克教,77
2892,çırpılmış,鞭打,56
11549,iblis,恶魔,30
1793,selüloz,纤维素,89
2125,banshee,班舍,87
7389,gücü yetmek,买得起,53
4968,bülbül,夜莺,78
12201,teğmen,中尉,27
1451,osteoloji,骨科,95
9097,iyodür,碘化物,52
2737,unesco,教科文组织,89
2682,frankofon,francophone.,90
3759,tung,桐,85
617,dondurmak,冻,99
6768,kripton,氪,68
9227,mesa,台面,51
14062,örnek,例子,10
5700,gaspaço,gazpacho,74
10823,odaklanmış,专注,30
3004,burbon,波旁酒,87
11378,savaş şirketi,魔兽争霸,35
2021,florür,氟化物,81
11831,temel olarak,基本上,15
6190,ılık,oy.,71
13598,özellikli,特色,9
817,şeker kamışı,糖蜜,98
10838,terminal,终端,25
12762,kartal,鹰,14
3376,kesici,刀具,80
13696,bireysel,个人,11
2830,cazibe,诱惑,65
11410,arıza,过错,31
11632,yağış,雨量,32
2739,daft,达布,89
7004,ballpark,球场,56
13269,teori,理论,14
9039,yeniden düzenleme,重述,49
8315,hintçe,印地语,58
8607,ezmek,压碎,38
6567,ödünç vermek,借,46
5791,kablolu,有线,32
6271,hassas,易受伤害的,63
7638,aeromedik,航空医学,62
3539,tifo,吐曲面,87
13098,edward,爱德华,14
6692,solucanlar,蠕虫,47
7783,raphael,拉斐尔,62
10536,koyun,羊,41
12426,süt,牛奶,25
448,filika,救生艇,96
2022,yer tutucu,占位符,93
1787,apostroflar,撇号,68
10785,sağduyu,致远的,39
12899,futbol,足球,20
8279,anakonda,蟒蛇,57
4640,arıtma,纯化,80
13718,nehir,河,11
4155,viper,毒蛇,68
13875,onlara,他们,6
1623,fahiş,野,95
18,faset,面条,55
6467,argent,arg,70
5402,rim,轮缘,67
2533,kahramanlık,英雄主义,91
4264,brom,溴,79
11384,laura,劳拉,35
13881,kullanılmış,用过的,5
7819,lucia,露西亚,61
13361,model,模型,13
4666,tutuşmuş,点燃,56
9529,banyo,洗澡,42
4024,bölünmek,劈开,75
7560,vaftiz babası,教父,62
8058,grenada,格林纳达,60
1301,batıya ait,西行,96
14408,figürler,人物,12
13307,yazmak,写道,16
8168,ısıtılmış,加热,19
8157,val,瓦,59
13219,douglas,道格拉斯,17
8920,grip,流感,53
8190,hipopotamus,河马,59
6783,markalar,侯爵夫人,61
2447,yanlışlıkla,acc,21
12702,yeniden yazmak,改写,18
6360,sarkık,wanker.,70
13389,vaggerler,摇头,15
9415,hayali,假想,50
9374,türkler,土耳其人,41
13748,beyzbol,棒球,12
8805,senfoni,交响乐,53
14341,merkezi,中央,10
11806,aslan,狮子,17
13439,askerler,士兵,13
844,koparmak,抢夺,74
13663,louis,路易斯,12
6668,ildi,verdi.,68
2107,crossfire,交火,93
12624,kasırga,龙卷风,21
14394,soru,问题,5
11362,lancashire,兰开夏郡,35
11472,kudüs,耶路撒冷,34
11841,konser,音乐会,27
1258,ilgisizlik,铺垫,86
6977,patlak,爆发,19
3686,yapılışı,制造,41
5718,nahoş,哈格,63
9587,pantolon,裤子,48
13673,jersey,球衣,12
7755,eureka,尤里卡,62
7017,norse,诺尔斯,66
12599,golf,高尔夫球,23
12275,cinayet,谋杀,20
14519,getirmek,带来,6
1836,maidenhead,迈德赫,94
7800,görev süresi,保单,60
5655,step,stephane.,75
7312,napier,纳米尔,64
12950,cuma,星期五,19
13172,kasabası,11月,17
14200,aksiyon,行动,9
2677,tarım,agr,88
9135,stalingrad,斯坦林格勒,52
4854,galile,加利利,79
13989,programlar,程式,11
12530,gizli,秘密,22
7826,christine,克里斯汀,61
1520,etik dışı,不道德的,95
12194,markalaşma,品牌,17
5565,uvertür,序曲,71
3559,iyimser,乐观的,81
9499,bok  kaka,船尾,47
372,perks,津贴,97
9631,chapman,查普曼,48
2630,homebrew,家用,90
3370,adenosin,腺苷,87
12595,sağlam,坚硬的,23
8910,kızılötesi,红外线的,53
13574,olimpiyat,奥林匹克,10
3490,aminotransferase,氨基转移酶,87
8105,bilinçli,有意识的,59
13907,onlar,那些,6
9826,boise,bo,46
11526,mesele,事务,21
12334,gibson,吉布森,26
14027,planlar,计划,11
9186,çorba,汤,51
3332,flatworm,扁虫,88
10636,theodore,西奥多,40
14092,operasyonlar,运营,6
12800,aktör,演员,17
10457,amsterdam,阿姆斯特丹,42
12776,kapsama,覆盖范围,21
11915,yerleşke,校园,30
6722,cheng,郑,68
10058,indirim,扣除,37
6787,uzaktan,远程,38
7303,esnek,灵活的,55
2472,yan yan,侧身,90
85,hayal zamanı,梦想时间,100
5130,şaşırtıcı biçimde,令人惊讶的是,78
1006,hasır,hashish.,97
11597,glasgow,格拉斯哥,33
12296,saha,沥青,15
5973,mater,母娘,73
7050,chesapeake,切萨皮克,66
7105,heliler,ophelia.,65
13079,ağaç,树,16
6683,ayırt etmek,区分,42
3294,topuz,包子,55
9541,yoksa,不..,49
12861,phil,菲尔,21
12132,köşe,边缘,23
3699,gevşek,松弛,84
11282,kabaca,大致,36
8603,nordic,北欧的,56
9329,dweller,居住者,49
8723,slayter,杀手,54
972,jinekomasti,gynecomastia.,97
7693,gölet,池塘,61
6442,simya,炼金术,70
2358,tuzdan arındırma,海水淡化,91
6984,müdahale etmek,干扰,38
13103,biyografik,传记,18
598,hiyerarşik,分层,92
10658,gündem,议程,38
7059,diplomasi,外交,66
3021,barracuda,梭鱼,87
13354,antik,古老的,15
10348,küçük,小气,42
11230,bütçe,预算,35
12926,zengin,富有的,19
4314,malayalam,马拉雅拉姆,82
14069,kanun,法律,8
2421,adam öldürme,过失杀人,91
11639,slalom,sl,30
14513,notlar,笔记,6
4300,kano,独木舟,72
11934,jamaika,牙买加,30
12775,çocuk,孩子,16
9058,çinko,锌,52
9577,ülke çapında,全国,48
7896,paramparça,破碎,54
831,mikrosistemler,微系统,98
9907,dava açmak,起诉,23
5164,corolla,花冠,77
3200,zarar vermek,造成,53
10868,newport,纽波特,38
14312,konum,位置,6
8004,ankraj,安克雷奇,60
1953,kohç,kohl.,93
14505,adres,地址,5
826,kiraya veren,房东,91
10466,uzatmak,拉紧,31
579,guanaco,瓜凯,99
10439,kısır,恶毒,42
11539,hemen göze çarpmayan,微妙的,33
9436,kopenhag,哥本哈根,49
8667,fildişi,象牙,55
12077,otuz,三十,28
8913,klips,夹子,38
11496,nashville,纳什维尔,33
10015,direktörler,董事,18
12323,ayna,ch,26
1601,torna,车床,95
2998,süper kahramanlar,超级英雄,61
5364,gules,格勒斯,76
1369,işaretsiz,没有标记,96
12584,baba,父亲,22
9837,deniz suyu,滑铁卢,46
6940,faks,传真,65
2231,brownie,果仁巧克力,88
7978,magnezyum,镁,60
2028,satici,小贩,67
11288,syracuse,锡拉丘兹,36
5412,ankara,安卡拉,76
10721,sandalye,椅子,34
10829,insancıl,人道主义者,38
6226,boca,博卡,71
13726,i̇srail,以色列,12
5464,reaktör,反应堆,71
6495,cetveller,统治者,51
12112,kuveyt,科威特,28
12369,elma,苹果,24
4736,aromatik,芳香,77
217,balay,鲍拉斯,100
14315,haklar,权利,7
13186,yabancı,外国的,16
3477,işbirlikçi,合作者,19
3599,tamir edilmiş,根深蒂固,79
7875,temizlik,清洁,57
13651,koruma,警卫,11
12258,erkek,男性,25
5050,revizyonist,修正主义者,72
1641,whrammies,鞭子,90
13187,tenis,网球,17
11899,metre,米,25
3957,piyanist,钢琴家,81
12009,röportaj yapmak,面试,22
1302,güneş yanığı,晒斑,94
4092,tutu,芭蕾舞短裙,84
7971,şeyh,谢赫,60
746,maoist,毛派,93
5438,tonkin,汤金,76
2859,havalandırma,通风,85
13560,bilim,科学,12
10769,yolcu,乘客,28
11698,iptal edildi,取消,24
7110,hilik,hl.,65
8047,fraksiyonlar,派系,45
3950,desteklemek,撑腰,66
4402,busby,母猪,82
7194,presbiterian,长老会,62
3404,döküntü,皮疹,85
3833,pekin,北京,79
7360,flak,弗拉克,63
5420,sone,十四行诗,69
6661,hemofili,血友病,68
12594,jose,何塞,23
5939,yedi kat,七倍,73
1631,vulva,外阴,95
2886,somers,索,89
4595,artırmak,提升,47
1016,başını sallamak,点头,90
370,tüylü,凯氏,100
12824,orleans,奥尔良,21
957,trombosit,血小板,92
13934,daha sonra,然后,5
7246,en yeni,最新,64
2593,iğrenç,讨厌,88
11898,ani,迅速的,25
13767,ölü,死了,10
7005,akustik,声学,61
3820,kişiye özel tasarım,时装,85
5502,lucan,卢坎,76
13820,hangi,哪个,6
3291,sakıncalı,令人反感的,87
4019,dumanlı,烟,84
5862,politburo,政治局,73
6518,puritan,清教徒,63
8152,sabır,耐心,59
3715,bulaşık makinesi,洗碗机,82
6,yanılmak,绊倒,58
1251,arginin,精氨酸,96
10946,gurur,自豪,38
9044,peygamber,预言家,47
1844,trotter,托特特,92
2184,rad,拉迪,91
6628,descartes,笛卡尔,69
6385,en kısa zamanda,尽快,70
3172,dikkat dağıtıcı,分散注意力,52
2296,tilden,泽根,92
12830,teker,车轮,16
12028,disk,圆盘,27
8251,ufuk çizgisi,地平线,58
123,yakima,亚基玛,100
12504,cd,光盘,24
8374,problemli,有问题的,57
14504,koşar,运行,7
1772,aseksüel,无性,87
9718,tonga,汤加,47
1574,seslendirme,发声,20
951,tuareg,图尔,97
12732,havuz,水池,21
236,hapsız,倒霉,100
10192,gama,伽玛,43
14017,işletme,操作,6
4965,medyan,中位数,79
2319,sallanma,摇摆,81
8213,yanılsama,错觉,56
8086,jurassist,侏罗纪,59
7090,aşı,疫苗,55
2990,teşvik,激励,74
12577,di,迪,23
12310,çocuk büyütmek,上升,20
5859,allegheny,阿勒格尼,73
12630,tesis,设施,19
13123,rekabet etmek,竞争,12
2619,alıcılar,举行,62
4490,radyum,镭,81
4003,woodruff,伍德拉夫,84
8846,kyoto,京都,54
13226,ileri,向前,9
3663,uyuşturucu ile mücadele dairesi,数据包络分析,85
4294,makas,剪刀,70
1381,lenfatik,淋巴管,96
9014,aydınlatılmış,点亮,51
8794,saratoga,萨拉托加,54
10443,bozulma,损害,38
3685,esir,俘虏,54
11486,sheffield,谢菲尔德,34
12247,kostata,哥斯达,27
7074,mormonlar,摩门教徒,32
1921,mukus,粘液,93
2777,boomer,潮山脉,88
3149,sexton,塞克斯顿,88
3455,liza,丽莎,87
11127,somerset,萨默塞特,37
1939,slough,泥沼,93
9062,şişe,瓶子,41
6272,çekirge,蚱蜢,68
10239,akciğer,肺,40
1999,toksikoloji,毒理学,91
11976,sabun kutusu,皂盒,29
13052,inanç,信仰,18
11082,mermi,子弹,24
8037,zekâ,机智,24
6675,bosch,博世,68
5614,jumbo,巨型,73
10032,varsayılan,默认,41
2014,cazip,诱人,66
13755,leğen,乐,11
3550,yönetimsel,管理人,87
13160,küresel,全球的,16
7063,sadık,忠诚的人,57
12399,caz,爵士乐,25
1602,anglikanizm,英勇,42
5267,koreografi,编舞,77
4860,giyotin,断头台,79
8871,kuruş,一分钱,53
12042,punk,朋克,28
3690,korkutucu,令人生畏,85
5713,dihidrojen,二氢剂,74
10369,cebir,代数,40
569,kendo,剑道,99
11206,yarın,明天,36
8336,ders,课,48
11081,lanetli,闹鬼,35
13132,her şey,一切,18
2546,nükleolus,核仁,91
12668,terry,特里,23
4391,su kemeri,渡槽,81
7129,cyan,青色,65
811,ibid,同i,98
4316,sakar,笨拙,80
3326,sendikasyon,联合,55
4916,imkânsız,不可能,77
1848,devamsızlık,缺席者,87
1845,bown,羽脚,93
13841,diğer,其他,5
5825,sürü,放牧,68
4322,tesselasyon,吻合器,79
9086,defansen,防御员,52
13126,i̇talyan,意大利人,17
11532,lacrosse,曲棍,33
6552,chihuahua,奇瓦瓦,69
10230,romence,罗马尼亚人,43
11293,coliseum,大剧场,36
7772,nitrat,硝酸盐,58
13423,daha erken,早些时候,14
11147,rosa,罗莎,37
13005,ilaç vermek,药品,17
10591,gator,鳄鱼鳄.,40
14076,tasarım,设计,10
2964,memek,mem.,88
4684,stoklamak,寨子,75
14487,kasım,十一月,6
9473,eisenhower,艾森豪威尔,49
2622,savaş gemileri,战舰,59
8887,coli,大肠杆菌,53
9901,gebelik,怀孕,46
65,gerileme,挫折,74
12165,madrid,马德里,28
14222,yakın,靠近,10
12807,birleştirilmiş,加上,13
8307,şemsiye,雨伞,57
6528,dozlar,剂量,49
9495,astronom,天文学家,31
13213,massachusetts,马萨诸塞州,17
708,dun,逼债,80
13954,iyi,好的,6
10212,milton,米尔顿,43
11644,elmas,钻石,30
4559,coker,焦克,81
7234,subdolous,索索,64
220,devrilmek,过多的,100
4234,tüvit,troed.,82
13222,houston,休斯顿,17
12789,zayiatlar,伤亡,19
5651,ozmoz,渗透,75
7534,rambutan,红毛丹,62
10344,diyet,饮食,41
7611,başıbozuk,释放,59
11503,tibet,西藏,33
11673,fresk,壁画,32
13121,rüzgâr,风,12
10325,davranış,态度,39
5121,dietilamid,二乙胺,78
1773,pinky,粉红色,89
3507,pyongyang,平壤,87
1093,yılan balığı,鳗鱼,64
7953,prezervatif,避孕套,58
808,putsch,put,98
9899,rover,流浪者,33
6830,polimer,聚合物,64
1872,belay,布依,89
9376,uçurtma,风筝,49
5942,tirron,泰隆,73
1505,basset,巴塞特,95
1740,fakir,穷人,94
11847,rakip,竞争对手,23
7390,iyi adam,好人,63
4289,örtük,隐含,82
4761,helis,螺旋,80
12363,doğru şekilde,正确,26
2659,açık bir şekilde,乐天,90
10183,emin değil,不确定,44
9805,garaj,车库,45
8601,dadı,dane.,51
7767,yolculuk,航程,43
3123,anyon,阴离子,88
6237,saygıyla,尊敬,11
4849,diaspora,侨民,79
11756,iklim,气候,30
5008,sefalet,苦难,78
12936,liman,港口,19
6789,safari,苹果浏览器,67
3208,enerjik,精力充沛,84
8899,öğretilen,教导,53
13754,yüklemek,上传,8
12733,acele,冲,12
9817,sihirbaz,巫师,32
478,trifosfat,三磷酸,99
9633,meme,胸部,43
2584,sarılmak,拥抱,62
3451,yonca,三叶草,67
9654,haberci,信使,46
12995,bulvar,大街,19
5892,merhametli,勋,73
10119,süpermen,超人,44
12506,dekan,院长,24
7020,amman,安曼,66
264,hom,磡,100
14162,diğerleri,其他的,5
11011,kaplumbağa,龟,33
3426,torton,娃娃,87
12181,hasta,生病,23
12061,herhangi bir yere,任何地方,28
9048,en genç,最年轻的,53
7403,menekşe,紫色,62
13917,başkan,总统,10
9676,britannica,不列颠哥伦比奈里,48
11221,kurucu,创始人,33
11767,zarar,伤害,12
302,gundy,甘迪,100
13987,dava,案件,6
5869,reyhan,罗勒,73
5527,brest,布雷斯特,75
3437,degas,脱荒,87
4134,beyinsiz,不自由,83
10564,duff,达夫,41
11798,büyüyen,生长,23
11687,pukâs,记分卡,32
14171,nisan,四月,5
9043,denizcilik,海上,50
1745,liang,梁,94
4554,prometheus,普罗米修斯,81
4417,yeniden dağıtmak,重新发行,81
9987,marka,商标,43
13150,her neyse,反正,16
12153,tatmin etmek,满足,15
9664,malthusian,马尔萨斯人,48
2985,yardımsever,慈善,88
3825,flotilla,弗拉蒂拉,84
9068,hentbol,手球,50
2713,berwick,伯威克,89
12404,ross,罗斯,25
7299,monitevideo,蒙得维的亚,64
4163,logaritma,对数,76
9764,shoreman,岸上,47
4302,yalıtım,绝缘,67
12847,onaylamak,确认,13
10583,seul,汉城,41
7574,carmel,卡梅尔,62
10246,cadılar bayramı,万圣节,43
12138,mesih,基督,28
13836,bir,一,5
5775,bölenler,除数,69
13384,kesmek,切,13
7695,astronot,宇航员,54
8990,ipucu,线索,43
