ID,ARABE,ENGLISH,INTERVAL
13772,لون أخضر,green,11
9172,تولسا,tulsa,51
497,ريفييرا,riviera,99
11497,نورماندي,normandy,32
11347,اسم الشهرة,nickname,26
13562,شهر,month,10
9107,ملحق,supplement,37
572,زاحف,reptilian,99
10007,هوجان,hogan,44
13880,كثير,many,6
13909,حسنًا,well,7
2508,خمسة عشر يوما,fortnight,88
4760,غلاية,kettle,77
13287,إمبراطورية,empire,15
8339,اضطهاد,persecution,51
13873,أي,any,5
8934,راندال,randall,52
3277,هيد,hed,87
7410,انذار,ultimatum,62
5230,دوامة,vortex,76
9423,سائح,tourist,38
8421,بلاد فارس,persia,56
4368,أمانة,honesty,81
9366,فولتا.,volta,49
2697,عديمي الجنسية,stateless,83
8351,على جنب,onside,56
12867,ديك رومى,turkey,20
12433,اللغة التركية,turkish,24
10366,مثليه,lesbian,39
12460,ويلتون,wilton,24
9238,ليونيل,lionel,50
13721,المساهمين,contributors,10
11928,استثنائي,extraordinary,29
4210,المعجزات,miracles,45
6780,مراقب عمال,foreman,66
5805,تحويل,diverted,60
5467,نيكون,nikon,75
9879,القرم,crimean,45
7331,راوتر,router,61
2993,تيفين,tiffin,88
13627,لائق,proper,12
6141,دينغ,ding,68
8533,بعناية,thoroughly,55
335,طرزان,tarzan,100
53,هجر,hath,100
5686,لورى,lowry,72
3637,هيلمان,hillman,86
6568,طبعة جديدة,remake,64
12334,جيبسون,gibson,25
10484,شيا,shea,40
1762,على فترات متقطعة,intermittent,83
1350,مياه البحر,seawater,96
8884,نجاعة,efficiency,34
648,يالي,yali,99
10134,بابوا,papua,43
3037,سمك البحر,sunfish,88
12023,سباق الجري,raceway,28
13204,9,9th,16
11780,لوكسمبورغ,luxembourg,30
7346,الهيليوم,helium,63
7649,بوذي,buddhist,59
13355,تقريبا,nearly,15
6915,مؤشر,dow,65
1226,كاباريت,cabaret,96
761,السريانية,syriac,98
2278,الوقواق,cuckoo,90
4246,الهزازات,shakers,72
8097,فيريدي,viridian,58
11124,انطباع,impression,21
7082,يي.,yi,64
9993,في كل مكان,everywhere,44
5407,جات,jat,75
6121,شفقة,pity,64
11580,فيكتور,victor,30
13425,بسهولة,easily,14
10083,قشة,straw,43
9958,الاسكتلندي,scots,30
8790,السمسم,sesame,53
10713,نفق,tunnel,35
2738,تلميذ,schoolboy,86
12470,بونت,punt,21
10004,طائفة دينية,cult,42
7297,ملاذة,malaya,63
8620,حبر,ink,49
13630,مشاركة,participate,9
12628,إليزابيث,elizabeth,22
13261,الموسوع,encyclopedic,16
9813,خماسي الاضلاع,pentagon,43
9899,روفر,rover,32
10691,أنجلو,anglo,38
12850,ألين,allen,20
5413,التجاوز,transcendence,69
956,إطفاء,extinguish,61
4849,الشتات,diaspora,78
9495,عالم الفلك,astronomer,30
8188,ميك,meek,57
11941,واد,wade,28
11078,دراماتيكي,dramatic,30
5543,لاعب خط الوسط,halfback,70
602,صاخب,raucous,99
14074,بعيد,far,8
112,ترون,tron,100
11753,طروادة,troy,30
9875,فتاة جميلة,chick,39
10729,سرد,narrative,38
3694,ريدلي,ridley,85
3313,نوع من القطارات,tram,83
5417,الخيزران,bamboo,74
11932,عادة,commonly,29
11236,غير عادلة,unfairly,35
1655,بثرة,pimple,94
8437,تجرؤ,dare,47
3272,واجب,obligatory,87
8111,رسالة بولس الرسولية,epistle,56
4461,قاطع متناوب,chopper,77
2483,لوكو,loco,82
5833,كوري,curie,68
6654,أفرو,afro,67
4859,الغولتين,gluten,79
3182,طمس,blur,75
14053,الغرب,west,8
772,بنح,binh,98
11690,هارفارد,harvard,31
7736,صدى,resonance,56
7952,كرويدون,croydon,59
11625,أبولو,apollo,31
7624,مرسوم,decree,52
6287,الاعتماد,relying,31
8517,قزحية,iris,55
1427,قصيدة,ode,90
6293,سكاربورو,scarborough,70
3126,سالومون,salomon,88
5703,صدم,bump,54
7147,إسكيمو,eskimo,44
11970,جلب,bringing,6
10766,الخرسانة,concrete,38
7183,ديزي,daisy,63
13351,بحيرة,lake,14
8268,مير,mir,57
13120,فعلي,actual,10
5039,شلل الأطفال,poliomyelitis,77
9950,رائد,pioneer,36
446,غير معلن,uncharacteristically,88
6209,ضواحي المدينة,outskirts,70
9889,انس,ns,45
944,لفة,blabbering,95
5210,نصف السنة,semester,75
4815,خزانة الثياب,wardrobe,77
14362,فيديو,video,10
13588,جونسون,johnson,12
9071,الكرواتية,croatian,51
9150,فالنسيا,valencia,51
13403,اعمال,business,13
3902,ابتعد,getaway,82
11749,صحة,accuracy,30
7728,تدفق مائى - صرف,flushing,51
9421,تمساح,crocodile,46
10208,هادئ,quiet,42
6531,صلى,pray,55
5886,يميز,distinguishes,27
11703,عمودي,column,27
14132,إضافة,addition,6
2490,بيلدر,bilder,90
4274,أوكسيداسي,oxidase,81
6012,الاستقرار,tibia,72
1748,اليديشية,yiddish,94
11557,شكسبير,shakespeare,32
