ID,JAPAN,ENGLISH,INTERVAL
8678,拘置,binding,46
13592,k,kuru,12
5914,余剰,surplus,71
14442,決めた,decided,7
3949,筆記する,writ,78
1184,散らす,roer,96
11752,ブリストル,bristol,30
3247,グロッソ,grosso,87
5801,キャロリン,carolyn,72
13262,トレード,trade,12
5952,無駄になる,wainwright,71
6899,ネプチュニアン,neptunian,65
13509,プレーオフ,playoffs,10
13345,練習,practice,12
1909,熱心に,eagerly,93
7808,トレイ,trey,59
11711,オリバー,oliver,26
9110,ムーザリー,mhz,50
4420,スピッサー,spitzer,80
12973,イランの,iran,19
4760,ケトル,kettle,77
6798,肺炎,pneumonia,65
10195,カービー,kirby,41
3515,ディンガー,dinger,86
14266,コメント,comment,5
13391,砦,fort,14
14180,7月,july,6
11645,シボレー,chevrolet,31
10929,バース,berth,34
7938,組み込み,incorporation,21
5292,騒々しい,mayhem,75
9722,監視,surveillance,45
3906,サハラ語,saharan,84
4049,プロヴァンス,provence,82
7068,ベーシスト,bassist,63
7426,褒美,reward,44
3412,合板,plywood,86
12913,行,row,18
7292,凛々しい,chil,62
559,キャッチキル,catskill,99
5164,カローラ,corolla,76
13883,システム,systems,8
8848,サンピ,sampi,51
4545,氷山,iceberg,79
6446,凭り圏内,reliant,68
12722,母親,mother,20
12377,キャンベル,campbell,24
7114,両生類,amphibian,62
10751,フレイザー,fraser,38
8998,信頼できない,unreliable,50
6988,ニャー,meow,64
3626,レノ,leno,85
1816,ヨーグルト,yoghurt,93
3636,灌漑,irrigation,83
13325,保証する,insure,13
10850,キット,kit,36
12698,推測してみて,guess,19
8981,ルートヴィヒ,ludwig,51
6015,永遠の,easterly,68
3102,縮む,shrink,70
2559,塩酸,hydrochloric,90
14424,特に,especially,10
11422,チェス,chess,33
4137,クラスルーム,classroom,74
1383,無機,inorganic,96
12492,魂,soul,22
7053,沼地,swamp,56
12404,ロス,ross,24
8520,派遣した,posed,38
2960,租界,concession,64
8931,子供時代,childhood,51
12310,上昇,rise,19
255,パラジウム,palladium,100
7000,ナックル,knuckles,61
