ID,POLONAIS,HINDI,INTERVAL
47,szpic,एक प्रकार का कुत्ता,100
9214,ostrze,ब्लेड,41
13549,format,प्रारूप,10
10722,emma.,एम्मा,38
2208,miareczkowanie,टाइट्रेट करना,89
2693,intertropijny,अंतःविषय,89
9716,burza śnieżna,बर्फानी तूफान,44
6595,schludny,स्वच्छ,64
5747,boucher.,बाउचर,72
10684,christie.,क्रिस्टी,35
3140,ceramiczny,चीनी मिट्टी,78
10794,santiago,सेंटियागो,37
5061,obalony,बेदख़ल,63
13826,został,गया,5
11695,cień,साया,27
11559,clarke.,क्लार्क,14
11428,gra polo,पोलो,32
12975,emerytowany,सेवेन िवरित,14
1398,fenyl,फिनाइल,94
9327,dubbed.,करार दिया,39
3685,jeńcy,बंदी,51
7903,wymeldować się,चेक आउट,56
6417,zastaw,धारणाधिकार,66
6219,marcello.,मार्सेलो,69
4262,pachwina,ऊसन्धि,80
1603,hangar,हंगार,89
9519,sharon.,शेरोन,46
13545,oświadczenie,बयान,10
11204,odwołanie,निवेदन,25
3091,northumbrian.,नाथब्रियन,87
2316,aksjomaty,सूक्तियों,72
6149,wzrosła,उठी पं,69
8619,kuchnia,रसोईघर,39
13179,wykroczenie,अपराध,10
2143,amt.,एएमटी,92
1997,nazareński,नासरी,92
4554,prometheus.,प्रोमेथियस,79
8363,welch.,वेल्च,54
4139,na północ,उत्तर की ओर,32
4402,busby.,बस्बी,80
12262,najeźdźcy.,रेडर्स,24
6582,zbiornik,हूपर,62
5898,marksizm,मार्क्सवाद,71
1152,goldie.,गोल्डी,94
1637,dianetyka,डियानेटिक्स,94
1031,spienić,झाग,93
6816,glendale.,ग्लेनडेल,64
5346,chrom,क्रोमियम,74
2332,kwintylion,खरब,88
7795,etyl,एथिल,58
9439,andora.,एंडोरा,47
10134,papua.,पापुआ,41
6846,ik.,इक,64
12665,pociągnięty,अनिर्णित,21
10655,kampanie,अभियान,13
1909,z zapałem,बेसब्री से,92
6626,sushi,सुशी,66
12910,kryterium,मापदंड,19
13150,tak czy inaczej,वैसे भी,15
9705,utknął,ठप,36
12063,pisarz,लेखक,18
9867,drogowskaz,पताका का स्तंभ,43
13345,ćwiczyć,अभ्यास,12
5686,lowry.,लौरी,71
1999,toksykologia,ज़हरज्ञान,89
8698,tenebrae.,टेनब्रे,52
5800,rozwojowy,विकास संबंधी,71
6761,promocja,प्रोमो,65
5400,rami.,रामी,72
14029,wokół,आस-पास,8
2683,nadwozi,बॉडीवर्क,88
8035,odległy,दूरस्थ,57
6827,szarpać,झटका,49
12929,potroić,ट्रिपल,18
3793,naczyniowy,संवहनी,83
8862,laos,लाओस,47
14058,wiedzieć,जानना,7
8979,sokrates,सुकरात,49
8745,biblijny,बाइबिल का,52
8858,gong,घंटा,51
12079,ogród,बगीचा,21
13934,następnie,तब,5
4909,serra.,सेरा,77
4281,świadczyć,गवाही देना,57
7122,polędwica,sirloin,62
6655,sutter.,सूटर,66
6480,sercowy,दिल का,67
8260,jeep,जीप,52
13083,remis,खींचना,14
12999,nieznany,अनजान,18
1163,funiboy,आग लड़का,96
10575,przysięgać,कसम खाता,37
9825,poseł,एमपी,44
2431,heelers.,हीलर्स,90
6214,curran.,कुरान,68
5970,banita,डाकू,50
12283,peru,पेरू,25
8646,atlantyda,अटलांटिस,52
6801,żucie,चबाने,38
7779,bębnica,पेट फूलना,58
9864,sig.,सिग,43
4943,psota,शरारत,75
12774,południowo-wschodni,दक्षिण-पूर्व,20
10435,vinci.,विंची,39
10473,wang.,वैंग,39
4176,lanier.,लैनियर,81
10769,pasażer,यात्री,26
8225,huk,रंबल,52
663,nieznośny,थकाने वाला,97
725,tekstylia.,कपड़ा,62
249,newsweek.,न्यूजवीक,100
14148,zaproponowane,प्रस्तावित,9
9250,czaszka,खोपड़ी,46
12248,gdzieś,कहीं,25
1373,petydyna,pethidine,95
80,westland.,वेस्टलैंड,100
2425,eme.,इमे,90
2289,cdr.,कमांडर,91
9682,fs.,एफएस,45
190,nadzorowanie,देखरेख,70
9426,ekspertyza,विशेषज्ञता,47
8268,mir.,मीर,55
13296,nebraska.,नेब्रास्का,15
7085,giętarka,कोलाहलपूर्ण,62
7397,tara.,तारा,61
4058,visznu.,विष्णु,82
1040,mss.,एमएसएस,97
1790,zirytowany,सीर्ल,93
7784,verdun.,वर्दन,59
13755,le,ले,10
14374,grudzień,दिसंबर,6
12411,zatoczka,क्रीक,23
3119,gniazdo elektryczne,सॉकेट,75
6951,buick.,ब्यूक,63
9359,konwertuje,धर्मान्तरित,16
7872,nieskończenie,असीम,25
7318,cesar.,सेसर,57
14190,albo,दोनों में से एक,7
10572,gniew,क्रोध,36
8330,wschód słońca,सूर्योदय,55
8828,tau.,ताउ,51
2945,słuchawki,हेडफोन,80
8391,thund.,थूंड,54
803,kurveball.,वक्र गेंद,98
6552,chihuahua.,चिहुआहुआ,66
9678,stabilność,स्थिरता,31
2411,nek.,नेक,90
7158,eco.,पर्यावरण,62
5531,bai.,बाई,73
7113,euklid.,यूक्लिड,62
5229,kaspijski,कैस्पियन,75
13523,lato,गर्मी,13
1353,robienie na drutach,बुनना,80
644,celt.,सेल्ट,85
10850,zestaw,किट,35
7750,zaciąg,प्राप्त वस्तु,43
10872,wąska,संकीर्ण,31
3202,bakteryjny,बैक्टीरियल,87
11353,belgijski,बेल्जियाई,32
3806,ferrer,फेरर,83
9835,zapytanie,जांच,41
3889,akryl,ऐक्रेलिक,81
723,corso.,कोर्सो,98
12072,ja.,जावेद,26
4143,tora.,तोरा,80
14209,stary,पुराना,10
5408,blanche.,ब्लांश,73
3609,sumner.,समनर,84
902,bac.,बीएसी,97
11080,fantom,प्रेत,31
4426,biurokracja,नौकरशाही,78
10904,przechowywanie,भंडारण,36
10771,mokry,गीला,36
9894,rejestracja,पंजीकरण,40
1060,łyżki,चम्मच,49
5192,aldolaza.,अल्डोलेज,75
6919,raptor.,रैप्टर,45
12265,marshall.,मार्शल,21
1236,okular,चश्मा,62
4775,onyda.,वनडा,78
7641,geo.,भू,59
7847,baba.,बाबा,58
2088,debussy,डेबुसे,92
2674,tarczyca,थाइरोइड,88
12894,województwo,प्रांत,17
3396,poprzeczka,क्रॉसबार,84
5478,południowa granica,दक्षिण बाध्य,73
5015,wewnątrzwydzielniczy,अंत: स्रावी,76
2334,imiennik,हमनाम,88
5655,stephane.,स्टीफ़न,72
11313,adolf.,एडॉल्फ,33
329,niematerialny,सारहीन,100
14267,budynek,इमारत,10
10537,po drugie,दूसरे,38
4835,koziorożec,मकर राशि,77
6173,tekken.,टेक्केन,69
13652,wschodni,पूर्व का,12
349,angora,अंगोरा,100
360,regeneracyjny,पुनर्जन्म का,100
11141,sob,बैठ गया,34
1577,interpersonalny,पारस्परिक,94
13438,literatura,साहित्य,13
4074,krym,क्राइमा,82
11919,ast.,एएसटी,28
12626,fantazja,कल्पना,21
2625,koronacja,राज तिलक करना,60
1703,bungee,बंजी,94
654,rable,रोगल,84
1045,choktaw,चोक्तौ,97
7500,yellowstone.,येलोस्टोन,61
7405,klarnet,शहनाई,61
12565,udowodnić,साबित करना,14
13898,firmy,कंपनियों,8
1329,gargulec,परनाला,92
13932,nadal,फिर भी,7
13268,7.,7,15
5752,tiki.,टिकी,71
4,thule.,थुले,100
12039,kryminalista,आपराधिक,24
9971,labrador,लैब्राडोर,42
3623,buknąć,बुरे,84
7022,konduktor,कंडक्टर,61
13196,cleveland.,क्लीवलैंड,16
1053,rozpuszczalność,घुलनशीलता,67
2212,skrócony,संगृहीत,86
5826,dominique.,डोमिनिक,71
12832,gospodarczy,आर्थिक,17
1405,minerva.,सरस्वती,94
11933,linie lotnicze.,विमान सेवाओं,23
3301,osoba,व्यक्तित्व,77
3194,tkanki,ऊतकों,47
6140,luz,निकासी,68
11402,bez racji,खाता खोले बिना पवेलियन,32
9330,producent,निर्माता,39
10899,metro.,मेट्रो,32
8762,aligator,मगर,51
3809,cirrus,सिरस,83
12099,hrabia,राजा,26
10607,ren.,राइन,38
5638,salonik,लाउंज,69
7418,bliźnięta,मिथुन राशि,60
11966,ministerstwo,मंत्रालय,26
4714,hanukkah.,हनुका,78
10730,guam,गुआम,38
11996,foka,मुहर,20
2066,sodomia,लौंडेबाज़ी,92
10657,ślepy,अंधा,31
12657,indianapolis.,इंडियानापोलिस,21
304,zona.,जोना,100
3459,soczysty,रसीला,86
8490,lf.,वामो,54
9166,dyskryminacja,भेदभाव,44
12135,af.,ए एफ,26
12970,et,एट,18
10776,wyobrażać sobie,कल्पना कीजिए,29
9646,fajerwerki,आतिशबाजी,43
3960,sprawiedliwy,न्याय परायण,82
4354,machin,मच,80
7436,szeryf,शेरिफ,59
6687,gaius.,गयुस,65
4891,slade.,स्लेड,77
3868,nie rozwiązany,अनसुलझे,83
13620,afrikaans.,दी,12
6340,nowość,नवीनता,65
6332,stm.,एसटीएम,68
10356,ocaleni.,जीवित बचे लोगों,31
6167,bryg,ब्रगि,68
10043,monica.,मोनिका,42
4493,twat.,योनी,78
12837,seattle.,सिएटल,20
220,obalić,अतिस्थी,100
12091,bas,बास,26
7642,preludium,प्रस्तावना,57
4271,iba.,आईबीए,81
8513,żarówka,बल्ब,52
10588,sanders.,सैंडर्स,36
110,dravidian.,द्रविड़,100
9768,napięcia,तनाव,34
9797,juda,जूदास,44
1161,madera,मादेइरा,96
14325,komunikacja,संचार,8
1,piperydyna,पिपरिडाइन,100
14116,czerwiec,जून,6
9405,lester.,लेस्टर,47
8864,przedmieście,उपनगर,35
2857,nierozwiązany,न सुलझा हुआ,87
11646,radar,राडार,29
13029,unikalny,अनोखा,17
5494,motherfucker.,कमीने,73
10567,niepotrzebnie,अनावश्यक रूप से,38
9116,oops,उफ़,49
13164,rola,भूमिका,15
8072,metodysta,एक क्रिस्तानी पंथ,56
2648,mitochondrion.,माइटोकांड्रिया,89
11243,filtr,फिल्टर,30
12943,którego,किसका,19
10517,literacki,साहित्यिक,38
12590,islam,इसलाम,15
13116,chwytak,लेविस,17
14446,pozwalać,होने देना,9
9672,rozwiązywać,का समाधान,29
8237,orlik,कालंबिन,55
13781,zwycięstwo,विजय,10
5866,tubman.,बगुले,71
8846,kioto.,क्योटो,51
6650,nadający się do użytku,प्रयोग करने योग्य,62
302,gundy.,गंडी,100
10842,ewakuacja,निकास,23
4368,uczciwość,ईमानदारी,80
8925,ir,आईआर,46
1820,sherpa.,शेरपा,88
4923,przełożony,पुनर्निर्धारित,72
14410,patrząc,देखना,5
10823,skupiony,ध्यान केंद्रित,28
11185,leon.,लियोन,27
10010,odysey.,ओडिसी,42
10889,liczy,गिनता,10
2014,kuszący,मोहक,63
14280,powiedzenie,कह रहा,8
4000,superpower,महाशक्ति,72
10895,milicja,मिलिशिया,34
11000,usta,मुंह,33
