ID,ENGLISH,KOREAN,INTERVAL
8720,midwest,중서부,53
4827,lister,동력 경운기,77
11241,angry,화난,34
608,pedicure,페디큐어,99
4990,jaws,입 부분,58
6293,scarborough,스카 보로,69
12183,suicide,자살,25
12084,composed,작곡하다,21
477,posthumous,사후,68
10286,helicopters,헬리콥터,25
4952,slavic,슬라브 사람,77
1062,environmentalism,환경주의,32
4438,tuba,튜바,79
6973,tahiti,타히티,64
14326,officer,장교,10
9970,hippie,히피,40
1353,knitting,편물,80
11601,boat,보트,25
3785,midshipmen,중반 백멘,84
6649,connie,코니,58
4878,wah,와금,77
12976,anderson,앤더슨,19
11895,outbreak,발생,27
2650,crypto,크롤티노,89
3374,framed,프레임,23
5123,albus,앨범,76
1007,hamline,햄 라인,97
1834,muckraker,뮤 로커,90
415,maxi,맥시,89
12764,worst,최악의,21
5303,wiking,와이킹,75
8061,ate,먹었다,56
11813,mini,미니,29
10233,platoon,소대,38
2502,pelham,펠햄씨,90
7314,malkin,칼틴,62
1688,crayfish,왕새우,94
11414,raid,습득,24
13529,wide,넓은,12
12716,technical,전문인,15
1367,amity,친목,96
6191,heh,ㅎ,69
2885,mopper,모핑퍼,88
13321,israeli,이스라엘 인,14
2928,civilly,민법상,88
4310,handicap,핸디캡,63
10468,assumption,추정,34
11063,cola,콜라,36
7249,burgess,버거스,60
12213,steelers,스틸러스,25
13287,empire,제국,15
5398,nun,수녀,64
3335,secretariat,사무국,87
10518,norwegian,노르웨이 인,38
3125,uneventful,정체적이다,82
12186,mercury,수은,26
12234,slow,느린,22
10927,plastic,플라스틱,35
6405,cromwell,크롬웰,68
8455,ethnicity,민족성,24
2171,envisioned,상상했다,87
12979,sort,종류,15
9845,santos,산토스,44
7834,sylvia,실비아,59
7839,liar,거짓말 쟁이,54
11372,versa,도,33
1379,nahuatl,나히 족,96
586,uncensored,무수정,99
10780,theorem,정리,37
10377,partner,파트너,31
8024,hepatitis,간염,57
269,erect,세우다,47
5959,glam,글래밍,71
6379,wrongly,틀린 것,68
13609,thus,이와 같이,12
13499,jun,준,13
2187,chai,차이,91
10696,muller,뮬러,38
4552,ascension,승천,79
2078,nitrous,아질산염,92
2555,altar,제단,89
897,behemoth,거대한 짐승,97
5223,gabby,말 많은,75
5526,burial,매장,71
13438,literature,문학,14
8399,sunset,일몰,54
455,harmaline,하이마른,100
7307,inventor,발명자,52
11859,vegas,라스베가스의,27
8316,frozen,겨울 왕국,56
7608,ecosystem,생태계,60
5947,micronesia,미크로네시아,71
8574,lighter,거룻배,52
5614,jumbo,커다란 것,71
2004,fonts,글꼴,34
9526,uranium,우라늄,47
7462,folklore,민속학,62
6808,abby,애비,65
4613,complementary,보완적인 것,79
14413,works,공장,5
5996,aster,과,70
9791,eh,뭐라고,45
5545,scooper,스쿠퍼,74
7657,monmouth,몬머스,60
12990,dance,댄스,15
3021,barracuda,바라쿠다,86
11215,baseman,지저귐,34
253,abner,아프너,100
8862,laos,라오스,48
8174,havana,아바나,57
13325,insure,안전하게 하다,13
11725,sc,...의 sc.,30
5753,waived,포기했다,66
5593,mutation,돌연변이,63
2473,adhesive,점착제,73
5722,gopher,부지런한 사람,37
4177,lucille,루 닐,82
4374,weakest,가장 약하다,80
11687,scorecard,스코어 카드,30
5204,millionaire,백만 장자,58
3005,methicillin,메티 실린,88
3086,devoid,결여 된,88
9003,bravo,브라보,51
3792,turing,쑤셔 넣다,84
7324,arise,생기다,46
3016,coronado,코로나도,88
8794,saratoga,큰 여행 트렁크,52
131,uniformly,균일하게,100
10646,entrance,입구,37
1175,pons,뇌교,85
11225,parent,부모의,24
11180,width,너비,34
9685,struggling,고군분투하는,21
8406,lak,락크,55
7977,knot,매듭,27
8167,entrants,참가자,50
2256,moselle,모젤 강,91
3261,helper,돕는 사람,80
1896,sexism,섹스시즘,93
8077,alameda,앨라미다,57
5166,libre,리버르,75
2477,runoff,흘러 넘치다,90
11224,vision,전망,32
2299,illicit,불법적 인 것,91
10057,hackney,핸들,42
4706,unarmed,비무장한 것,79
10006,donkey,당나귀,42
6673,numerology,수비학,64
7588,redshirt,빨간 셔츠,57
815,neckline,목선,87
8364,nucleus,핵,55
7539,taft,햇을 쫓아 내다,61
2726,fertile,비옥 한,53
7437,slovak,슬로바키아 사람,59
7757,romanticism,낭만 주의자,59
13874,there,거기,5
5183,crunch,결정적 시기,75
1582,docklands,도착지,93
9175,sk,스카,49
806,algonquin,알고 퀸,97
9252,metric,미터법,47
10283,mosaic,모자이크,40
11873,winnipeg,위니펙,29
8429,basket,바구니,52
11428,polo,폴로,32
6255,shook,흔들어서,69
5209,evanescence,소실,75
6939,aeon,영겁,62
3615,tarantula,타란툴라 거미,85
6617,plaque,액자,62
10701,shiny,빛나는,38
7661,ling,링,60
4068,bazooka,바주카포,82
3892,wiltshire,윌셔들,83
5798,whomp,털어 놓다,72
522,cottonwood,코튼 우드,99
11752,bristol,브리스톨,30
7018,hacking,해킹,36
1920,hillbilly,힐 빌리,86
11948,platform,플랫폼,25
13939,next,다음,6
597,colonists,식민지의,90
10655,campaigns,캠페인,13
7597,spade,스페이드,54
5490,ostrich,타조,72
9870,bud,싹,41
13307,wrote,썼다,15
10099,petersburg,피터스 버그,42
10994,derby,더비,36
10432,monarchy,군주국,39
14308,j,제이,8
3966,pumpkins,호박,56
11391,indoor,실내,31
3866,palais,팔레 사람,83
2181,squire,향사,79
7121,winslow,윈스 로우,63
7808,trey,트리,59
6168,macro,매크로,69
13569,camp,캠프,12
4230,pulmonary,폐보,81
6488,warped,뒤틀린,57
3234,rouse,기상 나팔,77
3644,nonprofit,비영리 단체,85
7175,genus,속,62
14436,multiple,다수의,6
8577,invisible,보이지 않는,51
9942,herself,그녀 자신,43
13989,programs,프로그램들,11
9237,tar,타르,48
13080,famous,유명한,18
12555,religious,종교의,23
11522,riley,라일리,32
14435,won,이겼다,8
13579,korea,대한민국,12
6308,shrimp,새우,69
701,ellipse,타원,93
14245,additional,추가의,6
9156,aberdeen,아버딘,50
1890,lapsed,지나간,70
12904,spinster,노처녀,19
13394,revolution,혁명,14
14151,south,남쪽,8
6908,majesty,위엄,63
8687,grim,암울한,53
3418,forestry,임학,86
2360,bracken,고사리,89
12675,apart,따로,19
2387,gully,우열,88
13185,patrick,패트릭,16
9533,intercontinental,대륙간,47
4129,donny,도니,82
11810,nigeria,나이지리아,29
3352,perm,파마,86
7905,gin,진,58
13114,driver,운전사,12
12243,russell,러셀,25
6886,asbestos,석면,65
8972,trap,덫,33
314,anemometer,풍력계,100
3953,beret,베레모,71
2076,evangelist,복음 전도자,87
1658,nada,나다,94
6643,disappear,사라지다,34
10639,transactions,업무,36
12870,rookie,신병,18
9236,shame,창피,45
10853,decathlon,십종 경기,37
7218,fist,주먹,52
12788,fa,파,20
4748,gorgeous,아주 멋진,78
12333,resistance,저항,21
14402,require,필요하다,6
9687,barker,짖는 동물,45
240,spitting,냄새 나는 것,26
3659,nostrum,매약,84
10465,stronger,더 강하다,39
2356,frazer,제자리,91
5644,waltz,왈츠,67
2362,jai,자이,91
8239,snowman,눈사람,56
7525,breaker,파쇄기,48
9028,unpublished,널리 알려지지 않은,50
6762,hydro,수력,65
4469,jewelry,보석류,80
13021,evil,사악한,18
3544,hocking,호킹,77
3506,radix,어근,86
5943,punjabi,펀 자비,71
1174,carne,카네,93
4689,frey,자화물,79
8006,outflow,유출,58
14046,little,작은,10
109,repay,갚다,90
339,antimony,안티몬,100
12649,palestinian,팔레스타인 사람,19
10791,fourteen,십사,38
