ID,CHINESE,DANOIS,INTERVAL
5880,烃,kulbrinte,67
11859,拉斯维加斯,vegas.,28
6688,圭尔照片,guelph.,67
487,夸张,overdrivelse,61
3435,肤色,skinhead.,80
3912,肖齐,effigy.,80
5287,素食主义,veganisme.,50
13726,以色列,israel.,12
12608,沙漠,ørken,21
9203,贾姆布雷,jamboree.,50
3889,丙烯酸纤维,akryl,82
12471,轻微地,en anelse,24
877,难以捉摸,undvigende,97
12495,船,skib,16
8433,不打击,unranked.,56
13429,九,ni,14
13820,哪个,hvilken,6
7473,记分牌,resultattavle.,62
4598,取代,erstattet,72
1987,报复性,retaliatory.,93
8154,架子,rack.,42
9996,稳步,støt,44
13898,公司,virksomheder,8
2958,姐妹,sorority.,63
10234,明确,eksplicit.,42
14488,民主,demokratisk,14
4198,磷酸酶,phosphatase.,82
1937,庞培,pompey.,93
3016,科罗纳多,coronado.,88
6342,窥探,snoop.,67
10530,坐标,koordinater.,21
9782,待办的,verserende,45
12186,汞,mercury.,26
11172,骑术,ridning,22
11655,落下,falder.,12
14163,研究,forskning,9
7219,车道,lanes.,26
543,哈曼,harman.,99
9300,英镑,sterling.,49
216,自制,hjemmelavet,100
8960,米开朗基罗,michelangelo.,52
5663,终点,terminus.,74
3437,脱荒,degas.,87
6296,生活方式,livsstil,63
10787,中世纪,middelalderen,38
12105,罗里,rory.,27
2776,格劳斯,gulliver.,89
7482,裁军,nedrustning,62
5099,寡不对待,outnumbered.,72
3335,秘书处,sekretariat.,87
7045,算术,aritmetik,63
4884,脚,footed.,18
12063,作家,forfatter,19
2633,助推器,booster.,77
7603,禁运,embargo,59
784,克莱莫尔,claymore.,97
2726,沃,frodige,54
12674,酒店,hotel,21
12134,受害者,ofre.,22
1805,家乐福,carrefour.,94
6402,禁忌,babel.,68
2281,肌醇,inositol.,92
5497,腺,kirtel,69
7192,十分之一,anstændighed,63
656,偶尔,sporadisk,65
11152,排球,volleyball.,36
8719,诉讼,retssag,48
11045,争辩,argumenteret,19
10098,肛门,anal.,43
10681,肮脏的,snavset,39
10949,动荡,uro,37
2563,公猪,vildsvin,90
5813,冈比亚,gambia.,73
127,品种,udvalg,82
2330,标准仪,lithograph.,83
4610,学到了,lærte,80
606,亚甲基,methylen.,99
9135,斯坦林格勒,stalingrad.,51
11316,肩膀,skulder,30
8975,蝴蝶,sommerfugl,50
2945,耳机,hovedtelefoner,81
4079,食人魔,ogre.,82
3191,e,een.,88
5290,乌尔都语,urdu.,76
14073,可能的,muligt,7
13580,正式的,formel,12
14294,车,bil,9
9936,更宽的,wider.,44
12291,极端,ekstrem,16
6979,紧急,presserende,58
11355,埃德加,edgar.,34
12275,谋杀,mord,20
9588,同样地,ligeledes,47
11425,堪培拉,canberra.,33
6650,可用,brugbar,64
13330,蘑菇,champignon,15
8814,索耶,sawyer.,52
5046,超,hyper.,77
5895,被起诉,retsforfulgt,41
3291,令人反感的,anstødeligt,87
13596,趋势,tendens,12
10981,浓度,koncentration,25
13560,科学,videnskab,12
3381,缩略图,miniaturer.,61
14504,运行,løber,7
11835,晒黑,tan.,28
13620,南非荷兰语,afrikaans.,12
537,菲斯,fez.,99
12132,边缘,edge.,22
14108,投资,investering,27
