ID,DANOIS,ARABE,INTERVAL
8923,popcorn,الفشار,52
349,angora.,أنجورا,100
2929,dopamin.,الدوبامين,88
2756,undertrykkelse,الاضطهاد,67
6758,utvivlsomt,مما لا شك فيه,66
13143,kæmpende.,حارب,17
13565,fylde,ملء,12
10958,rester.,بقايا,30
11098,enzymologi.,علم الإنزيم,36
2434,budgiverer.,عطار,87
3822,broderet,مطرزة,82
6425,nigerian.,النيجيري,67
10973,madagaskar.,مدغشقر,37
13069,grammatical.,نحوية,17
7147,eskimo.,إسكيمو,43
9199,stjerne,النجمة,48
5182,evolutionary.,التطور,76
14341,central,وسط,10
13619,ledig,متوفرة,12
3723,paranomia.,بارانوميا,85
9249,blomster,زهور,32
1719,txt.,رسالة قصيرة,93
3333,turnpike.,حاجر,83
8086,jurassic.,الجوراسي,58
8893,potomac.,بوتوماتاك,52
10390,vær hilset,تحية طيبة,34
7184,avengers.,المنتقمون,41
6152,broil.,شواء,70
887,underskud,العجز,31
9885,vokal,غناء,35
6813,sulten,جوعان,66
14096,skat,ضريبة,24
4443,aquatic,المائية,47
11259,territories.,إقليم,12
1020,swled.,مصنوع,97
12678,buchanan.,بوكانان,22
9195,fartøjer,أوعية,39
10976,hud,جلد,33
9093,bestå,متخرج,35
1499,rogan.,روجان,95
13479,tur,منعطف _ دور,9
4215,arkæologisk.,الأثرية,30
3885,acne,حب الشباب,84
12083,streng,صارم,27
11524,erhvervet,مكتسب,22
9248,opfindelse,اختراع,29
10029,skinner.,سكينر,43
11588,valited.,غير مؤكد,31
558,sangh.,سانغه,99
10730,guam.,غوام,38
8483,blok,كتلة,55
3595,pesticid.,مبيدات الآفات,79
1556,frenchmen.,الفرنسيين,95
320,tracer.,التتبع,97
11139,uacceptabelt.,غير مقبول,35
9741,carlo,كارلو,46
13980,rapporteret,ذكرت,5
9543,specialist,متخصص,42
4066,polygami.,تعدد الزوجات,83
1519,violinist,العابث,94
5074,leverandør,المورد,62
2973,goldeneye.,العين الذهبية,88
210,maronite.,المارونية,100
10379,tørke,جفاف,40
7626,manifestation.,مظاهر,40
6485,baglæns,الى الوراء,50
6301,svimmel,دائخ,65
406,mekong.,ميكونج,100
6729,entallig,صيغة المفرد,62
14023,forskellige,مختلف,8
464,wielding.,شاهرا,84
14277,marketing,تسويق,12
2191,koldere,برأس,91
4821,scandinavian.,الاسكندنافية,74
11805,cuban.,الكوبان,29
6743,playboy.,بلاي بوي,65
12031,alliance,تحالف,27
12073,spion,الجاسوس,25
8767,hver dag,كل يوم,53
8371,thatcher.,تاتشر,56
1917,quark.,كوارك,90
6869,orgasme,النشوة النشوة,65
437,amiga.,أميجا,98
6613,sabel,سابل,67
6856,dateline.,خط التاريخ,66
6895,handsker.,قفازات,43
12545,satellit,الأقمار الصناعية,22
3266,prikke,نكز,71
1958,rekollektion,التذكر,81
7502,salisbury.,سالزبوري,62
9449,dom.,دوم,48
13531,bakke,تل,12
1417,undertøj,ثياب داخلية,95
10569,munich.,ميونيخ,39
5310,jamaican,جامايكية,74
6294,hovedperson,بطل الرواية,62
10349,plymouth.,بليموث,41
14375,evne,قدرة,22
8865,berkshire.,بيركشاير,53
10164,omaha.,أوماها,43
9771,fiber,الأساسية,45
1191,indånding,استنشاق,73
6335,dokumentation,توثيق,12
1791,nullification.,إبطال,93
11675,northwestern.,شمال غرب,31
3761,hastigt,بعجلة,84
2570,bonfire.,مشعل,88
12447,nelson.,نيلسون,24
10607,rhine.,الراين,39
4143,tora.,تورا,81
11670,trettende,الثالث عشر,31
12590,islam,دين الاسلام,15
1264,dreamy.,حالمة,96
