ID,HINDI,SPAIN,INTERVAL
5153,खतरा,amenaza,67
12702,पुनर्लेखन,volver a escribir,17
13214,आयरिश,irlandesa,16
14459,खाता,cuenta,5
13714,चैंपियंस,campeones,9
9768,तनाव,tensiones,34
8260,जीप,todoterreno,53
290,ढांच के रूप में,esquemático,95
10852,आधारभूत संरचना,infraestructura,37
5907,मस्तिष्क,encefalón,71
562,तलहटी,estribaciones,73
7623,हल्के,ligero,60
2685,रंगरेज़,cazo,88
1230,जॉब,jobo,96
14141,देय,pendiente,6
286,गिलियां,gillies,87
2907,खरोंचना,escarbar,88
5800,विकास संबंधी,de desarrollo,71
6532,लंगूर,babuino,65
7917,वॉर्सेस्टर,worcester,58
14033,सोचना,pensar,7
2324,श्वार्ज,schwarz,90
5095,स्वीकार करना,conceder,38
12845,ईंधन,gasolina,19
12172,मिलेनियम,milenio,26
8941,गैबॉन,gabón,51
8585,सेन,sen,53
6904,लियरी,aprendiz,64
5573,टोपोलॉजी,topología,62
9228,सीरियाई,sirio,47
7489,पर बल दिया,enfatizado,44
10103,धागा,hilo,37
2201,एलएक्स,lx,91
627,भूकम्पमापी,sismómetro,94
323,अद्वैतवाद,monoteísmo,100
11058,ह्यूग,hugh,36
1863,रग,rudge,93
5027,भविष्यवाणी,profecía,68
11149,खतरनाक,peligroso,19
13334,हो,ho,15
8383,मेलिसा,toronjil,55
12661,सांड,toro,16
3820,couture,costuras,84
609,भव्य,aristocrático,84
9871,विद्रोहियों,insurgentes,32
12563,तंग,ajustado,23
3282,पोलीमर्स,polimerasa,86
1053,घुलनशीलता,solubilidad,67
3412,प्लाईवुड,madera contrachapada,86
9731,दाता,donante,40
8194,सुइस,suisse,56
4317,क्लब हाउस,casa club,80
3778,विद्युत,electromagnetismo,45
12739,सुनो,escuchar,17
10344,आहार,dieta,39
14320,स्रोत,fuente,6
2283,स्ले,sla,91
13830,भी,también,5
12751,एफएम,fm,21
6246,बोरान,boro,69
7131,मेस्केलिन,mescalina,63
7678,हैचबैक,hatchback,55
7800,कार्यकाल,tenencia,57
6382,प्रोफेसर,profe,67
6922,मूत,pequeñito,63
10310,रहस्य,misterio,33
11292,प्राप्त करना,lograr,17
12290,भिन्न,a diferencia de,19
14514,लिखा हुआ,escrito,8
4190,बीडीई,bde,82
10568,फिर से खेलना,repetición,32
9556,न्यू,nú,41
10567,अनावश्यक रूप से,innecesariamente,39
8815,अग्र,anverso,51
5209,लोप,evanescencia,75
1579,ख़फ़ा,enfurecido,88
9995,गहरा लाल,carmesí,43
5436,एंड्रोमेडा,andrómeda,74
1182,अरन,arn,96
582,अहानिकर,no dañoso,99
10159,ट्रेनर,entrenador,36
3190,अभियानों,expediciones,32
1292,टालस्टाय,tolstoy,95
12590,इसलाम,islam,15
7129,सियान,cian,63
14101,देश,país,8
2929,डोपामाइन,dopamina,88
3321,प्रतिचक्रवात,anticiclón,79
10735,गालियां बकने की क्रिया,blasfemia,27
7153,तलाक,divorcio,57
8888,मधुमेह,diabetes,48
13036,फेक दिया,lanzar,18
3987,गूगोल,googol,83
13849,यू,u,6
3220,लहरदार,ondulado,85
9353,सील,foca,48
2558,साओ,sao,90
768,कैडमियम,cadmio,98
8520,उत्पन्न,planteado,37
11725,अनुसूचित जाति,carolina del sur,30
9658,लंडास्टर,lancaster,46
6044,स्नेप,snape,70
7978,मैग्नीशियम,magnesio,58
13842,वर्ष,año,6
11619,बुल्गारिया,bulgaria,31
4261,मानव हत्या,homicidio,71
7839,झूठा,mentiroso,54
7182,विधवा,vdo,58
11454,बक्शीश,prima,32
33,काँसे के रंग का,mulato,100
3741,अंकित किया,inscrito,83
12582,ड्यू,du,22
1909,बेसब्री से,con entusiasmo,92
12560,धारी,racha,22
5172,दादी मा,abuela,74
1040,एमएसएस,mss,97
3936,टीपी,tp,70
12900,अर्थव्यवस्था,economía,19
8361,हाथों हाथ,instantáneamente,55
12099,राजा,conde,26
3104,युवाओं,jóvenes,78
2446,रेमस,remus,90
6551,महामारी,epidemia,63
2894,नृशंस,atroz,88
7402,परिचयात्मक,introductorio,62
5087,जैकलिन,jacqueline,76
13652,पूर्व का,oriental,12
8418,घसीटना,escribiendo,51
5418,विखंडन,fisión,73
3963,बव्वा,palo de golf,78
11905,बृहस्पति,júpiter,28
9901,गर्भावस्था,el embarazo,43
1360,पेले,pele,95
7718,विरोधाभास,contradicción,33
7720,टिल,til,59
5750,हैना,hanna,72
7482,निरस्त्रीकरण,desarmamiento,61
9824,असहाय कर,marino,38
13401,10 वीं,décimo,14
8015,रबी,rabino,56
8568,बहेलिया,cazador de aves,53
1924,एग्रीगेटर,agregador,25
5828,सम्मोहक,convincente,51
4925,वोमब्रेट,wombat,74
2880,डेरा,acampado,72
4750,कम्बोडियन,camboyano,75
7742,सहगान,coro,59
11327,जिम्बो,jimbo,33
5322,गोरा,rubio,61
14501,अधिकारियों,autoridades,9
2961,पूर्वज,antepasado,67
3998,धुंधला,brumoso,83
11746,बी बी,cama y desayuno,28
7306,दलाल,chulo,61
11281,परिप्रेक्ष्य,perspectiva,32
7157,परदा,cortina,59
9937,सज्जनों,caballeros,43
8338,रास्टर,ráster,55
13102,डकोटा,dakota,17
11393,आर्क,arco,31
9943,व्हीलर,rodador,43
7998,बुच,marimacho,58
11995,पिछला,trasero,27
12435,डीसी,corriente continua,24
13100,ग्वाटेमाला,guatemala,17
2762,शिष्टजन,aristocracia,86
324,चीनी बुत,joss,100
12391,मॉर्गन,morgan,24
13432,बॉयलरप्लेट,cálculo,14
11180,चौड़ाई,ancho,34
14039,तथापि,sin embargo,6
14152,पैकेट,paquete,19
608,पेडीक्योर,pedicure,99
5811,थर्मामीटर,termómetro,71
3839,बेरंग,incoloro,84
9810,ओशिनिया,oceanía,44
14009,प्रदर्शन,actuación,10
3599,आरोपित,atrincherado,77
11064,शॉन,shawn,36
4542,बमवर्षा,guerra relámpago,79
13728,उद्धरण,citación,10
3762,चोप,picar,61
12958,केल्विन,calvin,18
7565,बेनिन,benin,61
14349,प्रदान किया,proporcionó,6
9483,भेड़ियों,lobos,47
4746,डीएक्स,dx,78
3497,मेनलाइन,línea principal,83
1161,मादेइरा,madeira,96
1540,मत्स्य पालन,acuicultura,95
3703,अस्तित्वहीन,inexistente,81
7184,एवेंजर्स,vengadores,40
11275,प्रत्याशियों,nominados,30
2804,चरते,pastorado,73
7869,देग़चा,marmita,58
13313,लड़की,galón,15
10720,गिल्बर्ट,gilbert,38
13109,प्रकृति,naturaleza,12
13179,अपराध,ofensa,10
12682,बेचा,vendido,21
2645,एकतंत्र,autocracia,89
13155,कक्ष,célula,15
4996,डेविट,dewitt,77
4681,भोज,banquete,75
7535,जानलेवा,letal,59
2413,पट्टा,tendón,88
1200,स्पिगेल,spiegel,96
230,उपसमूह,subgrupo,90
5699,warranted,garantizado,31
14196,देशों,países,8
5672,ईडिपस,edipo,72
4730,वकालत की,suplicado,56
7653,आईईईई,ieee,60
1960,लिलिथ,lilith,92
3128,महाराष्ट्र,mh,87
1952,अश्शूर,asiria,92
430,दयान,dayan,100
14318,हमेशा,siempre,9
11047,लीबिया,libia,36
6102,क्लैम,almeja,69
14262,निगमित,corporativo,15
8782,क्लीनिकल,clínico,42
1287,कच्चा पक्का,indeciso,93
9717,लोहान,lohan,45
12411,क्रीक,cala,24
11966,मंत्रालय,ministerio,26
5646,कट्टरपंथी,fundamentalista,65
5748,क्यूबिज्म,cubismo,72
9516,मेडलिन,madeline,47
5719,डमी,ficticio,69
4179,उत्तर,bobinas,49
4626,न्यूट,tritón,78
11784,व्यवहार,conducta,29
3835,पत्र कली,gema,84
6141,झंकार,timbre,67
13509,प्लेऑफ्स,playoffs,11
6006,निएंडरथल,neanderthal,70
371,समलम्ब,trapezoide,97
4228,चिरप्स,chirridos,77
4486,ग्रिम,grimm,80
3750,स्री,enaguas,76
6562,एटोल,atolón,66
12237,भूगोल,geografía,26
10023,पति,esposo,42
2688,बेकरी,panadería,83
6313,पॉलीन,paulino,66
9017,नाखून,clavo,29
8519,एक्सप्लोडिंग,explotación,32
8257,वन्यजीव,fauna silvestre,56
14242,मैक,mac,29
3641,स्मरण पुस्तक,computadora portátil,80
4907,नारीवादी,feminista,71
11867,दवा,medicamento,28
7862,नापसन्द,disgusto,51
6600,बिरादरी,fraternidad,49
854,सोलेर,soler,98
7552,झिल्ली,membrana,59
14064,पाउंड,libras,31
5066,लीलैंड,leyland,76
5533,कृत्रिम उपग्रह,sputnik,73
11886,बवेरियन,bávaro,28
12274,संकेत,señal,20
7071,बयाना,serio,62
1963,स्थलाकृतिक,topográfico,90
4439,राजनेता,estadista,80
13006,ड्रयू,dibujó,18
7248,पात्रता,elegibilidad,31
5218,दु: ख उठाकर,dolores del parto,74
6148,जेनोआ,génova,69
9701,निष्कर्ष,conclusiones,23
6149,उठी पं,resucitado,69
3863,साफ पानी,agua clara,83
13729,उल्लंघन,infracción,11
656,बीच - बीच में,esporádicamente,64
11475,वक्ता,altavoz,27
3195,नच,nach,87
2895,नेक्रोफ़ीलिया,necrofilia,88
10533,इंटरफेस,interfaz,38
10995,डिहाइड्रोजनेज,deshidrogenasa,36
10295,बागी,rebelde,27
7614,सुहावना होते हुए,curiosamente,60
709,टहना,derrotar a,85
3281,बेंजोएट,benzoato,86
5693,मीठा पानी,agua dulce,72
4981,कौटुम्बिक व्यभिचार,incesto,77
2157,लुमेन,lumen,90
9293,सीवाई,cy,48
4897,कन्फ्यूशियस,confucio,77
9141,बुकर,reservador,49
10507,घबराहट,pánico,39
3911,ऐलेन,elaine,83
14413,काम करता है,obras,5
11207,जोन,joan,35
7723,असमर्थता,incapacidad,59
6956,सैंडमैन,sandman,64
8319,साधू,sabio,55
9518,चार्ल्सटन,charlestón,47
7012,गद्दी,relleno,41
12219,ऑडियो,audio,26
130,इलेक्ट्रोस्टैटिक,electrostático,88
11787,साफ - सफाई,limpiar,29
13327,गति,movimiento,14
12700,बख़्तरबंद,blindado,21
13008,पासवर्ड,clave,18
6135,कॉकटेल,cóctel,63
7155,साजो,logístico,36
5010,चुन,chun,76
5395,आर्ग,arg,74
13398,मृत,muerto,14
4987,घेरा,aro,65
12372,बेवकूफ,estúpido,22
6105,फिर से लेना,volver a tomar,64
6843,पासपोर्ट,pasaporte,59
14302,समारोह,función,20
6378,आधा,mitades,60
10742,गर्भपात,aborto,34
2291,स्ट्रोंटियम,estroncio,91
3818,ईटन,eton,84
1715,कोरा,cora,94
9371,रैह,reich,48
14014,कम से कम,el menos,5
11256,छल,truco,28
1890,कालातीत,transcurrido,69
11739,दायरा,alcance,28
3576,टाइल,loseta,62
14471,व्यवसायों,negocios,12
11530,पुनः प्राप्त किया,recuperado,27
7700,डी पी,dp,60
103,कोरोनरी,coronario,100
2454,मातहत,sometido,78
3169,ट्रांसफेरेज़,transferase,87
9655,बॉवी,bowie,46
7460,शूटर,tirador,52
864,यूजीनिया,eugenia,97
10968,डेलावेयर,delaware,36
7223,योजक,conector,59
3235,मस्तिष्कावरण शोथ,meningitis,85
6341,पत्नियों,esposas,68
6626,सुशी,sushi,66
5449,मूर्खतापूर्ण,idiota,27
5685,टाइकून,magnate,72
933,सदोम,sodoma,97
11080,प्रेत,fantasma,32
12341,याद,memoria,13
1533,पोंटीयस,pontio,95
9055,आंधी तूफान,tormenta,40
6660,असीसी,asís,66
6198,फ्लैगशिप,buque insignia,69
9915,डोवर,dover,43
9645,थैला,saco,23
11634,चारण,bardo,31
14095,औसत,promedio,10
4126,विधि,receta,71
13573,अक्सर,con frecuencia,12
2518,उदारता,eufemismo,86
6354,परोक्ष रूप से,indirectamente,68
9946,सिय्योन,sión,43
581,आईसीबीएम,icbm,99
13559,अस्थायी,temporal,12
11494,एसएचएलओएम,shalom,32
7542,एलबीडब्ल्यू,lbw,61
892,अब्बासिड,abasí,97
2771,क्लाइन,clínica,87
6189,आजकल,hoy en día,69
13971,दर,tasa,7
14443,बनाया था,creado,5
9811,कहानियों,cuentos,30
6296,बॉलीवुड,estilo de vida,62
11625,अपोलो,apolo,31
5251,एलआर,lr,75
2354,मेल्बा,melba,90
10626,नींबू,limón,38
9693,चीता,leopardo,43
14450,मार,golpear,8
956,बुझाने,extinguir,59
9949,घिरे,rodeado,23
14466,वांछित,buscado,5
13375,एंजाइम,enzima,14
5637,इसका सबूत,evidenciado,72
6120,चित्ताकर्षक,fascinante,58
13617,टेबल,mesa,12
7625,डली,pepitas,53
1752,आईडीई,ide,76
4263,हेटर्स,hertz,81
13386,ब्रायन,brian,14
8384,सीमाचिह्न,punto de referencia,46
1939,केंचुली,mudar,92
7031,लिर,lir,63
10816,गोलार्द्ध,hemisferio,37
6366,नेस्टर,nestor,68
5649,हार्न,bocinazo,71
5014,मालिश,masaje,75
3567,प्रकटीकरण,divulgar,84
10206,डीआईपीटी,diptura,41
11621,टेलिविजन-सेट,tele,31
91,रोडेशियन,rhodesiano,100
9808,कर्ज,deuda,41
8119,ग्लेडियेटर्स,gladiadores,44
2466,सेयर्स,dichos,82
10459,महाकाव्य,épico,39
6903,भारी,más pesado,64
