,FRENCH,ENGLISH,THEME,IMPORTANT,ENGLISH_nopunct,ENGLISH_noswords,ENGLISH_stem,FRENCH_nopunct,FRENCH_noswords,FRENCH_stem
0,accepter,to accept,verbes a connaitre en,Non,to accept,accept,accept,accepter,accepter,accept
1,acheter,to buy,verbes a connaitre en,Non,to buy,buy,buy,acheter,acheter,achet
2,aider,to help,verbes a connaitre en,Non,to help,help,help,aider,aider,aider
3,aimer,"to like, to love",verbes a connaitre en,Non,to like to love,like love,like lov,aimer,aimer,aimer
4,ajouter,to add,verbes a connaitre en,Non,to add,add,add,ajouter,ajouter,ajout
5,aller,to go,verbes a connaitre en,Non,to go,go,go,aller,,
6,allumer,to turn on,verbes a connaitre en,Oui,to turn on,turn,turn,allumer,allumer,allum
7,appeler,"to call, to contact",verbes a connaitre en,Non,to call to contact,call contact,call contact,appeler,appeler,appel
8,apporter,"to bring, to take",verbes a connaitre en,Non,to bring to take,bring,bring,apporter,apporter,apport
9,apprendre,"to learn, to teach, to hear of",verbes a connaitre en,Non,to learn to teach to hear of,learn teach hear,learn teach hear,apprendre,apprendre,apprendr
10,arrêter,to stop,verbes a connaitre en,Non,to stop,stop,stop,arrêter,arrêter,arrêter
11,arriver,"to arrive, to happen",verbes a connaitre en,Non,to arrive to happen,arrive happen,arrive happen,arriver,arriver,arriv
12,attendre,"to wait for, to expect",verbes a connaitre en,Non,to wait for to expect,wait expect,wait expect,attendre,attendre,attendr
13,avoir,to have,verbes a connaitre en,Non,to have,,,avoir,avoir,avoir
14,avoir besoin,to require,verbes a connaitre en,Oui,to require,require,requir,avoir besoin,avoir besoin,avoir besoin
15,casser,to break,verbes a connaitre en,Oui,to break,break,break,casser,casser,casser
16,changer,"to change, to alter",verbes a connaitre en,Non,to change to alter,change alter,change alt,changer,changer,changer
17,chanter,to sing,verbes a connaitre en,Non,to sing,sing,sing,chanter,chanter,chanter
18,chercher,"to search, to look for, to seek",verbes a connaitre en,Non,to search to look for to seek,search look seek,search look seek,chercher,chercher,chercher
19,choisir,"to choose, to select",verbes a connaitre en,Non,to choose to select,choose select,choose select,choisir,choisir,choisir
20,commencer,"to begin, to start",verbes a connaitre en,Non,to begin to start,begin start,begin start,commencer,commencer,commenc
21,comprendre,"to understand, to include",verbes a connaitre en,Non,to understand to include,understand include,understand includ,comprendre,comprendre,comprendr
22,compter,to count,verbes a connaitre en,Non,to count,count,count,compter,compter,compter
23,conduire,to drive,verbes a connaitre en,Non,to drive,drive,drive,conduire,conduire,conduir
24,connaître,"to know, to get to know",verbes a connaitre en,Non,to know to get to know,know get know,know get know,connaître,connaître,connaîtr
25,continuer,to continue,verbes a connaitre en,Non,to continue,continue,continu,continuer,continuer,continu
26,couper,to cut,verbes a connaitre en,Non,to cut,cut,cut,couper,couper,couper
27,courir,to run,verbes a connaitre en,Non,to run,run,run,courir,courir,courir
28,croire,to believe (in),verbes a connaitre en,Oui,to believe in,believe,believ,croire,croire,croir
29,décider,to decide,verbes a connaitre en,Oui,to decide,decide,decid,décider,décider,décider
30,demander,to ask for,verbes a connaitre en,Non,to ask for,ask,ask,demander,demander,demand
31,descendre,to go down,verbes a connaitre en,Non,to go down,go,go,descendre,descendre,descendr
32,devenir,"to become, to turn into",verbes a connaitre en,Non,to become to turn into,become turn,become turn,devenir,devenir,devenir
33,devoir,"to must, to have to, to owe",verbes a connaitre en,Non,to must to have to to owe,must owe,must ow,devoir,devoir,devoir
34,dire,"to say, to tell",verbes a connaitre en,Non,to say to tell,say tell,say tel,dire,dire,dire
35,donner,to give,verbes a connaitre en,Non,to give,give,give,donner,donner,donner
36,dormir,to sleep,verbes a connaitre en,Non,to sleep,sleep,sleep,dormir,dormir,dormir
37,écouter,to listen to,verbes a connaitre en,Non,to listen to,listen,listen,écouter,écouter,écouter
38,écrire,to write,verbes a connaitre en,Non,to write,write,write,écrire,écrire,écrire
39,empêcher,"to prevent, to stop",verbes a connaitre en,Non,to prevent to stop,prevent stop,prevent stop,empêcher,empêcher,empêcher
40,entendre,to hear,verbes a connaitre en,Non,to hear,hear,hear,entendre,entendre,entendr
41,entrer,"to enter, to go into",verbes a connaitre en,Non,to enter to go into,enter go,enter go,entrer,entrer,entrer
42,envoyer,to send,verbes a connaitre en,Non,to send,send,send,envoyer,envoyer,envoy
43,essayer,"to try, to attempt",verbes a connaitre en,Non,to try to attempt,try attempt,try attempt,essayer,essayer,essay
44,éteindre,to turn off,verbes a connaitre en,Oui,to turn off,turn,turn,éteindre,éteindre,éteindr
45,être,to be,verbes a connaitre en,Oui,to be,,,être,être,être
46,exister,to exist,verbes a connaitre en,Non,to exist,exist,exist,exister,exister,exist
47,expliquer,to explain,verbes a connaitre en,Non,to explain,explain,explain,expliquer,expliquer,expliqu
48,faire,"to do, to make",verbes a connaitre en,Non,to do to make,make,make,faire,faire,fair
49,faire la cuisine,to cook,verbes a connaitre en,Non,to cook,cook,cook,faire la cuisine,faire cuisine,faire cuisin
50,fermer,to close,verbes a connaitre en,Non,to close,close,close,fermer,fermer,fermer
51,"finir, terminer","to finish, finish",verbes a connaitre en,Non,to finish finish,finish finish,finish finish,finir terminer,finir terminer,finir termin
52,gagner,"to win, to gain, to earn",verbes a connaitre en,Non,to win to gain to earn,win gain earn,win gain earn,gagner,gagner,gagner
53,garder,to keep,verbes a connaitre en,Non,to keep,keep,keep,garder,garder,garder
54,goûter,to taste,verbes a connaitre en,Non,to taste,taste,tast,goûter,goûter,goûter
55,jeter,to throw,verbes a connaitre en,Non,to throw,throw,throw,jeter,jeter,jeter
56,jouer,"to play, to gamble, to act",verbes a connaitre en,Non,to play to gamble to act,play gamble act,play gamble act,jouer,jouer,jouer
57,laisser,"to leave, to let, to allow",verbes a connaitre en,Non,to leave to let to allow,leave let allow,leave let allow,laisser,laisser,laisser
58,"laver, nettoyer",to clean (up),verbes a connaitre en,Non,to clean up,clean,clean,laver nettoyer,laver nettoyer,laver nettoy
59,lire,to read,verbes a connaitre en,Non,to read,read,read,lire,lire,lire
60,manger,to eat,verbes a connaitre en,Non,to eat,eat,eat,manger,manger,manger
61,marcher,to walk,verbes a connaitre en,Non,to walk,walk,walk,marcher,marcher,marcher
62,mettre,"to put, to place",verbes a connaitre en,Non,to put to place,put place,put plac,mettre,mettre,mettr
63,montrer,"to show, to display",verbes a connaitre en,Non,to show to display,show display,show display,montrer,montrer,montrer
64,oublier,to forget,verbes a connaitre en,Non,to forget,forget,forget,oublier,oublier,oublier
65,ouvrir,to open (up),verbes a connaitre en,Non,to open up,open,open,ouvrir,ouvrir,ouvrir
66,parler,"to speak, to talk",verbes a connaitre en,Non,to speak to talk,speak talk,speak talk,parler,parler,parler
67,partir,"to leave, to depart",verbes a connaitre en,Non,to leave to depart,leave depart,leave depart,partir,partir,partir
68,payer,to pay,verbes a connaitre en,Non,to pay,pay,pay,payer,payer,payer
69,penser,to think,verbes a connaitre en,Non,to think,think,think,penser,penser,penser
70,perdre,"to lose, to waste",verbes a connaitre en,Non,to lose to waste,lose waste,lose wast,perdre,perdre,perdr
71,permettre,"to allow, to permit, to enable",verbes a connaitre en,Non,to allow to permit to enable,allow permit enable,allow permit en,permettre,permettre,permettr
72,pleurer,to cry,verbes a connaitre en,Non,to cry,cry,cri,pleurer,pleurer,pleurer
73,porter,"to wear, to carry",verbes a connaitre en,Oui,to wear to carry,wear carry,wear carri,porter,porter,porter
74,poser,"to put down, to lay something down",verbes a connaitre en,Oui,to put down to lay something down,put lay something,put lay someth,poser,poser,poser
75,pouvoir,to be able (can),verbes a connaitre en,Non,to be able can,able,abl,pouvoir,pouvoir,pouvoir
76,prendre,"to take, to catch",verbes a connaitre en,Non,to take to catch,catch,catch,prendre,prendre,prendr
77,préparer,"to prepare something, to make",verbes a connaitre en,Non,to prepare something to make,prepare something make,prepare something mak,préparer,préparer,préparer
78,rappeler,"to call back, to remind",verbes a connaitre en,Oui,to call back to remind,call back remind,call back remind,rappeler,rappeler,rappel
79,recevoir,to receive,verbes a connaitre en,Non,to receive,receive,receiv,recevoir,recevoir,recevoir
