ID,JAPAN,PORTUGAIS,INTERVAL
8960,ミケランジェロ,michelangelo.,51
6725,静脈,veia,59
3065,カバラ,cabalá.,88
8293,熱意,entusiasmo,56
1456,無力,desamparado,91
13613,is,isn.,12
13285,第七に,sétimo,15
6976,スロープ,inclinação,52
4414,ノヴェッラ,novella.,78
3939,生物圏,biosfera,83
8376,自信を持って,confiante,32
6478,ピーリー,pyr,68
9887,マルクス,marx.,44
11161,フォーク,folk,28
8203,グリーンランド,groenlândia,57
9273,森林伐採,desmatamento,48
10518,ノルウェー語,norueguês,38
5877,信用,desacreditar,54
9128,バイトー,bytes.,43
417,バカロレア,bacharelado,100
10600,倒れて,caído,39
11680,セーラム,salem.,31
2795,ブラックベリー,amora,89
10981,集中,concentração,25
7077,スキャンダル,escândalo,25
9684,括弧,parênteses,45
7086,howdy.,olá,63
3415,オカリナ,ocarina,86
6345,マーサー,mercer,68
1287,未定,indeciso,93
10999,側面,aspectos,26
4139,北へ,northwards.,32
9907,めくる,processado,22
7315,ビジネスマン,homem de negocios,62
1901,ジーン,jain,93
8162,ボンベイ,bombaim,57
1294,幼児,bebês,52
14107,一般的な,em geral,7
8334,ハーシー,hershey.,55
8766,十字軍,crusaders.,27
12670,ピクセル,píxeis,21
2029,救いard.,salvaguarda,86
9495,天文学者,astrônomo,29
1280,出血,sangrar,46
13010,つかまった,apanhado,18
2978,シエナ,siena.,88
779,無傷の,incólume,98
2170,領事,cônsul,61
615,モタの,mota.,99
6285,阻害剤,inibidor,62
2412,スクーナー,escuna,60
11519,閃光,instantâneo,29
8166,cod,bacalhau,57
13798,は,é,5
4335,クレタセウス,cretáceo,81
7998,but,butch.,58
6505,巡回,cíclico,66
13297,ゴールデン,dourado,15
6064,パラ,pallas.,70
13481,いいね,frio,13
5062,vesuvius.,vesúvio,77
10387,エアメン,aviadores,40
7987,逐語的,verbatim,58
14098,左,esquerda,8
8037,機転,sagacidade,23
6532,ヒヒ,babuíno,66
3629,阿修砲,ashanti.,85
2085,パラトロピー機,pára-quedista,49
6229,ヒロイック,heróico,58
10568,再生する,replay,33
9716,猛吹雪,nevasca,44
5352,ウルチン,ourchin,75
7408,抗妊娠,antisemitismo.,57
13548,ペンシルバニア,pensilvânia.,13
13610,語,palavra,8
6212,微生物,microrganismo,68
2049,九k,kwan.,92
7735,前駆,precursor,57
2476,ランダウ,landau.,90
5483,チンチラ,chinchila,74
10176,ラホリ,lahore.,42
14171,4月,abril,5
10355,ストレス,estresse,35
12929,トリプル,triplo,18
11639,スラローム,ziguezague,29
13368,トロフィー,troféu,14
673,セメント,cimentada,59
1236,スペック,especificações.,62
3383,クロール,engatinhar,66
8957,花粉,polinizador,44
9548,me,meu.,47
13303,形,figura,12
13626,人間,humano,12
4260,ミノット,minot.,82
9158,赤道,equador,28
11045,arg arg,argumentado,19
12143,鳥,pássaro,24
2262,遠慮なく,longe,91
1482,最北端,mais setentrional,95
13575,ボブ,prumo,12
11408,諮問の,consultivo,26
12758,巨人,gigante,12
4813,遅延する,realocar,32
513,百党,partizan.,99
9126,ダイナマイト,dinamite,49
4064,フーリガニズム,hooliganismo,62
3838,ショッカー,shocker.,82
10086,カンガルー,canguru,40
11645,シボレー,chevrolet.,31
14447,始める,começar,11
13514,マイル,milhas,12
4753,球菌,homofóbico,79
10225,化石,fóssil,27
2258,カシオペリア,cassiopeia.,91
