ID,ENGLISH,DEUTSCH,INTERVAL
9027,mud,dreck,56
7306,pimp,zuhälter,65
7475,azure,azurblau,66
9532,rebuilt,wieder aufgebaut,53
7279,prev,pflanzig,67
1261,ridicule,spott,38
12164,lift,aufzug,20
844,snatch,schnappelnd,77
10826,coral,koralle,42
9654,messenger,bote,50
8516,intensification,intensivierung,60
10398,naked,nackt,46
13479,turn,wende,11
703,flashlight,taschenlampe,95
14070,world,welt,8
12576,felt,gefühlt,28
2386,counterculture,gegenkultur.,93
5630,remarkably,bemerkenswert,29
7886,exceeded,übertroffen,42
13301,pressure,druck,19
12805,fly,fliegen,16
9320,joy,freude,52
5726,unreal,unwirklich,76
6727,tinker,basteln,68
11226,fixing,festsetzung,11
716,inbound,eingehende,87
8502,custody,gewahrsam,60
5703,bump,stoßen,59
14046,little,wenig,12
8779,scarlet,scharlachrot,57
6917,vin,vingelt,69
6249,adverse,nachteilig,64
11732,compound,verbindung,30
11928,extraordinary,außerordentlich,34
13148,missing,fehlen,13
13780,y,y.,13
1640,reprint,abdruck,68
13396,body,karosserie,17
7567,asset,anlagegut,43
7422,unfamiliar,ungewohnt,66
13829,their,ihre,7
6416,strife,streit,72
10932,triangle,dreieck,39
5018,habitat,lebensraum,79
9242,armistice,waffenstillstand,55
8635,toad,kröte,58
1604,sly,listig,96
11812,comparison,vergleich,33
13641,eight,acht,15
8121,delegate,delegieren,30
12864,choice,auswahl,23
5858,smee,kriechend,76
9987,trademark,warenzeichen,46
3651,magi,weisen,88
7012,padding,polsterung,47
14307,german,deutsch,12
12695,flood,flut,17
8175,herb,kraut,60
3945,goto,gehe zu,86
2563,boar,eber,92
9702,shoe,schuh,38
1082,henceforth,fortan,98
6976,slope,neigung,58
12290,unlike,nicht wie,23
10347,integers,ganzzahlen,38
8134,chancellor,kanzler,62
6434,vanguard,vorhut,73
12918,target,ziel,17
7320,defame,diffamieren,35
1302,sunburn,sonnenbrand,95
12339,na,n / a,30
4161,myall,mein alles,85
2228,teal,kneifen,94
724,overt,offenkundig,99
2468,fated,gezüchtet,43
7503,lily,lilie,64
10961,dragons,drachen,21
4408,vertex,scheitel,84
12392,fuck,scheiße,25
13609,thus,daher,16
5566,coy,boy.,78
7792,abide,einhalten,36
2775,antics,antike,89
12077,thirty,dreißig,32
12852,forest,wald,23
6289,brightness,helligkeit,39
14079,become,werden,9
172,vantage,vorteil,100
12742,armed,bewaffnet,16
12707,stone,stein,23
4512,frenzy,raserei,80
14429,priced,preis,22
14216,uses,verwendet,5
12642,entertainment,unterhaltung,23
