ENGLISH,OCCURENCES,ENGLISH_stem
double,3366,doubl
triple,1614,tripl
featured,3595,featur
theme,641,theme
nation,2280,nation
sang,215,sang
ourselves,226,ourselv
episode,2159,episod
debuted,221,debut
spot,1567,spot
daily,953,daili
weekly,459,weekli
monthly,309,monthli
japanese,3616,japanes
charts,1003,chart
sell,565,sell
almost,4861,almost
copies,1120,copi
composed,811,compos
nickname,526,nicknam
crea,344,crea
grammar,2269,grammar
corrections,891,correct
translate,456,translat
vote,3007,vote
specifies,3833,specifi
boilerplate,2790,boilerpl
insure,2394,insur
compliance,3277,complianc
lacking,3558,lack
tagged,3822,tag
notation,445,notat
altered,586,alter
actual,1949,actual
usually,2421,usual
acceptable,2123,accept
normalization,51,normal
constellation,686,constel
records,3862,record
chinatown,69,chinatown
soundtrack,476,soundtrack
stephen,4252,stephen
revolution,2638,revolut
mini,679,mini
contained,799,contain
peaked,426,peak
et,1660,et
republic,4536,republ
disambiguation,2467,disambigu
archaic,64,archaic
coding,95,code
cross,2264,cross
rename,201,renam
process,4582,process
sense,2236,sens
opposition,1408,opposit
encounter,217,encount
input,572,input
sounds,956,sound
idea,3031,idea
assume,1431,assum
statement,3298,statement
abbreviations,100,abbrevi
quite,3278,quit
certainly,2041,certainli
qualifier,297,qualifi
suggestion,793,suggest
forum,3804,forum
gathered,399,gather
fault,546,fault
dragons,442,dragon
flight,2175,flight
wonders,358,wonder
introducing,1964,introduc
caroline,215,carolin
thompson,914,thompson
helps,1629,help
whoever,520,whoever
allow,2926,allow
info,3732,info
listen,483,listen
regardless,876,regardless
interests,670,interest
pursue,393,pursu
formal,3510,formal
permission,2922,permiss
relevant,3149,relev
obvious,1657,obviou
honor,990,honor
memory,968,memori
defame,119,defam
obtain,285,obtain
personnel,1784,personnel
late,4878,late
attitude,332,attitud
delta,857,delta
assert,1510,assert
domain,4871,domain
mentioned,2721,mention
enough,4856,enough
issues,4199,issu
backup,473,backup
notability,4042,notabl
minimal,560,minim
quotes,729,quot
pay,1125,pay
homage,77,homag
undertow,773,undertow
speedily,4290,speedili
indicate,4621,indic
significance,1795,signific
generally,4014,gener
db,2610,db
coupled,1419,coupl
aware,4488,awar
meets,2637,meet
criterion,1577,criterion
delay,1658,delay
hesitate,2458,hesit
confirm,1470,confirm
types,1527,type
gravitation,163,gravit
distributed,477,distribut
temporal,45,tempor
participate,3794,particip
thesis,118,thesi
seem,4044,seem
varied,151,vari
minded,177,mind
closed,1620,close
ready,1311,readi
dismiss,122,dismiss
examples,985,exampl
pillars,803,pillar
manual,2112,manual
contributors,4412,contributor
latter,1348,latter
understanding,4855,understand
areas,2413,area
physics,731,physic
ai,824,ai
discover,179,discov
sometimes,2069,sometim
negative,1069,neg
becomes,798,becom
tedious,59,tediou
boring,200,bore
vehemently,45,vehement
engaging,272,engag
waste,769,wast
energy,2547,energi
clear,3759,clear
defend,570,defend
established,4150,establish
civilly,44,civilli
respectfully,90,respect
critical,1841,critic
staff,1701,staff
expert,544,expert
trusted,176,trust
highly,1745,highli
regarded,1119,regard
automatic,829,automat
boy,4567,boy
academics,96,academ
superior,520,superior
vain,83,vain
ego,144,ego
defense,4235,defens
opinion,3264,opinion
resource,713,resourc
ages,730,age
cultural,827,cultur
backgrounds,59,background
meaningful,692,meaning
connections,270,connect
push,864,push
frontiers,67,frontier
human,3759,human
younger,378,younger
folk,483,folk
science,3377,scienc
present,3575,present
students,2026,student
proud,494,proud
sam,4013,sam
math,443,math
categories,1898,categori
qualifications,140,qualif
broad,578,broad
constraints,69,constraint
small,4966,small
occurs,305,occur
course,3728,cours
truly,614,truli
deliberately,2749,deliber
ambiguous,236,ambigu
intents,26,intent
myself,2549,myself
common,4559,common
greek,2238,greek
letter,1124,letter
denote,74,denot
uncertainty,137,uncertainti
concept,907,concept
society,1841,societi
levels,775,level
vision,497,vision
hold,1802,hold
greece,2199,greec
throws,233,throw
balls,1663,ball
love,4224,love
marks,800,mark
spencer,802,spencer
oklahoma,2434,oklahoma
limonene,42,limonen
