ID,PORTUGAIS,POLONAIS,INTERVAL
2898,intercolegial,międzyuczelniany,91
10918,resemate.,następstwa,41
10566,taipei,tajpej,43
11492,típica,typowy,27
3053,merg,merv.,90
13426,corrido,biegł,17
3734,bonde,tramwaj,82
3232,riscor.,ryzykowny,89
4677,canuck,kanadyjczyk,82
11267,paquistanês,pakistańczyk,36
13483,calendário,kalendarz,16
12311,escocês,scottish.,29
5461,perfurado,dziurkowany,41
3954,satírico,satyryczny,57
7357,freios,hamulce,40
8761,silício,krzem,55
6947,fidelidade,wierność,67
242,reactivo,reaktywny,38
12716,técnico,techniczny,18
8213,ilusão,iluzja,58
5124,ameixa,śliwka,80
4592,machuca,boli,38
1209,mais escuro,najciemniejszy,97
11716,gl.,glos,35
7359,ocioso,bezczynny,64
7309,bebida,napój,63
2225,brâmane,bramin,81
10702,barril,beczka,38
10182,navegação,nawigacja,31
3810,barco a vapor,parowiec,86
4028,abundância,obfitość,68
87,branqueamento,wybielanie,42
428,tunisiano,tunezyjski,98
13664,local,lokalny,13
5774,cunhado,ukuty,18
7386,acetato,octan,57
4975,diagnóstico,diagnoza,81
2399,sincronizado,zsynchronizowany,71
2231,brownie,duszek,90
10242,rural,wiejski,46
8325,toneladas,tony.,57
5759,pressa,spieszyć się,70
7615,sorri,uśmiechy,32
5484,supermercados,supermarkety.,63
5627,metoxi.,metoksy,77
2397,anti-desportivo,niesportowy,93
10014,aparentemente,pozornie,48
14410,olhando,patrząc,5
7914,adeus,do widzenia,62
11113,argélia,algieria,39
12084,composto,opanowany,25
10911,cães,psy,9
11221,fundador,założyciel,36
9913,camboja,kambodża,49
8602,centenário,stulecie,56
3542,calçados,obuwie,88
1524,snoopy,wścibski,96
7589,jogar fora,wysypisko,47
3425,cessação,zaprzestanie,88
4820,predecessores,przodkowie,49
12041,fresco,świeży,31
11908,incomum,niezwykły,30
6474,tremores secundários,wstrząsy wtórne,59
14496,inflação,inflacja,48
5816,evita,unikać,7
8336,lição,lekcja,50
13408,eventualmente,ostatecznie,16
12665,retirou,pociągnięty,26
10559,eleitores,wyborcy,38
12300,dissidente,dysydent,29
1169,subtipo,podtyp,95
6784,deslizou,slid.,70
10828,coca,koka,41
7874,bilionários,mldariusze.,61
12284,científico,naukowy,29
9078,destino,miejsce docelowe,42
7899,aliviar,łagodzić: uśmierzać,31
14217,de novo,ponownie,6
7987,verbatim,dosłownie,62
13139,manhã,rano,20
12009,entrevista,wywiad,25
9585,parceria,wyczyn,49
9711,maca,mack.,50
6523,infeccioso,zakaźny,72
11566,bombers,bombowce,27
3101,hexadecimal,szesnastkowy,89
12234,devagar,powolny,26
7741,auditório,audytorium,63
1570,transiente,przejściowy,94
10516,desavisando,niczego nie podejrzewający,44
7211,viaja,podróżować,20
1815,biomédico,biomedyczny,95
936,covil,leże,98
11633,ce.,ec.,35
6439,pancada,pow,58
7669,simpatia,współczucie,60
11475,palestrante,głośnik,31
13611,grilo,krykiet,14
13085,controvérsia,spór,9
8997,stoke.,palić w piecu,48
12918,alvo,cel,16
1946,riddled.,rażący,75
8770,plugue,wtyczka,52
7747,culminando,kulminacja,44
11553,mais difícil,trudniej,36
163,frequencia,freq.,100
4122,bootleg.,kopia piracka,73
14444,contínuo,nieprzerwany,5
6323,rebarba,bełkotać,73
5205,medley.,składanka,76
14284,embora,chociaż,6
5510,coma,śpiączka,69
4447,rastejar,skradać się,71
7800,posse,tenuta,62
10308,chit.,pętak,45
7430,pullman.,pulmanowski,65
448,bote salva vidas,łódź ratunkowa,97
6544,correio,kurier,70
8603,nórdico,nordycki,58
3059,veementemente,gwałtownie,86
8087,colarinho,kołnierz,52
11842,vivo,żywy,34
1619,sótão,strych,95
10174,salva-vidas,ratownik,46
10067,jornalistas,dziennikarzy,32
719,mais fino,cieńszy,99
14519,trazer,przynieść,6
2287,semear,siać,87
11943,permanente,stały,26
2069,trigonométrico,trygonometryczny,94
6291,suprimir,stłumić,42
9527,separação,separacja,16
12160,expedicionário,ekspedycyjny,31
13273,paris,paryż,19
13390,comida,jedzenie,17
13732,baixo,niska,13
10957,argolas,rings.,20
605,atropelar,zniszczony,99
9675,fino,szczupły,50
1502,bessemer.,besemerowski,96
484,paternidade,rodzicielstwo,99
14198,junto,przed siebie,12
503,batizado,chrzcina,92
6586,mão de obra,siła robocza,71
10426,baga,jagoda,43
269,ereto,wyprostowany,51
14517,ocidental,zachodni,12
7861,antiguidade,antyczny,54
5598,forçosamente,siłą,71
7645,ressurreição,zmartwychwstanie,56
9096,arrastar,ciągnąć,45
2836,espécimes,okazy,64
12982,inicialmente,początkowo,14
5358,perseguidor,prześladowca,74
14227,retornar,powrót,11
13952,papel,część,9
4680,não divulgado,nieujawniony,82
8368,realização.,hallows.,59
6936,inconsistência,niezgodność,42
5256,imperatriz,cesarzowa,79
9808,dívida,dług,46
8307,guarda-chuva,parasol,59
14116,junho,czerwiec,6
6114,símbolo,znak,68
11498,jornais,gazety.,17
8613,hearsay.,pogłoska,58
8647,crustáceo,skorupiak,57
4728,dedos do pé,palce u nóg,53
9654,mensageiro,posłaniec,49
13977,querer,chcieć,6
6394,alecrim,rozmaryn,73
2659,handily,ręcznie,92
6568,refazer,przerobić,67
5245,ratoeira,pułapka na myszy,79
1798,sedução,uwodzenie,91
8465,crônica,chroniczny,58
8128,indisponível,niedostępne,60
1928,shr.,shadle,95
2622,battleships.,pancerniki,61
1486,medula,szpik kostny,96
4805,condenar,potępiać,38
11695,sombra,cień,32
9254,ambulância,ambulans,50
1848,absente,bumelant,88
11031,tiroteio.,strzelanina,39
11763,lucas,łukasz,34
5593,mutação,mutacja,67
11162,cocaína,kokaina,39
9692,décimo quinto,piętnasty,50
10915,gi.,żołnierz amerykański,40
2011,desapontar,zawieść,35
5255,módulo,moduł,51
2364,quadruplicar,poczwórny,88
3938,dimetoxi.,dimetoksy,86
5822,casar,poślubić,42
13330,cogumelo,grzyb,18
11305,vulcão,wulkan,36
9472,magalhães,magellan.,52
13909,bem,dobrze,8
12344,o mais rápido,najszybszy,29
2625,coroação,koronacja,64
2931,mais distante,najdalej,90
12346,bagunça,bałagan,22
5972,afundar,tonąć,55
7528,glossário,słowniczek,64
149,urgência,pilna sprawa,100
14417,limitado,ograniczony,10
8913,grampo,spinacz,41
10948,varsóvia,warszawa,40
5250,carboxilato,karboksylanowy,63
13581,indiano,indyjski,13
9868,reinado,królować,38
8415,prejuízo,uprzedzenie,56
8576,grato,wdzięczny,53
6981,ai credo,ew.,68
7044,dolorido,obolały,62
6041,atum,tuńczyk,74
8713,taiwanês,tajwańczyk,57
6103,treliça,kratownica,75
14208,campo,pole,9
5252,sarcasmo,sarkazm,79
7594,vô,dziadek,63
8208,besouro,chrząszcz,59
318,nuancemente,nuaminowany,88
1101,diocesano,diecezjalny,97
14280,ditado,powiedzenie,9
10487,composição,kompozycja,32
10906,no meio do caminho,w połowie drogi,41
11110,cópia de segurança,utworzyć kopię zapasową,38
4792,oxidante,utleniający,43
1058,zelo,gorliwość,97
875,prefácio,przedmowa,93
8693,queimado,spalony,58
12082,transtorno,nieład,30
2973,goldeneye.,złote oko,90
8214,convulsão,napad,58
14037,área,obszar,10
10377,parceiro,partner,36
11671,avaliação,ocena,31
3406,esmagadoramente,przemożnie,88
8437,atreva-se,odważyć się,51
14205,incluído,dołączony,7
4737,farina,mąka,81
9464,tempo de guerra,czas wojny,52
683,forragem,pasza,99
8902,autônomo,autonomiczny,55
9386,búlgaro,bułgarski,50
14234,privado,prywatny,11
10314,injusto,niesprawiedliwy,45
8477,delicioso,pyszny,59
7878,cimitarra,bułat,62
12630,instalação,obiekt,21
11467,deste modo,a tym samym,37
11364,jacob.,jakub,38
11023,ênfase,podkreślenie,40
778,diminuiu,ustępować,81
174,esmalte,szkliwo,98
5101,polinomial,wielomian,75
13406,vale,dolina,17
13683,talvez,być może,14
14219,leste,wschód,11
10367,tat.,robić frywolitki,44
14055,vir,przychodzić,8
4563,cortador,kosiarka,78
13379,arma de fogo,pistolet,14
1827,a prova de balas,kuloodporny,95
4885,destilação,destylacja,71
1343,cetim,satyna,94
13002,franquia,franczyzowa,21
13714,campeões,mistrzostwa,11
12001,pago,płatny,32
6387,secular,świecki,64
9502,colombiano,kolumbijczyk,51
9626,prostituição,prostytucja,46
6130,sobrinho,siostrzeniec,70
4625,spore,zarodnik,74
9867,letreiro,drogowskaz,49
12728,carter.,furman,25
12909,violência,przemoc,23
13827,seria,zrobiłbym,5
10379,seca,susza,44
13773,domínio,domena,12
13210,eleições,wybory,11
13678,estabelecido,przyjęty,12
3941,olhadinha,zerkać,83
10103,fio,wątek,41
360,regenerativa,regeneracyjny,100
13608,alevado,hant.,15
6054,peck.,dziobać,73
3586,anormal,nieprawidłowy,73
2114,adriático,adriatycki,94
3656,tucano.,tukan,88
7944,poeirento,zakurzony,62
10147,reter,zachować,29
5312,confeitaria,cukiernia,79
13201,emprestado,pożyczony,19
7649,budista,buddyjski,62
4279,holofote,reflektor,83
883,sutilmente,subtelnie,98
3858,podridão,gnić,81
13066,ferido,ranny,20
6185,astrodome,astrowieżyczka,74
2634,pata,łapa,88
6998,pirulito,lizak,67
3198,verbos.,czasowniki,55
6084,cerquilha,haszysz,68
2838,sem esperança,beznadziejny,89
6375,desorganizado,zdezorganizowany,72
4391,aqueduto,akwedukt,83
12048,lobo,wilk,31
6151,protetor,ochronny,11
10640,pré-temporada,bestezon,43
11109,natação,pływanie,36
