ID,ENGLISH,RUSSIAN,INTERVAL
12763,von,варенье,21
123,yakima,якима,100
11810,nigeria,нигерия,29
3320,shipments,поставки,65
2570,bonfire,костер,87
1582,docklands,домена,93
2424,herby,герби,91
4753,homophobic,гомофоб,78
12446,conducted,проведенный,16
14441,supply,поставлять,18
11124,impression,впечатление,21
6305,spray,спрей,58
9232,burst,лопаться,45
3635,declassified,расписано,85
5851,telugu,телугу,72
1564,spearman,спирман,95
12695,flood,наводнение,14
8888,diabetes,диабет,49
10789,tools,инструменты,19
345,belton,белтон,100
9495,astronomer,астроном,29
7863,sausage,колбаса,55
3127,veil,вуаль,70
6900,accounted,составлял,5
14515,chicago,чикаго,11
6334,doppler,допплер,69
6478,pyr,пир,68
9207,hawkins,хокинс,50
5035,ritual,ритуал,64
4845,bridgeport,бриджпорт,78
5873,moderately,умеренно,25
4414,novella,новелла,78
1262,divergence,расхождение,60
13978,day,день,6
12638,intensity,интенсивность,17
10174,lifeguard,спасатель,41
22,lipstick,помада,100
11397,inferred,вывод,30
12649,palestinian,палестинский,19
8165,cereal,крупа,55
368,swahili,суахили,100
7367,marxist,марксист,58
11268,transit,транзит,21
5189,flair,таинство,76
4169,moustache,усы,79
9253,runway,впп,46
12343,drove,прогнать,25
9697,ufo,нло,44
12814,estimated,оцененный,16
13401,10th,10.,14
10500,rodriguez,родригес,39
13579,korea,корея,12
12049,ck,кк.,27
342,inkblot,чернильница,100
9946,zion,сион,44
11057,beard,борода,34
4854,galilee,галилеи,78
7073,pornographic,порнографии,63
6933,leipzig,лейпциг,65
9260,lafayette,лафайетт,49
632,contrived,надуманный,96
12448,launched,запущен,17
11658,remainder,остаток,31
471,hitch,привесок,96
9913,cambodia,камбоджа,44
7710,expiry,срок действия,60
1775,gila,гила,93
9435,ranch,ранчо,46
3433,clippers,выравнивание,76
6541,nazareth,назарета,67
6364,dissolve,распустить,39
800,druid,друид,88
8062,parameters,параметры,43
12768,dutch,нидерландский язык,21
7512,bromo,брома,62
12733,rushing,спешка,12
7678,hatchback,хэтчбек,55
952,squall,шквал,89
11761,athletic,спортивное,13
5235,shih,шиик,76
4382,kin,кинь,80
5788,sadr,садр,72
13480,detroit,детройт,14
12447,nelson,нельсон,24
4758,paperback,мягкая обложка,72
4293,zoology,зоология,76
13409,dec,декабря,14
3466,issuer,эмитент,85
8745,biblical,библейский,53
11465,representation,представление,29
14124,reports,отчеты,5
5493,sloan,слоана,74
924,recurve,возместить,52
10151,recession,рецессия,38
9400,lang,ланг,48
9785,buried,похороненный,36
12107,controlled,контролируемый,11
11134,catalyzes,катализировать,35
11277,harper,призрак,33
9169,bitter,горький,48
11050,chapter,глава,30
5764,nixie,никше.,72
4324,deb,деб,68
2214,britt,бритт,91
8172,depicting,с изображением,23
4706,unarmed,безоружным,79
1540,aquaculture,аквакультура,95
13235,usage,применение,16
4485,epilepsy,эпилепсия,80
1840,rescinded,открыл,87
13586,method,метод,12
4135,prism,призма,81
4646,referral,направления,75
12253,noah,ной,26
14317,involved,вовлеченный,9
10112,walsh,уолш,42
12033,pirate,пиратский,18
3496,retroactively,ретроактивно,75
5019,curly,кудрявый,77
5406,digest,переварить,52
13752,radio,радио,12
2546,nucleolus,нуклеол,90
8327,orientation,ориентация,31
11424,cactus,кактус,33
4536,hypothetical,гипотетический,76
5319,bees,пчелы,34
5531,bai,бай,74
11011,turtle,черепаха,32
7548,hanover,ганновер,61
13653,iraq,ирак,12
13128,introducing,представлять собой,10
13275,associated,связанный,10
7559,wormer,чертеж,61
4338,iceman,искусный,81
12769,hampshire,гэмпшир,21
11794,travis,трэвис,30
5899,antelope,антилопа,71
10928,negotiations,переговоры,25
