ID,PORTUGAIS,KOREAN,INTERVAL
10853,decatlo,십종 경기,37
11328,roxa,보라색,33
9522,dal.,댈러스,47
8966,dedicado,저주 받은,41
9399,sem nome,이름의,48
8732,ioga,요가,53
2914,causeway.,둑길,88
10047,investir,투자하다,27
4365,jagger.,지거,80
10648,óptico,광학,34
7264,waffle,와플,59
4420,spitzer.,스피더,80
11316,ombro,어깨,30
3592,travesseiro,베개,79
1975,gonal,펄,93
6573,dresden,드레스덴,67
1580,nômade,유목민,78
14293,califórnia,캘리포니아,9
3889,acrílico,아크릴,82
10105,substância,물질,37
10744,nariz,코,35
10950,gregório,그레고리,37
2247,valência,원자가,91
6829,jóquei,기수,61
14128,marchar,3월,5
8676,contingente,대표단,38
11993,inválido,유효하지 않은,27
10090,desistir,욕망,42
11027,filiação,회원 자격,35
943,mandala.,만다라,97
1414,cater.,네 끗패,68
12469,madison,매디슨,24
2873,durst.,더러움,88
10313,andando,걷는,13
12509,décimo,제십,22
14498,industrial,산업,14
991,benn.,베네,91
1901,jain,자이나,93
8447,avenida,큰길,55
5901,não intencional,의도하지 않은,63
1694,slatp.,슬래피,94
4620,detidos,억류자들,69
12458,pedro,페드로,24
12184,sem licença,무시 무시 거주지 않은,26
180,incalculhado,헤아릴 수 없는,100
12637,programação,프로그램 작성,11
8055,relha,콜스터,58
3199,celeste,셀레스트,87
11475,palestrante,스피커,27
7303,flexível,유연한,53
7479,feto,태아,62
12292,moscou,모스크바,25
8506,agudo,심각한,54
10008,meridiano,자오선,43
439,metamorfose,변형,100
10378,bruxa,마녀,38
12082,transtorno,무질서,26
4208,looney.,루니,82
7691,geométrico,기하학적,58
11414,ataque,습득,25
6275,haitiano,아이티 섬 사람,66
1681,pediatria,소아과,92
13298,gary.,게리,15
13195,massa,대량의,15
9839,noivando,참여하다,14
8828,tau.,타우,52
10458,objeção,반대,12
10414,broadway,브로드 웨이,40
6279,bielorrusso,벨로루시,69
12223,mais perto,더 가깝다,26
903,duplamente,두 배로,97
6362,beagle.,비글,68
8461,schneider.,슈나이더,55
1552,aneto,딜,93
6221,wesleyan.,웨슬리안,69
12835,manchester,맨체스터,20
14231,texto,텍스트,6
11377,admitido,인정했다,23
8065,segmentos,세그먼트,33
2359,mais engraçado,가장 재미있는,91
9995,carmesim,진홍,43
7213,filhas,딸들,32
1707,bola fogo,화구,91
10369,álgebra,대수학,38
14186,levado,촬영,8
9135,stalingrado.,스탈 링그라드,50
11435,obrigações,직장,18
7677,clemente,온화한,50
10642,amostra,견본,28
12545,satélite,위성,22
8635,sapo,두꺼비,53
13282,gramática,문법,16
9670,síntese,합성,46
8787,incivil,미개한,52
6218,clitóris,음핵,69
6329,barlavento,바람이 불어 넣어,62
1670,tater.,맛있는 것,94
11249,dublin,더블린,34
13449,a sério,진지하게,14
14480,jogar,놀다,7
11977,incompleto,불완전한,27
1850,aliteração,두운,93
3466,emissor,발행자,85
1908,brilhando,빛나는 것,71
14373,agendado,예약,13
12243,russell.,러셀,25
3481,mais brilhante,밝은,86
12881,solar,솔라,20
9088,vinil,비닐,50
2617,sucede,성공합니다,90
10360,vampiro,흡혈귀,37
1430,gratuito,그럴 필요 없는,44
420,cuneiforme,설형 문자,100
13891,fazer,만들다,5
13852,alguns,일부,6
11211,vermont.,버몬트,34
3045,anoitecer,해질녘,88
5369,contra-ofensiva,반격,65
10140,duo,듀오,42
12529,havaí,하와이,23
3926,quarentena,격리,77
14,portos,항구,27
13650,jurídico,합법적 인,8
4484,gracias,그라 시아,80
3284,sharia.,샤리아,87
3491,academia.,아카데미아의,85
7564,becket.,도둑질,61
5702,biz.,빌딩,73
11604,unicamente,혼자서,24
14239,base,베이스,8
12019,oxford,옥스퍼드,27
3280,glicol.,글리콜라,83
10436,substituído,대체 된 것,21
8274,morto-vivo,언데드,56
1620,carina,카리나,93
3909,crrosstown.,크로스 타운,83
13128,introduzindo,소개,10
8092,montaram,탔다,57
9430,excitante,신나는,33
127,sortimento,구분,82
13044,significado,중요성,10
7768,cho.,조,60
1977,separatistas,분리 주의자들,65
6626,sushi,회,67
10242,rural,시골의,41
11813,mini,미니,29
13565,preencher,채우다,12
3963,brat,애새끼,79
12615,vice,바이스,22
4478,heer.,히어짐,80
12782,na linha,인라인,21
7568,onde quer que,대체 어디에,61
14457,desenvolver,개발하다,10
2928,civilmente,민법상,88
355,renascido,다시 태어났다,100
3247,grosso.,그로소,87
10596,cavalo de corrida,경주마,28
12704,senadores,상원 의원,13
362,discriminatório,차별적 인 것,100
13874,lá,거기,5
5931,sai.,사이의,71
4765,rum,럼 주,79
3077,tipografia,타이포그래피,88
9323,fatal,치명적인,25
9801,toi.,토이,45
6394,alecrim,로즈마리,68
634,wert,우드,99
1095,bock.,수갑,96
6879,mauritânia,모리타니,65
10223,giles.,자일,41
1667,imperialista,제국주의 자의,80
4091,radon,라돈,82
6098,mariana,마리아나,70
7720,til,... 할 수 있음,60
5694,balançado,흔들리고있다,73
7530,benéfico,유익한,60
11536,provocante,성나게 하는,29
14214,precisa,필요합니다,6
7089,cervejeiro,양조자,37
8271,dali.,달리,56
9168,trono,왕좌,49
1659,fumante,흡연자,80
10799,propriedades.,속성,19
5230,vórtice,와동,76
8315,hindi,힌디 어,56
4449,litros,리터,48
11733,hasn,해당,30
14178,europeu,유럽 ​​사람,10
9238,lionel.,라이오넬,49
964,jive.,지브,97
11997,ressaca,지지자,28
10955,desativado,비활성화되었습니다,33
5186,coeficiente,계수,71
7008,legítimo.,합법적 인 것,64
13062,garotas,여자애들,12
13213,massachusetts.,매사추세츠 주,16
142,proprietários de terras,토지 소유자,93
12833,aço,강철,19
7163,alquimista,연금술사,62
6913,mastro,돛대,62
11830,intitulado.,제목의 것,8
5887,trauma,외상,71
11339,brevidade,짧음,33
40,aborrecimentos,번거 로움,75
12630,instalação,시설,18
583,giroscópio,자이로 스코프,96
2580,apelion.,유약,90
11372,versa.,도,33
10498,reescrito,다시 쓴 것,39
1369,sem marcas,표지가없는,96
2961,antepassado,선조,67
12737,moleiro,밀러,21
2755,luxúria,색욕,85
11672,hidrogênio,수소,30
4431,dorado,황새,80
7539,saltaft.,햇을 쫓아 내다,61
11774,leo.,사자 별자리,30
14002,incluir,포함하다,6
3423,palíndromo.,팔린 모틱,73
13597,tomada,발사,12
2209,blueprint,청사진,86
4355,logicamente,논리적으로,25
