ID,RUSSIAN,SPAIN,INTERVAL
7745,подземелье,calabozo,43
5691,тестостерон,testosterona,73
8575,диктатура,dictadura,51
905,культивируется,cultivado,64
7711,успокаивающий,calmante,60
11187,парагвай,paraguay,36
60,полезная нагрузка,carga útil,97
550,суматран,sumatran,99
8798,свидетельство,testimonio,48
3283,пункты,cláusulas,44
5679,горчица,mostaza,73
9323,фатальный,fatal,25
4266,примус,hornillo de camping,82
3988,цитоплазма,citoplasma,81
4547,мельтон,melton,80
6917,вин,vin,65
11143,лазер,láser,35
8897,произвольный,arbitrario,52
11532,лакросс,lacrosse,33
9449,домос,dom,48
2250,пленарность,plenario,91
9976,православный,ortodoxo,44
5699,оправдано,garantizado,32
1309,пропускная способность,rendimiento,96
1151,бонжур,bonjour,96
13976,без,sin,5
14321,язык,idioma,10
14401,специфический,específico,8
528,хайн,heno,99
7130,гарнетт,garnett,64
14395,уменьшать,reducir,17
1858,мимас,midas,93
10023,муж,esposo,43
11380,вертикальный,vertical,30
13563,построенный,construido,13
9286,интерактивный,interactivo,28
9991,как следствие,como consecuencia,23
14334,америка,america,5
14427,ответ,respuesta,11
4438,туба,tuba,80
13051,мельбурн,melbourne,18
11590,поэзия,poesía,32
7918,марена,yegua,59
2052,фрактал,fractal,87
2585,боковая панель,barra lateral,89
12804,глаз,ojo,16
3683,слепо,a ciegas,85
6571,мессия,mesías,67
76,бамбино,bambino,100
8705,добродетель,virtud,50
13317,индиана,indiana,16
1979,дари,dari,93
7427,руина,ruina,36
6469,опекан,opep,69
7776,превосходный,magnífico,60
2628,расщелина,hendido,88
7568,где бы,donde quiera,62
5154,неуравновешенный,desequilibrado,76
11241,сердитый,enfadado,35
2813,нострадамус,nostradamus,89
4167,гейгер,geiger,82
12299,основания,jardines,12
10094,демиурге,demiurgo,43
7087,шерлок,sherlock,64
4112,малейший,más leve,82
10604,поход по магазинам,compras,24
11439,голландия,holanda,33
1785,герва,gervais,93
7068,басист,bajista,64
4844,карлин,carlín,78
2633,бустер,aumentador de presión,77
11905,юпитер,júpiter,29
