ID,ARABE,POLONAIS,INTERVAL
12048,ذئب,wilk,28
8214,تشنج,napad,55
969,الإيصال,paragon fiskalny,74
972,التثيين,ginekomastia.,97
4117,إخفاء,hid.,82
6177,فوت,bigfoot.,70
6530,مستعجل,podpowiedź,36
13365,البرتقالي,pomarańczowy,15
13101,أمير,książę,17
7464,لينينغراد,leningrad.,62
7762,هيلينا,helena.,61
9978,يسلط الضوء,najważniejsze,21
11687,سجل النتائج,karta z punktami,31
5413,التجاوز,transcendencja,69
13629,جاك,jacek,12
7867,أجور,wynagrodzenie,30
11192,مونراكر,moonraker.,36
4150,تم تجديده,odnowiony,58
3086,خالية,pozbawiony czegoś,88
5403,wildfire,pożar,63
6287,الاعتماد,opierający się,31
3437,دغا,odgazować,87
8757,موزارت,mozart.,54
7742,جوقة,chór,61
11595,ussr.,zsrr.,32
9644,أيقونة,ikona,36
14261,يطلق,uwolnienie,8
3318,حجب,wstrzymany,87
4296,صفير,hiacynt,81
9169,مرارة - مر,gorzki,49
4096,فقر دم,niedokrwistość,83
9016,أوركسترا,orkiestra,51
11344,الحمار,tyłek,33
14392,القطع,części,8
5234,فودكا,wódka,75
12983,بيلي,menażka,17
8853,مسرحية,teatralny,51
4680,لم يكشف عنه,nieujawniony,79
10957,خواتم,rings.,17
12269,مسخ,potwór,23
7292,تشيل,chil.,63
13824,أكثر,więcej,5
9781,الثلاثي,trójkątny,46
9079,صديقة,dziewczyna,50
9533,intercontinental.,międzykontynentalny,48
3436,الدول الاسكندنافية,skandynawia,87
4206,منزلقات,slajdy,41
5066,ليلاند,leyland.,77
2748,بونيان,bunyan,89
13658,يبدو,wydać się,9
8644,جغرافي,geograficzny,33
4543,التعريفات,taryfy.,58
620,حرب الطائرات,warplanów.,99
8550,لجأ,schronienie,54
1379,ناهواتل,nahuatl.,96
12282,مجنون,zwariowany,25
3346,عيدان تناول الطعام,pałeczki do jedzenia,87
4433,أشاد,okrzyknięty,15
12234,بطيء,powolny,22
4588,المباركة,ekliptyka,80
6589,وضرب,wyprzedzić,68
13705,أندرو,andrzej,12
9490,ضئيل,wąsko,48
8723,القاتل,pogromca,53
13876,حكومة,rząd,9
9725,الكواكب,planetarny,46
7791,جدير بالاهتمام,wart,60
6562,اتول,atol,67
14440,كتاب,książka,9
10706,ظهر السفينة,talia kart,38
10526,جوهريا,w zasadzie,19
5368,قوقازي,kaukaski,74
5592,دولوريس,dolores.,69
4467,وايلدي,dooley.,81
7122,شريحة لحملة,polędwica,64
8849,sparky.,iskrzący,53
3769,arris,kant,82
226,الاسترداد,interleague.,100
12897,جيمي,jimmy,20
1802,لاذع,tarta,71
4737,فرين,mąka,78
11895,التفشي,wybuch,28
491,تجديد,odnawianie,33
346,حاجي,haji.,100
14292,حالات,sprawy,6
5757,شد,wkręcać,38
4122,يبيع بطريقة غير شرعية,kopia piracka,69
11203,فخور,dumny,35
10149,بودابست,budapeszt,43
14398,تاريخ,data,6
3905,تصديق,ratyfikacja,84
2048,العنوان الفرعي,podtytuł,70
14101,دولة,kraj,8
8654,تكس,tex.,54
9373,حشرة,błąd,35
1810,منذ فترة طويلة,długotrwały,93
10007,هوجان,hogan.,44
3650,التف حوله,obróć się,82
3859,بنى,przetrwa,23
9695,أدوبي,cegła suszona na słońcu,47
7183,ديزي,stokrotka,63
8497,صدئ,zardzewiały,55
