ID,JAPAN,DEUTSCH,INTERVAL
13487,教会,kirche,13
7299,モンテビデオ,montevideo.,62
5895,発症した,verfolgt,41
465,捨て店,bekämpfer,97
182,フラップ,klappe,88
12231,小説,romane,13
7545,アクエリアス,wassermann,62
4656,パトロン,patron,60
7233,資本主義者,kapitalist,60
13329,エリア,bereiche,9
5686,low low,lowry.,72
583,ジャイロスコープ,gyroskop,95
8802,再考,überdenken,50
6972,ガーニー,gurney,64
7668,開始,beginn,61
1577,永続的な,zwischenmenschlich,94
217,バラール,ballas,100
2296,ティルデン,tilden,91
3125,unful,ereignislos,82
13821,これ,das,5
12052,becomes,wird,7
690,hind hind,nachsicht,98
7939,混合,mischen,19
13998,サービス,service,7
13378,与える,zu geben,7
3398,裏庭,hinterhof,86
12411,クリーク,bach,24
13310,協議会,rat,15
13141,壊す,brechen,13
1639,月経,menstruation-,94
7473,スコアボード,anzeigetafel,61
9347,亡命,exil,41
10573,人口統計学,demographie,36
7832,ディケンズ,dickens,60
5494,マザーファッカー,motherfucker,74
14438,始まった,gestartet,7
11215,bas bas,baseman,35
13790,テレビ,fernsehen,11
11366,チャーター,charta,31
4623,フロルト,flaumo.,79
12991,ダラス,dallas,19
1449,再利用されました,wiederverwendet,59
13467,許可,erlaubnis,13
11741,アマゾン,amazonas,30
6729,特異な,singular,62
10917,配達,lieferung,33
3736,スナック,snack,74
7281,電圧,stromspannung,61
14358,支出,ausgaben,27
8682,似た,umwerfend,53
12167,デルタ,delta,27
9916,prov prov,bestimmungen,37
10171,今どこにもいない,nirgends,42
1675,ソロン,solon,92
13982,発達,entwicklung,10
14456,バツ,x,8
5611,ターゲマン,targeman,74
5898,マルクスズム,marxismus,72
9664,mal mal,malthusian,46
5127,コラ,kola.,76
4009,パンテオン,pantheon,83
10363,バイナリ,binär,40
3638,労働力,belegschaft,85
14115,近い,schließen,10
7833,誤った,mis,23
4220,フォレンジック,forensik,45
8515,榴弾砲,howitzer,31
12854,ベルギー,belgien,20
9055,雷雨,gewitter,40
7392,肉屋,metzger,57
9182,ガイナ,guyana,50
6956,サンドマン,sandmann,65
6719,バート,burt.,66
12923,さらに,außerdem,19
12949,適切,geeignet,13
5120,ax an,ansaxial,76
5338,空間的な,spatial,74
10723,デモンストレーション,demonstration,18
1629,二重,duplex,92
8733,バウマン,bogenschütze,53
2836,標本,exemplare,61
