ID,DEUTSCH,ENGLISH,INTERVAL
12729,fahrer,rider,20
11126,hinterhältig,sneaky,40
11871,böswillig,malicious,29
13025,oberst,colonel,22
2975,tücke,peril,79
8863,holzig,woody,56
13791,die,the,5
2587,erkenntnisse,insights,51
5170,provozieren,provoke,55
5876,verdacht,suspicions,52
1487,zähnung,perforation,76
5345,schneebedeckt,snowy,79
13425,leicht,easily,18
2314,jubeln,rejoice,88
9803,vor allem,importantly,50
2060,espe,aspen,94
4902,stoßstange,bumper,78
1926,gräfin,countess,95
109,zurückzahlen,repay,92
2863,knallhart,badass,90
4785,speditiv,sped,82
8682,umwerfend,terrific,59
244,essbar,edible,98
11320,schritte,steps,20
3007,knopf,knob,83
3276,umarmt,embraced,65
8254,geige,violin,61
11104,schrittweise,gradually,38
2597,leserschaft,readership,92
2274,unerfahrenheit,inexperience,94
849,ire,irishman,99
8987,tippfehler,typo,36
2198,spendensammlung,fundraising,93
12143,vogel,bird,29
6485,rückwärts,backward,55
12282,verrückt,crazy,30
8396,prestigeträchtig,prestigious,61
10741,versammelten,gathered,29
13577,jung,young,16
2628,gespalten,cleft,91
8664,jugendlich,juvenile,59
6531,beten,pray,60
4561,stimmte,concur,73
13353,beiläufig,contrib,19
6516,wasserkraft,hydropower,72
4045,unzufriedenheit,discontent,82
5630,bemerkenswert,remarkably,29
2045,kreisel,roundabout,94
5386,schlammig,muddy,76
8225,rumpeln,rumble,59
2945,kopfhörer,headphones,84
13993,fünf,five,11
14035,öl,oil,20
10302,herrlichkeit,glory,46
1321,diskutieren,disp,97
4725,krach,kr,77
14450,schlag,hit,10
10655,kampagnen,campaigns,17
495,kitzeln,tickle,88
10362,erhöht sich,increases,15
13318,niedriger,lower,18
2826,dreimal,thrice,91
971,klimpern,jingle,92
8931,kindheit,childhood,57
4544,verunstalten,deface,57
418,sitze,sher,100
6127,überholung,overhaul,64
3412,sperrholz,plywood,88
8155,schweißen,welding,58
13589,zustimmen,agree,13
1074,angehängt,appended,74
5118,bekämpfe,conner,79
11295,lieferungen,supplies,22
5157,lippen,lips,62
10536,schaf,sheep,45
7872,unendlich,infinitely,31
13897,gemacht,made,5
8365,verfall,decay,57
4262,leiste,groin,84
7064,schmelzen,melting,56
7070,abgewischt,wiped,56
6254,dienstmädchen,maid,71
6820,halb-monatlich,semimonthly,70
14295,folgen,following,6
10414,reitway,broadway,46
11339,kürze,brevity,38
9125,hölzern,wooden,56
11729,geliefert,delivered,29
2312,hämmern,pounding,37
2694,teekanne,teapot,92
6268,miauen,mew,71
12774,süd-ost,southeast,25
13429,neun,nine,17
12196,europäische sommerzeit,est,32
12068,fließen,flow,29
3289,koran,quran,89
10860,jungfrau,virgin,39
3201,hege,hine,89
9868,regieren,reign,39
13076,die gesellschaft,society,21
9912,wohn,residential,49
13074,labor,laboratory,22
9317,zerse,ceres,54
2843,ezb,ecb,91
13475,persisch,persian,17
1482,nördlichste,northernmost,96
6378,hälften,halves,65
5482,brandstiftung,arson,77
9806,entscheiden,opt,40
7402,einleitend,introductory,66
13870,am meisten,most,9
12947,ich würde,id,23
12455,techniker,engineer,9
2932,nach außen,outward,86
6944,abgeschafft,abolished,62
8558,bedeutungslos,meaningless,59
4300,kanu,canoe,75
14216,verwendet,uses,5
11076,musiker,musicians,26
5979,ehrgeizig,ambitious,74
5538,himmlisch,celestial,78
4831,abschaffung,abolition,82
12679,voreingenommen,biased,26
2232,festgezogen,tightened,78
12707,stein,stone,23
