ID,DEUTSCH,DANOIS,INTERVAL
520,unberücksichtigt,unaccounted.,96
6056,gewehrfeuer,gunfire.,74
13299,getroffen,mødte,16
958,zöliakie,cøliac.,98
11467,damit,derved,37
4525,ewig.,everlasting.,82
2468,gezüchtet,forkælet,42
7575,ikel,ich.,64
14134,änderungen,ændringer,6
14448,wurde,blev til,12
11070,bewährt,bevist,39
6976,neigung,hældning,57
8325,tonnen,tons,57
5582,irgendwann mal,en skønne dag,76
5237,flugzeugbesatzung,kabinepersonale,56
12151,inländisch,indendørs,30
6021,unwillkürlich,uvillige,74
10022,tribut,hyldest,47
12446,durchgeführt,gennemført,20
9570,landwirte,landmænd,42
14052,besser,bedre,12
10333,därne,dar.,46
12299,gelände,grunde,14
13563,gebaut,bygget,16
662,jule,yule.,99
13351,see,sø,18
14307,deutsch,tysk,12
7560,pate,gudfar,64
8221,verwüstung,ødelæggelse,61
3206,spannung,spænding,35
505,sprengen,sprang.,99
7390,guter mann,god mand,65
7822,offenbarung,åbenbaring,52
6497,archipel,øhav,71
21,herzensbrecher,heartbreaker.,78
7048,stamm,bagagerum,61
13072,welle,bølge,19
11975,gatter,porte,25
5370,flüchtig,flygtige,70
14129,niemals,aldrig,12
6798,lungenentzündung,lungebetændelse,69
9931,folter,tortur,43
7205,sanitäre hygiene.,sanitet,63
11097,felsig,stenet,33
7467,transparenz,gennemsigtighed.,49
5159,betrügerisch,svigagtig,77
7818,unsicherheit,usikkerhed.,61
5262,routinemäßig,rutinemæssigt.,51
3656,tukan,toucan.,87
3152,ärmzig,fattigste.,89
14382,vollständig,komplet,10
13781,sieg,sejr,13
11536,provokativ,udfordrende,34
1285,induzieren,induce.,55
4391,aquädukt,akvædukt,83
11326,verbrennung,burning.,23
12548,tötung,dræbe,12
9378,fegefeuer,purgatory.,53
12250,belaubt,leafy.,30
12087,ersichtlich,tilsyneladende,20
1612,kinderbett,cot.,90
3607,bh,bra.,80
1310,berauben,fratage,69
4475,narbengesicht,scarface.,83
1413,einschreibung,tilmelding.,69
12775,kind,barn,19
6451,arisch,aryan.,68
6723,gnädige frau,madam.,58
1638,ruder,ror,94
7779,blähung,flatulence.,63
2166,verkohlen,char.,84
13590,mangelnd,mangler,13
8766,kreuzfahrer,crusaders.,32
7797,davon,deraf,63
4481,gut aussehend,handsome.,82
9660,kalzium,kalk,51
14411,arbeitsplätze,job,20
14013,ergebnisse,resultater,8
12184,lizenziert,unlicensed.,31
3023,spöttisch,slam,90
14169,aufzeichnen,optage,9
2611,chiffre,cipher.,89
9097,jodid,iodide.,55
14414,kann nicht,kan ikke,12
3598,hochgestellte,superscript.,85
8234,gelehnt,lænet sig,48
11924,sexuell,seksuelt,21
4118,schwäne,swans.,46
13932,trotzdem,stadig,9
1169,untertyp,subtype.,94
12487,die gerechtigkeit,retfærdighed,27
12982,anfänglich,i første omgang,15
11471,verkaufen,sælge,25
13514,meilen,miles.,15
5961,streißig,striver.,74
3333,schlagbaum,turnpike.,85
8242,übertreffen,overgået,49
9580,vorgenannten,førnævnte,51
7391,ruhe in frieden,hvil i fred,48
14038,herr,hr,13
9989,nordöstlich.,nordøstvis,48
1705,che,ute.,96
8641,profis,fagfolk,20
8381,lebenszeit,livstid,60
8838,tapfer,modig,27
5369,gegenoffensive,modoffensive.,69
4051,förde,firth,85
2838,hoffnungslos,håbløs,89
672,obertöne,overtoner.,96
14084,bewegen,bevæge sig,10
7518,überkreuzung,crossover.,62
7719,unterschwellig,underliggende,61
3387,inschriften,påskrivninger.,70
11787,aufräumen,ryd op,34
9680,wesen,quiddity.,51
299,gebündelt,bundled,78
6948,orakel,oracle.,68
9263,lok,loc,54
1841,insassen,indsatte,91
6634,gewinnlos,winless.,70
5917,emission,udledning,60
