ID,ARABE,FRENCH,INTERVAL
12695,يهود,les Juifs,12
3380,يقلل,talon,80
7986,فرض,imposer,47
9935,رياضة بدنية,gymnastique,33
5680,خردل,moutarde,64
8307,يقترن,jumelé,44
6722,متأصل,inhéremment,56
4719,رطوبة,humidité,71
5632,مقروئية,lisibilité,64
6764,خلاص,salut,56
757,جائحة,pandémie,98
4091,ذخيرة,munitions,75
1728,مقرونة,délicat,92
241,بسب البصق,qui crache,100
10917,نحاس,le cuivre,25
12083,اضطراب,désordre,17
11104,إسقاط,goutte,24
3368,نفخة,bouffée,80
11439,جاف,sécher,22
573,زاحف,reptilien,99
13762,أرض,la terre,5
6569,طبعة جديدة,refaire,57
11771,فيجي,Fidji,19
5342,خوارق,paranormal,66
3603,أنشأ,accumuler,79
6928,جوتيريز,gutierrez,55
8696,ماهال,mahal,42
2152,أوج,apogée,90
1829,سك العملة,monnaie,92
5550,نيبون,nippon,65
11823,ساعود,Reviens,19
10845,انصهار,la fusion,26
10726,بصوت عال,fort,27
4350,مضجر,fastidieux,73
10928,بلاستيك,Plastique,25
5598,بغيض,nigaud,64
12824,خلاق,Créatif,12
7437,شريف,shérif,51
12177,أمتياز,exceptionnel,16
9637,ويتني,whitney,35
8725,ربت,touche,41
1165,التحفيز,stimulus,96
2522,ثورة,explosion,87
7291,باستيل,Bastille,52
11961,الإمبراطوري,impérial,18
4506,تعديل,mods,72
5517,الفول السوداني,cacahuètes,65
9409,البحرية,offshore,36
12233,بنما,Panama,16
1408,تعديل,amendement,94
11637,قارن,comparer,20
1718,البيريدون,pyridone,93
5694,ماء محلى,eau douce,64
6728,تينكر,bricoler,56
13661,الطائرات,avion,5
4497,هوي,hoey,72
10941,قمة,crête,25
4115,اختصار,sténographie,75
11244,منقي,filtre,23
1643,غفرت,pardonné,93
1507,ايجيس,égide,94
1981,بوفوتينين,bufotenine,91
7430,ستر,ster,51
3801,بونسن,bunsen,77
7590,أحمق,décharger,49
9705,الكابيتول,Capitole,34
2857,مذهل,étonnant,84
3005,بوربون,Bourbon,83
4568,التشيلو,violoncelle,72
7613,غروفر,grofle,49
11090,اخو الام,oncle,24
7856,رينو,reno,48
9194,مزايا,avantages,38
8539,ولد عم,cousine,43
7887,تجاوزت,dépassé,47
6212,رد فعل عنيف,contrecoup,60
5979,خصلة شعر,brin,61
9905,اتصلت,contacté,33
12032,تحالف,Alliance,17
7553,غشاء,membrane,50
10686,إباحية,porno,27
10569,اعادته,rejouer,28
11669,فيرنون,vernon,20
13252,جرس,cloche,8
9742,كارلو,carlo,34
5107,لا يصدق,incroyable,68
2880,ناهض,renaissant,84
5907,سيكلوبس,cyclope,62
8430,سلة,corbeille,43
12696,فيضان,inondation,12
12590,ارمسترونج,armstrong,13
9906,عنيف,agressif,33
5322,كثرة الوحيدات,mono,66
5737,الصلصا,salsa,63
7385,كاديت,cadet,51
11899,سريعون,rapide,18
6579,أسبرجر,asperger,57
7001,المفاصل,jointures,54
124,ياكيما,yakima,100
3522,كانادا,kannada,79
12926,بوبي,policier,11
5595,خيال,silhouette,64
6292,كبح,réprimer,59
13136,عصري,moderne,9
6897,من المسلم به,certes,55
4248,تورت,délivrer,74
12617,عملة,devise,13
4850,الشتات,diaspora,70
10622,طلب,recherché,27
1032,رغوة,mousse,97
1553,شبت,aneth,94
758,كوين,grognon,98
8081,هيرست,hurster,46
13420,قبل,avant,7
1249,وراء الكواليس,backstage,95
1340,غير مدهش,inouï,95
5302,جين,ginnon,66
6901,حساب,comptabilisé,55
6417,الفارحة,conflit,58
5224,غابي,jacasseur,67
8739,كومودور,commodore,41
9501,رحمة,pitié,36
13664,لويس,Louis,5
371,سينجلي,cingulaire,100
6746,ثوب,robe,56
5081,لا داعي,inutile,68
8455,مستهدف,voulu,43
5227,شبح,spectre,67
8277,رمح,brochet,45
5010,تونغ,toupet,68
8780,اللون القرمزي,écarlate,41
1978,الانفصاليين,séparatistes,91
3965,إعادة توزيع,redistribué,76
9928,اريد,veux,33
9575,والي,wally,35
8868,تشيلين,chilien,40
6465,مزاد علني,enchères,58
13346,ممارسة,entraine toi,8
675,هاجر,hagar,98
12116,الثقافية,culturel,17
5182,زرع,implant,67
5116,إنسانويد,humanoïde,68
13001,كيرنز,cairns,10
6096,قشرة,croûte,61
8557,القضاء,judiciaire,43
6079,جدول,tableur,61
5503,لوكان,Lucan,65
10091,الكف,cesser,31
5138,المتنورين,Illuminati,68
9677,بريتانيا,Britannica,34
5981,فيلا,vila,61
687,الموقعين,signataires,98
12875,مصارعة,lutte,11
7511,حمامة,Colombe,50
2184,غير عادي,injuste,89
6091,اثار,empreinte,61
10601,سقط,déchu,28
4962,زنبور,frelon,69
6915,باين,être bien,55
11082,ازم,hanté,24
13401,حياة مهنية,carrière,7
11544,قوس المطر,arc en ciel,21
7597,القلق,anxiété,49
3365,غاضب,flagrant,80
9598,يسرق,volets,35
10756,صادق,honnête,27
7536,قاتلة,mortel,50
4228,صدفي,clamshells,74
7041,الجماهير,auditeur,53
12210,هوندا,honda,16
8033,بيت,bates,46
9483,مؤثر,influent,36
12248,كوستا,Costa,16
10805,يستسلم,abandon,26
5158,شفه,lèvres,67
11762,رياضي,athlétique,19
7175,موت,discutable,52
4881,محكوم,condamné,69
3390,زيوت,huiles,80
9297,يواجه,flanquer,37
6830,فارس السباق,jockey,55
7704,إعادة تدويرها,recyclage,49
4333,طبيب بيطري,vétérinaire,74
11653,مخطئ,erroné,20
3891,سينا,sénia,77
9545,سامي,Sammy,35
6659,كارفر,sculpteur,56
5873,الفوضوي,chaotique,62
1280,ثقب,crevé,95
812,المرجع نفسه,ibid,98
12447,أدى إلى,mené,14
4491,الراديوم,radium,72
5630,شيعي,chi ite,64
4943,بكل سرور,volontier,69
11343,لا مبرر له,injustifié,22
9410,ديريك,derrick,36
11893,الاتفاقيات,conventions,18
7410,البوهيمي,bohémien,51
4190,فلوري,flamboyer,75
6396,جودي,goûter,58
2298,دهود,daud,89
6119,مبتدئ,novice,60
5108,بشكل مفاجئ,brusquement,68
7307,عرسة,souteneur,52
10612,ديزل,diesel,28
4724,كروية,sphérique,70
3867,قصر,palais,77
8109,السياقي,contextuel,46
9841,جمع,pluriel,33
5135,كاتشب,ketchup,68
9314,ملاكم,boxeur,37
7959,عميق,profondément,47
12585,الآب,père,13
8095,قبل المباراة,préjudice,46
5926,ماطر,pluvieux,62
10296,المتمردين,rebelle,30
1895,هند,de derrière,91
11665,سايروس,cyrus,20
5753,تيكي,tiki,63
6511,كيني,kényan,58
2565,سلمى,sala,87
1384,غير عضوي,inorganique,95
7896,دفع,plonger,47
5291,الأردية,ourdou,66
9962,نادرا,rarement,32
8337,درس,cours,44
5574,طوبولوجيا,topologie,64
7468,الشفافية,transparence,50
7907,استنتج,ratiociner,47
352,مزعج,piquant,100
9503,كولومبي,colombien,36
2630,تلا,tula,86
3310,أحيائي,biologiste,81
4327,عندها,là bas,74
7494,دش,douche,50
511,كوميديا,comique,99
6583,النطاط,trémie,57
12776,طفل,enfant,12
3175,نعم,Ouais,82
9228,ميسا,mesa,38
9393,الفضاء,aérospatial,36
1256,فنان قائد فرقة موسيقية,maestro,95
11999,سيئة,pauvrement,18
9525,فودو,vaudou,35
10069,كاترين,Catherine,32
499,أجيليتي,agilité,99
10647,مدخل,entrée,27
7183,أرملة,veuve,52
11460,أموس,amos,21
2397,طائرة بدون طيار,drone,88
11919,ديرك,poignard,18
13166,برج,la tour,9
588,ضعيف,faible,99
5707,تنهد,soupir,63
3671,تخصص,niche,78
2646,حكم الفرد المطلق,autocratie,86
9082,تنزانيا,Tanzanie,39
3205,تم تجديده,Remis à neuf,82
2693,مجاور للكلية,surrénal,86
8590,دوسر,doser,42
9286,بصراحة,franchement,37
11388,ليدز,leeds,22
4183,براهم,brahms,75
8694,أحرق,brûlé,42
2996,بريطاني,Britannique,83
1272,طماع,cupide,95
9602,تداخل,intersection,35
5995,كحولي,alcool,61
12598,مستشفى,hôpital,13
1172,تهدئ,trot,96
3719,جناية,crime,78
12785,عناصر,éléments,12
11371,دلهي,delhi,22
7774,مقصورة الطيار,cockpit,48
6939,زقاق,ruelle,54
862,اقتحم,expurgé,97
10620,مشروع   مغامرة,entreprise,27
7023,موصل,conducteur,54
12378,كامبل,campbell,15
9100,تحديد مستوى,placement,39
12428,اختيار,choisi,14
3155,لا تتأثر,non affecté,82
10405,الضوضاء,bruit,29
3813,عقلي,sans bruit,77
11431,الثالوث,trinité,22
10760,كاتدرائية,cathédrale,27
11809,واهن,aspic,19
10021,كشمير,Cachemire,32
12049,ذئب,Loup,17
11132,قسم,département,24
9810,اصبع اليد,doigt,33
7440,سمك السلمون المرقط,truite,51
11269,عبور,transit,23
249,في الجليد,calvaire,100
11426,كانبيرا,canberra,22
12276,قتل,meurtre,15
11770,ثاني,seconde,19
1461,غير متساوي,inégal,94
259,علنا,ouvertement,100
11539,منهجي,systématique,21
12266,مارشال,marshall,16
7064,الموالين,loyaliste,53
2575,كشف رواتب,paie,87
