ID,PORTUGAIS,SPAIN,INTERVAL
225,backstretch,estiramiento de espalda,100
10082,golfinho,delfín,27
2750,batten,listón,88
6960,auto-estrada,autopista,60
9609,lineman.,guardavía,48
9945,jardim zoológico,zoo,44
14392,peças,partes,8
8019,pax.,paz,59
7800,posse,tenencia,59
13834,acima,arriba,7
3576,telha,loseta,62
6179,cpu,upc,67
10291,fleming.,flamenco,42
1808,invadido,sobrecargarse,94
5426,seton.,establecer en,75
1019,pista de pouso,pista de aterrizaje,92
10126,apreendido,apoderado,35
2098,água preta,agua negra,92
11782,marc.,bagazo,32
5762,fingindo,pretender,44
5053,basque.,vasco,75
3039,alvenaria,albañilería,88
3535,dugout.,refugio subterráneo,84
7816,verifique novamente,volver a comprobar,60
5914,excedente,superávit,72
10814,droga,maldita sea,36
14420,nomeado,llamado,7
2798,xisto,esquisto,89
10481,pp.,páginas,40
4360,estalando,enchufe,35
121,amido,almidón,96
10328,arranjos,preparativos,22
10304,distintivo,insignia,38
7267,limerick.,quintilla cómica,62
2511,dungy.,inmundo,90
5558,stine.,detino,75
5757,aparafusar,atornillado,38
66,identificar,determinar con precisión,94
10591,jacaré,gator,40
2188,pasta,carpeta,88
6342,snoop,fisgonear,67
4025,tábua,tableta,67
3809,cirrus.,cirro,84
3320,remessas,envíos,65
10687,revolta,levantamiento,38
5703,ressalto,protuberancia,54
8923,pipoca,palomitas,52
6606,extravagante,elegante,60
7060,pipeline.,tubería,61
6641,aparentado,parecido,67
11952,tubarão,tiburón,24
12955,judaico,judío,21
7014,inovação,innovación,44
11051,gado,vacas,38
12319,jarro,lanzador,22
6896,admitidamente,cierto es que,65
8513,lâmpada,bulbo,53
12159,foguete,cohete,22
152,túnica,sayo,79
5206,paddy.,arrozal,74
11349,convidado,huésped,30
5131,folic.,fólico,77
8336,lição,lección,47
13263,nenhum,ninguna,18
1408,dorminhoco,durmiente,91
4366,parton.,paréntara,81
11505,inscrição,solicitud,23
2443,atribui,asigna,14
13301,pressão,presión,17
2376,verificar,cerciorarse,79
7016,reeves.,reeva,56
9419,fadas,hada,48
7894,atrito,fricción,59
5786,viril,varonil,73
10951,joelho,rodilla,36
3690,assustador,desalentador,84
9475,rebaixado,degradado,47
640,volução,voluctividad,94
7924,espingarda,escopeta,56
8583,inquisição,inquisición,54
9094,discar,marcar,46
403,smoot.,soñar,100
13401,10º,décimo,16
259,brincando,grupa,100
3787,whitehead,cabeza blanca,84
6052,punitivo,púnico,72
14434,requer,requerimiento,7
14315,direitos,derechos,8
4994,casa de força,central eléctrica,71
12663,oleiro,alfarero,24
9329,morador,habitante,48
11848,aprovação,aprobación,20
12158,diabo,demonio,21
7146,raso,poco profundo,62
9225,exibe.,pantallas,15
1520,antiético,poco ético,94
7941,minucioso,exhaustivo,58
1082,daqui em diante,de ahora en adelante,96
8313,falk,falda,57
2144,inacessível,inaccesible,92
6818,telecast,teledifusión,58
718,tut.,gesto de desaprobación,95
6852,desmobilização,desmovilización,53
12119,circulação,circulación,25
11560,vestir,tener puesto,24
6180,vagas,vacantes,63
11821,seqüência,secuencia,29
13721,colaboradores,contribuyentes,12
13676,esboço  projeto,sequía,12
7897,encalhado,varado,49
5972,afundar,hundir,51
4885,destilação,destilación,68
6388,lavagem,lavar,43
9079,namorada,novia,50
1522,styx.,estigio,95
10036,desmarcado,sin etiqueta,44
13012,desfeito,deshecho,20
14104,mantido,sostuvo,9
3734,bonde,tranvía,79
1243,orgulhosamente,con orgullo,96
3648,nettles.,ortigas,80
10397,avenida.,cra,41
5178,nontop,sin escalas,77
14504,corre,carreras,8
2771,cline,clínica,88
8846,quioto,kyoto,53
8714,surpreendentemente,asombrosamente,54
7029,woodward,leña,64
12070,solução,solución,26
13368,troféu,trofeo,16
8795,rim,riñón,51
6990,argamassas,morteros,39
5321,mono,mononucleosis infecciosa,76
6299,habitado,poblado,38
10165,cessou,cesado,24
1606,desânimo,consternación,84
8420,magnum,botella doble,55
3332,flatworm.,gusano plano,87
6055,carrinho,carretilla,71
12194,branding.,marca,18
467,investigar,preguntar,70
6065,ultraje,indignacion,52
2900,com raiva,furiosamente,88
4064,hooliganismo,gamberrismo,62
8851,flagrantemente,ramamente,53
14124,relatórios,informes,5
5721,stratus.,estrato,73
13793,para,a,5
4612,bananas,plátanos,38
14474,treinamento,capacitación,11
2523,palmada,azotaina,82
7520,indelicado,descortés,61
13617,tabela,mesa,13
7301,blitz.,bombardeo aéreo,58
14186,levado,tomado,9
1127,excreção,excreción,94
13319,tufão,tifón,17
4804,despercebido,inadvertido,73
7340,mig.,muñeco,61
13756,rocha,rock,12
12845,combustível,gasolina,21
6694,merlin.,esmerejón,67
1273,gemstone,piedra preciosa,88
14189,chave,llave,12
11908,incomum,raro,28
43,discagem,discado,98
1727,penned,penetrado,40
6153,credenciais,cartas credenciales,68
12355,aviação,aviación,26
12544,carta,letra,19
60,payload.,carga útil,97
9203,jamboree.,francachela,50
6003,salgueiro,sauce,68
12407,contábil,contar,26
5283,pembroke.,pizcama,76
10748,sem fio,inalámbrica,39
2587,intuições,perspectivas,47
13229,filho,hijo,17
9567,me dê,gimme,48
2652,starling.,estornino,90
4128,baile de formatura,paseo,81
1546,padre.,capellán,44
7988,cenário,guión,48
13802,com,con,5
11697,retirou-se,se retiró,32
12640,contador,encimera,23
280,bogie,carretón,91
4460,quakers.,cuáqueros,64
5905,cartman.,cárter,72
5781,obedecer,cumplir,62
10808,cresceu,creció,39
5195,trêmula,tembloroso,76
1061,em que não,cualquier cosa,96
11128,distribuído,repartido,22
3459,suculento,jugoso,87
12184,sem licença,no licenciado,29
8837,feroz,intenso,50
3573,bochecha,mejilla,74
7854,riverfront,river,60
8179,bach,llevar una vida de soltero,57
4208,looney.,chiflados,82
10452,partida,salida,39
5477,mime,mímica,74
1597,machucado,magullado,72
13886,inc,cª,20
13867,se,si,5
12618,cabo,cable,23
148,revamp,modernizar,71
8607,crush,persona especial,38
12491,de agosto,ago,26
5183,crunch,crujido,76
5372,exaltar,extinguirse,76
8706,motivação,motivación,30
5779,ultrapassar,adelantar,53
7186,gravação,grabado,44
10048,pão,pan,44
8863,woody,leñoso,51
8997,stoke.,cebar,45
5457,esteja vivo,cree,75
9839,noivando,atractivo,16
10476,comutado,cambiado,25
10665,desenho animado,dibujos animados,32
8341,tela de pintura,lienzo,56
13143,disputado,luchado,19
5628,nit.,liendre,72
12185,saltar,brincar,28
6167,brigue,bergantín,70
2064,cóptico,copto,92
12518,ajuste,encajar,19
4266,primus.,hornillo de camping,82
338,yon.,aquél,100
4559,caker.,coger,80
1574,voicing.,emisión,22
582,ileso,no dañoso,99
9788,café da manhã,desayuno,45
5249,maniper,mandar,76
9468,ba,licenciado en letras,46
10733,vizinhança,vecindario,34
8207,éden,edén,57
13589,concordar,estar de acuerdo,12
11396,pular,saltar,30
11904,décimo segundo,duodécimo,31
7636,jogadores,pateadores,21
12248,em algum lugar,algun lado,28
6601,tunes.,melodía,38
8666,platô,meseta,53
5916,vão,vano,72
4418,springbok.,gacela,67
2628,fenda,hendido,88
7335,idoso,anciano,62
9908,trincheira,zanja,40
11982,fumble.,buscar a tientas,23
11178,ersatz.,sucedáneo,37
14483,razão,razón,6
13799,que,eso,5
3570,com ciumes,celoso,85
13387,cavalaria,caballería,16
2264,homem das cavernas,cavernícola,91
14025,meu,mi,6
12569,jatos,chorros,21
684,referência,árbitro,24
10196,cornerback,esquinero,43
8803,pong.,apestar,53
5629,shiite.,chiíta,74
8156,minério,mineral,57
11836,cinzas,ceniza,26
12181,doente,enfermo,24
7481,usher.,ujier,57
10147,reter,conservar,27
9999,monção,monzón,44
2759,pageant.,pompa,86
6921,cão,sabueso,60
3698,para baixo,hacia abajo,46
6515,dildo.,consolador,66
2026,zombaria,mofa,91
10619,empreendimento,empresa,36
2827,sufocando,asfixia,69
14286,quantia,cantidad,7
13104,lado de dentro,en el interior,19
4489,huckleberry.,arándano,80
518,engolido,tragado,61
9262,wrestler.,luchador,43
14352,oferta,ofrecimiento,16
7856,nanking.,nacer,60
9294,monitoramento,supervisión,18
11250,títulos,cautiverio,22
2336,para o sul,hacia el sur,57
12693,mouse,ratón,24
294,infrutífero,infructuoso,100
10768,sementes.,semillas,14
14203,em processamento,procesando,11
1418,raridades,rarezas,79
7168,vire para fora,apagar,62
6032,assinada,firmificado,45
1073,bayou.,brazo pantanoso,96
11354,sudão,sudán,35
7708,porco-espinho,puerco espín,60
1777,ciúmes,celos,90
8391,thund.,thank,56
921,compras,obtención,78
3626,lêno.,leno,85
7396,din,estruendo,62
5302,talon.,garra,72
11278,príncipe,relaciones públicas,36
6569,negligenciada,descuidado,55
7659,esquecimento,olvido,61
14195,em vez de,bastante,7
12799,relógio,reloj,22
4580,cabeceira da praia,cabeza de playa,79
8840,pontuação,puntuación,49
7984,hyde.,hídeo,59
12462,canto,esquina,24
7793,proposição,proposición,56
7591,lotado,atestado,19
13860,diz,dice,9
7151,var.,vást,64
13936,nosso,nuestro,5
7039,homólogos,contrapartes,50
4249,minesweeper.,dragaminas,77
13429,nove,nueve,15
5840,gibbilar,algarabía,73
9664,malthusian,maltuoso,47
12110,foco,enfocar,29
11124,impressão,impresión,23
10997,weren.,sentimiento,38
8260,jipe,todoterreno,54
6563,proctor.,procurador,68
6181,bess,besar,71
11227,por exemplo,p.ej,36
8113,melee.,pelea confusa,57
6326,cadinho,crisol,70
12503,herói,héroe,21
13929,caminho,forma,8
12729,cavaleiro,jinete,18
6506,através do qual,por lo cual,69
11274,fisher.,pescador,36
9458,cova,tumba,38
726,clanco,sonido metálico seco,98
10933,fumaça,humo,27
1064,reverenciado,venerado,52
2174,pega,clavija,70
10182,navegação,navegación,29
7981,ter sucesso,triunfar,34
14260,funções,funciones,22
5664,encruzilhadas,cruce,73
13412,frank.,franco,15
2465,noivo,acicalar,76
1197,dolley.,dolea,96
13188,crianças,niños,18
2100,apa.,apaca,92
10846,ot.,antiguo testamento,38
7263,rua de trás,callejón,63
9716,nevasca,tormenta de nieve,46
281,canisters.,barcos,84
1841,presos,recluso,89
8268,mir.,mírico,57
8953,tecelão,tejedor,51
5582,algum dia,algún día,74
3689,deixa pra lá,no importa,85
2665,hidromassagem,torbellino,89
12724,ferida,lesión,18
9269,luminária,lámpara,48
11660,mesclar.,unir,20
5711,entre.,entrometido,72
7018,hacking.,hackear,38
3264,peptídeo,péptido,85
2494,suportar,resistir a,88
12707,pedra,roca,20
12932,gnu,ñu,21
826,senhorio,dueño,91
13786,por outro lado,de lo contrario,12
9980,reconstrução,reconstrucción,39
9302,desfigurar,deshinchar,50
1151,bom dia,bonjour,96
880,halogeneto,haluro,95
12925,bobby.,poli,21
2337,jóias,joyería,91
7182,viúva,vdo,59
13575,prumo,beto,14
11462,cúpula,hazme,33
8174,havana,la habana,58
8975,borboleta,mariposa,50
5344,gato selvagem,gato montés,34
12916,chocado,golpeado,22
7739,um tempo,un rato,60
8471,apostador,jugador,47
13904,apoiar,apoyo,9
10042,lidar,afrontar,43
3248,earthman,terremáneo,88
5534,olympus.,olimpo,75
13506,correspondência,correo,14
5460,pam.,pila,75
12715,pés,pies,23
5849,mezanino,entresuelo,71
7625,nuggets.,pepitas,54
13687,mau,malo,13
8291,faca,cuchillo,56
11416,parada,desfile,33
402,mana.,maná,97
1675,solon.,sola,92
10350,designer.,diseñador,11
2685,dipper,cazo,89
3373,revogação,revocar,73
2219,imprevisível,impredecible,88
4963,anexação,anexión,53
863,saturação,saturación,61
3712,mergulho,escafandra autónoma,85
2065,erg.,ergio,90
6140,liberação,autorización,69
6301,tonto,mareado,65
183,aterro,terraplén,94
3565,intrigado,perplejo,43
13150,de qualquer forma,de todos modos,18
6934,baku.,bakú,65
8185,cinderela,cenicienta,58
3898,assam.,asno,84
13976,sem,sin,6
2476,landau.,landó,90
3457,osprey.,águila pescadora,78
6073,bétula,abedul,71
5361,impeachment.,el proceso de destitución,62
14043,emitir,asunto,8
9060,coçar  arranhão,rasguño,39
14041,já,ya,9
9055,trovoada,tormenta,41
10551,momentum.,impulso,40
11976,soapbox.,plataforma improvisada,30
7265,falência,bancarrota,62
2761,indeeless,sin heos,89
1887,paralisado,parada,93
13627,apropriado,adecuado,13
12897,jimmy.,palanqueta,22
11558,concha,cascarón,27
240,cuspindo,escupir,28
11841,show,concierto,28
13558,desencorajado,desanimado,14
4876,coincidentemente,casualmente,69
7258,canela,espinilla,62
11192,moonraker.,corredor de luna,36
3681,vertigem,vértigo,85
7172,soprar,reventar,62
8012,compositor,compositor de canciones,49
4309,plainfield,campo de pena,81
8949,alfa.,esparto,51
2423,newsworthy.,de interés periodístico,90
1491,vitidez,sinceridad,95
6570,autoria,paternidad literaria,68
2372,caixa de correio,buzón,88
4236,vagando,errante,35
10915,gi.,soldado americano,38
14406,na direção,hacia,13
13545,declaração,declaración,12
5990,espresso,café exprés,72
12061,qualquer lugar,en cualquier sitio,29
7716,isentar,eximir,51
5024,comedor,comensal,66
1580,nômade,nómada,78
809,inigualável,sin par,98
165,agir sobre,actón,100
14244,significa,medio,9
707,soldado,slone,98
3718,crime,delito,80
702,petisco,golosina,88
10427,estábulo,estable,40
11193,casco,cáscara,36
13619,acessível,disponible,13
4807,desova,aparecer,43
10453,zack.,zaqueta,41
5896,beira-mar,frente al mar,72
3644,sem fins lucrativos.,sin ánimo de lucro,85
12390,nova,estrella nueva,27
9248,invenção,invención,31
8155,soldagem,soldadura,53
1871,fluente,fluido,93
7974,arrowhead,punta de flecha,59
10586,sempre que,cuando sea,40
2311,perturbar,molestar,23
10931,materiel,material bélico,38
3686,fabricação,fabricación,40
4409,betel,templo no conformista,81
2783,roadster.,coche de turismo,84
2352,aiatolá,ayatollah,89
