ID,TURC,POLONAIS,INTERVAL
11623,araplar,arabowie.,15
8852,maymunlar,małpy,27
7804,memeli,ssak,57
2239,kesimhane,rzeźnia,93
12448,başlatılan,uruchomiona,21
6152,kavrulmak,burda,74
11615,cr,kr.,36
3789,marquee,duży namiot,87
3791,sarsılmış,przygotowany w shakerze,87
6063,çarpıtma,zniekształcenie,48
10119,süpermen,nadczłowiek,48
10015,direktörler,dyrektorzy,21
7323,baraka,szopa,59
10316,önbellek,pamięć podręczna,41
12741,eklem yeri,połączenie,25
905,ekili,uprawiany,69
514,eşekarısı,osy,62
2928,sivilce,grzecznie,90
7120,mancınık,trebuchet.,68
2995,i̇ngiltere,brytyjczyk,65
6860,ikamet etmek,mieszka,21
1772,aseksüel,bezpłciowy,88
2747,batıya doğru,na zachód.,33
7259,tamamlayıcı,komplement,62
13372,kendim,siebie,18
13818,olumsuz,nie,5
11072,çalınmak,skradziony,40
1563,okyanusyacı,oceanian.,96
4310,handikap,upośledzenie,69
14508,belgeler,dokumenty,14
4651,servicemen,serwigency.,83
5422,soğanlı,bulwiasty,79
13946,fiyat:% s,ceny,22
2208,titrasyon,miareczkowanie,91
13229,oğul,syn,18
6698,deze,tama,67
4646,referans,skierowanie,79
5356,shiva,siedmiodniowa żałoba,79
12843,tava,patelnia,24
6272,çekirge,konik polny,71
13425,kolayca,z łatwością,17
6582,hopper,zbiornik,68
10166,sponsorlu,sponsorowany,34
13711,adalar,wyspy.,11
12985,evvel,temu,23
10466,uzatmak,rozciągać,35
11608,kaban,płaszcz,32
9148,durdurmak,postój,41
4140,bedevi,beduin,80
10643,çavuş,uprzedzony,44
14521,krediler,pożyczki,46
1044,sağlıksız,niezdrowy,98
6707,pundit,mędrzec hinduski,62
10440,bulaşma,przenoszenie,43
8800,avcı,nadawca,16
7852,beşik,kolebka,62
8166,morina,dorsz,62
4771,mongoose,mangusta,82
12595,sağlam,solidny,27
11786,kalitesiz,gorszy,34
778,yatıştırılmış,ustępować,81
9362,mezarlık,cmentarz,53
13254,asya,azjatycki,19
12728,carter,furman,25
14406,karşı,w kierunku,14
6967,karasal,ziemski,68
8998,güvenilmez,niewiarygodne,55
8507,nesli tükenmekte olan,zagrożony,56
5335,valiant,dzielny,79
6054,peck,dziobać,73
6181,besim,bess.,74
9872,eşcinsellik,homoseksualizm,40
13736,cumhuriyet,republika,13
1301,batıya ait,westbound.,97
14396,iddialar,roszczenia,10
1865,dilimleyici,slicer.,95
5059,vinnik,vinny.,81
10729,anlatı,narracja,42
7034,solvent,rozpuszczalnik,62
3279,orada,w nim,88
656,sporadik olarak,sporadycznie,69
9080,namaz,modlitwa,50
4692,tost makinası,opiekacz,80
9101,fişek,skrzydło,49
744,şehir dışı,północna część stanu,99
7640,çelişkili,sprzeczny,65
13831,onlar,oni,7
10051,konuşulmuş,mówiony,48
4529,buruşmak,burroughs.,83
7624,karar vermek,dekret,57
11373,soykırım,całopalenie,38
9710,restorasyon,przywrócenie,10
12845,yakıt,paliwo,23
10914,gökada,galaktyka,39
13190,nüfus,populacja,18
1494,mistok,pomylanie,96
14332,ulaşmış,osiągnięty,11
14297,liderler,przywódcy,14
1243,gururla,dumnie,97
13430,gül,róża,16
14442,karar verilmiş,zdecydowany,8
4940,vergi memuru,taxman.,81
5406,sindirmek,strawić,57
10221,hoover,odkurzacz,47
