ID,TURC,PORTUGAIS,INTERVAL
13475,farsça,persa,16
2548,kodein,codeína,93
14151,güney,sul,9
13314,istila,invasão,19
7306,pezevenk,cafetão,66
6587,sessizce,silenciosamente,73
10775,bağlılık,afiliação,11
10785,sağduyu,senso comum,43
8989,daha net,mais claro,57
13719,diğer adıyla,aka.,14
14058,bilmek,saber,8
14050,eyaletler,estados,7
9946,zion,sião,50
6267,köylü,camponês,58
309,mavnalar,barcaças,81
7553,biyokütle,biomassa.,66
6598,tammetik,tammy.,72
13898,şirket,empresas,10
8520,poz veren,posado,43
762,haber odası,newsroom,98
1248,kulis,nos bastidores,97
12561,esrar,es.,28
12971,gezegen,planeta,21
12159,roket,foguete,25
11904,onikinci,décimo segundo,34
14227,geri dönmek,retornar,11
4251,taş kıran çiçeği,saxifrage.,85
11415,makedonya,macedônia.,38
14266,yorum,comente,6
10590,antiller,antilhas.,45
14173,artırılmış,aumentou,15
10645,delmek,perfurar,38
13110,erik,eric.,22
5322,sarışın,loiras,66
10538,alacakaranlık,crepúsculo,45
3667,yaptırım,sanção,18
7084,saxony,saxônia,69
6412,hatıra,memorando,73
14224,biçim,forma,10
7797,bunların,do mesmo,64
9809,parmak,dedo,38
10939,çile,hank.,38
12969,gecikme,atraso,8
4943,yaramazlık,travessura,81
12076,yengeç burcu,câncer,33
3485,şapırdatmak,smack.,67
12164,kaldırmak,lift,20
8007,aussie,australiano,57
8073,karaya,em terra,62
6498,hazel,avelã,73
9323,ölümcül,fatal,30
4206,slaytlar,slides.,47
11527,geçiş ücreti,pedágio,37
11256,hile,truque,34
13662,kayıp,perda,12
9475,bozulmuş,rebaixado,52
3480,aradan,intervir,52
11276,yılan,cobra,37
11895,salgın,surto,33
8498,esin,inspiração,33
135,muhallebi,quindim,100
7165,alışılmış,costumeiro,69
13938,hisse senetleri,ações,7
13731,uzay,espaço,13
3877,kayma,deslizando,76
12143,kuş,pássaro,29
6214,kürek,curran.,75
3452,itaatsizlik,desobediência,86
13591,ofis,escritório,12
10892,paramparça etmek,quebra,34
4267,katı,storey.,76
4995,sfenk,esfênico,82
56,kuluçka,incubus.,100
10034,göz yaşları,lágrimas,39
4811,yanlış beyan etme,deturpação,80
4121,döşeli,pavimentou,65
9286,etkileşimli,interativo,34
12181,hasta,doente,27
12573,daha kolay,mais fácil,28
1242,lekelemek,mancha,68
9393,rezil,infame,53
10321,shoemaker,sapateiro,47
2,çubuk kraker,pretzel,95
13875,onlara,eles,6
7077,skandallar,escândalo,31
8213,yanılsama,ilusão,60
57,açlıktan ölme,morrendo de fome,87
12647,tehditler,ameaças,17
715,chih,chique,99
2704,uyarı,alerta,33
5546,pasha,paxá,78
8838,cesur,corajoso,27
3820,kişiye özel tasarım,couture.,87
13774,geç,atrasado,13
5616,levha,lew.,78
9913,kamboçya,camboja,50
10885,kömür,carvão,42
7621,sumo,sumô.,65
2951,hidrolaz,hydrolase.,90
10524,küp,cubo,43
5227,fetişizm,fetichismo.,70
2559,hidroklorik,clorídrico,93
10860,bakire,virgem,39
11970,getirme,trazendo,6
8647,kabuklu,crustáceo,59
14483,sebep,razão,6
4642,şanssız,azarado,83
11462,kubbe,cúpula,37
9862,trajedi,tragédia,49
9372,i̇lk önce,em primeiro lugar,54
2453,kurtarıcı,salvador,91
6829,jokey,jóquei,65
4361,eleştirmek,criticar,51
14507,merkez,centro,12
9441,anlaşmazlıklar,desacordos,41
14402,gerekmek,exigir,7
10718,pennat,galhardete,43
5638,lounge,saguão,75
6807,orfik,órfico,71
12930,kalmak,permanecer,12
14377,sokak,rua,12
2280,fullshot,tiro,88
13998,hizmet,serviço,9
962,nergis,narciso,98
7007,vatoz,stingray,66
11547,değiştirilmiş,alterado,9
9751,iddiası,acusação,46
4774,narenciye,citrino,83
9506,yer çekimi,gravidade,53
12694,yahudiler,judeus,24
2658,halkoylaması,plebiscito,91
3362,saplamak,hastes.,44
7900,kaş,cotovelo,62
6289,parlaklık,brilho,39
7639,teminat,colateral,65
214,yiki,caramba,100
11910,isyan,tumulto,19
7739,bir süre,um tempo,65
2293,yerleşim bölgesi,enclave,88
7086,howdy,olá,69
8988,sanatçılar,artistas.,12
1186,silinmez kalem,sharpie,98
13569,kamp,acampamento,15
8938,kapak,escotilha,55
6089,difüzyon,difusão,64
12204,çöp kutusu,bin,31
9609,yan hakem,lineman.,53
8256,garnitür,garth.,62
11310,kusursuzca,perfeitamente,39
8784,uzay aracı,nave espacial.,59
10953,kaplama,cobertura,10
936,lair,covil,98
7925,boylam,longitude,63
12695,sel basmak,enchente,17
14149,bekar,solteiro,10
7788,ya sahibim,eu tenho,64
14070,dünya,mundo,8
2730,bileme,esmerilhamento,71
13096,kulübe,cabana,22
2584,sarılmak,abraço,66
4739,beceriksiz,incompetente,70
3621,yeraltı suyu,lençóis freáticos,88
9587,pantolon,calça,52
9093,mezun olmak,graduado,40
5849,mezzen,mezanino,75
1080,konfigürasyonlar,configurações.,53
11176,yazarlar,autores,10
6817,nimet,boon.,71
13954,iyi,bom,7
4474,uykulu,sonolento,84
12488,ilgisiz,não relacionado,29
7881,yeterlik,qualificações.,26
12355,havacılık,aviação,29
10688,nazikçe,gentilmente,44
7359,boşta,ocioso,65
4761,helis,hélice,83
2304,nafaka,noll.,93
3777,seyrek,escasso,73
8422,beklenmedik,inesperado,61
2152,yol alanı,wayland.,94
5779,sollamak,ultrapassar,58
1823,dişavurumculuk,expressionismo,95
2989,bilgisiz,desinformado,83
552,bağlantısız,desinlinvente.,96
667,sesli,audível,96
6565,gülen,risonho,73
2144,erişilemez,inacessível,94
12491,ağustosluk,de agosto,29
9602,altmış,sessenta,48
12489,çarşamba günü,quarta-feira,29
1168,kabartma,levantamento,98
10472,yahudilik,judaísmo,46
5024,yiyici,comedor,71
