ID,DEUTSCH,RUSSIAN,INTERVAL
5413,transzendenz,трансцендентность,68
8599,multimedia,мультимедиа,54
3043,dürfen,дальт,88
7597,spaten,лопата,55
5846,fiskalisch,фискальный,72
1644,außerordentlich,необычайно,94
7356,degeneriert,вырожденный,54
13147,hübsch,симпатичный,17
6276,ordnungsgemäß,вузываться,70
6882,windpocken,ветряная оспа,65
3088,mixer,блендер,87
10491,podium,подиум,39
3110,nadir,надир,87
111,subsistenz,проживание,90
2805,härter,более жесткий,89
4807,laichen,порождать,42
13714,champions,чемпионы,9
3385,luzifer,люцифер,85
1232,bromid,бромид,95
4998,harif,шариль,77
11007,birma,бирня,37
8225,rumpeln,грохота,54
9703,schrei,крик,38
12748,sri.,шри,21
8875,sphinx,сфинкс,52
6178,swasiland,свазиленд,70
10097,begleiten,эскорт,36
5964,ks,кс,71
1218,mako.,мако,96
5559,existentialismus,экзистенциализм,69
12036,zusammenarbeit,сотрудничество,12
1889,kaskadierung,каскадирование,62
8898,tasten,кнопки,7
9460,fidel,филе,43
4659,tho.,то,77
11351,weit verbreitet,широко распространен,34
4059,am bord,на доске,83
13236,davis,дэвис,15
5612,pubertät,созревание,73
12791,larry.,ларри,21
7326,zurücksetzen,сброс настроек,60
10944,geburtstag,день рождения,35
8202,schatz,дорогой,57
12374,elektrisch,электрический,17
14187,weitermachen,продолжать,5
2551,flamenco,фламенко,90
788,pogo,пего,98
2315,balkon,балкон,83
14191,projekt,проект,7
12515,komplex,сложный,21
13660,flugzeug,самолет,12
3831,dung,навоза,84
6134,auftürrisch,sie.,70
9803,vor allem,главное,45
1661,avionik,авионика,87
5459,anima,анима,72
6305,sprühen,спрей,58
6022,auszug,выдержка,57
5766,scottie,шотланд,68
8098,abholen,подбирать,57
3034,zitierbar,свидетельствующий,88
11105,bibliomaniac.,библиоман,36
7708,stachelschwein,дикобраз,60
6983,limonade,сода,65
2827,würgend,задыхаясь,68
9316,ausschließlich,исключая,33
11125,kleiner,меньший,36
2342,nudeln,лапша,63
9361,yak,як,49
3528,avocado,авокадо,83
12514,liverpool,ливерпуль,23
11049,rechtfertigen,оправдывать,24
1742,unansehnlich,недействительный,93
13881,gebraucht,использовал,5
9173,exposition,контакт,48
7904,delle,вмятина,57
12938,geschlossen,закрыто,10
8501,infinitesimalrechnung,исчисление,55
1060,spoons.,ложки,51
9057,langweilig,скучный,33
210,maronite.,маронит,100
298,addierer.,сумматор,100
11884,umgebung,окружающая обстановка,28
5851,telugu,телугу,72
10185,josua,джошуа,42
9243,sangen,пел,50
5898,marxismus,марксизм,72
4709,homöostase,гомеостаз,79
