ID,TURC,RUSSIAN,INTERVAL
14492,futures,фьючерсы,8
7641,geo,гео,61
6287,güvenen,полагаться,31
11502,trinidad,тринидад,33
12160,seferlik,экспедиционный,27
10802,pizza,пицца,38
6420,hod,ходж,69
2988,doubters,сомнения,84
7625,nuggets,наггетс,54
1022,kurtarıcılar,спасатели,97
4176,lanier,лэньер,82
14182,bankalar,банки,14
13156,başkanlık,президентский,17
5338,mekânsal,пространственный,74
675,merakla,любопытно,94
3363,diktatörler,диктаторы,42
14125,yarım,половина,10
6435,afrikalılar,африканцы,14
8530,titanyum,титан,55
959,valor,доблесть,97
910,toru,тору,93
3897,babylonia,вавилония,84
606,metilen,метилен,99
9132,erozyon,эрозия,51
10282,derbyshire,дербишир,42
14474,eğitim,обучение,10
10063,niteleyici,квалификатор,8
6745,elbisesi,платье,56
10080,uçurum,утес,41
6108,draper,капля,71
2554,stetoskop,стетоскоп,90
1732,kraliyet,роялти,66
5147,cervisler,серванс,77
3323,pinto,пинто,87
2445,kaydırma,прокрутка,41
8522,yargılamak,судить,20
6873,gan,гонора,66
10192,gama,гамма,43
6632,marsilya,марсель,60
1549,mulder,малдер,95
8045,mutluluk,блаженство,58
8436,yetenekleri,способности,22
8406,lak,лак,56
10761,evcil hayvan,домашний питомец,35
3126,salomon,саломон,88
1210,pentagram,пентаграмма,97
8869,meşhur,пресловутый,49
1632,hipnoz,гипноз,94
5860,roach,плотва,71
14155,ingiliz,британский,9
1828,madeni para,чемонство,94
1596,pişirmek,выпекать,62
7306,pezevenk,суперизм,62
8824,tüccar,торговец,48
11205,manga,манга,36
8771,tapu,поступки,49
5949,akasya,сапуль,68
9941,blew,взорвали,45
11663,gana,гана,31
14308,j,дж,8
8474,amaçlayan,прицел,21
8757,mozart,моцарт,53
13095,özgürlük,свобода,18
7082,yi,йи.,64
7627,yazıcı,принтер,55
8448,kriptik,загадочный,55
8519,patlayan,взрывка,33
13598,özellikli,представлен,10
10828,koka,кока,38
1996,baun,баун,93
6502,havai,накладные расходы,68
9008,uzatma,продление,18
6759,hamur,пульпа,66
4598,yerini almak,заменил,72
5620,condor,кондорация,72
4616,lat,лат,79
11999,evlilik,брак,27
10539,doktrin,доктрина,38
6617,plak,бляшка,63
11176,yazarlar,авторы,9
3673,bergman,бергман,85
6450,şarj cihazı,зарядное устройство,30
14498,sanayi,промышленное,14
5852,tol,толь,72
8750,turbo,турбо,52
5961,köle gibi çalışan,очарование,71
2154,epinefrin,эпинефрин,91
1728,retrospektif,ретроспект,64
3146,insülin,инсулин,88
5051,bol,болван,77
13898,şirket,компании,9
6688,guelph,гуэльф,67
4564,pirzola,ребра,62
3990,el koydu,конфискованный,71
10850,kit,комплект,37
11810,nijerya,нигерия,30
