ID,RUSSIAN,ARABE,INTERVAL
8077,аламеда,ألاميدا,58
133,занзибар,زنجبار,100
3726,шампанс,شامبين,85
12474,договор,معاهدة,18
5203,в которой,حيث,76
9549,автобусов,الباصات,46
13878,так,لذا,5
168,шмиц,schmitz.,100
5434,воен,weir.,75
8870,не знать,غير مدرك,51
9983,заложник,رهينة,35
2861,тросточки,عصب,56
1248,за кулисами,وراء الكواليس,95
5669,лепроси,جذام,73
8904,elizabethan.,إليزابيثان,52
318,нюанс,الدقة في درجات االإختلاف,85
13306,сокс,سوكس,15
8410,воск,الشمع,51
12429,осиротел,اليتيم,23
13414,боевые действия,قتال,7
8530,титан,التيتانيوم,55
2673,полимеризация,البلمرة,87
11939,своенравный,الطريق,29
13699,даниэль,دانيال,12
14271,действительно,حقًا,9
10027,беженцы,لاجئ,27
8288,эпицентр,epicenter.,56
1379,нахуатл,ناهواتل,95
6348,кобальт,الكوبالت,69
5133,zulu,الزولو,75
10411,мораль,أخلاقي,31
12335,туз,بارع,22
11703,столбец,عمودي,27
9953,байрон,بايرون,44
9460,филе,فيد,43
225,наступление,تمتد الظهر,100
5365,водоросли,الطحالب,75
8623,фунт,lbs.,31
3017,полость,تجويف,88
2631,боттенозы,bottlenose.,89
861,отредактировал,اقتحم,93
7010,воос,فوكس,64
6774,коломбо,كولومبو,66
13516,актуальны,ذو صلة,12
6849,селиак,هيليا,66
6717,признанный,نال,54
14081,новости,أخبار,11
3873,пешеходный,مشاة,76
5369,контрнаступление,مكافحة مضادة,66
12377,campbell.,كامبل,25
906,папирус,ورق بردي,97
7548,ганновер,هانوفر,62
13067,родной брат,شقيق,12
10523,шасси,الشاسيه,40
8939,давенпорт,davenport.,52
8914,иерархия,التسلسل الهرمي,51
12472,анна,آن.,18
9843,суверенитет,سيادة,45
2429,анк,anc.,91
344,гидроксил,هيدروكسيل,84
3423,палиндром,palindromic.,73
6343,проницательность,مضيق,42
3836,антимонопольный,مكافحة الاحتكار,84
8172,с изображением,تصور,23
8810,положитель,بول,53
5474,замышленник,بارز، ملحوظ,74
10748,беспроводной,لاسلكي,38
11866,занятие,احتلال,26
6495,правители,الحكام,50
2983,кенсингтон,كينسينغتون,88
10617,боливия,بوليفيا,39
13866,мог,استطاع,7
3852,разветвленный,متفرعة,25
5610,меннонит,mennonite.,73
11723,кит,حوت,26
3813,мент,منة,84
7192,порядочность,أدب,63
7157,занавес,ستارة,60
989,camelot.,كاميلوت,97
7692,сорняк,عشبة ضارة,56
14056,ли,سواء,11
12997,гамильтон,هاميلتون,19
8624,герпес,الهربس,54
2974,магнолия,ماغنوليا,85
962,нарцисс,نرجس,97
11406,ястреб,هوك,18
13175,дона,ناظر,17
13770,достаточно,كافية,11
6777,белье,بياضات,66
8928,кимчи,كيمتشي,52
13347,неожиданность,الغموض,15
13239,бразилия,البرازيل,16
5449,идиот,الأغنياء,28
4739,некомпетентный,غير كفء,64
3133,ренегат,reenegade.,57
2165,электрофорез,الكهربائي,91
5244,роталки,يهاجر,74
14286,количество,كمية,7
13864,над,زيادة,7
14416,получающий,الحصول,7
6708,франкенштейн,فرانكشتاين,67
12072,ja.,جا,27
6052,озвучий,بونيك,71
8764,фресно,فريسنو,53
5193,галлюциногенный,الهلوسة,68
13097,категории,التصنيفات,6
1938,познан,إدراكه,91
13478,джексон,جاكسون,14
3266,покнуть,نكز,71
9444,сера,كبريت,45
12269,монстр,مسخ,23
7447,дерьма,دخر,62
13718,река,نهر,11
6022,выдержка,مقتطفات,57
7483,двор,مقدار من الياردات,62
10948,варшава,وارسو,37
1810,давний,منذ فترة طويلة,93
7216,пушистый,فروي,63
13103,биографический,السيرة الذاتية,17
3905,ратификация,تصديق,84
3948,саркастический,ساخر,79
10090,воздерживаться,الكف,43
11724,кобра,كوبرا,30
7503,лили,زنبق,60
1263,опросный лист,استبيان,91
3911,элейн,إيلين,84
9076,причудливый,بيزار,50
1858,мимас,ميداس,93
13107,драма,دراما,17
10692,публично,علانية,38
14117,диапазон,يتراوح,10
7599,вкладыша,بطانة,58
11694,перевозчик,الناقل,28
8430,репутация,بولوك,55
8836,джеймстаун,جيمستاون,53
10685,порно,إباحية,39
10181,голод,جوع,43
11364,jacob.,جاكوب,34
5098,дипломат,دبلوماسي,34
9439,андорра,أندورا,48
12138,христос,السيد المسيح,27
8367,тоби,توبي,56
817,патока,دبس السكر,98
11054,нил,نيل,37
2113,стриптиз,التعري,92
12248,где-то,مكان ما,26
12949,подходящее,متكافئ,13
10192,гамма,غاما,42
12915,приземление,الهبوط,9
1943,затишье,هدوء مؤقت,89
430,дян,dayan.,100
9032,монополия,الاحتكار,50
13030,присоединился,انضم,11
4591,вложение,حاجز,15
5277,какой бы ни,أيهما,75
2418,вниз по течению,المصطب,91
3376,резак,القاطع,79
8971,одиночество,العزلة,52
3703,несуществующий,غير موجود,82
9923,рубин,روبي,44
445,пожилы,peebles.,100
2034,катод,كاثود,89
9199,звездочка,النجمة,48
9868,царствовать,فتره حكم,35
6238,рекреационный,الترفيهية,30
6816,глендейл,glendale.,66
4224,эллинистический,hellenistic,81
6880,возвращение на родину,العودة للوطن,65
1134,миология,علم النفس,96
1999,токсикология,علم السموم,90
9735,оф,أولي,45
6868,ваниль,فانيلا,65
11389,авторизоваться,تسجيل الدخول,33
7092,торо,تورو,60
6921,гончая,كلب,60
2032,соболезнования,تعازي,87
10866,отклонить,انخفاض,13
5862,politburo,المكتب السياسي,72
9413,манго,مانجو,48
10219,столкновение,اشتباك,31
11668,вернон,فيرنون,31
12030,фраза,العبارة,22
7551,жестокость,القسوة,62
482,эпитаф,epitaph.,99
14296,закончился,انتهى,7
11834,неадекватный,غير كاف,28
12230,бедро,ورك او نتوء,25
9111,полезность,جدوى,31
11062,сербский,الصربية,36
3933,преждевременно,قبل الأوان,51
8728,volkswagen,فولكس واجن,53
3281,бензоат,benzoate,87
12640,прилавок,عداد,21
10112,уолш,walsh.,43
12967,уэйн,وين,19
8460,тысячелетия,آلفية,55
5647,вил,حقير,73
14348,принимающий,مع الأخذ,5
417,baccalaureate.,شهادة البكالوريا,100
6269,углеводы,الكربوهيدرات,68
10823,сосредоточены,ركز,29
13409,декабря,منصب,14
13477,филадельфия,فيلادلفيا,14
4032,реагент,كاشف,79
8295,саксофон,ساكسفون,56
10886,отряд,مفرزة,29
6837,текила,تكيلا,65
1991,средний восток,الشرق الأوسط,93
9652,ожидается,كان متوقعا,38
11089,дядя,اخو الام,36
6886,асбест,الأسبستوس,65
13136,секс,الجنس,17
12040,предложение,اقتراح,9
3506,редикс,راديكس,86
4373,методология,المنهجية,72
10678,обещать,يعد,24
10371,сью,قاضى,41
13174,иногда,بعض الأحيان,15
914,мертон,ميرتون,97
9301,пудра,مسحوق,45
7820,напоминание,تذكير,16
13733,осведомленный,واع,12
6213,сплав,سبائك,63
12341,память,ذاكرة,13
1412,тире,شرطات,46
14325,коммуникации,مجال الاتصالات,8
10809,купила,مشترى,38
4116,дуй,دوي,82
248,голгори,في الجليد,100
1830,тилацина,thylacine.,93
13508,джефф,جيف,13
12587,гуру,جرو,23
8644,географический,جغرافي,33
12507,brunswick.,برونزويك,23
4817,портман,بورتمان,78
11625,аполлон,أبولو,31
7999,саванна,سافانا,59
14373,запланированное,المقرر,13
11596,рекс,ريكس,32
13875,их,هم,6
9813,пентагон,خماسي الاضلاع,43
8645,приют,مأوى,44
4370,подлинность,أصالة,52
210,маронит,المارونية,100
12425,ариэль,ارييل,24
8879,сенека,سينيكا,52
5573,топология,طوبولوجيا,63
2828,незащитник,إلغاء حماية,51
4211,хватает,حظا,39
6627,кавказ,القوقاز,67
750,дисфункция,اختلال وظيفي,88
13999,линия,خط,8
13069,грамматический,نحوية,18
12748,шри,سري,21
7256,отсчет,العد التنازلي,62
10652,детка,فاتنة,38
9536,драки,شجار,47
9831,триумф,انتصار,41
10223,гильс,جايلز,42
857,метадон,الميثادون,97
11410,вина,خطأ,30
4791,нерешено,من غير المكتسب,79
2988,сомнения,doubters.,84
9992,стипендия,منحة دراسية,42
1015,андиан,الأنديز,97
4117,спрятанный,إخفاء,82
10799,характеристики,الخصائص,19
7436,шериф,شريف,61
1386,анаморфы,بصحة جيدة,95
4848,бордо,بوردو,78
8753,сп,غيظ,53
8770,затыкать,قابس كهرباء,48
9019,дженна,جينا,51
1578,жжет,lcd,94
4898,решающее значение,برهن,78
7278,получатель,متلقي,48
2903,дези,عشاق,88
6905,диалект,لهجة,49
11246,по сути,بشكل أساسي,26
8188,кроткий,ميك,57
10897,пасти,الراعي,37
23,аминь,آمين,80
3764,fennec.,فينيك,84
7322,флора,النباتية,62
13782,япония,اليابان,11
13534,мнение,رأي,11
11448,облицовка,مواجهة,12
5161,переживание,peregrine.,76
1236,спецификация,المواصفات,62
1758,взволнованный,بسعادة غامرة,51
13006,дрю,رسم,19
13110,эрик,إريك,17
13655,в общем,عموما,7
10907,бенедикт,بنديكت,38
8094,преэгем,قبل المباراة,58
8942,разрушительный,وخيم,38
7908,сионизм,صهيونية,59
5254,равновесие,حالة توازن,75
9599,бум,فقاعة,44
3324,больчик,بولر,87
14301,беспокойство,هَم,9
13230,полет,رحلة طيران,15
11181,сб,cb.,35
6446,обращение,اعتمد,68
5686,ломание,لورى,72
2031,зороастризм,zoroastrianism.,88
13980,сообщается,ذكرت,5
2651,гемоглобин,الهيموغلوبين,89
11412,заброшенный,مهجور,28
1030,ярборо,yarborough.,97
13113,пляж,شاطئ بحر,17
12247,коста,كوستا,26
28,дифракция,الانحراف,100
14500,стратегия,إستراتيجية,30
10099,петербург,بطرسبرغ,43
3563,эрас,eras.,16
2219,непредсказуемо,لا يمكن التنبؤ به,88
3854,оттенок,مسحة,82
9822,уран,أورانوس,45
11520,дарвин,داروين,31
317,конюмин,كونيكس,100
5981,анархист,الأناركي,63
6606,изысканный,باهظ,60
7453,углы,الزوايا,34
9224,полный назад,الظهير,44
11612,блеск,بلير,32
11049,оправдывать,يبرر,24
12371,аарон,هارون,25
1776,бонкт,بونك,92
3363,диктаторы,الديكتاتوريين,42
9765,ленч,لينش,42
10028,избавление,الاقتراع,36
9173,контакт,مكشوف,48
3567,раскрытие,إفشاء,84
7088,фарадей,faraday.,64
