ID,FRENCH,ENGLISH,THEME,ENGLISH_stem,OCCURENCES,INTERVAL,IMPORTANT
12089.0,typique,typical,other,typic,573.0,25,
10868.0,verseau,aquarius,other,aquariu,126.0,52,
5129.0,du bœuf,beef,nourriture et boissons,beef,7.0,96,
4184.0,des pesticides,pesticides,de les legumes,pesticid,50.0,72,
12498.0,cassé,broken,other,broken,1592.0,13,
11310.0,rauque,husky,other,huski,194.0,43,
5338.0,un souverain,a sovereign,politique gouvernement,sovereign,232.0,40,
7714.0,produits finis,finished goods,comptabilite,finish,5801.0,4,
12689.0,imprimé,printed,other,print,3150.0,8,
4247.0,un chameau,a camel,animaux sauvages zoo,camel,15.0,92,
7041.0,la virilité,virility,sexualite,viril,1.0,100,
2190.0,enterrer,to bury,guerre et paix,buri,265.0,38,
7899.0,un livre de cuisine,a cookbook,livres et ecriture,cookbook,35.0,81,
10983.0,puissant,potent,other,potent,140.0,50,
260.0,suer   transpirer,to sweat,verbes action et mouvements,sweat,75.0,63,
4130.0,un étal de fruits,a fruit stall,fruits,stall,255.0,39,
11947.0,impliquer,imply,other,impli,466.0,28,
4342.0,une huître,an oyster,animaux aquatiques,oyster,473.0,28,
4685.0,le moyen orient,the middle east,pays du monde en,middl,4052.0,6,
2729.0,une transaction,a transaction,argent banque finance,transact,378.0,32,
2288.0,l’exode,the exodus,histoire passe,exodu,329.0,34,
9741.0,vandalisme,hooliganism,other,hooligan,55.0,70,
1023.0,en liberté surveillée,on probation,loi justice juridique en,probat,115.0,54,
6398.0,un kilo de beurre,a kilo of butter,mesures poids quantites,kilo,40.0,78,
9750.0,hollandais,dutchman,other,dutchman,55.0,70,
2333.0,le panthéon,the pantheon,histoire passe,pantheon,54.0,70,
667.0,un bouleau,a birch tree,arbres plantes jardinage,birch,86.0,60,
10106.0,sans relâche,relentless,other,relentless,72.0,64,
1032.0,l’avocat adverse,opposing counsel,loi justice juridique en,counsel,27.0,88,
10565.0,craie,chalk,other,chalk,99.0,57,
12218.0,fromage,cheese,other,chees,733.0,22,
12320.0,écossais,scottish,other,scottish,951.0,19,
6554.0,inférieur à la norme,substandard,industrie,substandard,19.0,91,
12079.0,canard,drake,other,drake,565.0,25,
11498.0,calmar,squid,other,squid,242.0,39,
10156.0,brasserie,brewster,other,brewster,74.0,64,
2709.0,un lingot d’or,a gold bar,argent banque finance,bar,1017.0,18,
7212.0,le mépris,contempt,vocabulaire personnalite qualites et defauts,contempt,51.0,72,
475.0,pessimiste,pessimist,adjectifs essentiels en,pessimist,15.0,92,
11920.0,tortue,turtle,other,turtl,450.0,29,
5941.0,de la fourrure,fur,vetements et accessoires en,fur,176.0,45,
11727.0,nu,naked,other,nake,342.0,34,
11005.0,tondeur,shearer,other,shearer,141.0,49,
11265.0,impoli,uncivil,other,uncivil,184.0,44,
7607.0,gonfler un pneu,to inflate a tyre,voiture et mecanique,inflat,14.0,93,
11771.0,en deuxième,secondly,other,secondli,364.0,33,
6962.0,provocateur,provocative,marketing publicite,provoc,583.0,25,
919.0,un contrebandier,a smuggler,crime criminalite,smuggler,8.0,96,
4379.0,une piqûre d’insecte,an insect bite,les insectes en complete,insect,117.0,53,
6541.0,flux tiré,pull system,industrie,pull,76.0,63,
8838.0,reconnaissance,gratitude,other,gratitud,33.0,83,
2275.0,les dinosaures,the dinosaurs,histoire passe,dinosaur,82.0,61,
12530.0,rue,avenue,other,avenu,1705.0,13,
10139.0,sortant,outgoing,other,outgo,73.0,64,
12606.0,vol,flight,other,flight,2175.0,10,
8158.0,correct  right,correct  right ,esprit opinion,correct,891.0,20,
7610.0,border,to tuck in,routine,tuck,113.0,54,
2244.0,nomade,nomadic,histoire passe,nomad,34.0,82,
8489.0,cimetière,churchyard,other,churchyard,27.0,88,
12337.0,emballeurs,packers,other,packer,981.0,18,
