ID,JAPAN,FRENCH,INTERVAL
1018,スラブ,slave,97
3185,概念,notion,82
6601,友愛,fraternité,57
10062,ヒンズーズム,hindouisme,32
7670,シンパシー,la sympathie,49
8348,オルウェリ,orwellien,44
2596,啓発,éclairer,86
3805,アスピリン,aspirine,77
5228,フェティシズム,fétichisme,67
12962,黄,jaune,11
1528,ピグミー,pygmée,94
11879,ポートランド,portulaire,18
7790,形容詞,adjectif,48
10804,味,goût,26
9343,暴動,émeutiers,37
12980,選別,sorte,10
3825,オクシネディタル,occidental,77
1452,骨髄学,ostéologie,94
10841,ステロイド,stéroïde,26
9668,噴水,Fontaine,34
1744,説得,persuasion,92
10673,維持する,maintien,27
9253,メトリック,métrique,37
12972,星,planète,10
10460,大作,épique,29
5917,うぬぼれが強い,vaine,62
3459,バッテリー,chatoyant,80
1311,奪う,priver,95
12003,ピエール,pierre,17
2905,インバネス,inverness,84
5319,勉強する,examiner,66
10285,より大きい,plus gros,30
10763,並ぶ,s aligner,26
7976,オーバーケーブル,surmonter,47
7324,小屋,hangar,51
13304,形,chiffre,8
6265,最適,optimum,59
12619,ケーブル,câble,13
3717,保持,rétention,78
12226,続いて,ensuite,16
8973,トラップ,piège,40
13200,不便,inconvénient,9
8708,変化,variation,41
9049,最年中,plus jeune,39
13321,特定,certain,8
13670,早く,rapidement,5
391,脊椎動物,vertébré,100
4738,ファリアナ,farine,70
3444,ファンタジア,fantaisie,80
10955,概説,indiqué,25
654,スチュワード,intendant,98
9860,忘れて,oublié,33
7270,カフェイン,caféine,52
1339,イングラル,ingles,95
6816,リュート,luth,55
497,大統領,univer,99
10428,安定,stable,29
4291,ホモイネム,hominem,74
2676,おやつ,pouilleux,86
974,カミンズ,Cummins,97
10900,メトロ,métro,25
13211,選挙,élections,9
1603,アングリカニズム,anglicanisme,93
1164,ファイアボーイ,foyer,96
11126,より少ないです,moindre,24
6674,数学,numérologie,56
4549,絡まった,omis,72
9478,クリンチ,clandestin,36
2920,コーブル,Coburg,84
10401,スプリングフィールド,Springfield,29
9239,ライオネール,lionel,38
9393,航空宇宙,aérospatial,36
10125,病気,malade,31
10689,親切,gentiment,27
4286,シンシア,cynthique,74
11652,利点,avantage,20
9825,仲人たち,marœurs,33
12635,違法,illégal,13
8458,フッツ,fritz,43
