ID,SPAIN,POLONAIS,INTERVAL
1558,septical,posprzedażny,96
11949,canal,kanał,31
4298,más frío,zimniej,84
4883,ono,o nie,80
4732,sensibilidad,wrażliwość,42
11636,comparar,porównywać,12
4481,guapo,przystojny,82
9174,felicidades,gratulacje,46
10429,soplón,mroczny typ,44
6801,masticación,żucie,42
8331,muchacho,chłopak,56
9650,trivial,trywialny,48
2757,salmón ahumado,wędzony łosoś,91
11983,los ciudadanos,obywatele,27
10247,medido,wymierzony,20
6408,maquinaria,maszyneria,72
3641,computadora portátil,zeszyt,83
7660,cintura,talia,58
3592,almohada,poduszka,82
14087,total,całkowity,7
14130,brindar,zapewnia,6
7614,curiosamente,co ciekawe,64
11441,rutas,trasy,18
2397,antideportivo,niesportowy,92
5314,pechera,dickey.,78
2871,renal,nerkowy,90
8399,puesta de sol,zachód słońca,58
2845,chou,rozetka,90
7764,derivación,objazd,54
2204,convergente,zbieżny,50
6696,no compatible,nieobsługiwany,68
3399,desmantelado,zdemontowany,72
13600,peter,piotr,14
5570,persona blanca,biały człowiek,77
10867,de repente,nagle,40
1437,firme,zagorzały,95
1158,vibración,wibracja,69
1928,shr,shadle,94
6709,centro del campo,pomocnik,56
12004,niveles,poziomy,12
13587,martín,jaskółka oknówka,15
9184,cosa análoga,analog,42
2958,hermandad de mujeres,sorority,66
1817,mina de arena,sandpit.,94
12872,perder,stracić,14
10572,enojo,gniew,40
4804,inadvertido,niezauważony,75
617,congelarse,froza.,99
1563,de oceanía,oceanian.,96
14340,rechazado,odrzucony,16
4990,mandíbulas,szczęki,62
12338,electrónico,elektroniczny,23
9577,a escala nacional,ogólnonarodowy,51
3026,graderío,wybielacze,87
5828,convincente,zniewalający,56
7992,consumo,konsumpcja,62
5762,pretender,udawanie,47
3378,arruinado,bankrut,86
2228,trullo,cyraneczka,93
2407,germinación,kiełkowanie,91
4369,incivilidad,nieuprzejmość,69
9813,pentágono,pięciokąt,46
5378,comodín,dzika karta,78
3197,cuidado de la salud,opieka zdrowotna,88
5427,patinador,łyżwiarz,38
14401,específico,konkretny,8
14059,unidad,jednostka,7
10383,no oficial,nieoficjalny,42
1865,rebanador,slicer.,95
2830,tentaciones,pokusy,66
762,salón de noticias,newsroom.,97
9880,guia,przewodnictwo,48
3716,retencion,zatrzymanie,82
2351,olmo,wiąz,86
9893,escultura,rzeźba,47
451,crozier,pastorał,100
9029,siberiano,syberyjski,54
12080,iraní,irański,29
