ID,ARABE,TURC,INTERVAL
2729,الوصلات,kavşaklar,42
1009,غير عملي,pratik olmayan,96
8962,عرض مختصر لفيلم,tanıtım videosu,47
7230,خيوط,outback,64
4780,روبين,reuben,79
11982,تلمس,becerememe,22
9472,ماجلان,macellan,49
2361,ضريح,mozoli,90
2001,إغماء,bayılma,68
9423,سائح,turist,38
13046,سيمبسون,simpson,18
734,غير مرض,tatmin edici olmayan,98
9750,زيتا,zeta,46
11068,بيضة,yumurta,33
7938,إدراج,yerleşme,22
722,يرقة,maggot,95
728,جرام,dugong,97
9022,الخط الساحلي,sahil şeridi,51
1815,الطبية الحيوية,biyomedikal,93
3506,راديكس,radix,86
5381,تاباسكو,tabasco,76
3608,تخبط,pisi balığı,83
10792,حبيبة,sevilen,38
6180,الشواغر,boşluk,64
4228,chirps,cıvıl,78
9485,طفولي,çocukça,48
7330,طليع,garde,62
10921,هرم,piramit,32
5984,كايمان,cayman,70
5774,صاغ,hazırlanmış,15
14333,يبيع,satış,21
845,تخمة,gol,96
10389,سارية العلم,flagstaff,42
12965,مذنب,kuyruklu yıldız,19
10329,تصفح,araştır,37
541,السنهالية,sinhalese,99
7181,كبريتات,sülfat,64
8859,أوساكا,osaka,53
11035,خمسون,elli,35
13314,غزو,istila,15
11898,سريعون,ani,25
11354,السودان,sudan,34
12038,حوض,havza,27
2080,ثوم,sarımsak,92
14242,ماك,mac,30
10479,إثيوبي,etiyopyalı,40
1708,مبتغى,coveted,91
13025,كولونيل,albay,18
10790,عفا عليها الزمن,modası geçmiş,38
135,كاسترد,muhallebi,100
10710,دزينة,düzine,28
804,الكيروسين,gazyağı,98
12154,إيه,eritmek,27
13980,ذكرت,bildirilmiş,5
11625,أبولو,apollo,32
162,كانا,kana,99
2228,بط نهري صغير,teal,92
417,شهادة البكالوريا,baccalaureate,100
14337,نأخذ,sahip,5
5658,تين,incir,71
1071,مونت,mort,95
6880,العودة للوطن,homecoming,66
9424,رسام,picasso,49
8157,فال,val,58
13770,كافية,yeterli,12
3550,الإدارة,yönetimsel,86
11991,تشويه,kararıklık,24
732,كومارا,kumara,98
6790,بازيلاء,bezelye,45
10458,اعتراض,itiraz,12
7093,السنوكر,snooker,65
