ID,SPAIN,TURC,INTERVAL
7419,logros,başarılar,36
11270,progresivo,ilerici,20
6888,leucemia,lösemi,70
6115,drásticamente,drastesel olarak,58
9098,cupé,coupe,22
10152,bolsillo,cep,43
10942,fiambres,şarküteri,42
11982,buscar a tientas,becerememe,26
2118,desesperación,çaresizlik,89
12335,as,ace,27
12122,automático,otomatik,6
13341,poeta,şair,18
2963,trabajo en equipo,takım çalışması,90
13271,relé,röle,19
7413,adornado con lentejuelas,mırıldanmış,66
11157,ingreso,gelir,37
8910,infrarrojo,kızılötesi,57
10089,incumplimiento,çiğneme,16
5702,negocio,yudum,77
3910,borde del camino,yol kenarı,86
11699,a salvo,güvenli,32
3107,cuarzo,kuvars,89
7358,terciopelo,kadife,66
2717,duramente,sert bir şekilde,91
10194,subdivisión,alt bölüm,46
3144,azada,çapa,88
14041,ya,çoktan,9
576,excursiones,kıyafetler,98
11606,oxígeno,oksijen,36
10785,sentido común,sağduyu,43
13369,software,yazılım,18
9702,zapato,ayakkabı,38
12698,adivinar,tahmin etmek,24
7533,lana,yün,66
5505,cuota,kota,72
2356,frazador,frenç,93
2923,triplicar,tiz,91
13520,numeroso,sayısız,14
6988,maullar,miyav,70
11803,ex,eski,35
7246,el más nuevo,en yeni,68
11715,paso,geçit,33
5849,entresuelo,mezzen,75
7280,devanar,dev,67
350,somorgujo,loon,99
2166,carbonizarse,char,85
13690,dinero,para,14
4249,dragaminas,mayın tarama gemisi,81
11385,pene,penis,38
13857,después,sonrasında,6
12138,cristo,mesih,32
10628,enseñando,öğretme,34
13010,atrapó,yakalanmış,22
12073,espiar,casus,31
13054,sostener,tutmak,13
14044,tarifa,oranlar,8
9241,no hombre,nominal,55
8476,fragua,forge,50
13639,desafortunadamente,maalesef,14
9033,liebre,lout,57
12996,inútil,faydasız,23
12626,fantasía,fantezi,27
8471,jugador,punter,51
949,geólogos,jeologlar,80
3733,banquillo,sidelines,53
8534,plombagina,plumbago,60
9876,baterías,pil,24
2359,más divertido,en komik,93
12180,masivo,cüsseli,29
2045,rotonda,dönel kavşak,94
13761,tierra,toprak,13
8066,se produjo,ortaya çıkan,35
2643,viscosidad,viskozite,91
6647,cognitivo,bilişsel,66
6410,discurso,söyleme,73
4388,espuma,köpük,81
4740,matatoria,mather,82
2367,prosperar,gelişmek,59
3482,engrandecido,büyütülmüş,56
11148,descargar,indirmek,32
4993,carruaje,arabacı,74
879,vigas,kirişler,59
10932,triángulo,üçgen,39
12775,niño,çocuk,19
11030,preliminar,ön hazırlık,41
6414,sanger,sancak,73
14434,requerimiento,gereklilikler,7
7781,florecer,çiçek açmak,63
13750,oportunidad,fırsat,13
1535,imitar,mimik,94
1304,carpintería,ağaç işleme,88
6003,sauce,söğüt,72
1959,encogido,çökmüş,95
12399,jazz,caz,29
13622,curso,kurs,15
7232,concurrentemente,eşzamanlı olarak,56
11994,expandido,genişletilmiş,19
8186,esmeralda,zümrüt,61
9206,orilla,nehir kenarı,55
10507,pánico,panik,45
3698,hacia abajo,aşağıya doğru,50
5786,varonil,erkekçe,76
5482,incendio provocado,kundakçılık,78
14305,aire,hava,9
13263,ninguna,yok,19
3607,sostén,sutyen,81
4551,de allí,oradan,83
6826,perdón,bağışlamak,66
391,vida futura,öbür,100
8987,error de tipografía,yazım hatası,36
10549,comiendo,yemek yiyor,19
1727,penetrado,çentikli,44
5041,temperamento,mizaç,75
12157,brecha,açıklık,30
1486,médula,ilik,96
8733,arquero,bowman,58
3338,monárquico,kralcı,83
13113,playa,plaj,20
12807,acoplado,birleştirilmiş,15
7266,rojizo,roanoke,68
1630,desertificación,çölleşme,96
0,intento,niyet,8
2020,gaviotas,martılar,87
309,barcazas,mavnalar,81
8029,jermante,jerm,63
2989,no informado,bilgisiz,83
1351,fanatismo,bağnazlık,97
11826,adiós,hoşçakal,33
11736,sidra de pera,perry,35
7117,paramilitar,paramsal,69
14181,tercero,üçüncü,9
3786,rectangular,dikdörtgen,87
3808,incontable,çağrısız,86
5204,millonario,milyoner,63
11874,aconsejar,öğüt vermek,24
5073,restricciones,kısıtlamalar,75
11125,menor,daha az,40
3954,satírico,satirsel,59
5342,perenne,çok yıllık,77
2852,intestino,bağırsak,66
10648,óptico,optik,39
6689,ocultar,kılık değiştirmek,51
10992,vistió,giydirmek,41
10951,rodilla,diz,39
6387,secular,laik,65
4680,no revelado,açıklanmayan,83
9142,por la presente,bu vesile ile,55
859,botelladores,bowers,78
7559,wormer,solucan,66
3101,hexadecimal,onaltılık,89
2336,hacia el sur,güneye doğru,62
12181,enfermo,hasta,27
13636,etiquetado,etiketli,7
10020,cachemir,keşmir,49
9747,mariscales de campo,oyun kurucular,17
11846,factor,faktör,27
8015,rabino,haham,62
2471,intervilización,interlanguage,92
5965,movimiento de piernas,thrash,62
11232,violento,şiddetli,38
11257,destruir,tahrip etmek,17
5241,disipación,dağılma,21
8691,tiempo de día,gündüz,58
14035,aceite,yağ,19
2130,entrelazado,araya girmiş,82
12925,poli,bobby,23
4940,taxista,vergi memuru,81
9386,búlgaro,bulgarca,51
1474,bilby,bilner,96
10131,doblar,bükülmek,44
3070,connotaciones,çağrıştırma,67
13418,poseedor,kulp,17
2319,influencia,sallanma,84
8767,cada día,her gün,58
11783,representa,temsil etmek,7
10473,wang,dalga geçmek,45
1522,estigio,styx,96
4300,canoa,kano,75
3095,esfuerzo de torsión,tork,89
3027,topacio,topaz,90
825,condominios,katominyumlar,87
2766,servidumbre,serfilik,91
12087,aparente,belirgin,19
8842,rabón,rain,58
14322,negociaciones,görüşmeler,5
6241,inmenso,engin,65
7592,evidentemente,açıkça,12
3315,tulipán,lale,88
13874,allá,orası,6
6243,nomenclatura,isimlendirme,74
5814,dependencia,güven,77
5536,agrietado,çatlak,38
692,infiebles,kâfir,82
5207,acosado,saplama,49
7503,lirio,zambak,65
1704,alegrar,sevindirmek,96
7932,palurdo,rube,63
10313,caminando,yürüme,16
12066,favor,iyilik,25
13215,episodio,bölüm,14
