ID,RUSSIAN,CHINESE,INTERVAL
9249,цветы,花卉,33
4360,присматривающий,抢购,34
8164,перьера,porpoise.,58
7742,хор,合唱,61
335,тарзан,塔尔扎恩,100
13565,наполнять,充满,11
13830,также,还,5
9490,узко,狭小,48
2327,минерал,矿工,37
2333,палочка,棍棒,90
5560,офсайт,越位,74
1487,перфорация,穿孔,73
5024,пожиратель,食客,66
3437,дегово,脱荒,87
10978,милая,甜的,36
5288,макароны,通心粉,76
12815,республиканец,共和党人,18
2681,кетон,酮,80
5824,липа,林登,73
9063,редуктазировать,还原酶,51
9030,драгоценный,宝贵的,52
9328,линда,琳达,49
12962,место нахождения,地点,9
415,макси,maxi.,89
9948,ленты,左撇子,44
14325,коммуникации,通讯,8
11046,историки,历史学家,27
6250,утопление,溺水,49
8493,дыхание,呼吸,39
4902,бампер,保险杠,74
13323,британия,英国,15
12122,автоматический,自动的,5
10349,плимут,普利茅斯,41
1889,каскадирование,级联,62
13773,домен,领域,11
6371,комендантский час,宵禁,65
13441,карта,地图,12
7855,рено,里诺,60
12092,инактивированный,灭活,26
7711,успокаивающий,舒缓,60
2850,скопление,拥塞,83
4663,незаконченный,未完成,79
4460,квакеры,quakers.,64
14464,подано,提起,6
14324,сенат,参议院,13
13481,прохладно,凉爽的,13
4370,подлинность,真实性,52
9478,фашизм,法西斯主义,48
10057,ухаживание,哈克尼,44
1966,мучить,克伦,93
12187,саммит,首脑,26
9073,переименовать,改名,21
11077,проводник,探险家,23
6626,суши,寿司,68
2273,увистник,惠斯勒,91
290,схематический,原理图,96
12013,кабин,walk,28
3661,паркинсон,帕金森,85
6713,несчастный,unh,65
12599,гольф,高尔夫球,22
11838,черта,che,30
7109,очаровательный,迷人,44
13146,висконсин,威斯康星州,17
9188,альт,alto.,47
9682,фшс,fs.,47
6482,не в сети,离线,68
4680,нераспределенный,未公开的,79
5234,водка,伏特加,75
3636,орошение,灌溉,83
8784,космический корабль,宇宙飞船,53
7978,магний,镁,59
12525,лоуренс,劳伦斯,23
7696,траур,丧,56
10003,откровенно,彻头彻尾,44
4907,феминист,女权主义者,73
11290,джексонвилл,杰克逊维尔,35
7585,носорог,犀牛,62
10726,ширин,施,34
10157,элвис,埃尔维斯,43
8316,замороженный,冻结,57
13373,шотландия,苏格兰,15
3587,двуязычный,双语,85
8801,никель,镍,51
12656,венгрия,匈牙利,22
4997,экстрасолар,extrasolar.,78
804,керосин,煤油,98
8885,хитры,劫持者,33
6285,ингибитор,抑制因素,63
856,удаль,udal.,98
13123,конкурировать,竞争,12
13310,совет,议理,15
10920,взрослый,成人,33
7187,по слухам,谣传,31
5089,tyne.,泰恩,57
3569,персонификация,拟人,86
12496,хн,xd.,23
10845,укрытие,塔克,38
13552,применяется,适用,10
13577,молодой,年轻,12
8373,янтарь,琥珀色,56
14379,сторона,边,10
10596,routehorse.,赛马,29
8205,индукция,就职,45
7397,тара,塔拉,62
4739,некомпетентный,无能为力,65
1624,бронхит,支气管炎,94
3572,твистер,捻子,81
1779,шератон,喜来登,93
2016,укомплектованный,人员配备,85
7064,плавление,融化,51
9503,йемен,也门,48
13733,осведомленный,知道的,11
9918,сатана,撒但,38
1271,жадный,贪婪的,95
6753,берил,beryl.,66
3081,вычесть,减去,61
8449,сейсмология,地震学,54
3029,местоимение,代词,77
14147,недавно,最近,5
11166,отправлено,提交,22
11194,разновидность,物种,35
10197,дева,少女,41
99,логика,logie.,96
4769,парикмахерская,发胶,79
10277,интеллектуал,知识分子,38
7386,ацетат,醋酸盐,54
13148,отсутствующий,失踪,11
5869,бэзил,罗勒,72
7590,исландский,冰岛的,29
8760,анаболизм,合成代谢,53
10259,тектоника,构造,39
9776,психоделический,迷幻,43
8103,интеграл,不可缺少的,23
9571,бункер,掩体,44
5441,чайник,teague.,75
11351,широко распространен,广泛,34
13735,альф.,alf.,12
3725,хг,赫格,85
385,альберих,alberich.,100
4459,пиранха,piranha.,77
2755,жажда,情欲,85
2037,саума,sau.,92
13559,временный,暂时的,13
10218,отношение,有关的,38
14280,высказывание,说,8
10462,монте,蒙特,36
8692,молли,莫莉,53
1038,рыбный,腥,97
1774,параллакс.,视差,92
10442,терьер,狗,40
2671,евразия,欧亚大陆,90
4343,енох,enoch.,82
5050,ревизионист,修正主义者,71
2963,работа в команде,团队合作,88
12830,рулевое колесо,车轮,16
2124,констанс,康斯坦斯,91
6928,кайзер,凯泽斯,66
4556,прима,prima.,80
508,мутанты,突变体,55
7841,гульца,赫利,60
5194,кофактор,cofactor.,73
2990,стимул,激励,73
11718,майя,玛雅,31
14053,западный,西方,8
12911,музей,博物馆,19
2473,клей,粘合剂,74
9930,перевозить,渡船,37
3664,ученики,学生们,73
13464,генри,亨利,13
2706,agnostic,不可知论者,88
10379,засуха,干旱,40
12705,никто,没有人,22
6732,двоеточие,冒号,42
861,отредактировал,编辑,93
525,электрификация,电气化,99
12254,внутренний,内部的,9
4996,девитт,德威特,78
10735,неванность,亵渎,28
1847,oske.,歪斜,93
12364,мюррей,默里,25
4294,ножницы,剪刀,69
6452,скунс,臭鼬,69
7939,смешивание,混合,19
5222,депо,仓库,40
7772,нитрат,硝酸盐,57
1105,полемичество,差动,80
3396,перекладка,横杆,86
5086,безудержный,猖獗,77
6272,кузнечик,蚱蜢,67
14374,декабрь,十二月,6
3773,универсальный,多才多艺的,76
1650,вибрантность,筋疲力尽,94
7101,передатчик,发射机,59
14392,части,部分,8
7744,антология,选集,57
864,евгения,eugenia.,97
9819,хиросима,广岛,45
7690,проливка,滂沱,61
8879,сенека,塞内卡,53
3676,тенор,男高音,80
8852,обезьян,猴子,22
2293,анклав,飞地,87
13319,тайфун,台风,15
6946,раскрытый,揭幕,59
1574,озвучивать,发声,19
11619,болгария,保加利亚,32
14380,вид,看法,6
2643,вязкость,粘度,88
10049,феномен,现象,43
2310,неуважительно,不尊重,73
4194,хартум,喀土穆,82
39,отлаживать,调试,90
11678,бермудские острова,百慕大,31
5658,рисунок,无花果,70
13511,торонто,多伦多,13
10593,радикал,激进的,34
5173,досуг,闲暇,74
10456,трава,草,40
1311,такса,达克斯猎犬,96
8664,ювениль,少年,54
4448,джозефина,约瑟芬,81
14457,развивать,发展,10
10797,фбр,联邦调查局,38
12100,дс,ds.,27
1870,на мгновение,暂时,93
8941,габон,加蓬,52
10028,избавление,选票,36
8757,моцарт,莫扎特,53
14462,производить,生产,7
12045,локомотив,机车,18
12821,классификация,分类,19
12987,джинс,jean.,18
7151,вар,var.,64
8143,циркулярный,圆,57
8207,eden.,伊甸园,57
10190,вообще,共,43
12811,наса,美国宇航局,20
10654,рэп,说出,34
4988,салина,萨利纳,65
14030,версия,版本,8
13211,янки,洋基队,13
134,ломбард,伦巴第,100
11937,лонгхорн,长角莲,26
7474,нетбол,勒巴尔,62
11599,вглядеться,pe,29
10075,индонезийский,印度尼西亚,42
10907,бенедикт,本笃会,38
3581,будние дни,平日,65
13154,студенты,学生,12
826,арендодатель,房东,91
48,матти,哑光,100
13598,представлен,特色,9
226,межлега,交织,100
6706,парфенон,parthenon.,67
11638,мурфи,墨菲,31
6965,эякуляция,射精,62
12374,электрический,电的,17
9587,штаны,裤子,47
9168,престол,王座,50
631,неразрезанный,未切割,99
10607,рейн,莱茵河,39
4046,несправедливость,不公正,78
3133,ренегат,叛变,57
8788,orwell,奥韦尔,53
6756,ультрафиолетовый,紫外线,66
11324,эдит,伊迪丝,34
14134,изменения,变化,5
4022,реестры,寄存器,6
7288,резервуар,尾背,62
9511,эрин,艾琳,48
8669,дешевый,便宜的,54
12413,марс,火星,12
10045,пресс-секретарь,发言人,44
7852,колыбель,摇篮,59
7630,внеземной,外星人,60
1569,варуна,瓦鲁纳,94
14117,диапазон,范围,10
7805,примитивный,原始,58
6629,большевистский,bolshevik.,59
10343,неудачник,失败者,33
10174,спасатель,救生员,42
14382,полный,完全的,8
2459,сигареты,香烟,49
11936,мозг,脑,27
13953,назад,后退,7
1236,спецификация,眼镜,63
11691,назначенный,任命,25
8722,ковбой,牛仔,22
12305,мария,玛丽亚,25
9533,межконтинентальный,洲际,48
10670,скамья,长椅,37
7655,дзен,禅,61
4199,нижний регистр,小写,82
2103,галлуп,gall,92
8937,мамонт,长毛象,51
1258,предвещать,铺垫,86
10296,webster.,韦伯斯特,41
14195,скорее,相当,6
11773,авария,par,30
5084,воровство,盗贼,76
11558,оболочка,贝壳,25
9044,пророк,预言家,46
11161,фольклор,民间,28
614,чек об оплате,查看,93
6543,ville.,威尔,65
9429,майонез,梅奥,49
6066,буйволы,水牛城,17
12889,сердце,心,15
9731,донор,捐赠者,41
9659,портье,搬运工,46
9651,исполнение,执行,18
8811,печень,肝,53
7295,спокоенность,斯波坎,63
9151,граната,手榴弹,42
686,подписи,签名者,88
9812,suzuki,铃木,46
11492,типичный,典型的,23
13013,мода,时尚,17
12505,робин,罗宾,22
2560,игра,剧场,90
11265,арктический,北极,35
80,westland.,韦斯特兰,100
784,клеймор,克莱莫尔,97
3625,сальвия,萨尔维亚,86
11124,впечатление,印象,21
6770,нехватка,短缺,53
3520,шеврон,雪佛龙,85
7873,преступники,肇事者,45
8775,влагалище,阴道,53
4101,винный дом,酒屋,83
12751,fm.,调频,21
12219,аудио,声音的,26
1430,градус,无偿,45
14045,в пределах,之内,10
1036,гессиан,黑森州,93
3922,паис,pais.,84
11668,вернон,弗农,31
10500,родригес,rodriguez.,40
2110,патт,彭定滕,88
10146,посол,大使,40
930,пропасть,深渊,86
3763,йосемити,优胜美地,85
10642,образец,样本,29
12964,упущения,遗漏,18
4431,дорадо,多拉多,81
3408,тигрис,底格里斯,87
230,подгруппа,亚组,91
5664,перекресток,十字路口,73
11593,христианство,基督教,12
11582,тайлер,泰勒,32
841,багги,乌布,97
13676,черновик,草案,11
1072,сокровища,宝藏,47
1254,бесстыдный,不要脸,96
11236,несправедливо,不公平地,35
9488,джунгли,丛林,47
10579,коренность,小马,20
11442,идентичный,完全相同的,20
12774,юго-восток,东南,21
7751,желудок,胃,59
8016,интервал,间隔,44
9720,скелет,骨骼,45
10673,скобка,括号,25
10438,ими,嗯,41
12824,орлеан,奥尔良,20
5060,берн,伯尔尼,77
7186,гравировка,雕刻,44
2962,братья и сестры,兄弟姐妹,71
11837,курица,鸡,29
11430,троица,三位一体,33
7679,хромосома,染色体,56
8474,прицел,瞄准,21
6721,насущный,固有,53
10965,joel,乔尔,37
10944,день рождения,生日,35
11032,строго,严格,37
2903,дези,desi,88
3349,аболиционизм,废除主义,86
9082,жареный,油炸,38
11727,nunquam,尼纽姆,31
7664,похвалы,赞美,40
14266,комментарий,评论,6
12685,в воздухе,空降,22
8003,балл,bal,59
14066,добавлен,添加,5
12832,экономический,经济的,17
3691,разведка,sconer.,85
12606,обвиняемый,被告,15
12137,унифицированный,统一,27
8263,мадрас,马德拉斯,57
2247,валентность,价,91
1824,похмелье,宿醉,92
2180,пикник,野餐,91
10915,ги.,gi.,37
1414,обслуживать,迎合,69
10346,теплица,温室,41
12043,метро,地铁,27
13820,который,哪个,6
2773,прокалывать,涓涓细流,84
12721,газа,气体,14
5405,реплика,复制品,67
4662,передозировка,过量,75
212,мистур,墨时,100
14431,модели,楷模,12
572,рептилия,爬行动物,99
14169,записывать,记录,7
14315,права,权利,7
14028,длинный,长的,8
13515,парень,guy,12
12220,поселился,sett,21
10574,нептун,海王星,40
9513,бартлетт,巴特利特,48
9408,оффшор,离岸,49
14357,легкий,简单的,11
8403,сикх,锡克教笑,47
2833,гобелен,挂毯,88
11787,очистка,清理,30
8317,экзон,埃克森,57
6705,земля,一片地,67
11026,maru,玛鲁,37
8734,передача,转移,12
4221,адъютант,副官,80
2766,serfddom.,社交,89
12224,боевой,武术,26
4939,канонический,典范,38
12331,пит,皮特,25
51,гаечный ключ,扳手,91
835,wali,瓦利,98
5555,самсара,萨马拉,74
7424,мудрость,智慧,62
11248,бесконечность,无穷,35
2776,gulliver.,格劳斯,89
5784,приливы,潮汐,33
10489,крыша,屋顶,38
12927,прием,接收,6
6155,серфер,冲浪者,61
14497,читать,读,5
1632,гипноз,催眠,94
9557,повесили,挂,48
2700,парни,帅哥,24
10973,мадагаскар,马达加斯加,37
13743,позади,在后面,11
8213,иллюзия,错觉,55
5123,альбус,阿尔巴斯,77
9227,меза,台面,50
6121,жалость,遗憾,64
7872,бесконечно,无限地,26
9636,уитни,惠特尼,47
11882,стэнфорд,斯坦福,29
5259,безжалостный,狠,75
5868,экстаз,狂喜,72
12738,ралли,集会,18
2484,сиам,暹,90
7524,неограниченный,无限,62
4195,субдукция,俯冲,77
1965,муравьед,去冰,91
5331,тупик,僵局,67
13476,прямой,直的,13
12755,юго-запад,西南,21
13542,наносить удар,罢工,11
1510,походка,步态,94
244,съедобный,食用,97
8014,спортзал,健身房,58
4236,бродить,徘徊,34
8791,julio.,朱廖,53
14348,принимающий,服用,5
9934,гимнастика,体操,42
13133,дебаты,辩论,14
9368,сами,我们自己,49
11424,кактус,仙人掌,33
11942,торговый центр,购物中心,28
78,нищий,乞丐,87
11517,млекопитающее,萌,32
12093,украина,乌克兰,27
7063,лоялист,忠诚的人,56
12516,мирное население,平民,17
12148,знал,kn,27
14123,результат,结果,7
8004,якорь,安克雷奇,59
11701,барон,男爵,30
7602,воссоединение,团圆,60
953,лепестки,花瓣,90
9530,женева,日内瓦,48
2305,карбоксилазу,羧基化酶,91
3874,ярлык,捷径,76
3241,сиденья,sykes.,83
4862,статус,法定,79
1360,пелена,佩雷,96
9183,серотонин,血清素,50
13449,серьезно,严重地,14
10400,спрингфилд,斯普林菲尔德,41
3107,кварц,石英,88
12115,культурность,文化,12
13314,вторжение,侵略,15
11714,анахайм,阿纳海姆,31
12626,фантастика,幻想,22
1117,шлак,矿渣,92
12770,радостный,欢乐,21
12166,искажение,歪曲,22
13312,франциско,弗朗西斯科,15
9469,нефрита,玉,47
11203,гордый,自豪的,35
3088,блендер,搅拌机,88
5268,продавец,卖方,58
3633,стрелец,射手座,86
11050,глава,章节,31
4142,темнее,dark,82
12796,stewart.,斯图尔特,21
10559,избиратели,选民,34
4129,донни,唐尼,82
8601,датчик,dane.,50
9624,этика,伦理,37
