ID,DANOIS,KOREAN,INTERVAL
14202,krig,전쟁,7
12316,jæger,사냥꾼,23
5737,glover.,글로버,72
13856,kun,오직,6
3211,rainier.,비거진,87
2296,tilden.,끽 질다,91
12070,opløsning,해결책,23
1938,cognizant.,찬양 한 것,91
5011,talenter.,재능,31
2793,soleil.,솔레 이유,89
10333,dar.,대표자,40
1135,bolivar.,볼리바르,97
10158,restaurant,식당,36
2884,hippocrates.,히포크라테스의,88
12440,bruce.,브루스,24
5897,veto,거부권,61
7510,due,비둘기,58
4684,stockade,방책,73
5755,hydra,히드라,71
4538,basilika.,공회당,78
7444,tramp,도보 여행가,60
2626,bushranger.,부시 러,89
11604,udelukkende,혼자서,24
3650,vend om,돌아서 다,82
9674,xx.,더블 엑스,46
4845,bridgeport.,브리지 포트,78
425,supermarine.,슈퍼 마린,100
1334,albino.,알바노,95
6734,damaskus.,다마스쿠스,65
9494,vag,희미한,42
10539,lære.,교의,38
8578,hacienda.,농원,54
10996,polar.,극선,32
3686,fabrikation,제작,39
5470,encore.,연주,71
7568,hvor som helst,대체 어디에,61
2128,bongo.,봉고,80
11331,insignia.,휘장,33
12412,connecticut.,코네티컷,24
12695,oversvømmelse.,홍수,13
4017,solstice.,지점,79
12319,pitcher.,피처,20
6663,ergonomi.,인간 공학,66
14392,dele,부속,8
267,tangent.,접선,97
11093,kanon,대포,33
8713,taiwanese.,대만 사람,53
6253,methionin,메티오닌,69
3384,uforenelig,호환되지 않음,80
13545,udmelding,성명,10
9918,satan.,사탄,37
12391,morgan.,모건,24
5462,torah.,토라,73
8910,infrarød,적외선,51
6655,sutter.,소탕,66
1356,glenwood.,글렌 우드,96
624,seimas.,시이마스,99
10684,christie.,크리스티,35
14318,altid,언제나,9
9180,harriet.,해리엇,49
4370,ægthed,확실성,51
8089,lars.,라들,45
3572,twister.,꼬는 사람,80
12472,ann.,앤의,18
4635,crick.,근육 경련,79
7007,stingray.,가오리,61
9187,clarence.,클라렌스의,49
13350,hastighed,속도,14
10784,efter sigende,에보수했다,38
7463,clive.,정밀한 것,62
7221,prøvetid,집행 유예,61
4260,minot.,미노,81
919,buffs.,버프,72
7741,auditorium,강당,59
7451,kollegaer,동료,52
10477,ira.,이라,39
11045,argumenteret,주장했다,19
14312,position,위치,6
12948,junk.,정크,19
2571,siemens.,지멘스,90
1191,indånding,흡입,72
13749,spore,길,9
7455,stereoanlæg,스테레오,62
13416,populær,인기있는,13
11203,stolt,자랑스러운,34
14505,adresse,주소,5
3612,onomatopoeia.,의성,85
7059,diplomati,외교,63
13855,sidst,마지막,6
6452,stinkdyr,스컹크,67
10513,rygter.,소문,34
9189,fyldigere.,풀러,49
9158,ækvator,적도,28
503,døbt.,크리스천,90
10563,tilstopning,막힘,37
8959,snafu.,혼란,51
8174,havana.,아바나,57
8886,acharya.,아 졸라,51
11685,collins.,콜린스,29
6368,prronger.,프롱 포그,68
14420,som hedder,명명 된,6
427,diktatorisk,독재,99
525,elektrificering,대전,99
5803,casus.,카스 스,72
1335,bilbo.,검,96
6890,sevilla.,세비야,65
9824,marroner.,마로,38
4948,rebs.,밧줄,52
13017,nord vest,북서,18
8903,toledo.,톨레도,51
3348,væv,직조기,64
5471,libertarian.,자유주의 자리,62
9858,sandwich,샌드위치,42
13832,havde,가졌다,6
685,lobo.,로보,56
1411,gearet,기어다,26
14085,direktør,감독,17
11500,norman.,노르만 인,31
1756,klassekammerater,급우들,83
12551,jul,크리스마스,23
5626,bom.,놈,73
201,præst,예배당 목사,92
3255,zirconium.,지르코늄,87
9091,recoined.,재조합,40
9477,clinch.,클린치,23
2477,runoff.,흘러 넘치다,90
6675,bosch.,보쉬,66
6519,sklerose,경화,67
2637,woolwich,모직물,89
7465,dok,독,46
12452,spredning,확산,21
10419,fodnote.,각주,29
7341,reverend.,목사,62
9056,mozambique.,모잠비크,50
12237,geografi,지리학,25
4582,lotto.,숫자 카드 맞추기 놀이,79
11245,ristet brød,토스트,33
4855,gatsby.,개츠비,78
8817,og.,읍,52
12786,vancouver.,밴쿠버,20
14155,britisk,영국,9
9929,ærligt talt,솔직히,43
2228,teal.,물오리,91
6118,novice.,초심자,67
10082,delfin,돌고래,25
5438,tonkin,통킹 참대,74
7166,tuck.,턱,60
10270,ton,톤,29
6880,homecoming.,귀가,64
13063,polen,폴란드,18
8936,inspektør,조사관,44
