ID,CHINESE,HINDI,INTERVAL
7469,博览会,प्रदर्शनी,41
5220,模拟,सिमुलेशन,37
1669,撒丁岛,सार्डीनिया,94
5251,lr.,एलआर,75
13412,坦率,स्पष्टवादी,14
11233,决斗,द्वंद्वयुद्ध,32
14377,街道,गली,10
10150,滑板运动,स्केटबोर्डिंग,29
12421,奥斯汀,ऑस्टिन,24
55,ova.,अंडाणु,100
6387,世俗,धर्मनिरपेक्ष,59
7258,胫,पिंडली,61
106,钡,बेरियम,100
12510,物品,मद,17
10640,季前赛,पूर्व मौसम,38
2391,伊曼,ईमान,90
12721,气体,गैस,13
8532,鲁本,रूबेंस,54
864,eugenia.,यूजीनिया,97
11456,巴格达,बगदाद,32
9062,瓶子,बोतल,39
10198,博,बो,36
3516,桉树,युकलिप्टुस,85
7623,轻的,हल्के,60
4438,tuba.,टुबा,79
902,bac.,बीएसी,97
2397,违反体育道德,स्वास्थ्य के लिए ठीक नहीं,90
8400,星际争霸,स्टार क्राफ्ट,54
7682,班卓琴,बंजो,59
13188,孩子们,बच्चे,16
6550,梅格,मेग,67
10542,罗德尼,रॉडने,39
6575,涛,ताओ,62
12218,莎拉,सारा,25
13974,团结的,यूनाइटेड,6
10312,ign,आईजीएन,40
9854,开罗,काहिरा,44
10816,半球,गोलार्द्ध,37
7947,海拔,ऊंचाई,32
11005,达蒙,डैमन,36
3325,bebop.,बिहॉप,86
1207,列宁主义者,लेनिनवादी,95
134,伦巴第,लोम्बारड,100
9578,彩票,लॉटरी,46
13774,晚了,देर,11
12603,丹佛,डेन्वर,22
11589,不受欢迎,अनिष्ट,31
10161,蝙蝠侠,बैटमैन,42
6093,蜉蝣,mayfly,70
9420,种族隔离,रंगभेद,47
12208,catgut.,तार,26
3212,墙纸,वॉलपेपर,83
5072,唐人街,चीनाटौन,76
835,瓦利,वाली,98
4744,nietzsche.,नीत्शे,78
12330,heav,भारी,24
3460,屯,धुन,85
7264,胡扯,वफ़ल,58
2813,nostradamus.,नास्रेदमस,88
3498,熟练程度,प्रवीणता,72
8733,鲍曼,निशानेबाज़,52
11104,逐步地,धीरे - धीरे,32
13650,合法的,कानूनी,8
9821,咸菜,नमकीन,44
2375,昆腾,क्विंटन,90
11894,文森特,विंसेंट,28
13762,夜晚,रात,11
12049,ck.,सी.के.,27
2820,视野,क्षितिज,51
2900,愤怒地,गुस्से से,88
13619,可用的,उपलब्ध,12
13689,密歇根州,मिशिगन,12
1316,mambo.,मैम्बो,95
8349,兰利,लैंग्ले,55
14074,远的,दूर,8
6056,炮火,तोप का गोला चलाना,70
10693,理由,औचित्य,36
10987,初学者,स्नैक्स,23
13596,趋势,प्रवृत्ति,12
1310,剥夺,वंचित,65
9837,滑铁卢,वाटरला,44
14338,看到,देखा,10
13741,el,एल,11
625,立法者,सांसदों,94
12192,隶,मुंशी,26
3326,联合,सिंडिकेशन,53
2666,号角,बिगुल,88
340,祖父母,दादा दादी,79
11046,历史学家,इतिहासकारों,26
8863,伍迪,वुडी,50
516,根西岛,ग्वेर्नसे,99
9550,南极洲,अंटार्कटिका,46
7615,笑,मुस्कान,28
8468,未解答,अनुत्तरित,54
13775,爱尔兰,आयरलैंड,11
4573,核糖体,राइबोसोम,69
9652,预期,प्रत्याशित,37
4479,体育精神,खेल भावना,80
1772,无性,असेक्सुअल,86
1999,毒理学,ज़हरज्ञान,90
12596,四世,चतुर्थ,22
4541,健身房,जिमनासियम,77
11096,孟菲斯,मेम्फिस,35
6435,非洲人,अफ्रीकियों,13
12497,赛跑者,हरकारा,18
13701,数据,आंकड़े,12
12964,遗漏,चूक,18
11545,平坦的,समतल,29
1048,雷尔格斯,रिडलेग्स,97
13027,克里斯托弗,क्रिस्टोफर,18
8375,sci.,एससीआई,55
3455,丽莎,लिज़ा,86
3062,三角一代,triceratops,87
8120,垒球,सॉफ्टबॉल,56
11943,永恒的,स्थायी,21
4776,荡,फूहड़,71
7613,名誉,माननीय,60
8293,热情,उमंग,55
8715,赌博,जुआ,39
4766,quid.,रुपये,77
11372,不相位,विपरीत,33
2452,天才,प्रतिभाशाली,41
2209,蓝图,खाका,86
7643,绿洲,शाद्वल,60
7404,手腕,कलाई,58
9875,小鸡,चूजा,38
7392,屠夫,कसाई,56
9948,左撇子,लेफ्टी,43
11309,企鹅,पेंगुइन,23
11600,法规,नियमों,22
11924,sex,यौन,17
105,amrita.,अमृता,100
13558,灰心,हतोत्साहित,12
4002,manhunt.,तलाशी,81
7421,vesta.,वेस्टा,62
10536,羊,भेड़,39
2235,鳞,स्क्वैमिश,91
3388,哈利法,कलीफा,86
5956,四重奏,चौरागा,69
10501,奇迹,चमत्कार,14
8538,表哥,चचेरा भाई,44
4265,kapp.,कोप,81
6587,悄悄,चुपचाप,66
9779,德蒙斯郡,डेवोनशायर,44
11854,持续的,चल रही है,28
14336,标准,मानकों,10
1196,达梅尔,डेमे,96
13324,不同意,असहमत,14
12279,准备好,तैयार किया,16
