ID,HINDI,DEUTSCH,INTERVAL
10270,टन,tonne,29
7863,सॉस,würstchen,54
4417,पुनर्वितरण,umverteilung.,79
13820,कौन,welche,6
13473,अकादमी,akademie,13
14089,शुरू किया,begann,9
13759,परिचित,vertraut,11
12664,के परे,außerhalb,21
2417,चिंक,spalt,88
512,इले,ile,99
8264,ब्रिट,brite,49
11069,कच्चा,roh,35
13947,लेना,nehmen,5
4631,सलादीन,saladin,78
11718,माया,maya,29
6857,अल्जाइमर,alzheimer,64
124,फ़ोगल,fogle,100
12166,गलत ढंग से प्रस्तुत,falsch verpelte,22
4779,प्रतिकण,antimaterie,77
3953,बेरेत,baskenmütze,71
1082,अब से,fortan,96
4673,हानिरहित,harmlos,78
1388,अर्जेंटीनो,argentino,95
2254,पूर्व कड़ी,prequel,91
7590,आइसलैंड का,isländisch,27
11769,सेकंड,seek,29
13455,संघीय,föderal,12
11825,पोस्टसन,nachsaison,28
2346,समोच्च,kontur,86
9246,कक्षाओं,umlaufbahnen,14
4174,गंजगोला,schrapnell,81
5459,एनिमा,anima,71
1476,ट्रैम्पोलिन,trampolin,90
4852,बेरोज़गार,arbeitslos,49
9224,पूर्ण सहयोग,fullback,43
2099,कोरी,korrie.,92
3691,स्काउटर,scouter,84
3851,नाकाम,verkreuzung,69
9659,बोझ ढोनेवाला,porter,44
8879,सेनेका,seneca,51
850,स्काटिश,kaledonisch,98
7866,सुपरनोवा,supernova,58
9020,लेंस,linse,50
731,चिकित्सकों,praktiker,76
1457,टैबा,tabor,94
11692,भूकंप,erdbeben,12
8098,पिक अप,abholen,55
9768,तनाव,spannungen,34
4715,पंख काटना,lähmen,78
11393,आर्क,bogen,31
3424,निषेध,tabu,83
10582,नेपोलियन,napoleon,35
1429,यार,yer.,94
7827,डिज्नीलैंड,disneyland,58
6248,गिरोह,clique,65
12905,अरकंसास,arkansas,19
10729,वर्णन,narrativ,37
3625,साल्विया,salvia,84
4043,सादगी,einfachheit,81
141,रीस,reis.,78
11186,स्विस,schweizerisch,34
4774,साइट्रस,zitruszitrus,77
11770,फ़िजी,fidschi,29
10666,स्टालिन,stalin,37
7017,नार्वेजियन,norse,63
14095,औसत,durchschnitt,10
12808,हैरिसन,harrison,20
5821,प्रस्तुत करने का,vorbereiten,68
10934,बीटल्स,beatles,36
218,नाइट्रोफेनॉल,nitrophenol,100
14340,अस्वीकृत,abgelehnt,13
2556,डायटोम,diatom,86
12117,ग्राफिक्स,grafik,15
2754,शराब की भठ्ठी,brauerei,81
2775,हरकतों,antike,86
12423,डीईआर,der,23
12100,डी एस,ds.,26
12887,लुइसियाना,louisiana,19
9470,पृथक,isoliert,38
2222,दालचीनी,zimt,91
