ID,ARABE,SPAIN,INTERVAL
13784,صغير,pequeña,11
12279,معد,preparado,17
4753,كره المثليين,homofóbico,79
162,كانا,kana,99
13505,تحكم,arbitraje,13
14463,يحاول,intentar,6
10932,مثلث,triángulo,36
5855,الماوري,maorí,69
11071,مادة متفجرة,explosivo,18
4723,كروية,esférico,78
10894,تيموثي,timoteo,38
5036,فرجينيا,virginiano,70
7397,تارا,tara,63
357,فجوات,borradores,95
13236,ديفيس,davis,15
5997,شتاين,stein,71
11103,إسقاط,goteante,12
1859,قلة,cónclave,90
8482,قمح,grano,50
4680,لم يكشف عنه,no revelado,79
14206,طلبت,preguntó,5
7546,القسطنطينية,constantinopla,62
10540,أوكيناوا,okinawa,40
13845,س,s,5
5309,العداء,velocista,60
13856,فقط,solo,6
5720,أساليب,modos,35
13166,قطار,entrenar,10
5643,كاربوكسي,carboxi,74
11168,عذر,excusa,34
11767,ضرر وتلف,dañar,12
3931,كيبوتس,kibutz,84
12921,مكسور,roto,20
10223,جايلز,giles,43
5250,كربوكسيل,carboxilato,61
9944,رولاند,roland,45
7910,لامبو,lambeau,60
1887,تراوح مكانها,parada,93
12637,برمجة,programación,11
8303,تيت.,tate,56
6639,الاستراتيجيات,estrategias,31
6814,لتلر,ller,67
6881,wattle.,zarzo,65
2234,hitchhiker.,autostopista,84
10314,غير منصف,injusto,42
13178,الطول,longitud,16
12544,رسالة,letra,18
52,نبض القلب,latido del corazón,99
6213,سبائك,aleación,64
7907,جريجور,gregor,60
2115,تاريخ العرض,fecha del aire,89
1764,مانع,bloqueador,84
7695,رائد فضاء,astronauta,53
10696,مولر,muller,39
6357,فارلي,farley,70
4620,المعتقلين,detenidos,70
2608,يتجاوز,excede,90
209,lithosphere.,litosfera,100
14209,قديم,viejo,10
13329,المناطق,zonas,9
12245,أميرة,princesa,26
2676,أطيح,derrocado,90
7978,المغنيسيوم,magnesio,59
8537,الحيتان,balles,55
2350,فرشاة,cepillado,47
12404,روس,ross,25
14141,حق,pendiente,6
6565,مبتسم,smiley,68
3122,مشد,corsé,72
11650,حمل,que lleva,11
1407,تعديل,que modifica,19
11286,ينزع,tender,28
6726,استدعى,convocado,53
14390,القوات,efectivo,8
12415,فجر,amanecer,25
11431,لويسفيل,louisville,34
12421,أوستين,austin,25
3957,عازف البيانو,pianista,80
11604,بمفرده,solamente,24
11875,فلسفة,filosofía,29
14087,المجموع,total,7
5115,إنسانويد,humanoide,75
10748,لاسلكي,inalámbrica,39
12938,مغلق,cerrado,10
10381,خرطوشة,cartucho,37
5978,خصلة شعر,jirón,72
10641,مباراة العودة,revancha,39
13842,سنة,año,6
5480,وزغة,geco,75
8551,بلازما,plasma,55
4534,أجعد,difuso,80
11940,الكشفية,discografía,29
10512,مقفل,bloqueado,27
12763,فون,von,22
1724,إغلاق,cierre,48
11040,تهرب من دفع الرهان,galés,37
2535,الخطي,khatri,90
10259,تكتونية,tectónica,40
7399,أرهق,exhausto,41
9344,حاوية,césped,48
13651,حارس,guardia,11
8418,خربشة,escribiendo,53
4992,زينون,xenón,78
12631,رمادي,gris,22
600,قميص النوم,camisa de dormir,99
10797,مكتب التحقيقات الفدرالي,fbi,38
10510,خطي,lineal,40
4952,سلافية,eslavo,78
7732,ديم,diem,61
12352,بريسبان,brisbane,25
10683,قنفذ,erizo,39
4846,الأدوية,farmacéutico,68
319,باير,bey,97
14276,من المحتمل,probablemente,7
10195,كيربي,kirby,43
11761,رياضي,atlético,13
2562,byelorussian.,bielorruso,90
5425,قرن كبير,cuerno grande,75
11397,استنتزع,inferido,31
13075,حرج,crítico,11
9860,لويز,louise,46
10486,الجراحة,cirugía,40
3200,إلحاق,infligir,53
12084,مكون,compuesto,22
9008,تمتد,extensión,18
5187,الكرملين,kremlin,77
9679,درع,armadura,21
3754,كيرن,kernado,84
10536,خروف,oveja,40
9500,رحمة,misericordia,45
12905,أركنساس,arkansas,20
12303,كون,universo,7
4191,المغازل,hilanderos,55
1092,ريشة,pluma,94
922,يسرع,ajetreo,88
13411,كوبري,puente,13
13936,ملكنا,nuestro,5
12583,حفرة,fosa,17
13607,متصفح,navegador,12
6989,العمود الفقري,espinal,65
764,مانكس,de la isla de man,98
9455,رمي,tiros,19
13351,بحيرة,lago,14
3252,sizeable.,considerable,88
6390,blockbuster.,éxito de taquilla,67
3088,الخلاط,licuadora,88
4365,جاغر,jagger,81
983,تكسان,texano,39
10889,العد,recuento,11
12660,تشارلي,charlie,23
14158,أجهزة الكمبيوتر,ordenadores,7
9741,كارلو,carlo,47
14431,عارضات ازياء,modelos,13
5108,بالتأكيد,decididamente,77
9660,الكالسيوم,calcio,47
7960,بيكر,becker,60
3551,توبيكا,topeka,86
10368,تاكو,taco,41
11772,البرازيلية,brasileño,30
8719,دعوى قضائية,demanda judicial,49
6002,كاما,kama,72
5225,ميسي,señorita,76
9184,التناظرية,cosa análoga,40
11387,ليدز,leeds,34
474,انتشار,predominio,65
6591,الشمبانزي,chimpancé,65
6834,غير منطقي,irracional,65
2523,الردف,azotaina,82
3173,جاهل,sin gusto,88
13494,الاستعلامات,consultas,13
8204,سيسيل,cecilio,58
13877,يمكن,puede,5
417,شهادة البكالوريا,bachillerato,100
3867,المبتدئون,estudiantes de primer año,84
572,زاحف,reptil,99
1163,fireboy.,bombero,96
4761,هيليكس,hélice,79
11408,استشاري,consultivo,27
4338,iceman.,repartidor de hielo,82
4711,الأرق,insomnio,79
8718,القبعات,sombreros,27
4853,البروستات,próstata,77
4886,السامية,semitismo,51
3064,مدخنة,chimenea,78
6758,مما لا شك فيه,indudablemente,67
5791,سلكي,por cable,31
4631,سلادين,saladin,80
7952,كرويدون,croydon,60
14482,لماذا,por qué,7
6861,راس,ras,28
7727,نابولي,nápoles,61
8246,جبان,miedoso,57
12550,مقدور,prólogo,24
6067,عاصف,ventoso,71
5135,انقطاع,cesura,77
5902,جرد,ged,72
10657,أعمى,ciego,32
3726,شامبين,champaign,85
13244,صفقة,trato,12
742,فيبي,phoebe,98
4022,السجلات,registros,6
10046,البلديراش,disparates,44
10558,مصطنع,artificial,39
2604,منطقية,booleano,88
10129,أدرك,dio cuenta,24
14489,أعداد,números,7
5864,المستثمرين,inversores,63
10627,كشف,revelar,21
13970,فعل,hizo,5
4897,كونفوشيوس,confucio,78
13101,أمير,príncipe,17
9482,مؤثر,influyente,49
1314,سوء التغذية,desnutrición,96
5572,إجلال أو بيعة أو احترام,homenaje,73
5172,جدة,abuela,76
2034,كاثود,cátodo,90
12911,متحف,museo,19
8042,تانر,curtidor,59
6915,مؤشر,dote,66
274,ميكادو,micado,97
6905,لهجة,dialecto,49
5185,التعطيل,inercia,77
7140,مفزوع,asustado,36
2828,إلغاء حماية,desprotegido,51
4848,بوردو,burdeos,79
8910,infrared.,infrarrojo,53
13751,يشير,indicar,9
3999,أركاديا,árcade,73
10592,لحم خنزير,jamón,39
4232,ديدي,diddy,82
11177,خدمة النقل,lanzadera,35
2119,بيكرسفيلد,takersfield,92
10215,هيل,sano,43
8009,عارية,desnudo,35
12451,قاعدة البيانات,base de datos,24
13930,خلال,durante,8
8763,عدسة الكاميرا,visor,54
12791,لاري.,larry,21
13865,نحن,nosotros,5
10639,المعاملات,actas,37
5768,القسم الفرعي,subsecciones,47
8301,حقيقي,realista,50
12107,خاضع للسيطرة,revisado,11
14378,الوحدات,unidades,6
14312,موضع,posición,6
5792,الاعتدال,equinoccio,69
5722,gopher.,ardilla de tierra,38
3495,الحديث,hadiz,86
4501,واثق,wt,80
7772,نترات,nitrato,57
11975,غيتس,puertas,21
6135,كوكتيل,cóctel,65
6541,الناصرة,nazaret,69
3728,أثث,amoblar,61
9597,يسرق,robo,31
11484,اجتاحت,barrido,33
10550,سار.,sar,40
11676,جاكرتا,jacarta,31
8819,حفر,cavar,45
1221,تعويضية,compensatorio,96
12184,غير مرخص,no licenciado,27
10992,ارتدى,vistió,38
4460,quakers.,cuáqueros,65
1548,shortwave.,onda corta,95
11028,زلزال,terremoto,36
1851,ماتلي,abigarrado,93
8957,اللقاح,polinizador,46
1567,عدد الأميال,kilometraje,95
12193,بغض النظر,independientemente,27
5338,مكاني,espacial,75
11785,سبارتان,espartano,25
989,كاميلوت,camelot,97
6372,الكارثة,armagedón,70
7382,محبط,frustrante,7
6136,العذراء,virgo,71
2202,ليندي,lindia,91
14101,دولة,país,8
8635,العلجوم,sapo,54
14510,فعال,eficaz,10
5873,معتدلة,moderadamente,26
7627,طابعة,impresora,56
11583,مونرو,monroe,32
3044,bridgeman,hombre del puente,88
3418,الغابات,silvicultura,87
12581,إرهابي,terrorista,19
14310,شئ ما,algo,8
960,إتفاق,entente,97
4717,أوبال,ópalo,79
3950,عزز,reforzar,65
4147,جسر,viaducto,78
12063,كاتب,escritor,19
1910,فهد,vv,93
9352,ثورب,thorpe,49
5671,سيد,syed,74
8508,المد,de marea,56
12019,أوكسفورد,oxford,28
4548,متشابكة,enredado,72
6115,بشكل جذري,drásticamente,53
7077,الفضائح,escándalos,26
5216,بروتوس,brutus,76
469,تسلل,escabullido,52
11312,مختفي,oculto,35
9992,منحة دراسية,beca,43
4573,ريبوسوم,ribosoma,71
1642,غفرت,perdonado,94
14503,توزيع,distribución,20
12974,كرات,pelotas,10
11021,هارولد,harold,37
388,طائر السمان,codorniz,98
14267,مبنى,edificio,10
3684,ميد,medicina,85
3589,دراجات نارية,motocicletas,26
12813,إكسب,c.a,21
1797,فقدان الذاكرة,amnesia,93
10717,زبدة,manteca,38
5114,طبلية تاج,ábaco,77
1743,إقناع,persuasión,76
1114,القاضي,magistrado,81
2793,سولي,soleil,89
6618,سايجون,saigón,68
13209,نجارة,júnior,16
13583,إيطاليا,italia,13
3186,بلاغة,elocuencia,79
7223,موصل,conector,61
