ID,SPAIN,PORTUGAIS,INTERVAL
8207,edén,éden,57
8136,daga,punhal,56
7871,limo,limar,59
10370,anuncio publicitario,propaganda,7
1199,guiso,ensopado,88
7963,podar,aparar,42
6018,encarnación,encarnação,48
456,armero,harmina,100
3230,vestidos,peças de vestuário,61
8200,lite,leve,56
9609,guardavía,lineman.,47
12110,enfocar,foco,29
9055,tormenta,trovoada,41
6498,color avellana,avelã,68
2264,cavernícola,homem das cavernas,91
913,residencia universitaria,dormitório,85
5291,de liverpool,scouse,76
8484,diestro,dexter.,54
7363,campo de salida,outfield,17
1732,regalías,royalties.,65
13251,campana,sino,17
14132,suma,adição,7
10515,recurso,recorrer,36
9132,erosión,erosão,50
518,tragado,engolido,61
3407,secoya,redwood,83
14220,similar,semelhante,12
11856,cañada,glen.,31
13412,franco,frank.,15
8666,meseta,platô,53
4504,cuchillas,facas,80
3513,asimilación,assimilação,74
7828,trípode,tripé,59
12038,cuenca,bacia,29
6755,favorable,favorável,30
4760,pava,chaleira,77
2043,con antaño,wird.,92
10762,póngase en fila,alinhar,38
509,sin fecha,sem data,99
2105,hundimiento,sagrão,84
4804,inadvertido,despercebido,72
7272,llanto,choro,33
5545,gubia,scooper,74
11669,virginia,va.,32
9705,estancado,parado,38
12544,letra,carta,19
2041,marco principal,mainframe.,91
8615,mullido,mullen.,54
30,rodilleras,torresmos,100
3450,pie de página,rodapé,83
3752,excursionista,rambler.,81
14151,sur,sul,9
14329,cargar,cobrar,16
10275,otón,otto.,42
9804,inspección,inspeção,37
8702,derrocamiento,derrubar,52
14377,calle,rua,11
11725,carolina del sur,sc.,32
2850,congestión,congestionamento,82
6825,veinte,twenties.,14
10227,conejito,coelho,41
793,harrama,harr.,96
11299,culpable,culpado,35
6353,hitos,milestones,49
9798,guardabosque,guarda-florestal,19
12407,contar,contábil,26
12164,elevar,lift,18
5722,ardilla de tierra,gopher.,38
11836,ceniza,cinzas,26
10010,odisea,odyssey.,44
11133,dieciséis,dezesseis,37
2120,chitrafiar,chitty.,92
10687,levantamiento,revolta,38
11959,armadillo,tatu,30
401,exclusivo,de luxo,100
13814,voluntad,vai,5
630,aburrir,lazer.,99
14025,mi,meu,6
10308,vale,chit.,42
8208,escarabajo,besouro,55
273,movimiento rápido del ojo,rem.,99
4823,aguamiel,hidromel,73
7018,hackear,hacking.,38
13099,más grande,maior,19
11837,pollo,frango,30
6091,babosa,lesma,52
4278,gota,gruta,81
10081,cueva,caverna,38
13584,talla,tamanho,13
2017,garabatear,doodle,90
6813,hambriento,com fome,66
148,modernizar,revamp,71
1965,oso hormiguero,suater,91
681,presagiar,bode.,90
3459,jugoso,suculento,86
9527,separación,separação,14
6821,examinado,rastreados,20
7358,terciopelo,veludo,62
5879,escaparate,mostruário,56
12061,en cualquier sitio,qualquer lugar,29
696,estrafalario,wack.,98
9962,baño,banheiro,45
10824,maquinilla de afeitar,navalha,38
11349,huésped,convidado,30
3387,inscripciones,inscrições.,67
10760,jugo,sumo,38
4820,antecesores,predecessores,45
13641,ocho,oito,13
10894,timoteo,timothy.,38
14061,poner,colocar,9
722,gusano,larva,95
8120,sofbol,softball.,57
171,archidiócesis,arquidiocese,100
7959,una pieza,um pedaço,59
12267,odio,odiar,25
14124,informes,relatórios,5
194,automovilistas,motoristas,97
11512,resistente,hardy.,32
14429,carillo,preço,20
10263,knockear,nocaute,42
13837,tú,você,5
4406,nota marginal,marginalia.,81
7621,sumo,sumô.,61
3606,ayunarse,clem,85
9899,vagabundo,andarilho,33
1887,parada,paralisado,93
10492,cha,xá,40
13647,en vivo,viver,8
2010,error de ortografía,misspelling.,60
1361,de soltera,nee.,96
12809,almiar,rick.,22
9000,apagón,queda de energia,49
6915,dote,dow,65
13198,aceptable,aceitável,6
6764,aleta,barbatana,60
1395,corriente de lava,coulee.,94
3863,agua clara,água limpa,83
12584,padre,pai,23
8849,chispero,sparky,53
6490,pavo real,pavão,67
12335,as,ás,24
12312,en todo el mundo,no mundo todo,27
11567,aparte,a parte  de lado,33
10577,imágenes,cenas,39
12126,billón,bilhão,28
6103,braguero,treliça,71
11427,hermana,irmã,29
3830,negrita,needham.,84
6682,empinado,íngreme,64
10354,alumni,ex-alunos,41
13050,obtiene,recebe,8
3448,doguillo,pug,81
6417,derecho de retención,penhor,68
8526,en el extranjero,no exterior,55
14374,diciembre,dezembro,6
9410,por inadvertencia,inadvertidamente,47
14386,tarjeta,cartão,14
6477,coronilla,patê,68
1019,pista de aterrizaje,pista de pouso,92
11145,sirena,sereia,36
12987,vaquero,jean.,20
8896,bosquecillo,holt.,52
7246,el más nuevo,o mais novo,62
4460,cuáqueros,quakers.,64
8047,facciones,facções,44
10808,creció,cresceu,38
10458,objeción,objeção,12
3368,replicación,replicação,62
8037,ingenio,sagacidade,25
1074,añadido,anexado,70
2510,farsante,humbug,90
9104,explosión,explosões.,28
811,ibídem,ibid,98
13970,hizo,fez,5
1411,orientado,voltado,28
11009,rotación,rotação,28
9699,curling,ondulação,41
1140,cebo,isca,72
5969,genoveva,lizzie.,72
8842,rabón,reak,52
5160,afligido,acometido,77
3896,costura,tecelagem,75
13225,cayó,caiu,18
3044,hombre del puente,bridgeman,88
394,latería,latham,100
13880,muchos,muitos,6
5593,mutación,mutação,63
41,verbosidad,palavreado,100
7339,brújula,bússola,56
6346,bisonte,búfalo,62
10403,inmundicia,sujeira,41
47,perro de pomerania,spitz.,100
2666,bugle,cornetim,88
13532,previamente,anteriormente,14
3451,trébol,trevo,65
4733,más fresco,mais legal,79
904,modus,modo,97
9416,sesgado,distorcido,46
2898,entre varios colegios,intercolegial,88
10604,compras,shopping,26
12227,nacimiento,aniversário,14
10806,ligado,vinculado,30
5492,narguile,cachimbo de água,74
11904,duodécimo,décimo segundo,30
11952,tiburón,tubarão,24
5327,angustia,sofrimento,63
1992,borrascoso,gusty.,92
1856,punzón,mão armada,94
6776,día siguiente,morrow.,66
13826,estado,estive,5
13500,seguridad,segurança,12
4520,el e,te,80
2618,escándalo,discutir,86
4334,lanzacohetes,lançador,62
1528,vejiga,bexiga,95
2760,babero,babador,88
12452,untado,propagação,23
11821,secuencia,seqüência,28
13012,deshecho,desfeito,20
1535,imitar,mímico,91
11671,evaluación,avaliação,29
10118,eh,hã,43
10831,quejas,reclamações,28
4984,diseña,buster.,72
14195,bastante,em vez de,7
3257,paperas,caxumba,87
12510,ít,item,19
697,drogadicto,viciado,87
11326,incendio,queimando,21
562,estribaciones,foothills.,74
1868,chocho,colidir.,44
1257,más grueso,mais espesso,96
6921,sabueso,cão,60
9601,intersección,interseção,42
6459,oxido,ferrugem,64
10718,banderín,galhardete,38
1452,calzada,cariageway.,95
13139,mañana,manhã,18
9540,campaña corta,shortstop.,47
3531,humedal,wetland.,80
8519,explotación,explodindo,34
8265,aterrizaje,landings.,12
5916,vano,vão,72
9906, ,didnt.,45
1966,currícula,clough.,93
14315,derechos,direitos,8
11918,puñal,dirk.,30
12955,judío,judaico,21
102,grabadora,impressão de impressão,100
6165,superpoblación,superpopulação,69
8099,whisky,uísque,58
4626,tritón,newt.,79
6198,buque insignia,flagship.,70
13263,ninguna,nenhum,18
2623,séquito,comitiva,90
8019,paz,pax.,58
