ID,CHINESE,POLONAIS,INTERVAL
12080,伊朗人,irański,26
3026,漂白剂,wybielacze,86
7574,卡梅尔,karmel,62
13701,数据,dane,12
10219,冲突,starcie,31
10664,氏族,klan,36
9989,东北向上,północno-wschodni.,44
3786,矩形的,prostokątny,85
651,麻黄碱,efedryna,98
14040,之中,wśród,10
1885,瑞典人,szwed,81
5824,林登,lipa,73
459,断层扫描,tomografia,99
11744,舰队,flota,30
13696,个人,indywidualny,11
4645,舱室,przedział,73
5764,尼克西,rusałka,73
2826,三次,trzykrotnie,89
8987,错字,typo.,32
5179,三角学习,trygonometria,77
11399,生长,wzrost,34
6978,达西,darcy,65
12230,时髦的,biodro,26
10882,beg,zaczął się,38
383,布罗伦,bluel.,100
2014,诱人,kuszący,66
3928,地峡,przesmyk,84
12286,最新的,najnowszy,26
2073,伪造,dezinformacja,92
8067,瓦特,watts.,41
6656,现任者,beneficjant,60
9334,德拉特,dratek,50
11346,阿尔巴尼亚,albania,35
2180,野餐,piknik,91
10687,起义,powstanie,38
6853,铎,tudor.,66
13017,西北,północny zachód,18
4820,前辈们,przodkowie,45
7532,lynx.,ryś,62
3428,棒冰,lód na patyku,87
9572,露西,lucy,48
3240,粗体,boldface.,80
5306,基多,quito,76
6495,统治者,władcy,51
2785,纽马克网,nowy rynek,89
448,救生艇,łódź ratunkowa,96
4120,卡斯,cass.,83
2712,狂热,zachłanny,89
2788,伦勃朗,rembrandt.,89
12364,默里,murray.,25
10799,特性,nieruchomości,19
3115,爱琴海,egejski,88
7185,岩浆,lawa,64
13417,提及,wspomniany,10
6961,赫本,hepburn.,66
11842,活,żywy,30
11453,怀俄明州,wyoming.,33
12740,凤凰,feniks,22
1064,崇敬,czczony,52
1177,nco,podoficer,97
10414,百老汇,broadway.,41
7159,疲劳,zmęczenie,62
13238,斯坦利,stanley.,16
1148,露天,nudibranch.,97
7090,疫苗,szczepionka,54
4851,荷斯坦,holsztyn.,79
5376,入店行窃,kradzież sklepowa,72
8331,小伙子,chłopak,53
11591,退伍军人,weterani,23
61,抗沙林,antisubmarine.,100
8338,栅格,raster.,57
11003,咖啡,kawa,38
3434,感官,sensoryczny,86
9722,监视,nadzór,47
1011,隔断,odciąć,97
811,同i,ibid.,98
1986,未爆炸,niedodowłosa,93
11420,馅饼,ciasto,32
14354,女性,kobiety,11
9250,颅骨,czaszka,49
11238,逮捕,aresztować,17
2550,麻,konopie,90
5480,壁虎,gekon,75
13517,打印,wydrukowany,11
10604,购物,zakupy,24
10858,色情,pornografia,38
10980,升级,uaktualnienie,21
10861,cox.,sternik,38
797,爱乐乐团,filharmonia,98
9252,公制,metryczny,48
4766,quid.,funt szterling,79
13281,基本的,podstawowa,15
8448,隐秘,tajny,56
12978,走了,stracony,19
9614,笏,wat.,46
10956,印度人,indies.,24
6464,拍卖,aukcja,60
11034,公会,gildia,37
11787,清理,sprzątać,30
14408,人物,figury,12
12181,生病,chory,23
1703,蹦极,bungee,94
12833,钢,stal,20
14152,包裹,pakiet,20
7445,宣言,manifest,62
13228,捆绑,zawiązany,10
7216,毛茸茸,futrzany,64
1318,纠察队,pikiety,55
4039,无暇,nieskazitelny,83
13865,我们,my,5
11581,罗斯福,roosevelt.,32
7000,指关节,knuckles.,62
2,椒盐卷饼,precel,93
9391,残酷的,szorstki,49
11301,佛,fo,35
11995,后部,tył,28
13494,疑问,zapytania,12
4492,不稳定的,niekonsekwentny,69
12543,合同,kontrakt,20
7835,懊恼,poirytowany,30
8035,遥远,odległy,59
4974,母板,płyta główna,78
7557,晚安,dobranoc,62
10890,爱因斯坦,einstein.,38
12325,upropropical.,ekstratropiczny,25
3077,排版,typografia,88
7205,卫生,urządzenia sanitarne,61
7039,对应物,odpowiedniki.,50
3198,动词,czasowniki,51
9348,丹特,dantez,50
8873,演示,próbny,45
9693,猎豹,gepard,45
14501,当局,władze,9
4586,走路,walkower,79
2565,conopic.,kadzyk,90
11736,佩里,wino z gruszek,31
11967,ie,tj,29
2202,林迪,lindy,92
7318,塞萨尔,cesar.,60
7383,牛扒,stek,62
8865,伯克希尔,berkshire.,53
4389,不可撤下,bezpowrotnie,80
2391,伊曼,iman.,91
10758,七叶树,kasztany,36
12333,反抗,opór,21
11821,顺序,sekwencja,27
8618,奥古斯塔,augusta.,55
6875,锅炉,bojler,62
11898,迅速的,nagły,25
5971,告别,pożegnanie,71
12614,卡尔加里,calgary.,23
7552,膜,membrana,61
6854,天花,ospa,66
1704,拉长,ucieszyć,94
9115,误解,nieporozumienie,44
2633,助推器,wzmacniacz,77
4862,法定,ustawowy,79
13698,提示,poradnik,12
9002,肥胖,otyłość,51
3393,斯洛文尼亚语,słoweński,87
12406,胖的,tłuszcz,24
