ID,DANOIS,RUSSIAN,INTERVAL
14080,funktioner,функции,9
6469,opec.,опекан,68
5905,cartman.,картман,71
12203,liberal,либеральный,16
1022,redningsmænd,спасатели,96
626,invertebrate.,беспозвоночный,98
6756,ultraviolet.,ультрафиолетовый,66
12527,kredit,кредит,17
7470,bortskaffelse.,утилизация,45
6586,manpower.,рабочая сила,67
2114,adriaterhavet.,адриатики,92
9628,notworthy.,заслуживает внимания,46
1442,trident.,трезубец,91
14088,her,здесь,5
5718,whig.,виг,62
7100,farmest.,не менее важно,63
11629,saskatchewan.,саскачеван,31
2827,kvælning,задыхаясь,68
5086,rampant.,безудержный,76
1746,baka.,бака,93
11812,sammenligning,сравнение,27
13201,lånte,заимствовал,16
7827,disneyland.,диснейленд,59
13468,minister,министр,13
12327,våben,оружие,14
3215,allergi,аллергия,86
10226,eksklusiv,эксклюзивный,22
14135,dos,дос,5
6713,ulykkelig,несчастный,64
12445,dynasty.,династия,23
2080,hvidløg,чеснок,92
6132,maggie.,мэгги,70
2386,modkultur,контркультура,91
7993,befriet,освобожден,58
6842,vegetarisme.,вегетарианство,58
10719,syn,зрение,31
4631,saladin.,саладин,79
545,reaktionær,реакционер,94
8675,gentage,гент,53
13862,flere år,годы,6
12460,wilton.,уилтон,24
12154,er.,эр,26
7625,nuggets.,наггетс,54
7708,porcupine.,дикобраз,60
12023,raceway.,гоночная дорога,27
4710,fauna.,фауна,79
6349,tacoma.,такома,69
5342,perennial.,многолетний,72
8976,kitty.,китти,49
7394,hummer,омар,62
9651,udførelse,исполнение,18
12718,gov.,гов,21
12869,fl.,промежуточный,20
8638,shelley.,шелли,54
14399,hvid,белый,10
9549,busser.,автобусов,46
9850,hercules.,геркулес,44
3760,eksamener.,экзамены,63
1406,forsinket,запоздание,95
2497,prick.,уколоть,86
2702,binomial.,биномиальный,89
8632,beethoven,бетховен,54
11039,koloni,колония,21
344,hydroxyl.,гидроксил,84
4066,polygami.,полигамия,82
437,amiga.,амига,98
2253,tjekkoslovak,чехословак,87
13949,amerikansk,американец,8
