ID,RUSSIAN,JAPAN,INTERVAL
5267,хореография,振り付けます,76
7665,остерегаться,注意してください,62
12092,инактивированный,不活影,26
5961,очарование,派遣,72
3899,жадность,貪欲,84
8373,янтарь,アンバー,57
3076,ясный,ルシッド,87
2658,плебисцит,プレビセンタ,89
14292,случаи,ケース,6
4165,ziggurat,ジグラット,83
8065,сегменты,セグメント,34
1602,англиканизм,アングリカニズム,42
7135,напоминает,似てる,39
6842,вегетарианство,菜食主義,59
2651,гемоглобин,ヘモグロビン,90
14508,документы,ドキュメント,12
9605,перевозка,キャリッジ,45
13502,сцена,ステージ,12
8450,автобиография,自伝,55
12158,дьявол,悪魔,19
6820,раз в полмесяца,半程度,67
9332,полли,ポリー,50
9224,полный назад,フルバック,45
8231,мал,mal,58
7130,гарнетт,ガーネット,65
2227,анализатор,パーサー,90
4342,вскрытие,剖検,79
6218,клитор,クリトリス,71
7332,вердикт,評決,62
3553,colima,コリマ,86
13347,неожиданность,曖昧さ,15
13203,сэр,お客様,16
14211,недели,週,8
9482,влиятельный,influ influ,49
8496,часовой механизм,時計work.,56
13186,иностранный,外国,16
13560,наука,理科,12
13483,календарь,カレンダー,13
6348,кобальт,コバルト,70
2646,трилобит,三葉式,90
2457,принести,フェッチ,75
5729,аэродинамика,空気力学,60
14011,предоставлять,提供する,6
5899,антилопа,アンテロープ,72
3915,сыворотка,血清,84
12209,honda,ホンダ,26
1797,амнезия,健忘症,94
2215,кодек,コーデック,86
4457,отпечаток руки,指紋,63
7298,живописный,景観,63
3413,констебль,コンスタブル,79
6739,манате,マナティー,67
11475,оратор,スピーカー,28
9999,муссон,モンスーン,44
13305,пункт,段落,14
7928,туманность,星雲,58
7771,маяк,灯台,59
8315,хинди,ヒンディーニー,57
3931,кибуц,キブツ,84
3960,праведник,義気,84
2737,юнеско,ユネスコ,89
8893,потомак,ポトマス,53
7981,преуспеть,成功した,33
12798,оппозиция,反対,17
2448,вызов,呼び出された,70
11275,кандидаты,称賛,31
8816,галилео,ガリレオ,53
7327,пропитывать,pe,62
10247,измерено,measured measured,18
10252,старейшина,年長,39
4437,деформация,染め,79
10172,попугай,オウム,42
6225,боевики,ボイラーメーカー,69
12004,уровни,levels,11
5187,кремль,クレムリン,77
2566,блестяще,煌々と,91
12507,brunswick.,ブランズウィック,24
5183,хруст,噛み砕く,76
12338,электронный,電子,20
10036,бесполезно,t un,44
14461,принимает,取る,5
4897,конфуций,孔子,79
5185,инерция,慣性,77
10595,пил,pil,40
9824,марооны,仲人たち,40
227,косметология,美容,100
3887,каса,カサ,74
8692,молли,モリーリー,53
6982,мягче,柔らかい,65
11647,канун,イブ,32
12349,исторический,歴史的な,13
12675,отдельно,apart apart,20
9476,гамбургер,ハンバーガー,38
924,возместить,recう,53
14457,развивать,開発する,10
12887,луизиана,ルイジアナ,20
6814,лер,ller.,67
9634,тел,tel,47
6591,шимпанзе,チンパンジー,65
12230,бедро,股,26
12955,еврейский,ユダヤ人,19
734,неудовлетворительный,不満足,98
12605,таиланд,タイ,23
6400,вендутта,ヴェンデエ,69
12484,статистика,統計学,20
9461,нобелев,ノーベル,49
6429,размещать,住宅,10
13637,корт,裁判所,12
2057,шпиль,尖塔,88
5393,сосед,近所の人,43
10052,резинка,ゴム,44
546,просроченный,末尾の,99
4936,переира,ペレイラ,78
4913,софокл,ソフォカム,79
13413,зона,ゾーン,13
9326,литовский,リトアニア人,49
10767,без ума,狂った,33
9312,завоевать,征服,47
6170,потогонный,スウェットショップ,71
5875,вероятность,可能性,73
9504,извержение,噴火,37
12293,саудовство,サウジ,26
3131,зевать,欠伸,85
317,конюмин,繋がる,100
13011,бедных,貧しい,19
14240,группа,グループ,7
1234,передавать,伝達します,17
13107,драма,ドラマ,17
10527,незамедлительно,早急に,40
7251,атоп,at,63
14263,т,t,5
8981,ludwig,ルートヴィヒ,52
9636,уитни,ホイットニー,47
2652,скворец,star star,90
12395,пыль,ほこり,25
11624,мф,mf,32
12102,протокол,プロトコル,26
6124,аммиак,アンモニア,71
492,запор,便秘,96
4249,тральщик,minw,77
10680,постановление,裁定,7
17,фанатика,狂信者,65
8468,без ответа,未回答,56
12853,самоа,サモア,20
4643,константин,コンタンティン,80
5106,невероятный,不信者,70
3417,саган,佐南,87
4904,камино,カミノ,79
2001,обморок,失神,68
4363,почитаемый,尊敬された,14
6698,дамс,堤防,63
1044,нездоровый,不健康,97
3632,непропорционально,不釣り合いになる,79
12709,арен,ar,22
7696,траур,喪服,56
13959,конец,終わり,7
10257,ладонь,手のひら,39
8335,доминирование,支配,17
5447,гиппопотам,カバ,63
12970,эт,継承,19
8825,дневник,日記,48
8379,diamondbacks.,ダイヤモンドバック,54
6115,коренным образом,劇的に,53
7626,проявление,覚ます,41
12381,св,sv,25
11970,приносят,持参,6
5056,лиганд,リガンド,64
11830,под названием,タイトル,8
8904,elizabethan.,エリザベトン,52
288,микроскопия,顕微鏡,100
13798,является,は,5
753,апостановие,背教,98
143,свирепый,猛烈に,99
5041,темперамент,気質,71
11049,оправдывать,正当化する,24
5886,различать,区別する,28
2023,пропоганда,プロポガンダ,92
10298,ученые,科学者たち,32
9952,спасибо,ありがとうございます,45
7841,гульца,ハーレー,60
5344,дикая кошка,wild wild,33
335,тарзан,ターザン,100
1946,пропущенные,謎々,71
11005,демон,デモン,38
8676,контингент,cont cont,40
12431,служит,serv,11
10058,вычет,控除,36
9276,всплеск,スプラッシュ,50
4546,aladdin.,アラジン,81
10491,подиум,表彰台,40
11238,арест,逮捕,17
9269,лампа,ランプ,48
2232,затянутый,厳しく,76
9975,механизм,機構,19
11808,аспект,asp,30
6095,корка,皮肉な,71
5568,меридием,メリディエム,75
9144,тарелки,板,20
4911,маркони,マルコニー,79
14389,делает,やっている,5
9626,проституция,売春,43
3748,скользкий,滑りやすい,84
4122,бутлег,ブートリーグ,70
3228,халатность,恩知らずの,67
7460,стрелок,シューター,54
11241,сердитый,怒り,36
46,редут,red red,94
3460,тупица,tun tun,86
2767,cerberus.,セルベス,89
4473,слаин,慰安,81
2585,боковая панель,サイドバー,90
10559,избиратели,有権者,34
5598,принудительно,強制的に,68
12765,португалия,ポルトガル,21
9665,восстанавливаться,回復する,20
14175,держать,保つ,8
551,дрифтер,ドリフター,98
14414,не могу,できません,10
8672,пзу,rom,53
3288,спасение,引き上げ,65
1842,ночной,夜間,94
10240,франко,フランコ,43
4015,шарлоттсвилл,シャーロットヴィル,84
11819,отнесенный,解釈した,25
3386,неверие,不信,87
11872,добровольцы,ボランティア,16
12391,морган,モーガン,25
11091,карсон,カーソン,37
13732,низкий,低い,11
5877,дискредитировать,信用,55
3605,панель приборов,ダッシュボード,84
