ID,POLONAIS,ENGLISH,INTERVAL
13721,składnicy.,contributors,12
6617,plakieta,plaque,66
12273,wtorek,tuesday,29
4013,kamuflaż,camouflage,80
10832,przegląd,overview,41
3400,mięśnie,muscles,39
4724,lizać,lick,70
7696,żałoba,mourning,60
12234,powolny,slow,26
7323,szopa,shed,59
6713,nieszczęśliwy,unhappy,68
6258,lojalność,loyalty,71
14328,prowadzony,led,12
11620,litość,ruth,36
3255,cyrkon,zirconium,89
11164,ludobójstwo,genocide,38
6955,złodziej,thief,68
12357,instytucje,institutions,7
11632,opad deszczu,rainfall,35
14356,źródła,sources,7
4350,tła,backgrounds,20
12673,spisek,conspiracy,26
1452,jezdnia,carriageway,96
11000,usta,mouth,38
6677,wypełnić,fillmore,71
3352,trwała ondulacja,perm,88
7436,szeryf,sheriff,64
9622,spójnik,conjunction,48
2824,wełnisty,woolly,90
5228,artretyzm,arthritis,79
11183,wiktoriański,victorian,39
4946,powtórzony,reiterated,60
2350,szczotkowanie,brushing,51
460,wciągający,addictive,27
13233,pół,semi,19
3857,zanurzać,dip,64
841,powozik,buggy,98
5440,podwielokrotność,aliquot,78
8990,wskazówka,clue,46
7351,świecący,shining,54
13551,oznaczał,meant,16
4775,onyda.,oneida,82
3523,rumowisko,brash,88
1896,seksizm,sexism,95
6600,braterstwo,fraternity,55
8134,kanclerz,chancellor,61
9165,kolec,spike,50
14367,obraz,image,6
8639,żądło,sting,57
4381,kundel,cur,82
2002,przekonywający,stringent,93
13564,koszykówka,basketball,15
2224,odrzutowiec,kaif,93
5706,westchnienie,sigh,73
8021,reprezentant,rep,59
6570,autorstwo,authorship,71
3773,wszechstronny,versatile,80
8851,rażąco,blatantly,57
5232,spontaniczny,spontaneous,72
4032,odczynnik,reagent,82
12938,zamknięte,closed,12
9681,wenecja,venice,51
13017,północny zachód,northwest,22
2185,zanurzony,submerged,90
8589,dawcer.,doser,59
12308,konwekcja,convection,28
7622,niewłaściwy,improper,64
2440,farmakologiczny,pharmacological,81
11837,kurczak,chicken,33
4483,grzywa,mane,79
1524,wścibski,snoopy,96
6692,robaki,worms,51
1169,podtyp,subtype,95
4102,opady śniegu,snowfall,85
5019,kręcone,curly,80
6379,niewłaściwie,wrongly,72
6072,zdobyty,conquered,48
13251,dzwonek,bell,18
12119,krążenie,circulation,27
6614,w każdej chwili,anytime,71
4766,funt szterling,quid,81
10629,łyk,sup,43
3459,soczysty,juicy,88
3060,kątowy,angular,89
12372,głupi,stupid,27
11157,dochód,income,36
12566,na,onto,27
9737,krzywka,cam,44
6767,naoczny świadek,eyewitness,61
9726,dog,dob,50
12714,podstawa,basis,25
13934,następnie,then,6
10808,wzrósł,grew,42
5249,wręcznik,hander,79
6076,medytacja,meditation,66
13767,zmarł,died,12
1522,styks.,styx,96
7528,słowniczek,glossary,64
3932,wymawiać,pronounce,43
11256,sztuczka,trick,33
8969,zgodny,compatible,52
10687,powstanie,uprising,41
10804,poddanie się,surrender,32
1110,przegrupowany,regrouped,82
8384,element krajobrazu,landmark,51
8721,duchowy,spiritual,51
9703,krzyk,scream,41
13053,zbudować,build,12
8547,wściekły,furious,59
5423,towar,commodity,65
7181,siarczan,sulfate,67
8059,ogórek,cucumber,62
4334,wyrzutnia,launcher,66
9672,rozwiązywać,solve,35
13929,sposób,way,8
7468,posprzedaż,pos,47
14313,poprzedni,previous,12
5530,nota wydawnicza,blurb,75
8243,przebaczyć,forgive,54
3949,pozew,writ,82
12431,służy,serves,13
4961,szerszeń,hornet,58
2343,dwustronny,bilateral,92
7857,luźno,loosely,34
10702,beczka,barrel,39
8710,odwaga,courage,54
2442,przebiegły,wily,92
5058,utracić,forfeit,63
13727,przyczyna,cause,10
2165,elektroforeza,electrophoresis,93
4277,otoczenia,ambient,84
14457,rozwijać,develop,12
12489,środa,wednesday,28
9803,ważniejsze,importantly,50
2437,grudkowaty,lumpy,93
6315,diecezja,diocese,72
3429,farsa,farce,88
19,piekielny,infernal,100
12833,stal,steel,23
6347,reż,dir,73
11922,sztuki,pieces,20
10897,pasterz,shepherd,41
5005,sfer.,spheres,38
11509,statystyki,stats,35
7286,przekonanie,conviction,36
3346,pałeczki do jedzenia,chopsticks,88
14381,papiery wartościowe,securities,13
8939,sekretarzyk,davenport,56
7111,łup,booty,66
12134,ofiary,victims,26
9890,poświęcony,sacred,49
14094,to  co najlepsze,best,9
11942,centrum handlowe,mall,32
10648,optyczny,optical,38
1727,napisany,penned,44
2798,łupek ilasty,shale,91
8592,wenezuelski,venezuelan,58
222,sztuczne oświetlenie,floodlights,98
12053,krótko,briefly,32
1514,czujność,vigilance,66
8582,zajazd,inn,50
11527,myto,toll,36
1234,wykonywać,conveys,20
9458,grób,grave,41
14219,wschód,east,11
8326,toksyczny,toxic,50
4894,nurek,diver,68
7048,bagażnik samochodowy,trunk,61
3178,dekoracyjny,decorative,41
1454,wspinacz,climber,71
13841,inny,other,5
6050,broń.,weaponry,74
8161,nabytek,acquisition,55
7597,łopata,spade,60
11860,królikarnia,warren,33
14372,reguła,rule,8
1564,włócznik,spearman,96
12107,kontrolowany,controlled,12
9905,agresywny,aggressive,38
12351,pająk,spider,29
11924,seksualnie,sexually,21
13214,irlandczyk,irish,19
6489,żenujący,embarrassing,50
3994,dział wodny,watershed,84
1592,finansowany,financed,38
11997,cofająca się fala morska,undertow,32
8550,schronienie,refuge,58
10859,kolegialny,collegiate,41
1904,tworzenie filmu,filmmaking,76
6569,zaniedbany,neglected,59
11298,niesamowity,amazing,36
1552,koperek,dill,95
10426,jagoda,berry,44
4589,odwrotny,inverted,71
6780,majster,foreman,70
9478,faszyzm,fascism,52
9224,stoper,fullback,48
13974,zjednoczony,united,7
8251,sylwetka na tle nieba,skyline,61
4532,upamiętniający,commemorating,33
10758,kasztany,buckeyes,39
4829,wysłannik,envoy,78
4027,wał,dike,72
12240,podzielony,divided,25
14262,zbiorowy,corporate,19
6011,zagroda,croft,74
13927,tydzień,week,10
11046,historycy,historians,31
4135,pryzmat,prism,84
14057,zmiana,change,6
6380,widmowy,spectral,72
8142,urozmaicony,varied,24
11967,tj,ie,32
13007,reakcja,reaction,20
13677,duplikować,duplicate,13
395,pyzaty,chubby,100
9609,dróżnik,lineman,52
2707,kolejka,queue,84
4202,cis,yew,84
2840,bezwzględny,ruthless,88
5926,dobrowolnie,voluntarily,75
14317,zaangażowany,involved,10
8485,kamienna ściana,stonewall,59
4592,boli,hurts,38
10512,zablokowany,locked,30
6995,korytarz,corridor,64
5270,klawisz kontrolny,ctrl,79
9237,smoła,tar,53
7100,najmniej.,fewest,68
7045,arytmetyka,arithmetic,67
13668,weszła,entered,12
1916,kolektory,manifolds,68
5342,bylina,perennial,76
3320,przesyłki,shipments,69
6537,chilot,coolidge,71
11145,syrena,mermaid,39
10080,klif,cliff,45
14321,język,language,12
1982,pula,jackpot,94
1965,mrówkojad,anteater,93
8176,przecinek,comma,53
5880,węglowodór,hydrocarbon,71
13363,liban,lebanon,18
3744,kupujący,buyers,80
13163,jądrowy,nuclear,20
11106,prawie wcale,hardly,40
13651,strażnik,guard,12
7407,hala magazynowa,warehouse,61
5955,usprawiedliwiony,feely,75
3845,pokój prasowy,pressroom,87
4235,mieszanka,blend,66
1039,prowizoryczny,makeshift,98
4626,traszka,newt,82
13803,być,be,5
3179,czystość,purity,89
9261,degradacja,degradation,47
1839,usztywniający,stiffened,90
5805,skierowany,diverted,62
7615,uśmiechy,smiles,33
7516,barokowy,baroque,65
4711,bezsenność,insomnia,82
7885,zakrzywiony,curved,40
11569,winić,blame,28
14257,sieci,networks,9
1190,tycjanowski,titian,97
6642,kamienny,stony,71
13914,istnienie,being,5
9078,miejsce docelowe,destination,42
3070,konotacje,connotations,66
7573,zachwycać się,rave,56
8534,grafit,plumbago,59
2805,twardszy,tougher,91
13353,wkładki,contrib,18
7479,płód,fetus,65
6507,szpiegostwo,espionage,72
3539,dur brzuszny,typhoid,88
4360,zadrapanie,snapping,38
5340,broszura,pamphlet,68
14119,wziął,took,10
7208,ma wpływ,affects,11
8423,rzekomy,pseudo,60
14402,wymagać,require,7
12319,dzban,pitcher,24
6291,stłumić,suppress,43
3783,kantończyk,cantonese,87
2007,fosforowy,phosphoric,88
725,tekstylia.,textiles,66
7659,zapomnienie,oblivion,64
14095,przeciętny,average,12
11535,tajski,thai,37
9928,nadchodzący,upcoming,49
666,potrącenie od dochodu,reprise,68
5941,osadowy,sedimentary,75
14173,zwiększony,increased,15
9942,się,herself,49
14489,liczby,numbers,8
12188,grzbiet,ridge,30
13566,dziś,today,15
13350,prędkość,speed,17
190,nadzorowanie,overseeing,75
379,piec,furnace,95
1503,kornwalijski,cornish,96
6065,skandal,outrage,56
4862,ustawowy,statutory,81
1029,pomknąć,scud,93
11695,cień,shadow,33
12643,zaproszony,invited,6
4007,spustoszony,ravaged,80
7046,kraina czarów,wonderland,68
11872,wolontariusze.,volunteers,20
13319,tajfun,typhoon,18
8122,uzyskać dostęp,accessed,10
14490,obrócony,turned,11
4399,bezimienny,nameless,84
5536,pęknięty,cracked,38
1863,rgodę,rudge,95
1352,szlam,slime,96
7452,mleczny,milky,65
11971,samochód ciężarowy,truck,29
13789,dzięki,cheers,12
5614,landara,jumbo,75
10860,dziewica,virgin,38
9935,wzajemne,mutual,44
7766,znęcanie się,bullying,48
3585,czoło,forehead,87
14479,zespół,team,7
4029,śledziona,milt,85
12361,nowo,newly,29
13281,podstawowa,primary,18
12940,kogo,whom,23
12698,odgadnąć,guess,24
8590,morowy,bubonic,59
1841,więźniowie.,inmates,91
10485,wymiarowy,dimensional,44
8756,trąbka,trumpet,55
7060,rurociąg,pipeline,65
7790,lalka,doll,46
3151,wydatek,expenditure,78
3416,skuter,scooter,85
12035,niemożliwy,impossible,31
12551,boże narodzenie,christmas,27
2858,naciąganie,spoof,78
12512,oglądanie,watching,14
2487,cieleśnie,bodily,92
13152,szansa,chance,18
844,urywek,snatch,76
1507,na dół,downstairs,96
9368,my sami,ourselves,53
5911,jezior,lakeside,75
12919,łączny,combined,18
4813,przenieść się,relocate,37
12474,traktat,treaty,22
1505,jamnik,basset,96
362,dyskryminacyjny,discriminatory,100
8863,drzewiasty,woody,56
4854,galilejczyk,galilee,81
14101,kraj,country,10
13970,zrobił,did,5
5804,miejsce urodzenia,birthplace,76
3441,oryginalny,unconventional,88
5892,zasłużony,meritorious,75
8968,spanie,sleeping,19
11217,główny nurt,mainstream,39
8644,geograficzny,geographical,38
12740,feniks,phoenix,25
52,bicie serca,heartbeat,99
14236,zabity,killed,12
7393,przedstawiać,portray,39
6341,żony,wives,73
3484,lodowaty,icy,88
10250,jedność,unity,46
10150,jazda na deskorolce,skateboarding,34
10872,wąska,narrow,36
6527,naukowcy,academics,22
8545,synchronizacja,sync,58
1353,robienie na drutach,knitting,84
3672,najprostszy,simplest,87
14120,miejsce,place,6
14514,pisemny,written,10
5500,eksplocie,interdiction,74
3980,przylegający,adjoining,84
5718,godzina,whig,66
3920,korozja,corrosion,83
6438,szachownica,checker,55
9161,wyrko,kip,55
7716,zwolniony,exempt,55
1104,wstrzymuje się,withstood,97
14166,dostał,got,11
1248,za kulisami,backstage,97
3854,odcień,hue,84
12142,ucieczka,escape,25
12961,żółty,yellow,22
2239,rzeźnia,slaughterhouse,93
10239,płuco,lung,43
12488,niepowiązany,unrelated,28
4997,pozaserwowy,extrasolar,81
16,maniakalny,manic,99
8229,autorytatywny,authoritative,59
2526,chasydzki,hasidic,89
10741,zebrane,gathered,28
7008,legalny,legit,68
289,intrygowany,intrigued,50
11891,czerwonoskórzy,redskins,33
6712,wielkie ilości,quantities,48
9875,pisklę,chick,44
10154,miesięczny,monthly,47
9960,uzyskać,obtain,24
670,kępa,holm,38
4646,skierowanie,referral,79
14239,baza,base,10
12735,całkowicie,entirely,9
9802,zaskakujący,surprising,25
13761,ziemia,earth,13
4037,chwilowa moda,fad,71
8050,galaretka,jelly,62
2418,w dół rzeki,downstream,93
13966,potrzebować,need,6
7326,resetowanie,reset,63
12671,kolega,fellow,25
2386,kontrkultura,counterculture,93
5360,szkorbut,scurvy,79
11300,psychiczny,mental,35
13813,posiadać,have,5
12344,najszybszy,fastest,29
6305,rozpylać,spray,62
13064,piekło,hell,21
11027,członkostwo,membership,40
3209,niemy,mute,81
9844,bramkarz,goalkeeper,47
5205,składanka,medley,76
10265,obserwacje,observations,13
8706,motywacja,motivation,33
13469,dopuszczać,allow,11
5544,mroźny,frosty,78
12694,żydzi,jews,23
11271,mieszkanie,quarters,10
5950,dunaj,danube,75
6160,trakcja,traction,74
10568,powtórna rozgrywka,replay,37
6480,sercowy,cardiac,72
9048,najmłodszy,youngest,56
2945,słuchawki,headphones,84
13889,poprzez,through,10
11988,spekulacja,speculation,25
