ID,PORTUGAIS,JAPAN,INTERVAL
6102,clamo,カラム,70
930,abismo,深淵,85
1422,transcendental,超越的,69
540,certiorari,シリサリ,99
11128,distribuído,分布しました,19
157,agrafador,ステープラー,100
12316,caçador,猟師,23
6345,mercer,マーサー,68
11024,costeiro,沿岸,36
1618,basalto,玄武岩,92
3595,pesticida,農薬,79
9532,reconstruído,再建しました,47
9028,não publicado,未発表,50
8314,mescla,ヘザー,55
7929,incas.,インカー,39
10164,omaha.,オマハ,42
9038,manto,マントル,50
8320,argel,アルジェ,56
14116,junho,六月,6
6938,beco,路地,63
8539,petição,嘆願,40
7640,contraditório,矛盾する,61
13503,em direção,に向かって,12
14223,criar,作成する,5
4165,zigurat.,ジグラット,82
14095,média,平均,10
13480,detroit,デトロイト,13
8596,tribuna,トリビューン,43
14217,de novo,また,5
1843,maratha,マラサ,93
549,milagroso,奇跡的に,84
8938,escotilha,ハッチ,49
5768,subseções,サブセクション,46
7702,castillo,カスティーリョ,60
13247,grécia,ギリシャ,16
8992,impulsionado,推進された,38
5767,baliza,ビーコン,70
3620,totient,tot tot,85
8046,ódio,憎しみ,57
2797,psíquico,超能力のある,88
7865,metáfora,比喩,53
9217,pré-histórico,先史時代の,49
13859,tempo,時間,5
11655,queda,落下,12
10627,revelar,明らかな,21
4034,currículo,カリキュラム,82
2406,antissocial,反社会的,91
3519,claudius.,クローアディウス,86
2685,dipper,ディッパー,89
13453,artista,アーティスト,12
14435,ganho,勝利した,8
14113,encontrar,探す,7
751,tarô,タロット,98
9271,capacete,ヘルメット,42
14160,trabalhadores,労働者,20
2021,fluoreto,フルドリド,80
13840,eu,私,5
4584,jerez,エレズズ,80
4518,paradigma,パラダイム,78
13435,à frente,先に,14
6757,calúnia,中傷,52
9624,ética,倫理,37
11964,cannabis.,大麻,28
10402,fugir,めっきら,40
1117,escória,スラグ,92
367,relojoeiros,腕時計,100
12411,riacho,クリーク,24
9485,infantil,子供っぽい,47
6018,encarnação,化身,47
5738,pereceu,perished,63
12410,wright.,書き組む,24
12166,deturpando,虚偽表示,22
9662,eiffel,エッフェル,46
10973,madagáscar,マダガスカル,37
8814,serrador,鋸歯,51
11233,duelo,決闘,33
7995,saltador,ジャンパー,54
4000,superpotência,スーパーパワー,73
13898,empresas,企業,8
5597,booby.,ブービー,65
9190,brute.,ブリュート,49
7408,antisemitismo.,抗妊娠,57
11651,beneficiar,利点,7
13616,visita,訪問,11
2312,batendo,ドキドキ,31
6195,poodle,プードル,68
13493,on-line,オンライン,13
4591,acessório,添付,15
8318,underwood,木の下で,56
8334,hershey.,ハーシー,55
3062,triceratops.,トレリセラトップ,88
561,espargos,アスパラガス,99
8025,duquesa,公爵夫人,58
13805,por,による,5
13328,artilharia,砲兵,15
13344,dan.,デイ,15
9983,refém,人質,35
4859,glúten,グルテン,78
14250,perdido,失った,10
6394,alecrim,ローズマリー,68
2499,hipotermia,低体温,90
5391,camafeu,カメオ,74
10714,gail.,八つ目,38
11333,osso,骨,28
445,pebles.,覗き見か,100
9949,cercado,囲まれた,24
4694,vandalista,破壊的な,79
11467,deste modo,それによって,32
1233,diol.,ヨール,93
10245,astrologia,占星術,39
14498,industrial,産業,14
1182,arn.,庵主,96
7524,ilimitado,無制限,61
