ID,ARABE,JAPAN,INTERVAL
9959,غارفيلد,ガーフィールド,44
11603,افتراضية,バーチャル,24
1362,جور,ジュール,94
2334,الاسم الرئيسي,同名,89
10283,فسيفساء,モザイク,41
8980,ثمانون,80人,49
5368,قوقازي,白人,74
4853,البروستات,前立腺,76
4693,كاريكاتير,漫画家,68
10496,بإخلاص,心から,36
5123,ألبوس,alb,77
10401,عروسه لعبه,おもちゃ,36
9537,وجبة عشاء,晩ごはん,47
13045,ديسكو,ディスコ,18
11388,ترومان,tr tr,34
5782,روفوس,rufus,73
9848,ميت,ミット,45
13546,ساحل,海岸,12
7211,يسافر,旅行する,16
2217,غير متماثل,非対称,87
7028,شايان,シャイエン,64
13428,معقل,フォード,14
9496,مرتب حسب الحروف الأبجدية,アルファベット順,27
11162,الكوكايين,コカイン,36
12183,الانتحار,自殺,25
192,ايكو,あこ,100
4549,فركتوز,フルクトース,80
1512,penang.,ペナン,95
5869,ريحان,バジル,72
5412,أنقرة,アンカラ,75
1224,الكابتن,大尉,96
11173,هانز,ハンズ,21
6174,كيوي,キウイ,65
1384,llammable.,不燃性,92
10006,حمار,ロバ,44
789,هاجيس,ハギス,98
6165,الاكتظاظ السكاني,過疎化,69
9465,فائقة,ウルトラ,46
13491,يحتمل,潜在的に,12
2069,حساب المثاثات,三角の,92
7314,مالكين,マルキン,63
6613,سابل,セーブル,67
4233,أخطأ,誤る,81
3484,الجليدية,氷のように,86
5574,وارف,wh wh,73
6053,ديبورا,デボラ,71
4724,يلعق,舐める,67
3157,مانشوريا,満州,88
14463,يحاول,試す,6
14395,يقلل,減らす,16
577,غير مسباف,prep prep,97
11588,غير مؤكد,unc,32
13632,منتدى,フォーラム,12
9140,كرايسلر,クライスラー,51
6479,ترميز,コーディング,12
12678,بوكانان,bu,22
7635,فلس,fil,58
4277,محيط ب,amb amb,81
10121,أسطوانة,ローラー,42
13547,معادلة,方式,13
7242,الميلامين,メラミン,63
2277,جستينيان,justinian,92
