ID,DANOIS,JAPAN,INTERVAL
3402,harrow.,遥か,83
12558,unødvendig,不要,23
6663,ergonomi.,人間工学,66
12273,tirsdag,火曜日,25
7519,sylvester.,シルベスター,61
651,epedrin.,エフェドリン,98
2628,cleft.,裂け目,88
2220,plagues.,pl pl,37
9584,langvarig,長い,46
11188,tom,空,33
1791,nullification.,無効化,93
3825,flotilla.,フロティラ,82
9103,kalium.,カリウム,50
6417,lien,先生の,67
12540,guvernør,知事,20
9181,stockholm,ストックホルム,49
3734,sporvogn,静止,78
2492,forræder,裏切者,75
11090,qatar.,カタール,36
9748,bur,ケージ,43
4599,erindring,記憶,79
9150,valencia.,バレンシア,49
11146,indfødte.,先住民の,35
3818,eon.,エトン,84
7664,roste.,賞品,39
8773,viva.,ビバピー,52
9380,solipsist.,ソリピスト,48
6121,medlidenhed,残念,63
9188,alto.,アルト,46
11260,ler,粘土,34
6215,skittle.,sk.,57
4452,cinematografer,映画探し,63
8989,klarere.,clear,51
4971,bulimia.,bul bul,77
5582,en skønne dag,いつか,73
13538,overholdelse,コンプライアンス,13
11058,hugh.,ヒューズ,36
13889,igennem,を通して,8
20,slab,スラブ,88
181,naloxon,ナロキソン,100
7535,dødbringende,致死,59
14344,eksisterende,既存 ,7
13081,magasin,雑誌,16
11597,glasgow.,グラスゴー,31
11741,amazon.,アマゾン,29
10529,pub,パブ,38
1692,dehydrering.,脱水,89
3393,slovensk.,スロベニア語,86
245,forvalte,投与する,49
2616,lykkeligere,happ,89
1731,sinus,正弦,88
10261,partisan.,パルチザン,36
3536,carabinieri.,カラビニエ,86
12988,checkliste,チェックリスト,18
4302,isolering,絶縁,65
12918,mål,目標,13
13136,køn,セックス,16
9911,uberettiget.,不適格,43
10330,rejse,旅,39
492,forstoppelse,便秘,95
3175,råben,叫び,45
3731,cro.,胡同,84
11836,aske,灰,23
184,gullah.,ガッラー,100
13507,trace.,痕跡,12
3774,legioner,軍団,38
9115,misforståelse,誤解,43
8090,midland.,中原域,42
8371,thatcher.,茅屋,55
1797,amnesi,健忘症,93
8285,seminoles.,セミノール,47
7292,chil,凛々しい,62
11432,elite.,エリート,31
453,engram.,エングラム,100
430,dayan.,デイタン,100
3165,kea.,ケアーズ,86
1435,placebo.,プラセボ,95
7578,amelia.,アメリア,61
13715,smith.,スミス,12
2608,overstiger,exceeds,89
7042,certificering,認証,39
13925,mens,その間,6
8388,newsprint.,ニュースプリント,55
11446,attende,第1/18,32
14501,myndigheder,当局,8
3694,ridley.,リドリー,84
60,nyttelast,ペイロード,97
5188,evergreen.,常緑樹,76
3491,akademi,アカデミア,85
5083,ostekage,チーズケーキ,76
3917,cupid.,キューピッド,83
2842,chuckle.,含み笑い,65
7671,økologi,エコロジー,50
9725,planetary.,惑星,45
7361,chill.,チル,59
4346,maj dag,メーデー,81
8603,nordic.,ノルディック,53
8160,pythagorean.,ピタゴロン,56
13415,matthew.,マシュー,14
5252,sarkasme,皮肉,75
1325,chlorophyll.,クロロフィル,95
12682,sold,販売された,21
9270,gulerod,にんじん,47
6827,yank.,ヤンク,50
11351,udbredt,広くなる,33
12610,del.,デルティー,22
10446,slagmark,戦場,39
5486,esajas.,イザヤ,74
3241,sykes.,おまけさせる,82
7235,cortez.,コルテス,62
5890,hickory.,ヒッコリー,71
1176,valorous.,貴重な,65
7926,sperm.,精子,58
14030,version,バージョン,8
11563,metropolitan.,メトロポリタン,31
6946,afsløret,発言,58
1510,gait.,歩行,94
12015,rambling.,ram ram,27
7838,vane,癖,45
1166,transseksualisme.,トランスセクシャル主義,88
7114,amphibian.,両生類,62
8258,tai.,太った,56
6088,marg.,丸の,56
2320,baseline.,ベースライン,88
10504,fest,お祝い,18
7495,balboa.,バルボア,61
5305,modernistisk.,モダニズム,74
9861,humus.,謙虚に,44
6424,hooper.,フーパー,68
4416,onslaught.,onl,80
667,austible.,可聴,94
9767,planter.,植物,14
2665,whirlpool.,渦巻く,89
6060,crackdown.,crack crack,69
455,harmaline.,ハーマライン,100
14318,altid,いつも,9
1036,hessian.,ヘッセン,93
12160,expeditionary.,遠征の,26
14078,politisk,政治的,10
12458,pedro.,ペドロ,23
13043,tjent,獲得した,13
2619,takers.,tak,61
18,facet,ファセット,53
7413,spættet,散り口,62
10883,race,人種,24
5921,doris.,ドリス,69
9662,eiffel.,エッフェル,46
13110,eric.,エリック,17
11950,jubilæum,記念日,27
10416,princeton.,プリンストン,40
11774,leo.,レオピー,29
12747,ven.,友達,13
9822,uranus.,天王星,44
13021,ond,悪の,18
12574,moore.,ムーアーリー,22
13654,sam.,サム,12
10043,monica.,モニカ,43
2525,ligament.,靱帯,78
7588,rød skjorte,朱送り,57
14133,liv,人生,10
3333,turnpike.,ターンパイク,82
