ID,TURC,DEUTSCH,INTERVAL
1424,kıtlar,gesänge,55
11054,azarlamak,neal,41
3569,kişileştirme,personifikation,88
7046,harikalar diyarı,wunderland,69
12541,hafta sonu,wochenende,27
9830,karga,krähe,46
1896,cinsiyetçilik,sexismus,95
299,paketlenmiş,gebündelt,79
9597,çalmak,stehlen,36
470,başrahip,abt,98
2970,batı evi,westinghouse,90
7879,cober,krecher,63
9158,ekvator,äquator,33
13889,başından sonuna kadar,durch,10
4808,dönek,acre,52
13173,ikincil,sekundär,20
13867,eğer,wenn,5
11255,kimya,chemie,39
5979,hırslı,ehrgeizig,74
5588,aşamalı,phasenlos,29
7640,çelişkili,widersprüchlich,65
10874,milletvekili,stellvertreter,37
11287,kaset,band,32
1687,hazırlıksız,unvorbereitet,96
8092,binmek,ritt,62
5602,dosya adı,dateiname,76
5489,pençe,zuschlagen,70
10370,reklamcılık,anzeige,8
4005,iyi niyet,goodwill,86
7818,belirsizlik,unsicherheit,62
10001,öz,abstrakt,46
2400,yürütücü,testamentsvollstrecker,90
10199,konuşur,gesprochen,46
13897,yapılmış,gemacht,5
12608,çöl,wüste,26
10230,romence,rumänisch,47
14161,çalışmak,studie,20
8059,salatalık,gurke,62
7356,yozlaşmış,degeneriert,59
4592,canı yanmak,weh,38
5465,santigrat,celsius,78
6787,uzaktan,remote,42
12805,uçmak,fliegen,15
13999,astar,linie,10
13774,geç,spät,13
5049,tüfler,tufts,78
431,kısıtlamak,verkürzt,87
9258,incelemek  bulmak,sonde,49
13985,halk,öffentlich,10
13069,gramer,grammatikalisch,22
8404,hakimiyet,herrschaft,58
12326,sıralama,rangfolge,9
12325,ekstratropik,extratropisch.,30
10551,itme,schwung,45
11323,yalak,trog,38
11446,onsekizinci,achtzehntel,38
10793,hazırlık,vorbereitend,43
820,kanserojen,karzinogen,88
10857,çöktü,zusammengebrochen,29
5014,masaj,massage,79
9131,arşimet,archimedes.,56
11260,kil,lehm,39
8497,paslı,rostig,60
4705,zırhlı,speerkopf,65
11766,şanslı,glücklich,35
1447,tuvaletler,toiletten,46
12131,aday,kandidat,23
10333,dürüst,därne,46
815,boyun çizgisi,ausschnitt,88
10779,eksen,achse,43
4777,sendikalı kimse,unionist,73
12063,yazar,schriftsteller,23
7115,lobi,empfangshalle,54
10147,sürdürmek,zuückbehalten,30
1601,torna,drehbank,96
8925,i̇ren,ir.,52
3194,dokular,gewebe,54
5398,rahibe,nonne,69
881,stertorst,sternenstaub,98
3014,yüceltmek,patrice,90
10509,şarkı söyleme,singen,33
6125,akılsız,geistlos,74
3345,ikiyüzlülük,heuchelei,88
13112,başkent,hauptstadt,15
7590,i̇zlandaca,isländisch,34
7070,silip,abgewischt,56
13275,birleşmiş,damit verbundenen,12
6182,ıspanak,spinat,74
11024,kıyı,küsten,41
11758,ısınma,erwärmen,28
12775,çocuk,kind,19
3286,sinirler,nerven,56
7252,kıyafet,outfit,59
8656,yıkmak,nervenzusammenbruch,58
9775,sertifikalı,zertifiziert,48
9879,kırım,krim,50
257,bağlı,kohäsiv,61
10648,optik,optisch,39
13342,tereddüt etmek,zögern,18
8160,pitagor,pythagorean,62
1291,karşı üretken,kontraproduktiv,95
5084,hırsızlar,diebe,79
5817,hidroksilaz,hydroxylase,76
14081,haberler,nachricht,13
9015,paten,schlittschuh,24
11250,tahvil,fesseln,24
2611,şifrelemek,chiffre,89
8539,dilekçe,petition,45
8357,on altıncı,sechzehntel,61
12429,yetinmiş,verwaist,28
7533,yün,wolle,66
12380,kâr,ap.,30
11473,dramek,erpel,37
4952,slav,slawisch,81
12066,iyilik,favorisieren,25
10674,kıyamamak,ersatzteil,40
13066,yaralı,verletzt,21
3170,tiranlık,tyrannei,85
8647,kabuklu,krustentier,59
12516,siviller,zivilisten,21
14403,yakında,bald,11
9000,karartma,blackout,54
11944,alisetmek,alison,34
9377,sedir,zeder,51
7142,çıkmak,ausbrechen,68
9268,rastlamak,begegnen,33
5450,ziyaretçi,besucher,11
7902,dikmek,verkräfte,63
13769,anlamak,verständnis,11
5586,toy,naiv,74
10861,cox,kegelung,42
4368,dürüstlük,ehrlichkeit,84
2298,hidroklorür,hydrochlorid,93
6912,qu,qual,70
1009,pratik olmayan,unpraktisch,97
1369,işaretsiz,nicht markiert,97
1823,dişavurumculuk,expressionismus,95
3896,dokuma,weberei,78
1704,sevindirmek,erfreuen,96
12828,bebek,baby,24
11797,yeraltı,unter tage,35
2729,kavşaklar,kreuzungen,47
535,pelt,fell,82
5567,kırılgan,fragil,76
12733,acele,eilig,15
14271,gerçekten,wirklich,11
11665,duvarcı,mason,34
8502,velayet,gewahrsam,60
2686,igloo,iglu,92
13318,daha düşük,niedriger,18
