ID,KOREAN,SPAIN,INTERVAL
12544,편지,letra,18
11168,변명,excusa,33
603,원생 동물문,protozoario,99
3167,아리아드네,ariana,87
10139,평범한,ordinario,43
11468,막대,vara,32
7524,제한 없는,ilimitado,62
10680,지배,decisión,7
4777,노동 조합원,unionista,68
7014,혁신,innovación,44
8066,지체했다,se produjo,30
13006,덕분에,dibujó,19
11518,뉴스 레터,boletin informativo,32
2961,선조,antepasado,67
10105,물질,sustancia,38
3156,사제직,sacerdocio,88
13872,왜냐하면,porque,7
5770,보아,boa,72
7768,조,cho,60
5383,알베도,albedo,73
9875,병아리,polluelo,39
13843,모두,todo,6
12623,산타,papa noel,23
11076,음악가들,músicos,22
9662,에펠의,eiffel,47
3512,발효,fermentación,80
9311,보니,bonnie,47
11425,캔버라,canberra,33
3565,어찌할 바를 모르는,perplejo,43
2598,걸작,obra maestra,82
1596,빵 굽기,hornear,62
3278,쿠아의,kuan,87
10600,타락한,caído,39
3578,이론가,teórico,57
14497,읽다,leer,6
4513,다빈치,darby,80
14024,4분의 1,cuarto,9
2757,액체 산소,salmón ahumado,89
13680,조금,poco,12
13655,일반적으로,generalmente,8
5230,와동,vórtice,76
11645,시보레,chevrolet,31
10488,부분적으로,parcialmente,40
13263,없음,ninguna,16
10052,고무,caucho,43
8452,yourser.,endefermo,56
13315,전하다,pre,15
14121,만들기,haciendo,5
2692,부신,suprarrenal,90
10157,엘비스,elvis,43
5016,적 그리스도,antecristo,76
7274,말라리아,malaria,63
2241,임질,gonorrea,91
86,쟁기,arado,88
119,카마라,camara,100
12692,사무엘,samuel,22
6372,아마겟돈,armagedón,69
14279,윤곽,líneas,9
2041,메인 프레임,marco principal,91
10352,작은 골짜기,dell,41
5036,버지니아 사람의,virginiano,70
1145,미생물학,microbiología,93
9332,...에 틀리지 못한 것,polly,49
5089,타인,tyne,57
4110,무신론자,ateo,64
11311,실행 취소,deshacer,22
5065,치사한 사람,canalla,77
9523,재료 자,volver a entrar en,47
982,재조정,restablecido,83
9108,도마뱀,lagarto,50
12121,수수께끼,enigma,27
6819,작은 목장,paddock,66
5676,열역학,termodinámica,69
11846,요인,factor,23
11881,현금,dinero en efectivo,29
5600,...하지 않도록,para que no,60
11544,좌석,asiento,20
1735,정류장,rectificar,66
4134,자유롭지 않은 것,no libre,82
8930,보장하다,garantía,34
10342,덴마크 말,danés,41
10921,피라미드,pirámide,32
1681,소아과,pediatría,92
1432,탈북자,navegante,95
375,규토,sílice,100
12002,피에르,pierre,28
9850,헤라클레스,hércules,45
2255,이주자,migrantes,69
8328,입방의,cúbico,56
14079,~이 되다,convertirse,8
1,피 페리 딘,piperidina,100
