ID,ENGLISH,OCCURENCES,ENGLISH_stem,JAPAN,PORTUGAIS,KOREAN,RUSSIAN,DANOIS,POLONAIS,FRENCH,SPAIN,DEUTSCH,CHINESE,TURC,ARABE,HINDI
1,intents,26,intent,int int,intita,의도,напряженность,intents.,intencje,intention de,intento,inzwale,意图,niyet,النوايا,उद्देश्य
2,piperidine,26,piperidin,ピペリジン,Piperidina,피 페리 딘,пиперидин,piperidin.,piperydyna,pipéridine,piperidina,Piperidin,哌啶,piperidin,Piperidine,पिपरिडाइन
3,pretzel,26,pretzel,プレッツェル,pretzel,프레첼,крендели,pretzel.,precel,bretzel,galleta salada,Brezel,椒盐卷饼,Çubuk kraker,pretzel.,एक प्रकार की रोटी
4,amorphous,26,amorph,まとまりのない,amorfo,비정질,аморфный,amorf,amorficzny,amorphe,amorfo,amorph,am,amorf,عديم الشكل,बेढब
5,thule,26,thule,thule,thule.,탈구,мошенничество,thule.,Thule.,thermique,thule,thule,thule.,thule,thule.,थुले
6,ixion,26,ixion,イクジオン,Ixion.,ixion.,IXion.,ixion.,Ixion.,ixion,ixion,ixion.,Ixion,ixion,Ixion.,आइक्सियन
7,stumble,26,stumbl,つまずく,tropeçar,채이기,спотыкаться,snuble,potknąć się,trébucher,tropezón,stolpern,绊倒,yanılmak,تعثر,ठोकर
8,carbonite,26,carbonit,炭素,carbonite,탄산염,карбонит,Carbonite.,Carbonit.,carbonite,carbonita,Carbonit,Carbonite.,karbonit,كربونيت,कर्बोनाईट
9,geeks,26,geek,オタク,geeks.,괴짜,гики,Geeks.,geeks.,geeks,frikis,Geeks,怪人,geek,geeks.,गीक
10,remade,26,remad,remう,refeito,나열,переделать,remade.,remade.,remonter,rehaga,Remade,重拍,remade,مجدد,पुनर्निर्माण
11,sunstar,26,sunstar,サンスター,Estrela solar,햇빛,Sunstar.,Sunstar.,gwiazda słoneczna,Sunstar,estrella de sol,Sonnenstern,Sunstar.,Güneş yıldızı,نجمة الشمس,सूर्य तारा
12,vow,26,vow,誓い,juramento,맹세,клятва,løfte,przysięga,vœu,voto,Gelübde,发誓,yemin etmek,نذر,व्रत
13,ordinarily,26,ordinarili,普通,normalmente,통상적으로,Обычно,normalt,zwykle,ordinairement,ordinariamente,gewöhnlich,按说,normalde,عادة,आमतौर पर
14,contravention,26,contravent,違反,contravenção,위반,противоречие,overtrædelse,naruszenie przepisów,violation,contravención,Zuwiderhandlung,违反,çiğneme,مخالفة,उल्लंघन
15,harbors,26,harbor,港,portos,항구,гавань,havne,zatrudnia,harbeurs,puertos,Häfen,哈尔堡,liman,ميناء,बंदरगाहों
16,ocelot,26,ocelot,oCelot,Jaguatirica,오셀롯,ocelot.,ocelot.,ocelot,ocelot,ocelote,Ozelot,ocelot.,Ocelot,ocelot.,औसीलट
17,manic,26,manic,躁鬱,maníaco,매니어스,маниал,Manic.,maniakalny,maniaque,maníaco,manisch,man,manik,مهووس,उन्मत्त
