ID,FRENCH,ENGLISH,THEME,IMPORTANT
1,accepter,to accept,verbes a connaitre en,
2,acheter,to buy,verbes a connaitre en,
3,aider,to help,verbes a connaitre en,
4,aimer,to like/ to love,verbes a connaitre en,
5,ajouter,to add,verbes a connaitre en,
6,aller,to go,verbes a connaitre en,
7,allumer,to turn on,verbes a connaitre en,
8,appeler,to call/ to contact,verbes a connaitre en,
9,apporter,to bring/ to take,verbes a connaitre en,
10,arrêter,to stop,verbes a connaitre en,
11,arriver,to arrive/ to happen,verbes a connaitre en,
12,attendre,to wait for/ to expect,verbes a connaitre en,
13,avoir,to have,verbes a connaitre en,
14,avoir besoin,to require,verbes a connaitre en,
15,casser,to break,verbes a connaitre en,
16,changer,to change/ to alter,verbes a connaitre en,
17,chanter,to sing,verbes a connaitre en,
18,choisir,to choose/ to select,verbes a connaitre en,
19,commencer,to begin/ to start,verbes a connaitre en,
20,compter,to count,verbes a connaitre en,
21,conduire,to drive,verbes a connaitre en,
22,connaître,to know/ to get to know,verbes a connaitre en,
23,continuer,to continue,verbes a connaitre en,
24,couper,to cut,verbes a connaitre en,
25,courir,to run,verbes a connaitre en,
26,croire,to believe (in),verbes a connaitre en,
27,décider,to decide,verbes a connaitre en,
28,demander,to ask for,verbes a connaitre en,
29,devenir,to become/ to turn into,verbes a connaitre en,
30,dire,to say/ to tell,verbes a connaitre en,
31,donner,to give,verbes a connaitre en,
32,dormir,to sleep,verbes a connaitre en,
33,écouter,to listen to,verbes a connaitre en,
34,écrire,to write,verbes a connaitre en,
35,empêcher,to prevent/ to stop,verbes a connaitre en,
36,entendre,to hear,verbes a connaitre en,
37,entrer,to enter/ to go into,verbes a connaitre en,
38,envoyer,to send,verbes a connaitre en,
39,essayer,to try/ to attempt,verbes a connaitre en,
40,exister,to exist,verbes a connaitre en,
41,expliquer,to explain,verbes a connaitre en,
42,faire,to do/ to make,verbes a connaitre en,
43,faire la cuisine,to cook,verbes a connaitre en,
44,fermer,to close,verbes a connaitre en,
45,finir/ terminer,to finish/ finish,verbes a connaitre en,
46,gagner,to win/ to gain/ to earn,verbes a connaitre en,
47,garder,to keep,verbes a connaitre en,
48,goûter,to taste,verbes a connaitre en,
49,jeter,to throw,verbes a connaitre en,
50,laver/ nettoyer,to clean (up),verbes a connaitre en,
51,lire,to read,verbes a connaitre en,
52,manger,to eat,verbes a connaitre en,
53,marcher,to walk,verbes a connaitre en,
54,mettre,to put/ to place,verbes a connaitre en,
55,montrer,to show/ to display,verbes a connaitre en,
56,oublier,to forget,verbes a connaitre en,
57,ouvrir,to open (up),verbes a connaitre en,
58,parler,to speak/ to talk,verbes a connaitre en,
59,partir,to leave/ to depart,verbes a connaitre en,
60,payer,to pay,verbes a connaitre en,
61,penser,to think,verbes a connaitre en,
62,perdre,to lose/ to waste,verbes a connaitre en,
63,pleurer,to cry,verbes a connaitre en,
64,porter,to wear/ to carry,verbes a connaitre en,
65,pouvoir,to be able (can),verbes a connaitre en,
66,prendre,to take/ to catch,verbes a connaitre en,
67,rappeler,to call back/ to remind,verbes a connaitre en,
68,recevoir,to receive,verbes a connaitre en,
69,refuser,to refuse,verbes a connaitre en,
70,regarder/ voir,to watch/ see,verbes a connaitre en,
71,rencontrer,to meet/ to encounter,verbes a connaitre en,
72,rentrer (à la maison),to go home,verbes a connaitre en,
73,répéter,to repeat,verbes a connaitre en,
74,répondre,to answer/ to reply,verbes a connaitre en,
75,ressembler,to look like,verbes a connaitre en,
76,rester,to stay/ to remain,verbes a connaitre en,
77,retourner,to return/ to come back,verbes a connaitre en,
78,réussir,to succeed,verbes a connaitre en,
79,revenir,to come back/ to return,verbes a connaitre en,
80,rire,to laugh,verbes a connaitre en,
81,s’asseoir,to take a seat,verbes a connaitre en,
82,s’endormir,to fall asleep,verbes a connaitre en,
83,savoir,to know,verbes a connaitre en,
84,se laver,to wash oneself,verbes a connaitre en,
85,se reposer,to take a rest,verbes a connaitre en,
86,se réveiller,to awake,verbes a connaitre en,
87,se souvenir/ se rappeler,to remember/ remember,verbes a connaitre en,
88,tenir,to hold/ to keep,verbes a connaitre en,
89,tomber,to fall,verbes a connaitre en,
90,toucher,to touch/ to feel,verbes a connaitre en,
91,travailler,to work,verbes a connaitre en,
92,trouver,to find/ to discover,verbes a connaitre en,
93,utiliser,to use/ to employ,verbes a connaitre en,
94,vendre,to sell,verbes a connaitre en,
95,vivre,to live,verbes a connaitre en,
96,voir,to see,verbes a connaitre en,
97,voler,to fly,verbes a connaitre en,
98,vouloir,to want/ to wish,verbes a connaitre en,
99,à l’envers,upside-down,verbes a connaitre en,
100,à peine,scarcely,adverbes utiles,
101,à plusieurs reprises,repeatedly,adverbes utiles,
102,à tort,wrongly,adverbes utiles,
103,absolument,absolutely,adverbes utiles,
104,accidentellement,accidentally,adverbes utiles,
105,activement,busily,adverbes utiles,
106,actuellement,currently,adverbes utiles,
107,ailleurs,elsewhere,adverbes utiles,
108,anormalement,abnormally,adverbes utiles,
109,apparemment,apparently/ seemingly,adverbes utiles,
110,approximativement,approximately,adverbes utiles,
111,après,after/ afterwards,adverbes utiles,
112,assez,enough,adverbes utiles,
113,au hasard,randomly,adverbes utiles,
114,aussi,too ; also ; as well,adverbes utiles,
115,automatiquement,automatically,adverbes utiles,
