ID,SPAIN,DANOIS,INTERVAL
9071,croata,kroatiske,54
12095,coalición,koalition,30
613,escudriñado,undersøgt,95
7854,river,riverfront.,62
7547,yate,yacht,55
4534,difuso,fuzzy.,81
2914,calzada elevada,kausway.,90
11333,hueso,knogle,32
7054,persuadido,overtalte.,53
12024,paja,blah.,31
5669,lepra,leprosy.,75
5095,conceder,indrømme,42
1733,dentado,hyped,61
2017,garabatear,doodle.,92
4850,rosquilla,donut.,77
9185,diosa,gudinde,52
9169,amargo,bitter,52
11918,puñal,dirk.,32
909,nutrias,otters.,46
7799,duende,nisse,62
3823,extravagante,outlandish.,86
12969,demora,forsinke,8
10016,mortal,dødelig,38
12764,peor,værst,24
1687,desprevenido,uforberedt,95
8507,en peligro de extinción,truet,55
12018,península,halvø,31
5037,desagradable,ubehagelig,76
1361,de soltera,nee.,97
13975,segundo,anden,8
642,paralizado,lammet,94
2106,guardias,guardsmen.,93
8407,maricón,fagot.,55
10949,agitación,uro,40
2238,cruz,carfax.,93
935,madera dura,hardwood.,97
8417,indiferencia,se bort fra det,51
2306,escoba,broom.,90
9483,lobos,wolves.,51
10721,silla,stol,37
13229,hijo,søn,18
6340,novedad,nyhed,69
11871,malicioso,ondsindet,27
2460,choza,shack.,89
9041,canguelo,funk.,54
8116,patético,patetisk,60
10612,procedimiento,procedure,33
9205,muñequita,dolly.,53
3827,himno,salme,78
11564,crucial,afgørende,35
13552,se aplica,gælder for,12
3362,tallos,stængler.,41
10058,deducción,fradrag,38
1522,estigio,styx.,96
1636,snelir,snell.,95
5824,tilo,linden.,75
11390,sueco,svensk,37
4935,miserable,elendig,69
13769,comprensión,forståelse.,11
7353,paisaje,landskab,60
10790,anticuado,forældet,41
11196,trece,tretten,38
7186,grabado,gravering.,47
12014,ajustarse,conform.,17
13803,ser,være,5
10766,hormigón,beton,41
2469,capitalizado,kapitaliseret,71
528,heno,hayne.,99
1648,perdurar,perdue.,92
3286,nervios,nerver,55
9092,amante,lover,46
14433,comisión,provision,22
13577,joven,ung,15
10507,pánico,panik,43
11344,culo,ass.,36
11341,morder,champ.,34
13282,gramática,grammatik,19
9369,térmico,termisk,52
3975,técnicos,teknikere.,59
10830,fabricantes,producenter,24
10831,quejas,klager.,30
12974,pelotas,bolde,11
13094,dar,da.,19
13183,desplegado,implementeret.,16
3022,tapiz,arras.,89
13280,contexto,sammenhæng,18
101,indostán,hindustan.,100
7897,varado,strandet,52
11660,unir,fusionere,21
11141,se sentó,lør,38
13189,químico,kemisk,19
11218,junto a,langs med,38
1890,transcurrido,bortfaldet,73
4160,dietético,dietary.,84
14384,dirigir,at føre,8
4646,remisión,henvisning,77
3714,fonógrafo,phonograph.,83
3660,normalización,normalisering,17
14465,asociación,forening,12
7892,aliado,allieret,21
7122,solomillo,mørbrad,66
1692,deshidración,dehydrering.,90
5795,cortejar,woo.,72
1236,especificaciones,specs.,65
13415,mateo,matthew.,17
6709,centro del campo,midtfelt,56
328,chaqueta de sport,blazer.,52
14339,consideró,taget i betragtning,5
9907,demandado,sagsøgt,26
11762,capucha,hætte,32
5957,inestable,ustabil,73
11683,preferir,foretrække,11
90,enfisema,emfysem.,100
2869,acuífero,aquifer.,88
4942,con alegría,glad.,79
10710,docena,dusin,31
13171,extra,ekstra.,19
2591,documentales,dokumentarfilm.,36
13403,negocio,forretning,15
9524,vudú,voodoo,51
9454,enfriador,cooler.,51
6798,neumonía,lungebetændelse,69
13917,presidente,formand,12
12996,inútil,ubrugelig,22
5068,derribar,træk ned,79
14501,autoridades,myndigheder,10
1610,diferencia,variance.,95
8225,retumbar,buldre,57
602,estridente,raucous.,99
12819,asumir,antage,16
3318,retenido,medheld,88
5797,semiconductor,halvleder.,71
13987,caso,sag,6
5872,caótico,kaotisk,74
8996,susurro,hviske,35
322,bravucón,bouncer.,98
11108,explorar,scout.,27
4303,insustituible,uerstattelig,81
5138,levantamiento de pesas,vægtløftning,78
7029,leña,woodward.,67
10450,maleducado,uhøflig,42
10615,inmuebles,ejendom.,38
9270,zanahoria,gulerod,52
13777,españa,spanien.,13
891,depositado,deponeret,58
14379,lado,side,12
3294,bollo,bun.,57
4324,debutante,deb.,71
5658,higo,fig,73
14037,área,areal,11
6854,viruela,kopper,68
8784,astronave,rumfartøj,56
14177,diseñado,designet,11
12889,corazón,hjerte,18
7038,cielo,skyer,30
12402,tiroteo,skyde,23
13513,abr,apr.,16
12223,más cerca,tættere,30
9865,principios,principper.,31
4663,inconcluso,ufærdige,81
6247,nome,nej mig,71
2844,frailecillo,puffin.,90
9396,valla,hegn,41
10954,esbozado,skitseret,33
1915,donas,donuts.,87
620,avelandas,warflanes.,99
13470,bandera,flag,14
10239,pulmón,lunge,43
7159,fatiga,træthed,63
9872,homosexualidad,homoseksualitet,38
5420,soneto,sønnet.,70
2562,bielorruso,byelorussian.,91
11945,undécimo,ellevte.,32
2925,agua de oro,goldwater.,90
1413,inscripción,tilmelding.,69
13465,mano,hånd,12
12852,bosque,skov,22
3539,tifoidea,tyfoid.,87
10801,hueco,hayes.,34
13291,nación,nation,8
3206,suspenso,spænding,34
661,llamador,ringer.,66
13475,persa,persisk.,16
11419,comprar,købe,33
11305,volcán,vulkan,36
3383,gatear,kravle,69
6308,camarón,reje,72
11908,raro,usædvanlig,29
4944,sionistas,zionister.,45
11636,comparar,sammenligne,12
2170,cónsul,konsul,64
12935,duque,duke.,22
6237,respetuosamente,respektfuldt,13
6419,clímax,klimaks,69
779,indemne,uforskammet,99
9199,asterisco,stjerne,51
13746,proceso,behandle,12
9429,mayonesa,mayo.,52
12129,adoptado,vedtaget,23
10401,juguete,legetøj,38
14258,creer,tro på,5
12917,no referenciado,uberørte,23
8462,platón,plato.,59
4705,encabezado,spearheaded.,63
947,cúmulo,cumulus.,98
10888,puntiagudo,peaked.,17
2169,apenas,næppe,73
5915,campo de campo,downfield.,74
13542,huelga,strejke,13
8090,del interior,midland.,46
12707,roca,sten-,22
7597,pala,spade.,59
10933,humo,røg,28
3805,domar,tæmme,72
6195,caniche,poodle.,71
8883,gubernamental,statslige.,56
11521,cuarenta y cinco,femogfyrre,36
12725,voló,flew.,25
12665,dibujado,trukket,26
9731,donante,donor.,44
11703,columna,kolonne,30
10185,josué,joshua.,46
8537,balles,hvaler,58
523,gapas,gables.,77
10904,almacenamiento,opbevaring,40
1735,rectificar,rette,69
10978,dulce,sød,38
5358,acosador,forfølger,73
14490,transformado,vendte,11
1875,etano,dimethyl.,94
12254,interno,indre,10
1453,consuelo,solace.,96
12663,alfarero,potter.,25
65,contratiempos,tilbageslag,75
5528,frijoles,bønner.,37
7982,quejumbroso,klager,32
1412,huella,dashes.,50
5693,agua dulce,sweetwater.,75
2390,comentarista deportivo,sportscaster.,88
5589,fabricación de cerveza,brygning,45
9834,amistad,venskab,48
7254,capas,lag.,39
3884,ave,fjerkræ,85
