ID,DANOIS,DEUTSCH,INTERVAL
10706,dæk,deck,41
13718,flod,fluss,13
6452,stinkdyr,skunk,72
801,weiner.,wiener würstchen,98
5754,paresy.,lähmung,75
7874,billionaires.,milliardäre,61
2599,livvagt,leibwächter,83
3565,forvirret,verwirrt,47
6672,overhøjhed,vorherrschaft,70
12999,ukendt,unbekannt,23
12716,teknisk,technisch,19
7594,bedstefar,großvater,63
8501,calculus.,infinitesimalrechnung,59
5831,auf.,aufbohrt,75
10972,styrkelse,stärkung,22
13952,en del,teil,9
6339,udløbet,unveröffentlicht,72
9327,døbt,dämmbt,45
9013,træde tilbage,zurücktreten,29
6142,cate.,kate,66
11606,ilt,sauerstoff,35
13839,en,a,5
1204,sukkerrør,zuckerrohr,98
4548,tangled.,verheddert,74
11633,ec.,eg,36
7728,flushing.,spülen,55
10755,ærlig,ehrlich,42
4386,illuminated.,beleuchtet,63
7612,grover,gräber,64
12729,rider.,fahrer,19
12901,få øje på,stelle,19
1331,jibbs.,jammig,97
6165,overbefolkning,überbevölkerung,72
11762,hætte,kapuze,33
13090,omfordelte,neu zugewiesen,21
13107,drama,theater,21
13498,fighter,kämpfer,16
2598,mesterværk,meisterstück,84
9920,hoary.,halary,49
13820,hvilken,welche,6
9993,overalt,überall  überallhin  allerorts,48
13541,sovjet.,sowjetisch,16
12608,ørken,wüste,25
11609,fremtende,nachher,36
1627,hør.,flachs,96
1937,pompey.,pompejus,94
1265,halvfemser.,neunziger jahre,56
9162,keen.,erpicht,55
2850,overbelastning,überlastung,85
1839,stivnet,versteift,90
3998,tåget,nebelhaft,85
14318,altid,stets,12
7011,grænseværdi,schwelle,67
12518,passe,fit,21
14454,at købe,kauf,34
8967,humør,stimmung,56
9434,hundehvalp,hündchen,50
6929,forskelligt,unterschiedlich,68
3616,undertøj.,unterwäsche,80
12028,disk,rabatt,30
549,mirakuløs,wunder-,86
1547,orgy.,orgie,94
1304,træbearbejdning,holzbearbeitung,88
8540,badger.,dachs,47
375,silica.,siliciumdioxid,100
5370,flygtige,flüchtig,71
14348,at tage,einnahme,5
10384,tilbagetrækning,zurückziehen,30
2166,char.,verkohlen,84
14420,som hedder,genannt,7
863,mætning,sättigung,64
8502,forældremyndighed,gewahrsam,59
10787,middelalderen,mittelalterlich,42
5017,tug,schlepper,74
2938,forstå,begreifen,87
6464,auktion,versteigerung,62
2499,hypotermi.,unterkühlung,92
13889,igennem,durch,10
357,udkast,entwürfe,96
992,gloss.,glanz,88
11475,højttaler,lautsprecher,32
2188,folder,mappe,89
6921,hound.,hetzen,63
11380,lodret,vertikal,34
6766,pilgrimme.,pilger,62
14489,tal,zahlen,8
10238,chamberlain.,kammerherr,46
14181,tredje,dritte,10
2033,vant,gewohnt,92
13903,synes godt om,wie,5
12459,walker.,gehhilfe,28
7435,broderskab.,bruderschaft,65
10511,væske,flüssigkeit,40
1812,hjørnestenen,grundstein,91
64,saddened.,betrübt,95
1295,salinity.,salzgehalt,83
3060,vinkel.,eckig,89
14070,verden,welt,8
2401,overtrædelser,verletzungen,80
12929,triple.,verdreifachen,23
14177,designet,entworfen,12
2838,håbløs,hoffnungslos,89
4162,punitive.,strafbar.,84
13635,afgørelse,entscheidung,14
10513,rygter.,gerüchte,38
12864,valg,auswahl,23
11066,tilfældigt.,nach dem zufallsprinzip,40
62,digger.,bagger,91
10812,rev,riff,41
5657,tilfredsstillende,zufriedenstellend,76
2803,seser,sitzer,89
3078,darn.,verflixt,87
13599,vendt tilbage,ist zurückgekommen,11
4707,akkumulerede,kumulativ,78
14210,tilbud,bietet an,18
4017,solstice.,sonnenwende,82
4045,utilfredshed,unzufriedenheit,81
11821,sekvens.,reihenfolge,31
5073,begrænsninger.,einschränkungen,74
4636,mallard.,stockente,81
7659,glemsel,vergessenheit,64
6114,polet,zeichen,68
5018,habitat.,lebensraum,79
7566,anbefaler,empfiehlt,15
3087,fiery.,feurig,89
2045,rundkørsel,kreisel,94
4120,cass.,kass,84
