ID,SPAIN,DEUTSCH,INTERVAL
5209,evanescencia,vergänglichkeit,78
1374,burgués,bourgeois,97
12181,enfermo,krank,26
6705,una tierra,ein land,69
1846,erario,schafferechte,95
9110,megahercio,mhz,54
2459,cigarrillos,zigaretten,52
5351,ilíado,ilias,77
6129,chirrido,quietschen,70
9283,superar,überwinden,48
12955,judío,jüdisch,22
8219,catolicismo,katholizismus,60
11035,cincuenta,fünfzig,38
4199,minúsculas,kleinbuchstaben,83
2302,psique,psyche,87
7266,rojizo,roanoke.,65
10835,megabyte,mb.,40
12389,parcialidad,voreingenommenheit,28
9309,frotar,einreiben,52
5296,basura,wurf,66
1414,abastecer,verpflichten,71
7239,confucionismo,konfuzianismus,65
13544,sotavento,lee,15
3342,pasante,patchantisch,88
2911,inducciones,induktee,86
6957,sigilo,heimlich,67
5597,bobo,booby,68
1491,sinceridad,wahrheitsgemäß,96
6629,bolchevique,bolschewik,62
4940,taxista,steuerberater,79
12411,cala,bach,28
12034,película sonora,talkie,31
12718,gorro,govern,25
3249,joven a la moda,klapper,88
8802,reconsiderar,überdenken,53
5344,gato montés,wilde katze,36
9962,baño,toilette,47
14237,conocido,bekannt,11
6431,ensayos,aufsätze,39
7588,camisa roja,rotes shirt,61
7280,devanar,anwenden,65
3145,druso,drucken,88
5169,reconocible,erkennbar,76
8795,riñón,niere,54
4947,obediente,konforme,79
3320,envíos,sendungen,68
5392,olores,gerüche,54
68,valientemente,mutig,100
6367,sífilis,syphilis,71
3328,antiguo alumno,alumnus,88
8101,desempate,tiebrecher,61
12262,asaltantes,raiders,28
12187,cumbre,gipfel,29
7429,ester,stereln,64
7800,tenencia,amtszeit,61
4384,pargo,schnapper,67
12405,arce,ahorn,28
12099,conde,graf,30
9738,silencio,schweigen,44
9969,desplazado,verschoben,20
1109,rosacruciano,rosikrucianer.,97
10221,aspiradora,staubsauger,45
8526,en el extranjero,im ausland,58
1442,tridente,dreizack,92
12290,a diferencia de,nicht wie,22
14452,principal,führend,8
14420,llamado,genannt,7
1938,competente,kenntnis,93
14306,liberado,freigegeben,9
11436,junco,schilf,36
11656,exitosamente,erfolgreich,13
8541,círculos,kreise,30
8473,claridad,klarheit,58
10655,campañas,kampagnen,15
13879,ahora,jetzt,8
3260,afinidad,affinität,81
11808,áspid,asp.,33
8949,esparto,alfa,54
12362,empacadores,packer,27
8357,decimosexto,sechzehntel,59
14402,requerir,erfordern,7
7788,he,ich habe,62
813,atigrado,tabby,99
3127,velo,schleier,73
13465,mano,hand,12
6281,diarrea,durchfall,72
3817,paridad,parität,86
2523,azotaina,spanking,83
5138,levantamiento de pesas,gewichtheben,77
14174,gerente,manager,11
3712,escafandra autónoma,skuba,86
12344,lo más rápido,am schnellsten,28
6128,veneno,gift,70
6990,morteros,mörser,42
8570,sábalo,schatter,58
4367,reurbanización,sanierung,64
7071,serio,ernst,66
9418,deslizar,unterhose,38
9908,zanja,graben,42
4184,saltador,springer,84
4456,cartesiano,kartesisch,82
2719,superficial,flusswürdig,90
8926,ranura,trägheit,55
12558,innecesario,nicht notwendig,26
13131,gay,fröhlich,20
9508,furia,wut,43
10967,matemáticas,mathematik,38
4318,psiquiátrico,psychiatrisch,83
11101,puro,rein,32
