ID,RUSSIAN,DEUTSCH,INTERVAL
7577,скотч,scotch,61
8128,недоступен,nicht verfügbar,56
14415,р,r,9
11953,альберта,alberta,28
7468,поз,posse,43
9714,церемонии,zeremonien,21
4995,сферика,spheniker,77
11944,алисон,alison,28
8487,ледник,gletscher,51
5765,бк,bk.,72
10020,кашмир,kaschmir,44
11255,химия,chemie,35
3676,тенор,tenor,80
10148,шимпанзе,schimpanse,42
1574,озвучивать,stimmigte.,20
1415,героиня,heldin,46
14252,сервер,server,6
11541,сингл,singh,32
6290,небрежный,schlampig,69
5271,недомогание,underdogs,56
13615,тагалог,tagalog,12
11639,слалом,slalom,29
5548,лизергический,lysergisch,74
12220,поселился,niedergeschlagen,21
5140,видеозапись,videoband,64
5147,серванс,cervantes.,76
6040,йети,yeti,71
12596,лишенный,iv.,23
3603,сопрано,sopranos,64
10023,муж,ehemann,43
8674,монах,mönch,39
13287,империя,reich,15
10268,тамил,tamilisch,42
155,тачка,schubkarre,100
11562,низменность,niedrigsten,32
4013,камуфляж,tarnung,77
13092,пенальти,strafe,15
130,электростатический,elektrostatisch,89
10060,ааа,aaa,43
5603,крейсер,kreuzer,69
435,франционный,francium,100
1328,апати,apathie,96
2319,качаться,schwanken,80
6970,восстановленные,rekonstituiert,60
10802,пицца,pizza,38
4390,поли,poly,79
1305,осциллятор,oszillator,62
2231,пирожный,brownie.,88
3387,надписи,inschriften,67
12320,глория,gloria,25
4386,освещенный,beleuchtet,60
2350,чистка,bürsten,47
12142,побег,flucht,21
8406,лак,lake,56
786,дох,doh,98
3899,жадность,gier,84
14076,дизайн,design,10
2412,шлюха,schoner,60
13959,конец,ende,7
5180,премии,prem,76
11502,тринидад,trinidad,32
1003,военнослужащие,warlords.,82
9518,чарльстон,charleston,48
13130,восьмой,achte,17
2348,не нужно,sollte nicht,91
6988,мяу,miau,65
12439,женский,weiblich,23
2207,капиллярный,kapillar,89
4643,константин,konstantin,79
9670,синтез,synthese,47
6515,фаллоимитатор,dildo.,66
11305,вулкан,vulkan,32
7909,тнт,tnt.,59
9087,соответствует,entspricht,25
3604,гусеница,raupe,83
6307,эзра,ezra,69
14446,позволять,lassen,9
11109,плавать,baden,32
9854,каир,kairo,45
5697,метан,methan,73
5206,пэдди,paddy,73
9833,аламо,alamo,42
2657,неизведанное,schwankend,76
7846,двухгодичный,zweijährlich,59
11445,навсегда,für immer,32
1711,баффи,bafta.,94
11023,акцент,hervorhebung,37
9726,добиться,dob.,46
11525,вернись,komm zurück,31
4890,любезно,labe,78
6294,главный герой,protagonist,62
11680,салем,salem.,31
5555,самсара,samsara,74
13948,ему,ihn,9
8653,приспособление,anpassung,32
1280,кровотечение,bluten,47
12338,электронный,elektronisch,19
12311,шотландский,schottisch,25
7840,монооксид,monoxide,60
1994,ламера,lamer,93
11662,зимбабве,zimbabwe,31
9021,лагуна,laguna,52
4523,маратхи,marathi,80
4624,ворс,grinte,79
10033,горилла,gorilla,43
5441,чайник,teague,75
6076,медитация,meditation,62
5276,берегись,achtung,75
11235,локаут,schüttelnd,22
5471,либертариан,libertarisch,62
6531,молиться,beten,55
12782,в линию,in der reihe,21
2447,счастливый,versehentlich,20
8030,блан,blanc,58
2981,торрент,torrent,85
5077,вт,vt,76
11678,бермудские острова,bermuda,31
10607,рейн,rhein,39
11871,злонамеренный,böswillig,24
11013,пикет,pikett,37
6544,курьер,kurier,66
9902,пелотон,peloton,45
8909,вавилон,babylon,52
3422,оружитель,waffenkammer,83
7940,каты,kathy,59
1157,трилистник,klee,96
2802,назал,nasal-,88
8779,алый,scharlachrot,52
4967,террапины,terrapins,74
6012,голенина,tibia,71
12199,дверь,tür,23
9241,без мужчин,keine männer,50
7990,шампанское,champagner,59
11709,близость,räumliche nähe,30
10963,печать,briefmarke,31
3038,тимьян,thymian,88
6998,леденец,lutscher,63
10835,мб,mb.,38
8859,осака,osaka,53
6562,атолл,atoll,66
2617,преуспевать,gelingt es,89
5115,гуманоид,humanoid,74
10918,последствия,nachwirkungen,38
13764,настоящий,real,11
14256,вызовы,anrufe,8
4907,феминист,feminist,72
2065,эрг,erg,90
8478,карандаш,bleistift,53
4629,эстрада,estrada.,79
5350,гималаи,himalaya,75
2165,электрофорез,elektrophorese.,91
3431,hawkeye,falkenauge,86
9463,коре,kocher,48
14402,требовать,erfordern,6
857,метадон,methadon,97
3468,шропшир,shropshire.,86
3139,интимный,intim,75
13618,чат,plaudern,12
2279,креоль,kreolisch,91
11123,саундтрек,soundtrack,34
8807,восприятие,wahrnehmung,47
7315,бизнесмен,geschäftsmann,62
2252,неоценимый,unschätzbarlich,91
10615,имущество,anwesen,36
14147,недавно,kürzlich,5
2938,постигать,begreifen,85
91,родозиан,rhodesian,100
1966,мучить,klosten,93
9437,шлюз,tor,48
3606,клима,klemer,85
11090,катар,katar,36
7601,пустота,leere,56
3241,сиденья,sykes,83
1028,телецентр,telic,97
2895,некрофилия,nekrophilie,88
7375,неэффективно,unwirksam,60
1282,триады,triaden,65
2291,стронций,strontium,91
8719,иск,klage,48
10481,поп,pp,39
10540,окинава,okinawa,40
11670,тринадцатый,dreizehnte,31
8527,существа,kreaturen,46
12027,пар,dampf,27
4015,шарлоттсвилл,charlottesville,83
9598,юмор,humor,39
7521,зомби,zombies,25
653,стюард,steward,64
4394,монгольс,mongolen,54
1837,иезавель,jezebel.,94
7158,эко,öko,63
11736,перри,perry,30
3323,пинто,pinto,87
11713,джейк,jake.,30
6056,выстрел,gewehrfeuer,71
10090,воздерживаться,nachgeben,43
12461,униформа,uniform,20
6823,донна,donna,64
4000,супер сила,supermacht,73
8181,родхэм,rodham,57
4913,софокл,sophokles,78
9063,редуктазировать,reduktase,51
11181,сб,cb.,35
10651,опции,optionen,7
4556,прима,prima,79
3284,шариат,scharia,87
4829,посланник,gesandte,74
12336,иммиграция,einwanderung,22
5593,мутация,mutation,63
10242,деревенский,ländlich,42
3380,сознательно,wissentlich,86
7691,геометрический,geometrisch,59
4300,каноэ,kanu,71
5635,брайлл,blindenschrift,73
11428,поло,polo,33
12354,арфакт,ar.,24
7007,скат,stachelrochen,62
12658,весело,spaß,22
14499,дэйвид,david,9
5676,термодинамика,thermodynamik,69
7541,заир,zaire,62
10341,телекоммуникации,telekommunikation,30
11741,амазонка,amazonas,30
2912,закусочный,diner,86
14050,состояния,zustände,6
6066,буйволы,büffelbüffel,18
9978,основные моменты,highlights,21
9918,сатана,satan,38
1799,смазка,schmiermittel,81
7267,лимерик,limerick,62
1935,антиоксидант,antioxidans,91
92,дезинтеграция,zerfall,76
3705,маньяки,wahnsinnige,47
5376,shoplifting.,ladendiebstahl,71
7616,карма,karma,61
7514,выставка,ausstellungsstück,26
13492,ван,van.,13
2609,лис,lis,32
11979,доллары,dämmert,20
2787,телеграмма,telegramm,84
12670,пиксели,pixel,21
6267,крестьянин,bauer,53
11842,живой,am leben,29
1107,хранитель,hüter,42
8811,печень,leber,53
4302,изоляция,isolierung,65
2221,смегма,smegma,91
2040,трактика,zug-,92
6701,шалфрар,templer,66
12181,больной,krank,22
12465,молодежь,jugend,22
1201,лита,litas,96
5893,вентиляция,entlüftung,62
11249,дублин,dublin.,35
687,физики,physiker,57
1794,гегемония,hegemonie,94
9646,фейерверк,feuerwerk,45
9870,бутон,knospe,42
10377,партнер,partner,32
5720,моды,modi,34
11846,фактор,faktor,23
14284,хотя,obwohl,5
10775,аффилированность,zugehörigkeit,9
10561,фортепиано,klavier,39
2658,плебисцит,volksabstimmung,89
12540,губернатор,gouverneur,21
11508,семьи,familien,12
8701,погибший,aufreißer,54
3333,тонально,schlagbaum,83
5427,конькобежец,skater,35
11207,джоан,joan,35
9271,шлем,helm,43
11970,приносят,bringend,6
5476,айк,ike,74
4195,субдукция,subduktion.,77
10798,боулер,bowler,28
11200,хаос,chaos,33
5599,амплитуда,amplitude,73
6073,бирза,birke,71
314,анемометр,windmesser,100
13796,в,in,5
12537,копии,kopien,11
11381,линейный,linebacker,29
12686,аккуратный,aufgeräumt,21
12824,орлеан,orleans,20
3069,основы,grundlagen,32
11297,кат,kat.,33
2645,самодержавие,autokratie,89
11236,несправедливо,unfair,35
3563,эрас,eras,16
11910,бунт,aufstand,16
12190,брэндон,brandon,26
2109,расширяться,erweitern,59
13469,разрешать,ermöglichen,9
90,эмфизема,emphysem,100
12897,джимми,jimmy,20
7491,межсетевой экран,firewall,62
7428,крещение,taufe,61
7378,лисы,lyasen,43
2659,усердно,handlich,89
6262,локи,loki,70
9267,либерия,liberia,50
365,макака,macaque.,99
8615,моллюск,mullen,54
10703,транс,transp,38
8238,бел,bel.,57
7061,ламберт,lambert,64
4092,пачка,tutu.,83
7421,веста,vesta,62
14092,операции,operationen,6
10365,благородный,edel,39
4739,некомпетентный,inkompetent,64
14285,тип,typ,7
6041,тунец,thunfisch,70
9037,требовательный,anspruchsvoll,20
11593,христианство,christentum,12
3106,киель,kiel,88
2500,чапаргал,chaparral,88
4469,ювелирные изделия,schmuck,80
8382,трагический,tragisch,51
12243,рассел,russell,25
7308,свинина,schweinefleisch,62
14362,видео,video,10
6688,гуэльф,guelph,66
9272,альбион,albion,50
2426,низкий человек,lowman,91
14180,июль,juli,6
8924,икра,rogen,51
10438,ими,äh,40
11083,рассмотрение,erwägung,21
6490,павлин,pfau,66
2572,гамелан,gamelan,90
8243,простить,verzeihen,50
596,стецсон,steton,94
8795,почка,niere,51
13102,дакота,dakota,18
811,там же,inbid,98
10824,бритва,rasierer,38
2110,патт,patten,88
1938,познан,kenntnis,91
5749,кастил,kastilien,73
6121,жалость,das mitleid,63
9837,водопровод,waterloo,45
4447,слизняк,schleichen,67
12967,уэйн,wayne,19
1646,монтесори,montessori.,94
3572,твистер,twister.,81
14058,знать,wissen,7
11115,барселона,barcelona,36
11086,подразумевать,implizieren,23
5721,стратус,stratus,73
7047,латиноаналь,latino,61
4031,печенье,kekse,23
13752,радио,radio,12
5878,спелый,reif,71
10768,семена,saat,13
175,премеженструальный,prämenstrubal.,100
5287,веганство,veganismus,50
8117,анорексия,anorexie,58
4532,компенсация,erinnern.,29
9891,каникулы,feiertage,26
13361,модель,modell,13
268,неаполитан,neapolitan,99
272,баллер,baller,90
11392,профессор,professor,32
13294,устанавливать,montieren,13
9088,винил,vinyl,51
7254,слои,schichten,36
5825,стадо,herde,66
14510,эффективная,wirksam,10
12248,где-то,irgendwo,26
10526,по существу,im wesentlichen,19
834,лифчик,büstenhalter,95
9695,амантик,adobe,46
8146,протягиваний,unterwegs,58
11795,интересы,interessen,8
13226,вперед,nach vorne,9
3015,хенлина,huntley.,88
9672,решить,lösen,30
8087,воротник,halsband,49
3104,молодые люди,jugendliche,78
13667,ничего,nichts,12
12716,техническое средство,technisch,15
14220,похожий,ähnlich,11
346,хаджи,haji,100
4232,дидди,diddy.,82
5611,таргерман,targeman,73
5483,шиншилла,chinchilla,74
9839,вовлечение,einneigend,14
13364,извиняться,sich entschuldigen,6
6908,величество,majestät,64
11424,кактус,kaktus,33
6109,аластор,alastor,71
848,агроль,agricole.,98
2486,кони,koney,90
13906,каждый,jede,8
4494,самый сложный,härteste,80
2614,детский сад,kindergarten,88
14328,вел,led,10
4874,фиктивный,fiktiv.,78
3624,шарет,charakter,85
10967,математика,mathematik,35
8798,свидетельство,zeugnis,48
13585,родился,geboren,12
9124,вспомнил,zurückgerufen,29
1156,карабин,karabiner,86
3763,йосемити,yosemite.,84
10466,протяжение,strecken,30
5293,деми,demi.,75
4336,аллегория,allegorie,80
3214,фельдспар,feldspar,87
1501,актуальный,aktuar,88
6728,коринфянам,korinther.,62
5172,бабушка,oma,75
11880,бергера,berger,29
9158,экватор,äquator,28
1381,лимфатический,lymphatisch,96
3888,нейлон,nylon,83
14057,изменять,ändern,5
12126,миллиард,milliarde,26
11031,перестрелка,schießerei,36
4338,искусный,ikeman,81
9134,джанет,janet,51
3424,табу,tabu,84
13030,присоединился,trat bei,11
12936,порт,hafen,18
7974,arrowhead,pfeilspitze,59
10903,покер,poker,38
12107,контролируемый,kontrolliert,11
9640,темза,thames.,47
10708,скипетр,zepter,38
3653,упорядоченный,ordentlich,85
3386,неверие,ungläubig,86
11471,продавать,verkaufen,21
1169,подтип,untertyp,93
9222,штраус,straususs,50
1547,оргия,orgie,93
460,привыкание,süchtig machend,23
385,альберих,alberich,100
3418,лесное хозяйство,forstwirtschaft,86
4184,спрингер,springer,82
4722,архаичный,archaisch,78
12033,пиратский,pirat,18
5346,хромизм,chrom,75
5927,головная боль,kopfschmerzen,66
11243,фильтр,filter,31
10400,спрингфилд,springfield.,41
2211,ванды,bausend,90
6425,нигерийский,nigerianisch,66
6746,мебель,möbel,66
11612,блеск,blair,32
12494,диджея,dj.,24
7988,сценарий,szenario,48
12175,жена,ehefrau,27
8610,виноград,weintrauben,43
12717,отправить,schicken,16
13994,дни,tage,6
181,налокон,naloxon.,100
2244,тарсус,tarsus,91
8187,малави,malawi,57
13632,форум,forum,12
11720,открытие,entdeckung,26
6296,стиль жизни,lebensstil,63
6787,удаленно,remote,38
13327,движение,bewegung,14
4283,скорпионы,skorpions,45
11821,последовательность,reihenfolge,26
2031,зороастризм,zoroastrianismus.,88
8222,пехотинец,hunne,51
8489,арой,arroyo.,54
3925,гу.,gu,84
8145,воспалительный,entzündungslos,58
1904,кинопроизводство,filmemachen,72
2088,дебюсси,debussy.,92
2754,пивоварня,brauerei,82
10787,средневековый,mittelalterlich,38
6174,киви,kiwi,65
3327,лашкар,lashkar,87
11974,существенно,bedeutend,28
1721,характеризуется,charakterisiert,79
1820,шерпа,sherpa,88
13231,антонио,antonio.,16
5705,рассказчик,erzähler,53
10675,довериться,brent,38
1215,замкнул,brecht,96
7613,почетное,ehrenamtlich,61
6338,обороты,rpm,69
11574,процентов,prozent,32
6371,комендантский час,sperrstunde,65
1524,сразу,snoopy,95
4956,лошадиные силы,porzent,77
6682,отвесный,steil,64
3660,нормализация,normalisierung,14
9426,экспертиза,sachverstand,48
12469,мэдисон,madison,24
13734,золото,gold,12
8394,аналитики,analysten,46
3370,аденозин,adenosin,86
9363,архитектор,architekt,42
3022,арас,arras.,88
14211,недели,wochen,9
12937,достаточный,reicht aus,15
147,обнищавшийся,verarmt,99
8782,клинический,klinisch,43
5196,частицы,partikel,47
8722,ковбой,cowboy,22
9418,соскальзывать,unterhose,35
9603,питание,ernährung,45
13733,осведомленный,bewusst,12
5959,гламур,glamour,71
246,консультирование,beratung,59
14447,начинать,beginnen,11
2104,симфонический,symphonisch,92
13987,случай,fall,6
12709,арен,aren,22
1638,руль,ruder,92
3013,грун,grun,88
2259,стекловоломок,glasfaser,91
96,полинезийский,polynesisch,99
11373,холокост,holocaust,34
11486,шеффилд,sheffield.,33
11339,краткость,kürze,34
12608,пустыня,wüste,21
12903,окленд,oakland,20
4170,главный человек,stulpe,81
12701,рады,froh,22
2834,ара,ara,88
2649,бургундия,burgund,89
4252,пиял,blutegel,81
10458,возражение,einspruch,12
7874,миллиардеры,milliardäre,57
570,сельскохозяйственные угодья,ackerland,96
11257,разрушать,zerstören,14
3896,ткачество,weberei,74
11046,историки,historiker,27
10452,вылет из,abfahrt,38
7564,беккет,becket,62
11582,тайлер,tyler,32
5616,lew.,gelehrt,73
6687,гай,gaius,66
7156,никки,nicky,63
961,берберский,berber,91
1203,растяжение,verstauchung,70
347,почтальон,postbote,100
5660,гроб,sarg,70
5819,сохранение,konservieren.,28
9183,серотонин,serotonin,50
11498,газеты,zeitungen,15
669,опухать,anschwellen,67
11087,цензура,zensiert,26
364,дворян,adlige,100
5835,морская звезда,seestern,72
9100,дзюдо,judo,51
11421,обстоятельства,umstände,31
12584,отец,vater,22
12426,молоко,milch,24
6410,дискурс,diskurs,68
6459,ржавчина,rost,64
9975,механизм,mechanismus,19
14433,комиссия,kommission,19
8188,кроткий,sanftmütig,57
12844,мэриленд,maryland,20
7865,метафора,metapher,54
1030,ярборо,yarborough.,97
11978,бенжамин,benjamin,28
2968,агитация,agitation,68
11080,фантом,phantom,33
10593,радикал,radikale,33
14062,пример,beispiel,10
9422,йоханнесбург,johannesburg,49
12104,аравия,arabien,27
11700,микки,mickey.,31
13435,предстоящий,voaus,14
6622,педофилия,pädophilie,67
5194,кофактор,cofaktor,72
5165,ашер,aser.,76
3007,ручка,knopf,80
2325,баритон,bariton,91
4063,киллин,killeen,83
512,иль,ile,99
4677,канакс,kanus,79
13350,скорость,geschwindigkeit,14
4104,eniac,erajac.,83
13697,стивен,stephen,12
4405,секретность,geheimhaltung,81
3421,ковалентный,kovalent,86
11868,кабинет,kabinett,29
6802,многонациональный,multinational.,65
8321,цистик,zystiker,56
3412,фанера,sperrholz,86
4485,эпилепсия,epilepsie,80
11586,риос,rio.,32
1311,такса,dackel,96
9433,ковчег,arche,48
8524,хронология,chronologie,39
6730,таксономию,taxonomie,65
6426,недооцененный,uneinzweilig,69
14131,раз,mal,5
10370,реклама,anzeige,7
12164,поднимать,aufzug,16
4914,кавер,cav.,78
2542,кобель,waller,90
7192,порядочность,anstand,63
4919,перицы,perikzer,78
14,гавань,häfen,27
11949,канал,kanal,28
13689,мичиган,michigan,12
6709,мидфилд,mittelfeld,53
483,поливинил,polyvinyl.,99
3526,зефир,mäusespeck,86
6648,пограничный,grenze,66
3725,хг,hgg,85
13056,грэм,graham,18
6789,сафари,safari,66
3420,конестога,konestoga,86
13254,азиатский,asiatisch,16
12837,сиэтл,seattle,20
7775,антоний,antastisch,60
2678,наряд,kleidung,88
5012,цикло,zyklo,77
2369,полиэтилен,polyethylen,91
3290,бари,bari,87
7768,чо,cho.,60
7063,лоялист,loyalist,56
14236,убитый,getötet,10
4689,фей,free,79
4790,дурри,drurum,79
7581,убой,schlachten,54
5679,горчица,senf,72
4217,тоталитарный,totalitarisch,67
7559,чертеж,wormer.,62
9233,бисексуал,bisexuell,43
737,папарацци,paparazzi.,98
3780,ухудшаться,verschlechtert,62
9412,ватикан,vatikan,49
7562,понсель,ponce,62
13483,календарь,kalender,14
10093,рита,rita,43
3908,огневая мощь,feuerkraft,84
8973,питон,python,52
605,наезжать,heruntergewirtschaftet,99
9074,разбросанный,verstreut,45
13907,те,diese,6
1222,тамада,toastmaster.,94
9446,приклада,hintern,40
6840,тяжелый вес,schwergewicht,64
7415,схватка,scrimmage,61
13998,услуга,service,7
2078,азота,literös,92
2790,пигман,schweinehirt,89
1843,маратха,maratha.,94
621,теннисон,tennyson,99
8703,обнаружить,entdecken,9
10791,четырнадцать,vierzehn,38
11864,сленг,slang,29
9207,хокинс,hawkins,50
2287,соу,sau,84
11449,гарин,gareth,33
11567,в стороне,beiseite,32
8869,пресловутый,berüchtigt,49
8944,подавляющий,überwältigend,37
8403,сикх,sikh,47
1962,богато,richer,93
10567,ненужно,unnötigerweise,39
7070,вытереть,abgewischt,51
4044,калькутта,kalkutta,83
4663,незаконченный,unvollendet,79
2336,на юг,südwärts,57
3411,полиэстер,polyester,84
5039,полиомиелит,poliomyelitis,77
3984,акрополь,akropolis,83
8070,бесконечный,endlos,58
1149,нарды,backgammon,96
6072,завоевано,erobert,44
3760,экзамены,prüfungen,64
12534,считается,angesehen,6
10177,границы,grenzen,29
6441,под водой,unter wasser,68
1058,рвение,eifer,96
2118,отчаяние,verzweifeln,88
11441,маршруты,routen,16
149,острая необходимость,dringlichkeit,100
13699,даниэль,daniel.,12
14115,закрывать,schließen,10
10726,ширин,shi.,34
11917,джейн,jane.,28
9530,женева,genf,48
1828,чемонство,prägung,94
5916,тщеславный,vergeblich,71
713,возникла,gesprung,98
2793,сосредоточивый,soleil,89
8089,ларс,lars.,46
8875,сфинкс,sphinx,52
10812,риф,riff,38
6020,контрольный опрос,quiz,71
9729,девятнадцать,neunzehn,46
13571,различный,verschiedene,13
14208,поле,feld,8
6892,фиджийский,fidschianer,65
93,микропроцессоры,mikroprozessoren.,74
12598,легенда,legende,20
10455,пепси,pepsi,40
12981,расписание,zeitplan,13
9704,капитолий,kapitol,46
7791,стоящий,lohnend,60
1463,выговор,tadellos,79
13840,я,ich,5
6600,братство,brüderlichkeit,51
13996,проблемы,probleme,9
9785,похороненный,begraben,37
3317,аптека,apotheke,84
1404,благодарность,dankbarkeit,95
11779,турист,tu.,30
5956,квартет,quartett,70
10989,ладен,beladen,37
9896,девиз,motto,42
4851,гольштейн,holstein,78
11461,охватывать,spanne,28
9926,альпийский,alpin,44
5072,китайский квартал,chinatown,76
2489,гермафродит,zwitter,89
7283,карамболь,karambolage,62
3597,примата,primas,76
13942,набор,satz,9
3628,веритас,veritas,85
4382,кинь,verwandtschaft,80
3170,тирания,tyrannei,82
8063,усадьба,manor,58
8212,лета,leet,57
1583,фенилаланин,phenylalanin,94
511,аллегро,allegro,99
