ID,JAPAN,KOREAN,INTERVAL
8101,タイ・ブレーカー,tiebreaker.,58
6494,凛,rin.,68
4207,補償,보상하다,42
6312,聖域,성역,68
10501,不思議な,불가사의,15
7131,メスカリン,메스 칼린,64
3095,トルク,토크,88
8318,木の下で,나무 밑에,56
277,セダン,세단,49
8466,入賞者,선거권,55
5904,浮揚,부양,70
10168,気象,기상대,33
5117,森林,삼림지,63
12445,王朝,왕조,24
8934,randall.,랜으로,52
580,グジャラチ,구자라티,99
1701,ブランカ,블랑카,94
7337,贅沢,사치,45
4852,失業者,한가한,50
11998,不完全に,신통치 않게,28
12526,答えた,응답했다,11
505,スプリングする,솟아 오르다,99
12273,火曜日,화요일,26
10366,レズビアン,레즈비언,40
5823,遅れる,지체,38
4206,スライド,슬라이드,41
13507,痕跡,추적하다,13
8091,パソ,파소에서,58
10510,線形,선의,40
12025,純性,자세한 것,28
14398,日付,날짜,6
6348,コバルト,코발트,69
13578,過去,과거,12
289,興味のある,흥미로운 것,46
13420,マリン,선박,12
13141,壊す,부서지다,13
5731,poss,주머니쥐,72
2770,補助金,보조금,76
3748,滑りやすい,미끄러운,84
14053,西,서쪽,8
6155,サーファー,서퍼,61
6875,ボイラー,보일러,62
10233,小隊,소대,38
13898,企業,회사,9
275,イベリア,iberian.,99
1480,ビガルタサン,bipartisan.,95
6060,crack crack,단속,70
251,転がり,텀블링,70
10753,ちゃん,찬,38
10863,根,뿌리,29
9042,砂漠,산드라,51
5799,保守主義,보수주의,73
6561,ナイロビ,나이로비,68
1426,ブイ,부표,83
5859,アレゲニー,allegheny.,72
10301,カーニバル,사육제,41
3488,カリプソ,칼립소,86
6384,任意に,임의로,69
8420,マグナム,큰 술병,55
2838,絶対的な,절망적 인,88
7854,河川,리버 프론트,60
5054,プロテスタン主義,신교,77
9392,航空宇宙,항공 우주,49
1889,カスケード,계단식,62
13959,終わり,끝,7
10212,ミルトン,밀턴,42
8759,ストライカー,치는 사람,41
8755,続けて,계속,49
8669,安いです,값이 싼,53
13478,ジャクソン,잭슨,14
7266,ロアノーク,로아 노크,63
1633,rem rem,반송,75
9681,ヴェネツィア,베니스,47
10752,マイヨルツ,타이츠,38
2795,ブラックベリー,블랙 베리,89
6216,beat beat,베아트리체,70
3103,ショーニー,쇼니,88
3213,充填剤,필러,82
10774,拡大,확대,21
10179,マリク,말릭,43
14100,私たち,우리를,7
7391,rip,찢다,43
8770,プラグ,플러그,48
13176,中々,중반,17
3469,似非,본선 인도,86
9294,モニタリング,모니터링,16
3790,サイクリスト,자전거 타는 사람,58
4815,ワードローブ,옷장,77
342,インクブロット,잉크 블롯,100
7291,スマトラの,수마트라,63
10563,詰まり,막힘,38
6272,バッタ,메뚜기,67
7739,しばらく,잠시,61
11604,唯一の,혼자서,24
12210,急速,급속히,27
8501,微笑み,계산법,55
8061,食べた,먹었다,57
13075,致命的,비판적인,11
3092,弁,밸브,46
2431,ヒーラーズ,elewers.,91
8287,アルゴナウツ,argonauts.,55
11351,広くなる,펼친,34
12114,ミント,민트,26
14207,特別,특별한,10
168,シュミッツ,슈미츠,100
9082,揚げ物,볶은 것,38
2106,警備員,경비원들,93
13497,m,마프,14
13760,pr,prix.,12
14473,表示されています,표시,9
9907,めくる,고소하다,23
2397,絶対的なマンのような,운동가 답지 않은,91
7090,ワクチン,백신,53
1617,マルテン,마르티텐,89
10872,狭い,좁은,32
12352,ブリスベン,브리즈번,25
1725,閲覧可能,시청할 수있는,94
10492,シャー,샤,40
6869,オーガズム,오르가슴,65
11788,暗殺,암살,26
10633,ミネアポリス,미니애폴리스,39
4073,レターン,레터맨,83
8978,コルク,코르크,50
13374,i i,아이오와,15
7121,winslow.,윈스 로우,64
7483,ヤードジュ,역 구내 사용권,62
8538,いとこ,사촌,45
6135,カクテル,칵테일,65
11579,ソニック,소닉,31
9736,簡易,쉬움,40
3355,auspices.,원조,87
8210,グラフ,그레이프에서,57
5083,チーズケーキ,치즈 케잌,76
7060,パイプライン,관로,62
3891,cor,고루의,84
9730,膨らませる,부풀다,46
12410,書き組む,라이트,25
12904,紡績スター,노처녀,20
1207,レニニスト,렌나스트,96
12791,ラリーリー,래리,21
8462,プラトー,플라토,55
5729,空気力学,공기 역학,59
3298,わーい,예요,87
8305,na na,nautica.,57
425,スーパーマリン,슈퍼 마린,100
10897,羊飼い,목자,37
2228,ティール,물오리,92
5088,run,룬,40
593,クロマチン,크로마 틴,99
7873,加害者,가해자,45
5115,ヒューマノイド,인간형의,74
11641,反乱,반항,31
11407,殴打された,밟아 다진,34
11371,en en,입대하다,29
13731,スペース,공간,12
8442,未熟,미성숙,53
6589,over over,과장된,68
13416,人気,인기있는,13
6803,poll poll,오색자,66
9957,飛んで,날아 갔다,44
1613,セイロン,실론,94
10102,ロマンチック,낭만적 인,42
8723,スラレ,살해자,53
13065,時間とともに,시간 외에,18
11843,ハンガリー語,헝가리 인,28
3260,親和性,유연,79
1981,除草剤,살초제,90
1531,ブルジョアジー,자본가 계급,95
4903,トナカイ,순록,78
5283,ペンブローク,펨 브로크,76
4553,al,alai.,80
7961,キャシー,캐시,59
13322,おい,이봐,15
7844,パイパー,피리 부는 사람,56
6288,好奇心,호기심,68
1581,小道具,소품,62
4829,エンコイ,사절,75
4600,オドメーター,주행 거리계,80
9044,預言者,예언자,46
5843,エメリー,금강사,72
9609,リネマン,전위,47
5259,執拗な,잔인한,75
8601,デーン,덴마크 사람,50
13438,文学,문학,14
4423,卑しい,굉장한,80
13114,運転者,운전사,12
3792,腐敗した,쑤셔 넣다,85
9930,フェリー,나룻배,37
7488,出金,제출,44
999,屋上,옥상,89
7866,スーパーノーバ,슈퍼 노바,60
11252,帰属,기인 한 것,14
3271,スキーヤー,스키 타는 사람,76
