ID,KOREAN,TURC,INTERVAL
13984,센트,yüzyıl,26
9928,다가오는 것,yaklaşan,44
7412,화필,fitch,62
8170,주입,enjeksiyon,29
7414,간접적 인,dolaylı,62
3010,무차별로,ayrımsız olarak,45
4453,스파니엘,spaniel,80
8158,거르기,sızmak,57
7586,산딸기,ahududu,62
3399,해체,sökülmüş,69
6151,보호,koruyucu,10
7385,한가운데,ortasında,62
8394,분석가들,analistler,46
1680,자이 니즘,jainizm,94
10804,항복,teslim,28
6355,추축 같은,pivot,61
12044,밀워키,milwaukee,28
5818,메두사,medusa,72
2546,핵소,nükleolus,90
12553,한편,bu sırada,23
14282,시리즈,seri,7
10130,지능적인,zeki,17
7007,가오리,vatoz,62
9853,예일 대학,yale,45
7324,생기다,ortaya çıkmak,47
11939,다루기 힘든,dik başlı,29
7971,미남자,şeyh,59
3849,카밀라,camilla,83
7621,스모,sumo,61
427,독재,diktatör,99
10801,헤이즈,haydut,31
3223,파룬,falun,87
14165,도시,şehir,8
2484,시암,siam,90
708,암갈색,dun,79
6823,도나,donna,64
9087,해당합니다,karşılık gelir,26
476,대사 산물,metabolit,93
13615,타갈로그어,tagalog,12
8554,워터 게이트,sugaralı,55
3575,천국 같은,cennet gibi,85
9382,드럼,davul,29
10243,벨파스트,belfast,42
13406,골짜기,vadi,14
8575,절대권,diktatörlük,51
8924,어란,karaca,51
10997,웨들,weren,37
89,왈라비,kabarcık,77
10928,협상,müzakereler,26
10172,앵무새,papağan,42
6750,간부 회의,caucus,66
13751,나타내 다,belirtmek,9
8463,아편,afyon,55
12551,크리스마스,noel,23
6440,떠드는 소리,gevezelik,67
8686,사신,reaper,53
6782,자치,özerklik,66
8285,정액,seminler,48
11634,음유 시인,çörek,31
11389,로그인,giriş yapmak,33
4681,연회,ziyafet yapmak,76
10897,목자,çoban,37
2794,야외 파티,barbekü,88
5871,와우 그리다,yaralamak,72
11195,토성,satürn,35
1926,백작 부인,sayım,93
10437,평화로운,huzurlu,14
1772,성기이 없는,aseksüel,86
5266,혼합,karıştır,62
9206,강변,nehir kenarı,50
5543,중위,yarımbaç,70
10432,군주국,monarşi,40
10194,재분,alt bölüm,41
8265,착륙,iniş,11
1930,속박,esaret,92
3246,남빛,indigo,87
641,비트 맵,bitmap,99
544,다이옥신,dioksin,99
5314,턱받이,dickey,75
1187,굴절,refraksiyon,83
11904,제압,onikinci,29
11207,조안,joan,35
7339,나침반,pusula,57
3005,메티 실린,metisilin,88
1328,냉담,iltihap,96
13336,오클라호마,oklahoma,15
3150,일시 휴업,kapat,86
3897,바빌로니아,babylonia,83
376,의사 과학,psödbistance,100
4607,브리지 워터,bridjewater,79
11327,짐보,jimbo,34
6844,하산,hasan,66
14330,검은색,siyah,10
14236,살해,öldürülmüş,10
6639,전략,stratejiler,31
12127,두려움,korku,22
5986,몬드,monde,71
12914,리더,okuyucu,9
10484,그녀는,shea,40
13094,다,da,16
8140,앨버 커크,albuquerque,58
2310,무례한,saygısız,72
1069,곤충,kon,97
8767,매일,her gün,53
8370,셀룰러,hücresel,56
10085,바튼,barton,43
7331,라우터,yönlendirici,61
10735,욕설,küfür,28
5250,카르 복실 레이트,karboksilat,60
4483,갈기,yele,76
5553,부룬디,burundi,74
13720,진행하다,ilerlemek,11
13576,명령,emretmek,10
13678,확립 된,kurulmuş,10
11431,루이빌,louisville,33
5398,수녀,rahibe,65
8783,시트,çarşaf,42
181,닐 록존,nalokson,100
2014,유혹하다,cazip,65
385,앨버리,alberich,100
106,바륨,baryum,100
6714,폐쇄,kapanma,25
1674,보상,aton,81
4575,바이어콘,biatlon,80
6541,나사렛,nazaret,68
5527,브레스트,brest,74
12842,알았다,roger,16
13065,시간 외에,mesai,18
12035,불가능한,imkansız,27
7974,화살촉,arrowhead,59
12252,노드,düğümler,23
8326,독성,toksik,46
7773,조종석,kokpit,59
7382,불만스러운,sinir bozucu,7
1280,출혈,kanama,47
14433,수수료,komisyon,19
5604,투손,tucson,74
8758,자석,mıknatıs,35
5125,섭정 정치,regency,77
7427,망치다,mahvetmek,36
11989,카트리나,katrina,28
13840,나,ben,5
443,남서의,güneybaharda,98
5566,코이,nazlı,74
13456,불필요한,istenmeyen,14
5806,종말,dat,72
9211,호흡기,solunum,50
3812,지식인,noetik,84
9560,무모한 사람,hotspur,48
11999,결혼,evlilik,27
10360,흡혈귀,vampir,38
10044,연지,rouge,38
1980,부피 테인,bufotenin,93
7243,카이로 프랙틱,kayropraktik,63
12221,countn.,olamaz,26
1374,부르주아의,burjuva,96
11365,열대 우림,yağmur ormanı,34
7028,샤이엔,cheyenne,64
