ID,FRENCH,JAPAN,INTERVAL
11602,bateau,ボート,20
1509,tootsie,おもちゃ,94
2555,stéthoscope,聴診器,87
1327,minoan,ミニアン,95
6681,truquer,ファッジ,56
1676,solon,ソロン,93
13169,bombe,爆弾,9
9240,cartier,カルティエ,38
8171,injection,注入,45
807,algonquin,アルゴンキン,98
1018,slave,スラブ,97
344,thermite,テルマイト,100
2689,boulangerie,ベーカリー,86
13266,sens,検出,8
12204,libéral,リベラル,16
9455,glacière,クーラー,36
4809,acre,エーカー,70
3433,infarctus,梗塞,80
5081,inutile,無駄に,68
7139,prestige,尊敬,53
3054,mières,メーバー,83
7282,Tension,電圧,52
8426,Grange,納屋,43
6688,gaius,ガイウス,56
1006,synoptique,概要,97
3801,bunsen,バンセン,77
1894,sermon,説教,91
12890,cœur,心臓,11
4447,prononcé,アドオンの再,72
4517,inverse,不適合,72
3327,syndication,シンジ化,81
11436,fonctions,義務,22
10699,réévalué,再審,27
1915,sans réserve,無敵の,91
3280,la bride,その中に,81
12692,amical,フレンドリー,12
374,teigne,白癬,100
11124,bande sonore,サウンドトラック,24
8260,fossilisé,化石化,45
6565,dense,密集,57
6290,luminosité,輝度,59
2282,inositol,イノシトール,89
6698,vous mêmes,あなた自身,56
5719,gémir,泣き身,63
5963,rétablir,復活する,61
2420,plantations,農園,88
3509,Zurich,チューリッヒ,79
5430,dionysos,ディオニュソス,65
1230,modèle,シッター,96
3594,samaritain,サマリアン,79
13581,formel,丁寧,6
4211,miracles,奇跡,74
9574,calmar,イカ,35
8681,fasciste,ファシスト,42
528,précambrien,先週の,99
2641,malt,麦芽,86
13101,Guatemala,グアテマラ,10
554,peu coûteux,安価な,99
1559,septième,較子,94
2638,woolwich,ウールウィッチ,86
13304,chiffre,形,8
2810,drainage,排水,85
7266,la faillite,倒産,52
12064,écrivain,作家,17
13672,nord,北,5
8950,alfa,アルファ,40
3303,deuil,死別,81
494,migraine,片頭痛,99
8125,marijuana,マリファナ,46
8397,prestigieux,優秀な,44
806,Portugais,ポルトガル語,98
3960,châtaigne,くるみ,76
3738,moule,ムール貝,78
8216,tapir,タローム,45
1515,vigilance,警戒,94
4314,colporteur,ホーカー,74
11150,dangereux,危険な,24
9265,munir,兵器,37
6423,vespucci,ヴェスコチ,58
10345,diète,ダイエット,30
5200,concierge,名古官,67
6964,Aphrodite,媚びる,54
13031,rejoint,結合しました,10
1376,minotaure,ミノタウロ,95
9500,caca,うんこ,36
10382,cartouche,カートリッジ,29
18,fanatique,狂信者,100
5023,enfermé,囲まれた,68
8218,ichnites,イクタイト,45
6033,signifié,教えて,61
1187,sharpie,シャープ,96
104,coronaire,冠状,100
5026,catalan,カタロニャー,68
10671,banc,ベンチ,27
8537,stellaire,恒久,43
4440,homme d État,政府,72
8652,portable,ラップトップ,42
9296,éliminer,排除,37
11204,fier,誇り,23
6367,pastor,巣,59
1764,intertidal,干渉,92
7825,utopie,ユートピア,48
5352,iliade,伊リーダ,66
2432,talon,ヒーラーズ,88
3028,topaze,トパーズ,83
10100,pétersbourg,ピーターズバーグ,31
5637,dignité,尊厳,64
7775,brookie,ブルーキー,48
358,brouillons,草案,100
6165,cascade,滝,60
723,asticot,マッグゴット,98
13477,droit,真っ直ぐ,7
13343,hésiter,躊躇,8
3898,Babylonie,バビロニア,77
4204,abandonner,スクラップ,74
11126,moindre,より少ないです,24
3681,mépris,軽蔑,78
11813,Comparaison,比較,19
6010,bonne année,グッドイヤー,61
1746,Liang,嘘の,92
4710,homéostasie,恒常性,71
1940,bourbier,遅い,91
8787,frais,手数料,41
12543,poisson,魚,14
12960,évaluer,価値,11
3489,Calypso,カリプソ,79
7873,infiniment,無限に,48
5173,grand mère,祖母,67
3479,compagnons,仲間たち,79
6940,temps infini,イオン,54
10507,ce soir,今晩,28
8207,Stonehenge,ストーンヘンジ,45
12942,distance,距離,11
7419,Gémeaux,ジェミニ,51
8366,pourriture,減衰,44
2686,louche,ディッパー,86
9340,Ouganda,ウガンダ,37
10891,Einstein,アインシュタイン,26
7333,verdict,評決,51
3223,sicilien,シチリア,82
7115,amphibie,両生類,53
11442,routes,ルート,22
3711,supra,上記に,78
6718,acclamé,絶対に,56
3705,marin,めまい,78
2172,envisagé,想定された,89
9080,copine,彼女,39
9395,timor,ティモール,36
1147,aukido,合気道,96
4055,rampe,ランプ,75
2072,mélanome,メラノーマ,90
144,féroce,猛烈に,100
4883,robbins,ロビンズ,69
12213,colin,コリン,16
12966,comète,彗星,10
7674,secousse,ぴくぴく動く,49
8634,morse,セルラス,42
4534,rigoureux,厳しい,72
10280,place,プラザ,30
4801,exposition,露出する,70
6247,bore,ボロン,59
11638,vraiment,本当に,20
10352,canular,でっち上げ,29
10877,distinct,明確,26
4952,mosquées,モスク,69
5003,poinsettia,ポインセチア,69
3251,flipper,ピンボール,82
13782,la victoire,勝利,5
9364,architecte,建築家,37
13772,presque,ほとんど,5
1502,actuaire,アクチュアル,94
7359,velours,ベルベット,51
7101,moins,最少,53
13555,apprécié,感謝,6
8003,riga,リガの,47
7042,gump,ぐぼたく,53
34,mulâtre,ムラート,100
5613,la puberté,思春期,64
4737,aromatique,芳香,70
3667,romulus,ムラ,78
8869,impartial,偏見,40
5423,bulbeux,球根,65
10139,chef,ボス,31
7803,cyclonique,サイクロニック,48
12823,vite,速い,12
3659,crawley,クローリー,79
6069,insiste sur,主張する,61
8209,scarabée,甲虫,45
7826,colère,怒りに,48
4946,libre,無制限,69
3434,tondeuse,バリカン,80
35,employés,スタッファー,100
3771,oiseau,鳥類,77
11712,oliver,オリバー,20
2562,stockeur,株式会社,87
4,amorphe,まとまりのない,100
10617,silveau,シルバ,28
3699,vers le bas,下向きに,78
12795,tiède,テッド,12
11623,La peinture,ペインティング,20
9621,soie,トング,35
2914,pampa,パンパス,84
1826,spiro,スピロ,92
6181,vacance,空室,60
11291,jacksonville,ジャクソンビル,23
717,entrainé,インバウンド,98
10639,plus jeune,若者,27
7406,clarinette,クラリネット,51
8413,gravitation,重力,43
4922,chaleureux,暖まる,69
8758,mozart,モーツァルト,41
12148,naval,ナイカの,16
2690,métra,メトラ,86
12416,aube,夜明け,14
7214,filles,娘たち,52
4313,farine,小麦粉,74
5674,modem,モデム,64
1227,cabaret,キャバレー,96
11610,en avant,前方へ,20
3959,subliminal,雑誌,76
11451,bêta,ベータ,21
13755,télécharger,アップロード,5
1833,cadeur,歌いました,92
10994,baptiste,バプテスト,25
12946,classement,グレーディング,11
8886,frappeur,ヒッターズ,40
1215,lager,ラガー,96
7331,garde,ガルド,51
6256,secouer,見切り,59
7569,partout où,どこでも,50
13517,pertinent,関連する,6
659,existant,現存の,98
13260,indice,索引,8
9394,infâme,悪名高い,36
5437,andromeda,アンドロメダ,65
9519,charleston,チャールストン,35
3271,confié,委託された,81
