ID,SPAIN,HINDI,INTERVAL
12660,charlie,चार्ली,22
10195,kirby,किर्बी,41
11171,angus,एंगस,35
7241,remojar,डुबोना,58
10131,doblar,झुकना,38
4567,violonchelo,वायलनचेलो,79
14192,acordado,मान गया,11
12940,quién,किसको,19
7636,pateadores,किकर्स,19
9354,árbitro,अंपायर,29
12780,cuba,क्यूबा,20
10184,neón,नीयन,41
10322,burra,मना करना,38
7253,infiel,धोखा धडी,46
338,aquél,योन,100
12452,untado,फैलाव,21
4631,saladin,सलादीन,79
2066,sodomía,लौंडेबाज़ी,92
9570,agricultores,किसानों,38
3705,maníacos,पागलों,46
9581,evadir,बचना,39
6642,pedregoso,बेदर्द,66
13279,iii,तृतीय,15
10998,vasto,व्यापक,36
14201,pantalla,स्क्रीन,18
10504,celebracion,उत्सव,18
1692,deshidración,निर्जलीकरण,88
10191,nervioso,बेचैन,41
11781,divisional,प्रभागीय,29
5036,virginiano,वर्जिनिया,69
10271,comadreja,चालक आदमी,40
9862,tragedia,त्रासदी,42
12479,senna,सेन्ना,23
2942,diente de león,dandelion,86
11134,catalizes,उत्प्रेरित,34
11414,redada,छापा,24
8782,clínico,क्लीनिकल,42
9038,manto,आच्छादन,49
4334,lanzacohetes,लांचर,62
3201,hino,हिन,87
6616,shrewsbury,श्रूज़बरी,66
10538,crepúsculo,सांझ,39
12791,larry,लैरी,20
3762,picar,चोप,61
2146,sin provecho,undrafted,92
9946,sión,सिय्योन,43
10064,alexandria,सिकंदरिया,42
13154,estudiantes,छात्रों,12
6166,epsom,एप्सोम,69
9053,calina,धुंध,48
5015,endocrino,अंत: स्रावी,76
5094,aden,अदन,76
9116,ups,उफ़,49
10727,xc,एक्ससी,38
3450,pie de página,फ़ुटबाल,82
12767,década,दशक,18
10312,ign,आईजीएन,40
10368,taco,टैको,39
13826,estado,गया,5
340,abuelos,दादा दादी,79
6336,seminario,पाठशाला,65
3415,ocarina,ओकारिना,86
4745,av,ए वी,78
2114,adriático,एड्रियाटिक,92
12854,bélgica,बेल्जियम,20
4444,alquiler,किराये पर लेना,73
4634,calmar,वश में करना,68
12496,xd,एक्सडी,23
6049,utrecht,उट्रेच,70
12172,milenio,मिलेनियम,26
12735,enteramente,पूरी तरह से,8
4971,bulimia,बुलीमिया,77
3039,albañilería,चिनाई,88
9237,alquitrán,टार,48
6720,incómodo,अटपटा,64
13051,melbourne,मेलबोर्न,18
14220,similar,समान,10
12201,teniente,लेफ्टिनेंट,25
2362,jai,जय,90
8312,stade,स्टेड,55
11139,inaceptable,गवारा नहीं,34
3136,roper,नट,86
12560,racha,धारी,22
8869,notorio,कुख्यात,48
1342,nanómetro,नैनोमीटर,95
6097,mau,मौ,70
2903,desi,देसी,88
2571,siemens,सीमेंस,90
6076,meditación,ध्यान,62
8225,retumbar,रंबल,53
13802,con,साथ,5
11507,mg,मिलीग्राम,32
10943,grados,डिग्री,22
8123,hacha,कुल्हाड़ी,50
4606,mein,मीन,79
13823,poder,कर सकना,5
14271,en realidad,वास्तव में,9
8037,ingenio,बुद्धि,22
1453,consuelo,सांत्वना,95
10111,atlas,एटलस,42
10430,franjas,फ्रांज,39
3295,agotador,दंडित,21
5031,armónico,लयबद्ध,70
6817,bendición,वरदान,65
12754,porcentaje,प्रतिशत,20
6229,heroico,वीर रस,58
3623,bura,बुरे,85
11077,explorador,एक्सप्लोरर,23
11959,armadillo,वर्मी,28
639,brazalete,कफ़,82
14190,cualquiera,दोनों में से एक,7
6693,della,डेला,66
3806,ferrer,फेरर,84
12359,chad,काग़ज़ का टुकड़ा,24
11905,júpiter,बृहस्पति,28
4296,jacinto,ह्यचीन्थ,80
11627,esperando,प्रतीक्षा करना,14
1834,escarbador de vidas ajenas,मकरकर,90
1310,privar,वंचित,65
7644,pálido,ज़र्द,59
13845,s,एस,5
14379,lado,ओर,10
6960,autopista,फ़्रीवे,59
11361,andre,आंद्रे,33
949,geólogos,भूवैज्ञानिकों,75
4873,raperos,रैपर्स,26
6527,académica,शैक्षणिक,18
7646,sobredosis,आयुध डिपो,59
5138,levantamiento de pesas,भारोत्तोलन,75
7013,pudín,पुडिंग,59
476,metabolito,मेटाबोलाइट,93
6649,connie,कोनी,58
12519,hadal,हदाल,23
2403,espina,स्पाइना,89
6254,criada,नौकरानी,66
6358,espacio aéreo,हवाई क्षेत्र,68
2286,rotor,रोटार,89
854,soler,सोलेर,98
5235,shih,शिह,75
7460,tirador,शूटर,52
897,gigante,आबी घोड़ा,96
1091,shabbat,शबात,96
14438,comenzó,शुरू कर दिया,7
277,sedanes,सेडान,47
514,avispera,ततैया,57
13533,juan,जुआन,13
11287,cinta,फीता,26
14354,mujer,औरत,11
12818,noreste,ईशान कोण,20
7233,capitalista,पूंजीवादी,59
11093,cañón,तोप,33
1979,dari,दारी,92
3362,tallos,उपजा,38
11068,huevo,अंडा,32
6798,neumonía,निमोनिया,65
13095,libertad,आजादी,17
13018,sábado,शनिवार,18
8656,desglose,टूट - फूट,51
13420,marina,समुद्री,12
552,desvinculado,लिंक रद्द,94
3544,hocking,हॉकिंग,76
8789,dora,डोरा,52
9905,agresivo,आक्रामक,33
10244,giro,गिरो,41
3952,notario público,एनपी,82
12574,moore,मूर,21
11815,mcdonald,मैकडॉनल्ड्स,29
3953,boina,बेरेत,71
8788,orwell,ऑरवेल,52
8926,ranura,आलस,50
10620,muralla exterior,आंगन,38
2870,púbico,जघन,88
4828,rgen,रगे,77
13630,participar,भाग लेना,9
5972,hundir,हौज,50
10103,hilo,धागा,37
4584,jerez,जेरेज़,79
10877,símbolos,प्रतीक,19
6418,de carbono,कारबोनकेयस,68
8992,propulsado,चलनेवाला,38
4637,distrofia,कुपोषण,79
12384,sub,विषय,23
7955,deux,ड्यूक्स,58
753,apostasía,स्वधर्मत्याग,98
9225,pantallas,प्रदर्शित करता है,13
13451,película,चलचित्र,12
4761,hélice,कुंडलित वक्रता,78
8479,ensalada,सलाद,54
6427,ptt,पीटीटी,67
5922,fut,फट,71
14182,bancos,बैंकों,13
9548,meu,मेयू,46
5986,monde,मोंडे,70
10197,doncella,कन्या,40
2716,chantaje,भयादोहन,83
8471,jugador,लग्गी से नाव चलानेवाला,45
12451,base de datos,डेटाबेस,23
5025,catalán,कातालान,76
9848,mit,एमआईटी,44
4473,snider,स्नाइडर,80
12050,dólar,बक,24
13877,puede,मई,5
5779,adelantar,आगे निकल,51
1807,dunne,ड्यूनी,93
11149,peligroso,खतरनाक,19
10637,nicaragua,निकारागुआ,38
7131,mescalina,मेस्केलिन,63
12789,damnificados,हताहतों की संख्या,18
7716,eximir,मुक्त करें,49
7690,torrencial,मूसलधार,59
14311,escuela,विद्यालय,6
7469,expo,प्रदर्शनी,41
13909,bueno,कुंआ,7
1190,tiziano,टाइटियन,96
7155,logístico,साजो,35
12552,fr,फादर,23
13001,masacre,हत्याकांड,17
8886,acharya,आचार्य,51
11025,cola,पूंछ,28
1865,rebanador,स्लाइसर,93
8623,lbs,एलबीएस,30
13968,gestión,प्रबंध,9
10423,colisión,टक्कर,38
6502,gastos generales,भूमि के ऊपर,67
10291,flamenco,फ्लेमिंग,40
13228,atado,बंधे,10
7849,feudalismo,सामंतवाद,51
2722,anémona,रत्नज्योति,88
10600,caído,गिरा हुआ,38
10706,plataforma,डेक,37
906,papiro,पेपिरस,97
4197,isómero,आइसोमर,67
4735,trapo,खपरैल,64
1536,acra,अकरा,95
3975,técnicos,तकनीशियनों,55
4977,chocer,चौसर,77
14273,cabeza,सिर,9
5465,celsius,सेल्सियस,74
8332,plagio,साहित्यिक चोरी,51
35,jeannette,जीननेट,100
7585,rinoceronte,गैंडा,60
9947,chaser,खदेरनेवाला,42
5592,dolores,डोलोरेस,68
11846,factor,फ़ैक्टर,22
11712,emily,एमिली,30
1786,dálmata,डैलमेशियन,72
4394,mongoles,मंगोलों,53
2110,zueco,खड़ाऊँ,88
8069,huerta,बगीचे,56
7762,helena,हेलेना,59
8577,invisible,अदृश्य,50
7379,sectores,सेक्टरों,31
3555,moscatel,मस्कट,85
8727,bt,बीटी,52
11108,explorar,स्काउट,23
5987,filigrana,वाटर-मार्क,63
5083,tarta de queso,चीज़केक,75
6565,smiley,स्माइली,66
14064,libras,पाउंड,31
1338,ingles,ऐगम,93
1723,elogiar,सराहना,54
276,evangélico,इंजील का,72
3804,aspirina,एस्पिरिन,84
12904,solterona,कातनेवाली,19
11691,fijado,नियुक्त,24
12249,capa,केप,25
10036,sin etiqueta,टैग नहीं किए गए,42
10210,deutschland,ड्यूशलैंड,41
4789,veracidad,सच्चाई,78
9238,lionel,लियोनेल,49
8372,macbeth,मैकबेथ,55
5953,hurón,भगाना,70
2894,atroz,नृशंस,88
10779,eje,एक्सिस,38
8009,desnudo,नंगा,33
12234,lento,धीरे,22
6880,regreso a casa,घर वापसी,64
9849,especia,चाट मसाला,43
9526,uranio,यूरेनियम,46
12333,resistencia,प्रतिरोध,21
10650,asterio,एस्टियन,38
8455,etnicidad,जातीयता,23
8528,cadillac,कैडिलैक,53
7720,til,टिल,59
11639,slalom,स्लैलम,28
13251,campana,घंटी,15
3901,tocho,टॉक,83
9948,lefty,लेफ्टी,43
7278,recipiente,प्राप्तकर्ता,47
7109,encantador,आकर्षक,42
3407,secoya,लाल लकड़ी,82
4838,walla,वाल्ला,77
11266,intervención,हस्तक्षेप,33
8898,botones,बटन,7
3223,falun,फालुन,87
14322,negociaciones,बाते,5
246,asesoramiento,काउंसिलिंग,58
10145,faraón,फिरौन,40
9592,militante,उग्रवादी,28
12769,hampshire,हैम्पशायर,21
5375,sacrificado,बलिदान,67
2499,hipotermia,अल्प तपावस्था,90
1890,transcurrido,कालातीत,69
4475,caracortada,स्कारफेस,80
2976,ursa,उर्सा,63
4610,aprendió,सीखा,79
9272,albión,अल्बियन,48
6948,oráculo,आकाशवाणी,64
11848,aprobación,अनुमोदन,18
13214,irlandesa,आयरिश,16
3708,fuselaje,हवाई जहाज़ का ढांचा,84
76,bambino,बैम्बिनो,100
8064,facultad,संकाय,55
12589,armstrong,आर्मस्ट्रांग,22
10273,sucesor,उत्तराधिकारी,39
14050,estados,राज्य अमेरिका,6
5894,odessa,ओडेसा,71
10718,banderín,पताका,37
4941,lavandería,धोबीघर,76
7778,bozal,थूथन,59
1932,midi,मिडी,92
889,ternario,त्रिगुट,97
14278,factura,बिल,10
11512,resistente,साहसी,30
3951,pausa,ठहराव,71
13575,beto,बीओबी,12
790,disraeli,डिजरायली,98
9196,siux,सिऔक्स,49
6425,nigeriano,नाइजीरियाई,65
8496,aparato de relojería,घड़ी की कल,54
12685,aerotransportado,हवाई,21
6886,amianto,अदह,64
12067,pilares,खंभे,26
12389,parcialidad,पक्षपात,24
10550,sar,खोज एवं बचाव,39
13455,federal,संघीय,12
10189,legislación,विधान,23
9691,germán,हरमन,45
4820,antecesores,पूर्ववर्तियों,44
2888,sabino,सबीन,85
10042,afrontar,सामना,41
12814,estimado,अनुमानित,16
6797,ching,चिंग,65
4370,autenticidad,सत्यता,50
1406,tardío,विलंबित,95
4830,macfarrón,मैक्फार्लेन,77
12216,toyota,टोयोटा,25
2461,toa,टोआ,90
11123,banda sonora,गीत संगीत,33
9337,jaguar,एक प्रकार का जानवर,33
10146,embajador,दूत,38
6412,memorándum,ज्ञापन,66
9645,saco,थैला,23
13383,implementar,लागू,13
2115,fecha del aire,प्रसार होने की तिथि,88
5889,sacerdotes,पुजारियों,41
6573,dresde,ड्रेसडेन,66
8322,perro chino,चौ,54
5561,cst,सीएसटी,73
6956,sandman,सैंडमैन,64
13799,eso,वह,5
6480,cardíaco,दिल का,67
3377,bestia,बीस्टी,84
4576,contrabando,तस्करी,71
105,amrita,अमृता,100
1315,en mayúsculas,अपरकेस,95
3625,salvia,साल्विया,85
10626,limón,नींबू,38
11880,berger,बर्जर,28
1980,bufotenina,बुफोटेनिन,92
7934,esquilador,घसियारा,54
1305,oscilador,थरथरानवाला,62
2748,bunyan,बुन्यान,88
6747,denunciado,की निंदा की,54
11372,versa,विपरीत,33
8084,masonería,फ़्रीमासोंरी,57
13755,le,ले,11
13687,malo,खराब,12
1804,duela,डंडे,73
14049,reciente,हाल ही का,5
4586,triunfo fácil,सरल विजय,78
9480,tm,टीएम,47
6338,rpm,आरपीएम,68
11978,benjamín,बिन्यामीन,27
4686,escuchado,हर्स्ट,78
2763,estatutos,विधियों,60
14480,jugar,खेल,7
3431,hawkeye,हॉकआई,85
3843,oliva,ओलिवा,84
13454,broma,मज़ाक,12
12643,invitado,आमंत्रित,6
2095,lisoso,लिसोसोम,92
9482,influyente,प्रभावशाली,47
9521,subordinar,अधीनस्थ,39
2089,no involucrado,असंबद्ध,92
