ID,KOREAN,ARABE,INTERVAL
3967,성격,std.,83
3932,발음하기,نطق,38
1129,오카,أوكا,95
14311,학교,مدرسة,6
2084,dhoni.,دوني,92
7392,푸줏간,جزار,57
737,파파라치,paparazzi.,98
7718,모순,تناقض,33
4038,아리아,آريا,67
13032,바로 그거죠,بالضبط,18
12641,가볍게 하다,تفتيح,22
6246,붕소,البورون,69
7449,rees.,ريس,57
7194,장로설,المشيخي,61
1468,복부,البطن,95
7760,벽돌 공장,brickyard.,60
2396,무인 비행기,طائرة بدون طيار,83
11045,주장했다,جادل,20
1564,창병,الرامح,95
4053,화보,صورة مصورة,80
942,황홀경,نشوة الطرب,92
10407,하드 코어,المتشددين,40
5911,호숫가,ليكسايد,71
14399,하얀색,أبيض,10
10240,프랑코,فرانكو,42
14360,1월,يناير,5
4150,개조되었습니다,تم تجديده,57
3512,발효,التخمير,80
7839,거짓말 쟁이,كذاب,55
2636,터번,عمامة,88
1136,지네,حريش,96
2046,올림픽 과정,أولمبياد,76
3962,헨델,هاندل,83
4698,재다,ميس,73
9301,가루,مسحوق,45
10775,입회,الانتماء,9
5408,블랜치,بلانش,74
1549,멀더,مولدر,95
5800,개발자,النمو,72
3086,결여 된,خالية,88
4886,셈문,السامية,50
12572,로마,روما,23
9095,지부티,جيبوتي,51
12058,하찮은 일,أمور تافهة,27
3738,어민,الصيادين,84
14244,수단,وسائل,8
10420,드와이트,دوايت,40
12230,잘 알고 있기,ورك او نتوء,25
8953,직공,ويفر,50
14238,것들,أشياء,8
3309,생물 학자,أحيائي,73
13267,온타리오,أونتاريو,16
11570,manitoba.,مانيتوبا,32
10467,나상,ناد,40
1656,아비렌,أبيلين,94
10828,코카,كوكا,38
10482,맥코이,مكوي,40
9943,조타실,ويلر,43
8971,고독,العزلة,51
578,얼빠진 실책,بونر,96
13383,구현하다,ينفذ,13
23,아멘,آمين,80
6837,테킬라,تكيلا,65
12947,id,هوية شخصية,19
7649,불교도,بوذي,58
1084,규정 된 것,منصوص عليه,77
7919,칠십,سبعون,47
4764,이발,حلاقة شعر,76
11445,영원히,مدى الحياة,32
12424,자정,منتصف الليل,24
12107,통제,خاضع للسيطرة,11
12267,싫어하다,يكره,23
9877,콘솔,وحدة التحكم,33
12555,종교의,متدين,23
13474,마지막으로,أخيرا,7
693,시라즈,شيراز,98
7092,토로,تورو,60
8084,freemasonry.,الماسونية,58
8832,게릴라,حرب العصابات,43
4008,룰루,لولو,83
10678,약속하다,يعد,24
11906,스프린트,sprint.,27
13356,독립적 인,مستقل,12
12695,홍수,فيضان,13
8184,kero.,كيرو,57
9859,잊혀진,نسي,44
9070,오랑우탄,انسان الغابة,51
5468,바나드,بارنارد,74
4776,암캐,وقحة,72
7978,마그네슘,المغنيسيوم,58
11334,앨런,ألان,34
5476,이케,ايك,74
261,프리메이션,الماسونيون,92
6917,vin.,فين,65
10230,루마니아 사람,روماني,42
7812,밀리 즈,سميثرز,59
14294,자동차,سيارة,9
2393,위시본,عظم الترقوة,89
3776,종사,الخروج,16
12074,스크립트,النصي,25
4820,전임자,سلف,44
11335,예의,مجاملة,34
2908,신생아,حديثي الولادة,88
1308,스와미,السوامة,93
8818,고수,الطبال,50
6956,샌드맨,ساندمان,64
8602,센탄,المئوية,52
7253,부정 행위,الغش,46
9130,무선 동물,متناهي الصغر,44
2463,부싱,باشينغ,51
8980,여든,ثمانون,48
2095,리소좀,الايسوسوم,92
5809,메달리스트의,ميدالي,56
5455,교군꾼,حامل,62
11521,사십 오,خمسة وأربعين,32
2079,치질,البواسير,91
13491,잠재적으로,يحتمل,11
14491,구입,شراء,25
12662,블랙리스트,blacklist.,12
5186,계수,معامل في الرياضيات او درجة,71
6788,펜더,درابزين,62
297,멱지수,الأسهم,89
4503,운석,النيزك,68
8781,바아스,باسات,44
