ID,SPAIN,FRENCH,INTERVAL
12535,asalto,agression,24
14482,por qué,pourquoi,8
9477,clinch,clandestin,26
7550,evocador,évocateur,62
5728,anfiteatro,amphithéâtre,74
10922,terranova,terre-neuve,39
5283,pizcama,pembroke,77
10103,hilo,fil,40
11719,tema,thème,29
2657,vacilado,faiblir,78
8798,testimonio,témoignage,50
5598,a la fuerza,de force,68
7140,asustado,effrayé,38
7335,anciano,âgé,64
14407,esperar,attendre,12
4621,cabron,enfoiré,81
9849,especia,pimenter,46
2816,splanquia,splanchnologie,90
12946,selección,sélectionnant,12
4727,tapa,couvercle,79
4679,eq,éq,81
3777,escaso,clairsemé,69
9128,bytes,octets,46
4815,guardarropa,garde-robe,79
707,slone,esclave,98
7771,faro,phare,60
13856,solo,seulement,7
13546,costa,côte,15
10949,agitación,troubles,39
2451,se rió,ri,40
12316,cazador,chasseur,26
10943,grados,degrés,26
3943,buldeo,bf,84
694,traicionero,perfide,97
2389,obituario,nécrologie,84
4876,casualmente,coïncident,70
4807,aparecer,frayer,45
14476,impulsos,disques,12
1398,fenilo,phényle,95
516,guerna,guernesey,99
1753,cenit,zénith,93
6523,infeccioso,infectieux,70
4066,poligamia,la polygamie,84
11947,ópera,opéra,26
7065,sintético,synthétique,64
2194,códice,manuscrit,92
7122,solomillo,aloyau,65
7597,pala,bêche,57
14209,viejo,vieux,12
13476,derecho,droit,16
10123,bocina,klaxon,37
13000,mojador,cairns,21
12481,vidrio,verre,25
2885,mopper,épandeur,89
4519,invadir,envahi,73
1259,montaje,assemblage,21
13243,domingo,dimanche,18
5403,fuego fatuo,incendies,64
8595,genio,génie,56
8870,inconsciente,ignorant,53
14521,préstamos,prêts,44
7509,brujería,la sorcellerie,63
5578,bohemia,bohême,75
1790,corza,circulade,94
4594,prolífico,prolifique,81
5586,ingenuo,naïve,71
7981,triunfar,réussir,35
4730,suplicado,plaidé,59
13401,décimo,10ème,17
811,ibídem,ibid,98
7982,quejumbroso,se plaindre,31
3382,saxófono,saxo,75
11735,ejército de reserva,ta,33
10857,colapsado,s est effondré,27
9225,pantallas,affichage,15
4035,minoristas,détaillants,41
14504,carreras,courses,8
773,rhein,rhée,98
14378,unidades,unités,7
3485,tortazo,claque,64
13666,reino,royaume,13
5703,protuberancia,cogner,55
10749,orilla,rive,38
5763,desplazamiento,déplacement,43
4793,simetría,symétrie,78
7804,mamífero,mammifère,54
9814,colmillo,croc,47
8361,instantáneamente,immédiatement,58
5724,malabares,jonglerie,73
932,cartera,cartable,98
11149,peligroso,dangereux,23
11041,escandinavo,norseman,38
9400,langoso,languer,50
6193,no poder,ne pas avoir,71
10022,tributo,hommage,45
8987,error de tipografía,faute de frappe,34
12531,macho,malo,26
1383,inorgánico,inorganique,96
7650,oficial de intendencia,intendant,62
6,tropezón,trébucher,58
13675,luz,léger,12
5853,grifería,graal,74
13466,en general,globalement,16
4492,errático,erratique,69
14376,gerentes,managers,11
6582,tolva,trémie,65
12961,amarillo,jaune,21
3188,manipulador,gestionnaire,82
7762,helena,hélice,62
11726,siria,syrie,33
8113,pelea confusa,mêlée,58
12348,folletos,flyers,27
4563,cortacésped,tondeuse,76
14088,aquí,ici,5
8014,gimnasio,gym,60
6994,caza,chèvre,66
5814,dependencia,dépendance,74
13819,eran,étaient,7
4946,reiterado,réitéré,58
13667,nada,rien,13
8716,descargo de responsabilidad,avertissement,21
13935,número,nombre,8
2515,cosaco,cosaque,82
8048,decoración,déco,60
10919,beso,embrasser,37
12021,palmero,paleuse,31
5331,punto muerto,impasse,68
10505,chip,ébrécher,32
8078,feudo,querelle,55
11961,bota,démarrage,28
11474,bebida,boisson,28
3230,vestidos,habits,62
8,frikis,geeks,31
5516,miseria,cacahuètes,42
4990,mandíbulas,mâchoires,60
13190,población,population,17
1189,teel,seeler,97
10101,vestido,habillé,29
6954,escrutinio,examen minutieux,66
9994,delgado,mince,45
7899,aliviar,soulager,30
9039,reembolso,reportage,49
10334,titánico,titanesque,26
3232,arriesgador,risqueur,88
5225,señorita,missy,77
10286,helicópteros,hélicoptères,28
10551,impulso,élan,42
10977,áspero,rugueux,37
12704,senadores,sénateurs,16
10644,cereza,cerise,41
8615,mullido,mullen,56
4222,gravemente,grossièrement,83
8942,devastador,dévastateur,41
83,manchar,souiller,99
11558,cascarón,coquille,28
3160,hacia el sudeste,au sud-est,88
6005,baño,salle de bain,70
2977,metrópoli,métropole,88
5361,el proceso de destitución,mise en accusation,64
2448,invocado,invoqué,70
3820,costuras,couture,85
2787,telegrama,télégramme,85
2618,escándalo,s agiter,87
12008,llevando,palier,13
1339,inaudito,inouï,96
5771,rosario,perles,64
2362,jai,i have,92
12080,iraní,iranien,29
7243,quiropráctica,chiropratique,65
3269,apilado,empilé,50
10705,fiebre,fièvre,41
12037,tonto,idiot,27
5509,excéntrico,excentrique,51
6479,codificación,codage,14
2849,brough,épaulement,89
8668,dispuesto,d esprit,11
2347,palos,copeaux,56
2965,galgo,levrette,70
3724,arender,se produire,85
639,brazalete,manchette,84
1258,presagio,préfigurant,86
11157,ingreso,le revenu,35
2149,saludo,goalless,93
13150,de todos modos,en tous cas,18
13781,victoria,la victoire,12
4780,reubijo,râpé,80
14348,tomando,prise,5
6153,cartas credenciales,identifiants,69
4789,veracidad,véracité,80
12459,caminante,marcheur,27
10220,pecado,péché,38
11271,cuarteles,quartiers,10
12296,terreno de juego,terrain,18
7036,cúbito,cu,65
11229,presa,endiguer,35
11664,ciro,cyrus,34
13235,uso,usage,18
1565,misioneros,missouriens,88
11184,joder,jo,38
259,grupa,en plaisantant,100
1616,reloj de arena,sablier,95
1952,asiria,assyrie,93
9995,carmesí,cramoisi,46
10642,muestra,goûter,32
4856,refinería,raffinerie,63
11857,dispositivo,appareil,26
4034,plan de estudios,curriculum,83
6484,instalar en pc,installer,24
4095,redención,rachat,82
3271,esquiador,skieur,77
11682,abeto,sapin,34
12707,roca,calcul,21
11864,jerga,argot,32
7557,buenas noches,bonsoir,62
10469,canales,canaux,17
4475,caracortada,scarface,82
5737,glover,gantier,74
8136,daga,dague,57
4637,distrofia,dystrophie,81
5718,whig,gémir,64
9569,estola,a volé,49
10426,baya,baie,42
6862,salida en antena,diffamation,67
9016,orquesta,orchestre,52
4365,jagger,jagagance,82
13479,girar,tourner,11
