ID,CHINESE,RUSSIAN,INTERVAL
1439,愈合,лечить,57
11282,大致,грубо,35
802,浪子,матадор,96
5723,出纳员,кассир,70
4213,特斯拉,tesla.,82
9714,仪式,церемонии,21
9942,自己,саму себя,45
2016,人员配备,укомплектованный,85
6468,险恶,зловещий,69
5215,明信片,открытка,71
8513,电灯泡,луковица,53
1298,lidia,лидия,96
3735,bucephalus.,буцефал,85
13608,h,ума,12
3986,狼人,оборотник,83
1804,梯,выдерживать,74
13197,爱国者,патриот,12
13097,类别,категории,6
8718,帽子,шляпы,26
5198,辅酶,коэнзим,75
5664,十字路口,перекресток,72
5841,雪茄,сигар,71
2747,向西,на запад,28
1988,萨拉拉,самарра,93
14410,看着,смотрящий,5
10462,蒙特,монте,36
12291,极端,экстремальный,16
11280,新生,первокурсник,35
1163,萤火胶,пожар,96
8338,栅格,растр,56
11889,委内瑞拉,венесуэла,29
13620,南非荷兰语,африкаанс,12
10061,印度教,индуизм,44
3608,比目鱼,камбала,82
13051,墨尔本,мельбурн,18
13037,酸,кислота,17
1422,超恒流,трансцендентно,70
9871,叛乱分子,повстанцы,33
11254,降落伞,парашют,33
4097,莱克兰,лакеланд,83
7198,畏缩,отдача,62
10941,利马,лима,37
14113,寻找,находить,7
13488,蒂姆,тим,13
10191,紧张的,нервный,43
2513,googolplex,гуголплекс,90
11330,中央情报局,cia.,34
13245,杰森,джейсон,16
14413,作品,работает,5
12756,移动的,мобильный,15
6587,悄悄,тихо,68
7414,间接,косвенный,62
7119,没用,господство,62
748,呼吸暂停,апноэ,98
4296,风信子,гиацинт,81
8067,瓦特,ваттс,40
12324,哥伦布,columbus,25
4159,鬣蜥,игуана,82
213,无产阶级,пролетариат,100
10132,立即的,мгновенное,42
1087,枯萎,увядает,83
7343,啦啦队,черлидинг,58
7839,说谎者,лжец,55
9706,摩西,моисей,46
3665,扎酶,лигаза,75
14459,帐户,счет,5
4840,po,готово,72
9811,tal,сказки,30
8580,主管,суперинтендант,52
13098,爱德华,эдвард,14
1991,中东,средний восток,93
10361,温莎,виндзор,41
514,黄蜂,осы,58
