ID,POLONAIS,KOREAN,INTERVAL
4805,potępiać,비난하다,33
5947,mikronezja,미크로네시아,71
4886,semityzm,셈문,50
7927,lan.,랜,59
11928,nadzwyczajny,기이 한,29
13178,długość,길이,16
6712,wielkie ilości,수량,43
12815,republikański,공화주의자,18
4454,odparowanie,증발,63
8686,żniwiarz,사신,52
4968,słowik,나이팅게일,77
5884,klin,쐐기,68
2692,nadnerkowy,부신,90
9114,nie używany,미사용,47
12483,wdzięk,우아함,23
4120,cass.,카스,82
8403,sikh.,시크교,47
12188,grzbiet,산등성이,26
5800,rozwojowy,개발자,72
13111,q,큐,17
994,slavs.,슬라브,89
11660,łączyć,병합,18
8888,cukrzyca,당뇨병,49
11554,balansować,균형,25
9056,mozambik,모잠비크,51
13493,online,온라인으로,13
4630,opalizowanie,무지개 빛,78
10162,trudności,어려움,31
3722,kora,피질,85
3333,rogatka,통행세 받는 문,83
8811,wątroba,간,52
1914,niewykwalifikowany,자격이 없습니다,92
8009,odsłonić,없는,34
10716,instancje,인스턴스,21
9663,feminizm,여성식,46
730,nadgarstkowy,목마,98
7977,węzeł,매듭,28
9997,bzdury,실없는 말,44
3599,entrycowany,들여다,77
8086,jurajski,쥬라기의,58
1975,gonal,펄,93
701,elipsa,타원,93
10041,astronomia,천문학,43
2117,katalityczny,촉매,91
13792,z,~의,5
1310,pozbawiać,빼앗다,66
8548,złoczyńcy,악당,47
4794,herschel.,하더 델,78
2160,gaduła,연설자,89
6060,cracndown.,단속,70
13889,poprzez,~을 통해,8
9880,przewodnictwo,안내,44
2167,przełączanie,재정렬,57
12979,sortować,종류,15
323,monoteizm,일신교,100
5737,rękawicznik,글로버,73
1476,trampolina,트램폴린,90
3890,sena.,세나,84
3759,tung.,퉁명물,84
4149,plecak,배낭,67
784,claymore.,클레이 모어,97
12491,sierpnia,8 월,24
6090,ślad stopy,발자국,66
8527,stworzenia,생물,45
10075,indonezyjski,인도네시아 인,42
6045,biome,생물체,71
7644,blady,핏기 없는,60
12486,nieco,약간,24
3630,krojak,크래퍼,85
12493,zaplanowany,계획된 것,11
1612,łóżko składane,간이 침대,88
1632,hipnoza,최면술,94
447,nie uninja,unjured.,100
13699,daniel.,다니엘,12
3685,jeńcy,포로,52
9063,reduktaza,환원 효소,51
7541,zair,자이르,62
8898,guziki,단추,7
11903,em.,여자 이름,27
9496,alfabetyczny,알파벳순,27
13462,lincoln.,링컨,14
10588,sanders.,샌더스,37
6639,strategie,전략,30
10268,tamil,타밀 사람,41
5523,skąpić,정량,71
10048,chleb,빵,43
1797,amnezja,기억력 상실,94
10633,minneapolis.,미니애폴리스,38
5106,nie do wiary,믿을 수 없는,69
8941,gabon,가봉,52
1877,brzęk,깨어 있는,27
2972,lotnik,비행사,88
8384,element krajobrazu,경계표,47
6902,awaria,충돌,16
779,bez szwanku,상처 없는,98
14447,zaczynać,시작하다,11
6622,pedofilia.,소아 성성증,67
10972,wzmacniający,강하게 하는 것,18
6744,lansing.,랜싱,66
748,bezdech,무호흡증,98
12007,przełęcz,안부,28
1167,płat,둥근 돌출부,88
11977,niekompletny,불완전한,27
8023,najważniejszy,최고의,58
14486,funkcja,특징,9
4100,whitehall.,관청,83
13170,przewodnik,가이드,14
9638,bronks,브롱스,47
12771,zwierzę,동물,12
1650,wibrujący,떠는,94
2502,pelham.,펠햄씨,90
10241,fryzjer,이발사,42
2563,dzik,수퇘지,90
11040,walijski,웨일스 말,36
6604,rosa,이슬,67
11422,szachy,체스,33
7247,ryk,활발한,49
1191,inhalacja,흡입,73
13044,znaczenie,중요성,10
8770,wtyczka,플러그,48
4666,zapalony,점화,54
6088,marg,마그,56
6135,koktajl,칵테일,64
9127,pomidor,토마토,46
2401,infradzierzenia,분사,77
8574,zapalniczka,거룻배,53
4456,kartezjański,데카르,80
4491,histeria,히스테리,80
3657,wznowienie,재개,84
10498,przepisany,다시 쓴 것,40
4941,pranie,빨래,77
819,dotychczas,지금까지,98
899,czarnoskóry,흑인 남자,97
13666,królestwo,왕국,12
14334,ameryka,미국,5
9579,tango,탱고,47
14147,ostatnio,최근에,5
2754,browar,양조장,82
12118,dodgers.,다저스,24
5287,weganizm,채식주의 자의,50
8938,właz,해치,49
11005,damon.,다녀,37
13764,prawdziwy,진짜,11
6930,papka,걸쭉한 죽,63
12879,iracki,사람,19
7985,narzucać,부과하다,33
2960,koncesja,양보,64
9794,napięty,시제,44
3913,dzień sądu ostatecznego,최후의 일,84
7955,deux.,덕에,59
8276,szczupak,단창,50
1847,krzywo,비스듬히,94
